ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,14,10,13,2,12,14,14,13,6,14,11,17,12,15,13,10,16,17,20,7,19,18,22,13,20,23,20,15,32,8,19,18,22,14,20
1,11,10,14,10,13,1,12,13,14,13,5,14,11,17,13,15,12,10,14,17,23,6,22,19,20,13,20,21,20,16,21,7,21,19,20,13
2,17,11,9,13,11,14,3,11,13,15,11,6,12,10,19,14,17,13,10,11,18,22,7,22,19,19,13,20,20,20,17,20,8,23,19,19
3,21,16,11,9,13,11,13,4,12,13,16,12,7,14,11,20,16,18,14,11,11,18,24,10,21,20,18,13,21,21,12,17,22,10,22,20
4,19,22,16,11,10,15,13,12,3,13,13,14,13,8,14,11,20,16,19,16,10,11,19,24,12,22,21,17,11,21,11,12,17,22,11,23
5,22,19,25,15,12,11,14,13,13,3,14,14,14,14,8,16,10,21,16,18,14,10,14,19,22,13,23,26,19,13,15,11,15,18,21,12
6,19,24,19,26,15,13,11,15,14,14,4,12,14,14,13,11,17,11,22,16,19,14,12,14,17,19,14,23,27,19,19,15,13,15,17,19
7,18,21,23,19,26,15,14,10,16,13,15,4,12,14,17,16,10,18,13,22,16,18,14,12,13,17,18,13,25,26,14,19,15,12,14,17
8,22,19,23,25,19,26,15,15,12,15,11,14,4,12,14,17,16,10,19,12,22,17,18,16,11,14,17,20,13,24,23,15,19,16,11,15
9,28,22,21,23,26,18,25,15,16,13,17,11,14,4,14,15,17,16,11,19,13,24,18,19,17,13,15,17,20,13,12,25,16,18,17,13
10,17,30,22,19,23,26,18,23,15,16,13,16,12,13,3,17,15,16,17,11,19,12,25,19,18,19,12,16,17,23,20,11,25,17,18,19
11,22,16,30,22,21,24,25,18,23,16,14,14,16,12,13,6,18,15,15,16,11,18,12,27,17,18,20,11,16,16,11,19,11,27,16,18
12,27,22,15,32,24,21,24,26,19,22,15,14,13,16,12,13,5,18,16,15,17,9,18,14,25,17,18,20,11,17,17,9,19,13,26,15
13,19,30,23,16,30,23,20,25,26,19,22,14,14,13,16,12,13,5,19,18,15,17,9,19,14,25,16,17,19,10,15,17,9,20,13,26
14,17,20,29,24,15,30,23,18,25,26,17,24,14,15,13,15,12,14,5,18,18,16,18,10,20,15,23,16,17,19,17,16,18,10,20,14
15,21,19,18,29,24,15,30,23,18,27,28,17,22,15,15,14,16,10,14,5,17,17,17,18,11,20,15,23,14,18,17,17,17,18,11,20
16,22,21,23,19,31,25,15,30,25,23,26,28,17,22,16,15,13,16,11,14,5,17,17,18,18,12,20,16,22,11,5,17,17,18,18,12
17,33,22,23,22,18,31,24,17,31,24,19,25,27,19,22,17,15,12,15,12,14,6,17,17,19,20,12,21,15,24,15,6,18,17,19,20
18,19,34,22,22,21,18,30,26,17,31,25,19,25,28,23,21,17,15,15,15,12,14,9,18,17,18,18,13,22,16,12,15,9,19,17,19
19,18,19,34,22,21,21,18,29,26,17,31,24,19,25,27,25,20,16,15,16,15,13,14,9,19,22,17,19,14,21,15,13,15,9,20,21
20,21,15,19,34,23,21,20,18,32,28,17,30,24,20,24,27,26,20,18,16,16,15,12,15,8,18,22,17,20,14,17,15,13,16,8,19
21,8,24,15,19,34,23,24,21,19,33,28,17,30,26,21,24,25,26,22,20,14,15,15,12,15,8,14,23,18,18,14,17,15,13,16,8
22,19,13,21,15,21,33,24,24,20,19,33,28,18,30,26,21,26,28,27,25,19,14,15,15,13,16,9,14,21,20,19,14,16,15,14,17
23,16,19,10,25,14,20,33,27,26,23,19,32,27,17,28,26,22,27,27,27,24,18,14,17,18,12,15,9,18,21,23,18,14,19,18,13
24,14,14,17,11,24,14,22,33,27,24,19,19,31,26,16,28,27,23,26,28,27,25,18,14,19,19,11,17,11,23,26,24,19,15,22,19
25,26,14,14,18,12,24,15,22,33,30,27,21,20,32,29,17,30,28,24,27,31,28,25,21,13,21,18,12,19,12,32,26,24,22,14,23
26,12,24,15,17,18,13,24,16,24,34,29,25,22,19,35,28,21,33,29,25,26,31,29,25,21,18,20,18,13,20,27,31,27,25,23,20
27,11,13,24,21,16,20,14,28,17,26,38,31,25,22,21,31,25,16,34,28,24,24,29,31,26,21,17,19,21,21,24,25,28,29,26,23
28,20,12,15,25,19,16,20,15,31,17,21,38,35,27,23,22,38,25,18,35,29,26,22,30,29,24,19,19,21,17,27,26,23,29,28,25
29,20,19,13,16,27,22,18,23,21,31,17,21,37,36,26,27,26,36,26,18,35,29,28,29,35,28,22,22,16,21,35,28,27,31,33,27
30,10,22,21,14,16,28,21,19,25,22,30,15,21,36,36,26,35,27,38,25,19,33,28,30,37,38,30,24,24,20,19,33,26,29,39,35
31,22,12,22,23,13,16,27,18,20,27,19,28,16,19,40,33,32,38,30,38,26,17,32,34,31,40,37,28,29,32,27,17,31,30,30,41
32,20,21,14,22,20,15,15,28,21,22,28,21,30,17,20,40,33,37,36,28,42,27,21,33,36,35,43,40,31,32,38,28,20,30,31,34
33,24,21,20,14,23,21,14,15,27,24,20,27,20,31,21,20,39,32,39,36,27,41,28,22,32,35,40,41,36,29,28,40,32,22,29,32
34,26,27,22,21,16,22,20,14,19,30,23,18,26,23,33,21,17,40,35,39,37,26,41,29,26,31,32,41,44,39,37,28,42,32,26,29
35,19,29,26,21,21,17,20,22,13,19,31,24,17,27,26,34,19,23,40,36,40,38,29,48,34,26,29,31,36,42,37,40,30,46,36,26
36,21,18,31,29,23,20,17,20,22,13,19,31,26,19,27,28,33,23,24,40,36,37,40,28,53,36,24,30,30,38,39,36,42,32,50,37
37,26,23,16,31,27,21,21,16,22,20,12,20,30,27,23,29,26,32,25,26,38,36,40,40,34,50,37,26,32,32,40,39,38,41,36,49
38,20,26,21,16,31,26,21,21,19,21,21,12,19,31,27,23,28,27,33,25,25,37,37,38,38,35,50,36,28,34,23,38,40,37,41,36
39,24,19,26,21,16,32,26,22,22,18,22,22,14,17,33,29,26,30,28,33,28,25,38,34,37,41,39,48,37,28,28,25,39,38,37,43
40,25,25,20,25,22,15,32,25,21,24,19,22,22,16,17,32,25,28,29,28,33,28,25,39,35,39,42,36,47,37,31,27,25,40,38,38
41,22,26,24,20,26,23,15,33,29,22,24,20,24,23,15,17,31,25,30,27,28,31,29,26,38,38,40,38,35,48,27,31,28,26,39,40
42,19,24,26,26,20,26,22,16,34,26,22,24,19,23,26,15,16,30,25,29,27,25,35,31,26,39,38,43,41,36,26,24,34,30,26,39
43,26,19,24,25,24,21,26,21,18,32,28,22,25,20,23,27,15,17,29,25,29,27,22,35,32,27,41,37,42,41,29,25,22,34,31,25
44,32,28,19,25,25,24,20,26,22,19,33,26,24,23,20,23,29,14,19,29,24,28,27,23,32,29,27,42,35,40,27,28,26,23,31,28
45,21,33,29,18,25,27,24,23,28,21,18,33,26,24,23,20,24,28,16,19,29,25,29,28,22,33,28,29,41,36,29,27,29,26,23,32
46,15,20,34,29,18,23,28,27,23,28,22,19,32,26,24,25,24,24,27,16,19,31,25,30,28,21,33,30,29,40,18,30,27,30,27,22
47,19,16,22,34,29,18,22,26,24,21,30,22,20,33,26,26,25,23,24,27,16,19,28,26,29,30,24,33,29,32,16,17,28,28,29,29
48,17,19,18,20,35,31,18,21,24,24,21,30,23,20,33,26,26,24,22,23,27,17,20,29,27,28,26,24,32,29,26,17,18,29,28,29
49,16,18,19,18,19,35,30,18,23,24,24,21,30,23,22,32,25,27,25,22,22,27,15,21,29,26,28,28,27,33,23,26,16,20,29,27
50,23,16,18,19,17,20,35,28,18,22,25,23,21,29,23,23,33,25,25,25,21,24,27,18,24,29,25,29,30,26,21,24,26,19,23,29
51,16,22,17,18,19,14,21,36,27,19,22,24,23,20,28,23,24,34,25,24,25,21,24,29,20,26,29,25,30,29,25,21,24,28,20,25
52,19,14,23,17,19,19,13,20,37,28,17,22,24,22,22,28,23,25,34,26,24,23,22,24,27,20,27,30,27,33,23,24,22,24,27,20
