ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,36,62,46,56,36,50,42,50,64,50,35,43,56,36,36,37,27,32,28,30,26,23,38,36,30,25,22,24,38,38,25,25,38,36,30,25
1,27,38,60,47,53,36,48,39,53,63,43,33,43,54,36,35,36,24,30,32,31,26,23,38,38,31,26,23,25,37,30,25,25,39,38,32
2,41,28,40,59,47,55,38,46,41,49,63,42,32,45,52,35,33,38,23,27,32,31,27,24,39,38,29,28,23,26,30,30,24,25,40,38
3,35,39,31,40,58,48,53,38,47,38,44,63,43,31,44,51,36,32,39,22,25,31,31,24,25,40,37,28,26,22,25,29,30,24,24,42
4,50,37,38,32,42,57,45,52,36,48,38,43,63,43,33,43,49,36,33,39,22,26,32,29,26,26,42,37,29,27,19,26,30,28,27,25
5,50,53,38,39,35,45,57,45,54,38,48,38,42,62,43,35,42,46,35,30,40,22,27,32,26,29,26,43,37,28,41,20,27,30,26,29
6,67,50,50,41,38,37,46,55,45,51,37,48,37,43,59,42,36,41,45,32,29,40,22,28,30,26,28,27,44,37,30,40,21,33,29,26
7,54,67,52,54,42,40,37,47,54,47,50,37,48,37,42,57,42,35,39,43,33,31,41,23,28,29,26,27,25,44,34,32,42,21,32,28
8,55,54,70,58,55,42,38,40,48,56,45,51,39,48,38,42,56,42,36,40,41,32,31,41,25,27,28,26,25,27,43,32,33,42,24,31
9,72,57,53,69,55,53,43,39,39,48,52,44,49,39,49,38,42,56,42,37,39,40,33,31,41,25,28,29,27,23,41,40,34,34,42,24
10,70,73,57,54,69,52,57,43,39,41,45,51,43,48,40,51,39,42,55,42,38,39,42,34,34,40,25,30,28,29,40,41,44,35,37,41
11,54,74,71,58,56,69,57,57,44,41,42,44,53,43,50,40,51,39,44,54,41,38,38,41,35,34,40,25,31,28,40,39,41,44,37,36
12,80,54,72,70,57,57,71,53,57,46,41,42,45,53,43,49,39,52,40,41,53,40,39,38,39,36,32,40,26,33,52,42,42,41,41,39
13,74,80,55,74,70,58,58,71,54,59,43,41,42,45,52,42,47,38,52,40,42,53,42,39,38,38,36,32,39,25,42,53,44,42,42,40
