ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,12,8,12,12,16,8,10,17,5,7,5,11,14,8,10,12,13,8,7,12,12,15,8,10,8,9,13,9,10,13,13,15,8,10,8
1,18,9,13,11,12,15,14,9,12,14,5,7,4,11,14,8,9,12,14,8,7,14,12,15,9,10,8,7,15,9,5,14,13,15,9,10
2,13,17,8,10,11,13,13,15,10,12,13,3,8,4,12,14,9,9,11,12,8,8,14,13,15,10,9,9,8,14,8,5,15,14,15,11
3,10,12,16,9,10,11,13,13,15,10,11,13,3,8,6,12,13,10,9,12,12,8,8,14,13,15,9,8,11,6,12,8,5,15,14,15
4,11,11,12,16,10,10,11,14,13,12,7,11,14,5,7,6,12,13,7,9,12,14,8,7,15,12,14,13,9,11,13,14,8,5,16,13
5,13,12,11,13,16,8,9,12,16,11,13,7,11,14,5,8,8,12,13,6,10,12,14,9,8,13,12,14,14,11,9,13,14,8,6,14
6,7,13,12,14,16,16,9,9,13,16,13,13,8,11,14,4,10,8,12,12,6,10,12,13,8,8,15,13,16,14,6,10,13,13,9,6
7,13,8,13,12,12,18,15,9,8,13,19,14,14,9,10,14,3,11,8,12,12,7,10,12,12,8,7,15,13,18,12,7,10,14,12,9
8,13,13,7,14,12,13,16,15,8,9,17,20,14,15,9,10,14,4,11,8,11,12,7,10,13,12,8,6,15,12,12,13,7,10,15,12
9,19,14,13,8,14,11,12,17,15,8,9,18,20,14,15,9,11,13,4,10,8,11,12,7,10,11,12,9,7,16,8,12,13,7,10,13
10,19,19,11,12,8,15,11,12,16,15,9,8,18,19,14,14,11,11,15,4,10,9,11,13,5,10,11,12,9,7,10,9,12,13,5,10
11,5,20,19,11,11,10,15,11,11,13,17,10,9,17,20,13,14,12,11,14,6,10,9,12,14,5,10,11,12,10,6,9,9,12,14,5
12,17,5,19,19,11,11,9,14,13,11,14,17,10,9,17,18,12,14,12,11,14,6,10,10,12,14,6,9,12,12,13,6,9,10,12,14
13,8,16,5,19,19,12,12,9,17,12,14,16,18,10,9,13,18,12,14,12,10,14,6,8,10,12,14,6,9,11,10,14,6,8,10,12
14,13,8,16,5,20,20,12,12,10,17,14,13,16,17,12,7,12,18,12,14,13,10,14,6,8,10,12,13,5,8,12,10,14,6,8,10
15,12,12,8,16,5,21,19,11,11,10,18,14,13,16,17,12,7,13,18,12,15,13,10,14,8,8,10,12,13,6,13,12,10,14,7,8
16,11,12,11,7,16,5,22,20,10,10,11,18,13,13,15,16,9,7,13,17,12,15,13,10,14,7,8,10,12,13,12,14,12,10,14,6
17,18,12,12,11,7,17,5,20,19,10,9,12,18,12,13,15,15,9,7,13,16,12,15,14,10,14,8,8,10,12,15,12,14,13,10,14
18,12,18,12,12,11,7,17,6,20,20,11,10,11,18,10,13,16,15,9,8,13,17,12,13,13,10,14,6,9,11,12,16,12,13,12,10
19,19,11,20,11,13,12,7,16,5,19,22,12,11,10,19,9,13,16,15,9,8,14,17,13,13,13,10,13,6,9,8,13,17,12,13,12
20,8,16,12,20,10,14,12,8,16,5,21,20,11,11,10,18,9,13,17,16,9,8,15,18,13,13,14,10,13,7,11,8,14,18,12,13
21,8,10,15,11,22,11,14,11,8,16,6,20,19,11,10,9,18,9,13,16,14,10,8,15,17,13,12,13,10,13,13,12,8,14,16,12
22,13,7,10,15,13,22,12,13,13,8,20,8,20,20,10,10,9,19,8,13,14,13,10,5,13,17,13,11,12,10,16,12,12,5,13,16
23,10,13,7,11,16,14,21,12,14,12,7,18,8,20,19,9,11,10,15,10,13,13,15,11,5,14,13,13,11,12,13,15,14,13,5,14
24,3,12,12,6,11,14,12,21,12,12,13,8,18,10,18,17,9,12,9,14,9,13,13,17,11,4,14,16,13,12,10,13,16,16,13,4
25,7,3,13,11,5,11,14,12,20,11,11,13,8,18,11,19,15,9,13,11,11,10,13,13,18,11,4,14,16,16,11,10,13,16,16,13
26,8,6,3,12,12,6,11,15,12,18,11,10,13,8,16,12,18,15,9,14,9,11,10,13,14,16,9,3,13,17,10,10,10,13,16,15
27,14,10,7,3,12,12,5,12,14,13,20,14,10,10,6,15,12,16,18,10,14,10,11,10,13,15,16,10,5,13,12,12,10,10,13,17
28,3,14,9,7,4,9,11,5,12,13,11,20,13,9,10,5,17,13,16,19,12,15,11,11,9,14,15,16,11,4,11,14,12,10,10,14
29,11,6,14,11,8,4,9,12,5,11,11,12,18,13,10,9,5,18,14,14,19,13,16,11,13,8,12,15,16,12,15,12,15,12,12,9
30,3,11,6,15,12,8,5,9,13,4,13,9,14,19,13,11,9,5,18,13,12,18,14,19,14,14,9,13,16,15,14,15,13,17,15,13
31,9,2,11,6,15,12,8,6,10,13,5,12,10,15,17,11,10,9,7,18,13,11,17,12,17,15,13,12,13,16,12,14,15,12,15,14
32,13,11,2,11,6,16,12,8,6,9,14,5,12,9,15,17,12,9,8,6,18,14,11,16,12,15,10,13,12,13,16,14,13,14,10,14
33,11,12,10,4,11,7,15,13,8,7,8,12,5,11,12,15,20,11,8,10,7,18,15,15,17,11,16,9,13,13,8,16,15,15,15,10
34,17,9,12,9,6,10,6,13,11,8,9,9,12,6,9,11,14,20,11,9,11,6,18,14,14,14,11,18,9,12,12,9,17,15,15,13
35,12,18,8,13,9,7,10,5,14,11,6,9,10,12,6,9,11,14,19,11,10,10,5,20,11,14,13,9,18,8,10,10,8,19,14,16
36,8,12,19,9,13,10,7,9,4,14,11,6,9,10,10,6,9,11,13,19,12,9,9,5,19,10,13,14,10,16,12,9,10,8,18,13
37,10,8,12,18,10,13,10,8,11,4,14,11,6,9,10,9,7,9,13,13,17,12,10,8,5,18,12,14,15,11,17,12,10,10,8,18
