ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,16,13,13,9,11,7,5,10,4,6,7,5,13,7,10,6,13,5,7,12,11,6,9,8,7,11,6,11,8,9,12,8,10,7,7,11
1,14,18,12,12,9,11,7,5,10,4,4,7,5,13,6,7,6,13,5,7,11,11,6,11,9,8,11,6,10,10,11,13,8,11,8,8
2,16,16,17,11,10,10,11,8,5,8,3,5,7,5,13,6,8,8,13,5,7,11,10,6,10,10,8,11,6,11,7,11,11,5,10,9
3,13,15,15,16,10,10,8,11,7,4,8,3,5,7,5,12,6,7,9,13,5,6,10,11,6,9,9,10,11,5,5,7,10,11,6,10
4,26,14,16,15,18,10,9,7,10,6,4,7,3,5,6,4,12,5,8,8,13,4,6,10,11,5,9,9,9,10,14,4,6,11,11,5
5,17,26,14,17,15,17,10,8,7,10,7,4,6,3,5,7,5,11,5,8,8,13,2,6,10,12,4,10,9,8,8,14,3,6,11,12
6,14,17,26,14,17,14,16,9,8,7,11,7,4,5,3,5,6,5,9,6,8,7,12,2,6,10,13,5,10,7,8,7,12,3,6,11
7,22,14,18,25,13,15,13,15,8,8,7,11,8,4,5,3,5,6,5,9,6,8,7,13,2,5,12,13,5,10,6,8,7,14,3,6
8,20,22,13,18,24,13,15,11,15,8,8,7,11,7,5,5,3,5,7,5,9,6,8,7,13,2,5,12,13,5,9,6,8,7,14,3
9,8,20,21,12,17,22,12,14,13,15,9,8,7,10,7,5,5,3,5,7,5,10,6,8,7,13,2,5,12,13,6,10,6,8,7,14
10,22,9,20,21,12,18,24,12,14,13,17,9,8,7,10,7,7,8,3,5,8,5,10,6,8,7,12,2,5,12,8,5,10,6,8,7
11,29,23,9,19,19,13,17,19,11,14,11,15,10,8,7,10,7,7,8,5,4,9,5,11,6,8,8,12,2,6,4,8,5,12,6,8
