ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,45,43,39,52,43,40,41,28,44,32,48,46,36,45,47,39,45,42,43,56,45,43,51,51,43,53,45,59,50,46,46,46,49,50,44,52
1,39,45,39,38,51,43,43,43,28,44,30,49,48,35,43,49,37,42,43,44,57,45,42,49,52,44,48,51,58,56,57,46,44,50,51,46
2,40,40,47,40,40,49,45,41,42,30,43,30,50,48,35,41,51,36,41,42,42,58,42,44,51,52,45,44,54,58,43,58,44,45,52,52
3,46,39,40,49,41,40,54,47,41,45,26,42,29,50,49,35,42,52,36,40,39,43,56,42,44,49,53,41,42,53,38,43,56,46,45,50
4,55,45,42,39,49,39,43,54,46,42,44,28,42,31,51,48,36,42,52,34,39,42,42,55,46,45,49,54,43,39,40,42,42,53,50,45
5,59,55,42,42,39,52,40,44,53,51,41,44,28,42,31,51,46,40,44,52,34,40,40,43,57,50,44,51,56,45,34,41,43,45,54,53
6,50,62,52,42,42,40,53,40,44,54,46,40,45,30,43,31,52,47,42,45,53,37,37,40,41,57,48,43,47,58,53,36,37,41,43,54
7,61,50,58,56,39,41,42,51,42,44,50,49,41,46,31,44,34,50,48,44,45,53,34,39,41,40,60,51,43,47,45,53,34,39,41,43
8,58,63,50,58,54,38,42,42,53,42,41,49,50,41,46,31,44,35,49,46,42,46,56,34,40,40,40,59,50,40,42,45,56,36,40,39
9,65,59,60,51,58,56,38,40,43,54,44,42,48,50,42,46,33,44,35,51,48,40,45,56,35,42,38,40,63,52,49,40,44,56,36,41
10,52,69,58,60,52,59,57,37,41,45,50,45,46,48,50,42,49,34,44,36,50,49,42,47,55,33,42,40,43,62,50,51,42,45,56,33
11,69,54,69,59,60,52,58,56,39,40,43,51,46,46,48,49,44,50,33,47,35,49,50,45,48,53,34,44,43,43,35,51,51,46,47,54
12,67,72,52,70,60,62,53,57,59,39,40,43,54,47,47,51,50,42,52,33,47,32,47,51,44,46,52,36,43,42,47,33,51,53,45,44
13,73,65,69,55,69,58,62,53,61,61,38,41,40,54,47,47,52,50,42,53,34,48,31,48,51,45,46,52,37,43,34,48,33,51,53,46
14,66,74,64,69,55,70,59,61,52,58,58,40,40,39,54,47,47,53,51,42,53,33,48,35,53,51,44,46,55,38,51,33,48,37,50,54
15,71,66,73,63,69,60,72,61,61,53,58,58,39,40,39,54,47,47,54,52,42,53,33,48,39,53,51,44,49,56,43,52,33,48,39,49
16,62,71,67,75,64,69,58,71,61,62,52,58,58,38,40,40,55,51,46,55,52,40,53,34,45,38,53,52,47,50,49,41,52,36,47,39
17,76,61,70,67,78,64,71,60,73,60,62,52,59,59,38,42,40,55,51,48,56,51,39,53,35,45,37,54,52,47,54,49,39,52,38,48
18,75,72,61,72,67,78,63,71,58,71,59,63,53,61,58,38,43,40,57,51,47,55,51,40,52,37,43,39,54,52,51,55,51,42,53,40
19,73,74,72,62,70,69,77,61,71,59,69,59,63,53,61,58,38,44,40,57,53,44,53,50,39,49,39,42,43,51,51,49,55,52,44,50
20,72,73,76,74,62,73,71,78,61,73,57,69,60,63,52,63,58,39,42,43,58,56,47,53,47,41,49,40,42,45,57,54,52,57,51,45
21,61,69,77,79,80,64,71,74,81,63,72,58,68,60,62,54,61,60,39,42,44,57,56,48,50,46,41,51,42,44,46,57,56,52,55,51
22,55,60,71,76,79,83,64,74,77,82,66,75,57,68,62,64,57,62,65,43,42,41,60,55,49,53,45,42,53,41,44,44,61,53,50,58
23,55,52,56,72,73,85,84,63,76,78,81,68,72,57,67,63,63,56,59,66,41,43,44,55,52,48,55,44,46,58,42,43,45,63,53,50
24,55,58,48,56,72,72,83,78,68,78,75,80,69,70,58,68,67,66,58,58,67,43,43,45,58,52,53,62,46,52,66,43,43,47,65,53
25,71,56,59,50,54,74,72,85,80,66,80,72,81,69,70,64,73,69,64,59,57,67,44,41,48,65,56,52,60,50,60,66,46,41,49,62
26,44,70,55,60,53,54,76,73,85,80,64,80,70,82,67,69,61,73,73,63,54,60,71,50,45,48,69,56,55,62,55,64,70,51,44,50
27,50,49,70,58,61,56,56,75,70,92,79,64,77,69,83,69,72,56,73,74,64,53,60,71,48,49,45,64,55,52,65,56,63,73,49,48
28,59,51,48,73,56,59,57,58,76,71,96,76,67,78,65,88,70,71,59,74,76,67,53,58,75,44,47,51,60,57,75,70,57,60,74,46
29,80,61,50,46,75,61,64,59,64,78,75,96,76,68,76,62,88,73,73,57,74,76,69,58,63,79,46,44,57,59,75,75,69,63,66,77
30,48,77,58,52,47,75,57,65,61,64,80,72,94,77,66,78,67,84,72,78,56,74,75,76,57,68,80,49,46,57,56,75,75,75,65,70
31,48,46,73,56,52,46,76,55,66,60,66,77,70,96,76,64,83,65,88,73,79,54,78,80,76,57,75,81,54,48,73,58,80,78,74,62
32,63,46,46,72,55,52,49,77,60,67,62,71,75,68,96,83,69,82,67,85,77,78,56,80,82,78,66,73,85,52,76,76,62,81,81,77
33,59,65,45,49,70,55,52,50,78,56,68,63,72,78,70,95,81,70,89,69,88,77,80,57,92,77,79,63,70,86,90,76,80,61,87,81
34,41,60,62,45,46,71,59,57,53,81,64,72,63,68,78,72,96,79,71,88,69,86,78,76,58,91,78,83,62,68,71,88,76,77,63,89
35,53,43,60,65,46,46,73,55,54,52,85,64,76,65,68,81,71,92,78,74,90,65,89,82,79,52,88,79,81,65,90,71,91,81,79,59
