ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,3,7,2,1,None,5,4,5,4,2,4,5,4,6,7,10,5,3,5,2,5,6,6,9,6,4,8,6,4,2,5,6,6,8,6
1,3,5,2,7,3,1,None,4,4,3,4,2,4,5,4,6,6,10,5,4,7,5,5,5,7,12,5,5,8,8,7,4,5,5,6,10
2,6,2,4,2,7,2,2,None,4,4,4,4,2,4,5,4,6,6,9,4,4,7,6,6,9,7,12,5,5,8,4,7,5,5,8,6
3,7,7,2,5,3,7,2,2,None,5,4,4,4,2,4,4,4,6,6,8,4,3,7,5,6,9,7,12,5,4,4,3,7,6,5,8
4,11,10,8,1,4,3,7,2,2,None,5,3,4,4,2,2,4,4,5,5,7,5,3,7,5,6,7,7,13,6,7,5,3,7,6,5
5,4,10,10,7,3,4,2,7,2,1,None,5,3,4,5,1,2,4,4,4,5,8,6,3,7,5,6,8,6,11,5,8,6,3,7,6
6,8,5,10,10,8,1,5,2,7,3,1,None,5,3,5,5,2,2,4,4,5,5,8,6,3,7,4,6,8,5,5,5,8,6,3,7
7,7,8,4,9,11,8,1,5,2,8,2,1,None,5,3,5,5,3,2,4,4,6,5,8,7,4,7,4,6,7,4,6,5,8,7,3
8,8,6,6,4,8,11,8,1,6,3,6,2,3,1,5,3,5,5,3,2,4,4,5,5,8,7,4,6,4,5,4,4,5,5,8,7
9,8,8,5,6,4,8,11,8,1,5,3,6,2,3,1,5,3,5,5,3,2,4,4,6,5,8,5,3,7,5,2,4,4,6,5,8
10,8,8,8,6,6,4,7,12,6,4,6,3,5,2,3,None,5,4,4,4,3,2,4,4,6,5,8,5,3,8,3,2,4,4,6,5
11,8,8,9,8,6,5,4,7,12,5,4,6,3,5,2,2,None,5,5,4,5,3,2,4,4,6,5,8,5,3,5,3,2,4,5,6
12,9,7,8,9,8,5,5,4,6,11,6,3,6,3,4,2,2,None,6,5,4,5,2,2,5,4,5,5,8,4,4,5,2,2,5,5
13,6,9,7,8,9,8,5,6,4,7,12,6,3,6,3,4,2,2,None,6,5,5,5,2,2,5,4,5,5,8,5,5,5,2,3,5
