ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,5,5,5,3,3,3,6,4,0,5,3,6,1,1,4,7,5,4,6,2,8,3,2,6,7,5,6,2,12,2,8,3,2,6,7
1,2,5,5,5,5,3,3,4,6,3,0,5,3,6,1,1,4,7,7,4,6,2,9,6,2,7,8,6,6,2,6,2,9,4,2,7
2,2,1,4,5,6,5,4,3,4,6,4,0,5,3,6,1,1,5,7,8,4,6,3,7,5,3,7,8,6,6,4,6,3,6,4,3
3,6,1,1,4,5,4,5,5,3,5,6,4,0,5,4,6,1,2,6,7,8,4,6,4,6,6,3,7,8,5,8,4,6,4,6,5
4,6,8,1,2,4,7,3,6,4,3,5,6,4,0,5,4,5,2,3,5,6,8,4,6,4,6,6,3,7,7,6,8,4,6,4,6
5,4,7,8,1,2,9,6,3,6,4,3,5,5,4,0,6,5,6,4,3,5,7,8,4,8,4,6,6,3,6,5,7,8,4,7,4
6,7,4,6,7,1,1,6,6,3,6,4,3,5,6,4,0,6,6,6,4,4,4,7,8,5,8,4,6,6,3,4,4,7,8,5,7
7,8,7,5,6,8,1,2,6,6,4,6,4,3,6,7,4,0,5,6,7,4,4,4,7,8,5,8,4,6,5,4,4,4,7,8,5
8,6,8,7,5,5,8,0,1,6,7,5,6,4,3,6,7,4,0,6,6,8,4,4,4,9,8,5,8,4,5,8,4,4,4,8,8
9,13,6,8,7,5,5,8,0,1,7,7,5,6,4,3,6,6,6,0,6,6,9,3,4,4,9,8,5,8,4,6,9,3,4,4,8
10,7,13,9,9,7,4,5,7,1,2,8,7,5,8,5,3,7,6,6,0,6,6,9,3,4,5,7,8,5,8,7,6,9,3,4,5
11,3,7,13,6,8,8,4,5,7,0,3,8,7,6,8,5,5,7,7,6,0,5,7,9,3,4,5,7,7,5,0,6,7,9,3,4
12,8,3,7,13,7,7,8,5,6,8,1,3,5,7,6,9,5,5,5,7,7,0,5,7,9,4,4,5,7,6,7,0,6,7,9,4
13,7,10,3,7,13,7,7,7,5,6,8,2,3,5,8,6,8,5,5,6,7,7,0,5,7,9,4,4,5,7,7,7,0,6,7,9
14,8,7,10,2,7,13,7,7,8,4,4,7,2,2,5,8,5,8,5,4,6,7,7,0,5,7,9,4,4,6,6,7,7,0,6,7
15,9,7,7,10,2,7,13,9,5,8,4,4,7,2,2,5,8,5,8,5,3,6,7,7,1,4,7,9,5,4,3,6,7,7,1,5
16,12,10,7,7,11,2,7,13,6,6,8,4,4,7,1,2,5,8,5,8,5,3,6,7,7,1,4,7,9,5,5,3,6,7,7,1
17,6,11,10,8,7,11,2,6,13,7,7,10,4,4,6,1,2,6,8,5,8,5,3,6,7,5,1,4,7,7,8,5,3,6,7,6
18,7,6,12,12,7,7,10,2,8,14,6,7,11,4,4,6,2,2,6,8,6,8,5,3,7,7,5,1,4,8,6,8,5,3,7,7
19,9,7,5,11,11,10,7,9,2,6,14,6,6,11,3,4,6,2,2,6,8,6,8,4,3,6,7,7,1,7,8,6,8,5,3,6
20,8,9,7,5,11,11,8,7,9,2,7,14,7,6,11,3,3,7,1,2,6,8,6,8,4,3,6,7,7,1,7,8,6,8,5,3
21,8,8,10,7,5,11,11,8,7,9,3,7,14,7,7,11,2,3,7,1,2,5,8,6,8,4,3,6,7,7,2,6,8,6,8,5
