ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,7,7,12,8,9,10,6,6,13,10,10,12,12,11,13,10,14,11,11,15,9,19,25,22,18,13,20,13,15,20,8,19,25,20,18,13
1,12,6,8,11,8,10,9,6,7,10,11,10,12,11,12,12,10,17,13,9,15,13,23,26,17,18,14,22,13,15,16,11,23,26,17,18
2,16,11,6,8,9,7,10,9,6,7,11,9,11,13,11,12,16,11,17,14,7,13,13,26,29,17,21,13,23,12,8,16,10,26,29,17
3,12,18,13,7,6,11,7,11,10,9,5,9,11,11,13,11,14,14,12,16,17,9,11,13,23,28,17,18,14,21,17,9,14,13,24,28
4,13,13,18,12,7,6,11,7,11,10,9,5,11,10,11,15,11,13,16,11,14,18,10,12,14,21,30,18,17,13,15,18,10,15,14,22
5,15,17,13,19,12,7,6,11,8,11,11,9,3,12,10,12,16,12,13,14,11,12,21,11,13,14,22,30,18,19,11,14,21,14,15,13
6,16,16,17,14,18,13,7,6,12,9,11,11,10,2,11,11,13,17,11,13,15,14,14,19,10,13,14,21,29,21,15,14,15,21,13,15
7,13,16,17,17,13,19,12,8,7,12,10,11,12,10,4,12,11,14,18,11,13,15,14,14,21,10,17,16,19,27,13,15,14,15,23,13
8,19,15,18,16,18,13,19,13,9,6,13,9,11,12,11,4,13,10,13,18,11,14,14,18,14,22,10,18,19,17,10,13,14,14,15,23
9,21,20,15,16,16,19,13,20,13,8,5,13,9,12,12,14,5,14,12,14,17,11,14,14,17,14,23,11,18,19,17,10,13,14,14,15
10,7,20,20,14,16,17,20,13,21,14,9,5,13,11,12,12,14,5,14,13,15,17,11,14,14,18,16,25,13,19,16,17,12,13,14,15
11,16,7,21,19,15,16,17,20,13,20,14,9,5,14,11,12,13,15,5,12,13,19,16,10,15,15,16,16,26,14,12,19,16,11,14,15
12,11,15,7,21,21,16,16,18,20,12,20,14,10,6,16,12,13,13,14,6,12,13,19,16,10,14,14,16,16,23,10,12,19,16,11,13
13,11,9,15,7,21,20,16,16,16,20,12,20,14,10,5,15,12,13,14,12,6,12,15,18,16,11,15,15,16,17,7,10,13,19,16,12
14,19,11,9,15,8,21,20,18,16,16,19,10,20,15,10,5,17,11,13,14,12,6,12,12,17,16,12,15,15,15,13,7,10,11,18,17
15,15,19,12,9,15,7,21,20,18,15,18,19,9,19,14,11,4,16,11,12,14,11,6,10,11,15,16,12,16,14,13,12,7,9,11,17
16,13,16,18,13,9,16,8,21,20,18,16,18,20,8,20,14,11,5,14,11,12,15,12,6,10,12,16,16,13,15,13,14,13,8,9,12
17,22,12,15,17,14,8,16,7,22,22,19,17,18,19,8,20,14,11,5,14,12,12,14,12,6,9,13,14,16,16,11,13,14,13,9,9
18,10,22,13,17,17,14,7,16,8,23,22,20,18,20,19,10,21,14,11,6,15,12,12,15,13,7,10,14,16,16,15,11,12,15,13,10
19,21,11,22,13,18,17,14,6,18,8,24,22,20,18,21,17,12,22,14,12,8,14,11,14,13,15,7,11,15,15,7,14,10,13,13,15
20,13,21,13,24,14,19,17,16,6,17,8,23,23,21,17,21,18,13,23,14,12,8,12,14,14,14,16,5,12,14,12,7,12,12,14,14
21,15,12,21,12,25,13,18,17,18,8,18,8,24,23,22,17,22,20,12,22,15,11,9,12,13,11,16,15,7,11,15,11,9,12,13,11
22,15,15,12,19,12,26,13,18,16,18,9,19,11,21,23,22,18,23,21,13,23,15,11,10,12,14,10,17,14,13,23,15,11,10,10,14
23,21,17,14,13,23,12,28,14,20,16,19,10,20,12,20,25,24,18,20,18,13,24,16,14,8,13,13,12,19,16,13,23,16,13,8,12
24,15,21,17,16,14,23,13,29,13,20,16,19,9,20,12,22,23,25,19,18,19,15,23,16,14,8,15,13,13,15,23,15,22,16,12,8
25,12,15,22,16,17,15,24,14,31,15,21,16,20,11,19,14,21,24,23,18,18,21,17,27,14,15,10,15,13,12,18,25,16,27,13,13
26,13,13,17,22,14,17,17,22,12,31,18,20,14,18,14,20,13,25,24,24,19,23,17,16,27,16,16,11,14,17,20,22,22,14,27,16
27,12,14,15,17,21,12,16,17,19,16,29,19,20,13,19,19,18,12,27,19,26,23,25,17,19,27,17,20,11,12,27,23,25,22,15,27
28,20,11,16,15,17,20,12,17,17,20,16,29,20,23,13,22,25,20,12,26,19,28,23,27,18,22,22,19,18,9,20,30,23,27,21,18
29,12,20,13,16,14,18,20,12,18,17,20,17,29,21,23,20,23,26,20,14,28,17,32,27,31,21,26,25,17,14,29,19,33,27,30,23
30,19,15,23,13,14,15,18,19,11,17,16,21,18,24,20,26,20,21,26,24,13,28,20,30,32,30,22,26,25,17,12,31,22,30,30,29
31,24,19,16,23,13,14,15,18,21,13,20,15,21,21,28,21,24,20,25,27,24,13,32,20,30,30,33,19,24,25,26,13,34,22,31,28
32,30,26,18,15,23,13,12,16,17,20,13,19,16,23,24,25,25,23,22,28,26,23,18,36,22,34,32,30,23,25,26,24,13,36,23,35
