ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,24,19,27,23,13,18,26,13,20,19,22,25,17,17,18,33,11,16,18,15,13,11,20,14,9,9,18,16,10,11,13,11,20,14,9,9
1,13,23,19,22,23,12,20,26,15,20,16,24,26,17,16,19,30,11,17,19,15,13,10,20,15,11,11,18,16,10,14,13,10,20,15,10
2,12,15,23,16,23,23,12,20,25,14,20,17,24,27,17,17,19,29,11,17,19,17,12,11,21,15,12,10,17,16,18,15,12,12,21,15
3,11,12,14,21,16,24,22,12,19,25,13,18,17,23,28,16,17,19,28,10,16,20,17,12,10,20,15,12,11,18,15,18,15,12,11,21
4,23,11,11,13,21,15,25,22,12,19,23,11,18,16,23,27,16,17,19,26,10,16,19,17,12,11,20,15,11,12,9,16,18,15,12,12
5,15,21,11,12,14,21,15,24,21,11,18,24,11,18,16,24,26,16,17,19,25,10,17,20,16,12,11,20,15,11,26,9,17,19,15,12
6,17,14,22,11,11,13,22,15,24,20,11,19,24,11,19,18,25,26,16,17,19,25,10,17,19,16,14,11,20,14,18,26,9,17,18,15
7,13,19,14,20,11,11,13,21,16,24,20,10,19,24,11,20,19,25,26,17,17,20,25,10,18,21,15,14,12,21,16,19,26,9,17,21
8,27,13,20,13,19,11,11,14,21,16,24,20,11,19,24,11,21,20,25,26,16,17,20,25,10,18,22,15,14,11,15,16,19,27,9,17
9,17,27,13,19,13,21,12,11,13,22,15,23,21,11,19,23,12,21,21,26,26,16,17,20,27,9,17,22,16,14,28,15,16,19,27,8
10,15,17,26,12,21,12,18,11,11,13,24,15,24,21,11,21,24,14,21,20,25,26,16,17,20,27,10,17,23,16,22,27,15,16,19,28
11,19,14,18,28,13,19,12,20,11,12,12,24,15,24,21,11,19,26,15,22,20,25,26,16,16,21,27,9,17,23,18,22,27,15,15,21
12,30,19,15,17,27,13,19,12,20,11,12,12,25,18,24,21,14,20,27,17,22,20,25,26,16,16,22,28,9,17,21,19,22,27,15,15
