ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,22,27,26,18,20,23,19,22,13,28,25,23,21,20,24,23,18,17,25,35,26,20,30,27,28,36,40,36,39,37,29,19,31,27,30,36
1,24,22,29,27,21,22,22,18,23,14,27,26,21,20,19,25,21,20,17,24,35,28,22,29,29,29,43,36,34,40,34,30,20,31,29,31
2,27,24,23,28,25,20,17,22,18,24,13,27,27,20,21,22,22,19,20,20,24,33,26,24,24,32,31,45,35,32,23,34,30,21,28,30
3,21,27,22,22,29,23,21,19,23,18,22,12,25,25,21,19,23,21,20,20,20,25,36,26,28,32,36,32,39,32,23,24,38,29,25,33
4,24,21,27,24,22,29,24,20,18,22,18,21,12,25,29,22,19,23,21,18,20,21,27,38,27,28,31,38,30,38,21,24,25,40,31,26
5,25,25,22,29,24,22,27,25,22,18,23,19,20,11,28,27,20,19,24,21,19,20,22,26,41,28,27,28,34,30,19,21,26,26,44,30
6,27,26,23,19,28,25,25,27,25,21,18,23,18,17,12,30,28,21,18,27,20,21,21,26,25,39,28,27,27,36,20,21,22,27,26,42
7,27,29,27,25,22,29,25,25,26,27,20,18,24,18,18,11,29,32,21,19,26,20,21,22,28,28,40,28,27,29,26,21,22,24,29,29
8,34,26,28,29,27,22,30,25,27,26,26,21,18,24,19,19,14,29,33,20,19,30,19,18,25,31,31,44,30,27,21,29,20,21,26,31
9,36,37,24,30,26,28,22,30,27,26,25,26,21,19,25,20,19,14,28,33,21,19,30,19,18,27,30,31,43,30,21,22,25,21,22,28
10,25,35,35,26,29,29,28,19,30,25,24,24,25,25,18,27,20,21,14,29,33,21,20,26,19,20,28,30,32,39,33,21,22,23,23,24
11,36,26,35,39,29,31,28,26,19,32,25,24,24,25,25,19,26,22,22,15,29,33,22,22,25,22,22,30,30,32,31,33,20,24,25,25
12,35,35,27,35,38,31,32,28,25,22,32,25,25,24,25,24,19,27,22,23,16,29,32,21,26,26,23,21,30,29,14,32,31,21,27,26
13,33,36,34,29,38,40,30,32,29,25,19,31,24,25,22,27,25,20,26,21,24,17,28,33,20,28,26,23,23,29,23,15,31,32,21,29
14,38,33,36,37,29,38,40,29,34,31,25,19,30,26,25,24,27,27,19,27,21,24,18,29,33,20,28,28,22,21,21,24,16,32,32,21
15,52,39,33,37,38,29,38,38,29,34,29,27,20,29,27,26,26,28,28,20,27,22,25,18,30,33,21,28,27,24,29,22,25,17,32,33
16,38,50,39,35,34,38,29,38,40,30,34,27,28,20,29,28,24,27,30,28,22,28,21,25,18,30,32,22,28,27,21,30,21,24,18,32
17,38,36,52,38,36,37,40,29,37,38,28,34,27,27,19,29,27,25,27,29,28,25,28,20,25,19,31,33,21,28,25,24,30,21,25,19
18,37,39,36,51,39,37,38,37,32,38,38,28,34,28,29,19,32,29,26,30,29,26,24,30,19,26,18,34,32,22,28,23,24,32,21,26
19,46,38,39,37,51,39,36,34,38,29,36,34,28,34,28,29,19,33,30,27,30,27,24,23,31,20,30,20,37,35,31,27,23,23,33,21
20,42,47,38,42,36,51,38,36,37,39,29,33,35,28,35,28,29,20,34,31,29,32,28,26,25,31,20,31,21,37,27,31,28,25,26,33
21,43,45,54,38,42,38,50,41,36,38,37,32,31,34,30,33,29,29,22,37,31,31,32,30,26,25,36,20,30,17,30,29,32,28,26,27
22,55,46,48,54,40,40,39,51,39,34,40,38,31,33,35,32,34,30,28,21,40,33,29,27,31,27,30,38,25,30,37,33,29,29,32,28
23,38,53,45,50,55,40,38,38,53,41,33,42,39,30,39,36,31,37,30,29,22,39,35,27,27,31,32,33,39,24,21,38,37,27,30,31
24,30,34,53,44,52,52,43,45,42,61,40,38,45,38,32,43,39,28,37,32,30,21,42,37,25,27,34,30,35,39,29,19,42,37,26,30
25,35,29,35,50,41,52,55,45,43,42,59,43,38,47,43,34,41,40,31,39,32,34,21,41,37,23,31,37,32,37,33,30,20,44,39,25
26,35,33,31,35,49,45,49,52,47,48,45,60,43,39,45,41,36,44,36,34,45,35,34,25,41,38,24,33,42,30,45,37,31,20,44,40
27,32,35,35,31,36,53,47,46,51,45,51,49,61,44,41,44,48,38,49,37,37,46,37,40,27,47,42,25,35,45,34,48,40,33,21,48
28,40,34,35,33,31,36,51,48,50,55,41,50,49,61,44,42,45,46,36,51,40,36,51,40,42,34,51,48,30,37,42,36,53,43,34,34
29,33,41,35,34,36,33,35,51,46,52,54,41,51,48,63,43,42,43,46,40,54,42,41,54,42,47,41,54,45,36,56,43,40,58,45,51
30,44,30,42,33,36,39,30,37,50,48,46,49,45,49,46,64,44,42,43,45,43,57,50,45,61,49,52,42,59,49,44,60,45,42,65,50
31,32,43,32,43,32,36,36,29,38,49,44,42,49,44,51,51,59,43,47,43,50,48,55,56,42,67,55,53,40,64,48,46,57,47,39,68
32,44,34,39,33,45,35,38,38,30,35,50,45,39,49,43,52,53,59,44,52,45,49,51,53,58,53,73,55,55,39,45,49,49,58,49,49
33,39,42,33,39,32,41,33,36,35,34,32,51,43,37,49,42,49,53,59,44,51,48,51,50,57,62,60,81,58,51,51,45,52,54,60,69
34,41,38,44,31,40,31,41,31,36,32,30,34,52,42,39,52,44,50,51,58,48,55,49,54,51,63,67,66,80,59,50,53,47,56,54,62
35,37,39,38,43,33,40,34,44,33,35,33,31,34,53,44,41,57,42,50,53,59,48,58,56,56,55,62,65,66,78,60,51,55,48,55,56
36,25,36,38,38,44,29,44,34,44,32,32,30,30,34,55,44,42,58,44,53,53,61,53,63,62,58,58,65,69,72,52,63,53,61,50,56
37,27,27,36,41,38,44,27,46,33,42,33,33,30,31,36,52,39,43,61,43,56,56,63,49,71,67,59,60,70,68,54,53,66,54,66,68
38,39,29,27,38,41,39,43,28,46,33,42,32,35,28,33,35,48,39,48,61,44,56,61,64,50,64,66,61,54,70,44,56,55,71,53,61
39,32,38,29,25,38,47,39,43,26,51,31,44,31,35,28,33,36,46,41,48,60,47,53,64,67,49,69,63,61,59,54,45,54,57,73,51
40,39,35,38,30,25,39,48,36,45,27,51,31,44,31,36,31,34,38,47,40,50,62,48,52,66,67,54,71,62,58,51,54,46,55,59,70
41,43,41,35,39,32,24,40,48,38,46,26,50,31,44,31,38,33,32,40,48,40,48,60,50,57,74,70,57,68,64,43,51,56,48,59,78
42,37,43,38,36,42,32,25,40,48,37,49,27,49,31,45,32,39,35,33,40,45,43,49,61,49,56,79,73,59,69,43,46,51,59,51,55
43,46,34,45,36,37,41,33,26,43,45,36,50,27,48,30,45,32,41,36,34,42,48,48,50,61,52,57,78,74,57,43,46,50,53,61,53
44,37,43,33,47,39,36,42,32,26,42,43,36,52,28,44,30,43,32,38,38,36,40,50,52,53,59,55,60,79,74,35,43,49,53,54,57
45,39,44,45,32,46,38,34,41,33,27,43,42,34,52,29,43,31,44,30,39,38,36,39,50,54,53,63,55,60,77,39,36,43,49,55,53
46,38,41,39,45,33,46,38,35,39,33,25,42,42,34,54,29,44,31,45,30,37,42,38,43,50,52,51,65,57,63,39,42,35,47,49,51
47,57,38,40,42,44,30,46,38,33,42,30,24,42,40,36,54,29,47,31,44,30,39,43,38,41,50,52,52,64,56,29,42,45,37,47,48
48,52,57,36,41,38,45,33,47,39,34,40,29,24,42,41,37,53,29,47,30,43,32,39,46,36,41,51,49,51,59,42,30,42,46,36,46
49,41,49,59,34,40,37,45,31,46,37,33,40,29,24,41,43,37,53,29,44,30,44,34,37,47,38,44,52,46,52,31,42,32,40,49,38
50,44,43,51,61,37,41,37,44,34,47,36,33,40,27,25,43,43,36,51,30,44,31,44,36,39,46,38,46,52,46,44,32,42,35,40,45
51,33,45,40,49,59,37,40,36,45,33,51,36,33,38,29,26,43,45,37,50,31,42,33,45,39,42,49,40,47,51,30,44,34,44,39,42
52,37,35,44,40,48,54,36,41,37,42,32,54,33,36,38,31,27,45,45,37,54,33,41,35,45,40,45,49,42,49,51,33,43,35,46,40
53,41,37,35,45,39,49,57,38,41,41,44,30,54,32,36,36,31,29,45,44,37,54,32,41,36,45,39,44,49,42,38,52,32,43,36,45
54,41,39,38,34,48,40,50,58,37,38,36,43,30,55,31,35,35,33,30,43,44,37,55,34,41,36,47,40,43,46,43,38,56,34,42,36
55,39,41,37,38,36,42,38,47,55,37,38,35,43,29,49,32,34,37,33,30,43,46,36,57,34,41,38,48,44,41,40,46,38,56,34,42
56,29,41,39,39,36,36,42,37,45,57,35,37,36,43,30,49,31,33,36,34,31,44,46,37,57,33,44,39,50,45,31,42,47,40,58,33
57,38,29,39,39,35,36,36,46,36,42,53,36,37,37,42,32,45,32,32,34,34,31,42,48,40,57,32,43,38,50,36,31,40,48,42,56
58,35,37,30,40,40,37,35,34,40,38,42,49,35,37,37,42,32,47,31,36,34,34,31,42,46,37,58,33,43,36,35,36,32,40,47,39
59,34,34,35,30,39,37,35,36,35,42,36,41,48,31,36,37,42,33,48,33,36,35,33,31,41,47,38,55,31,42,36,35,35,31,40,47
60,31,33,35,35,29,40,35,33,36,35,36,35,39,48,31,35,36,42,33,50,33,38,36,34,28,41,49,39,54,32,35,38,36,36,29,40
61,30,33,33,31,36,30,39,36,34,35,31,36,35,38,49,32,35,37,40,33,50,31,38,37,37,29,41,49,38,53,51,34,38,38,39,30
62,16,27,31,30,32,33,26,38,31,31,35,30,35,31,36,49,33,35,35,39,33,52,31,36,38,37,29,40,49,39,33,53,34,36,39,38
63,11,17,27,30,30,31,33,27,37,31,31,35,28,35,30,36,48,33,32,32,40,33,52,31,35,39,35,28,42,49,41,33,54,34,35,41
64,9,14,18,27,31,33,33,30,26,35,32,30,34,28,34,32,35,47,34,32,31,40,33,48,31,37,38,35,29,43,31,41,33,51,33,37
65,22,11,12,16,26,32,33,31,29,23,33,32,29,33,28,32,32,34,47,32,31,32,40,33,49,33,34,38,35,26,31,32,41,33,52,34
66,21,22,10,12,14,26,30,32,27,25,22,33,31,28,32,29,31,32,35,41,32,30,33,39,30,50,33,34,39,35,30,30,33,38,30,50
67,25,17,21,9,12,14,24,28,31,26,24,20,32,31,27,30,28,30,32,33,40,29,27,33,38,29,48,33,33,41,42,28,26,33,38,29
68,30,21,19,19,11,10,15,23,29,31,25,24,19,30,30,27,29,26,29,32,33,37,26,27,34,41,30,47,33,32,34,39,26,27,34,40
69,39,32,23,17,23,8,8,15,21,26,28,21,23,19,31,30,26,28,24,29,33,35,35,25,30,33,40,26,44,32,31,35,38,26,29,33
70,34,37,29,24,17,23,10,8,16,20,24,27,17,23,17,28,30,26,29,23,28,31,36,34,28,31,31,41,26,46,29,30,36,37,27,30
71,33,30,34,31,17,15,21,10,8,16,19,24,28,15,22,16,27,29,24,28,22,27,27,37,30,30,30,30,41,23,23,28,27,36,34,29
72,29,36,27,28,31,15,17,22,9,8,15,20,23,28,15,21,16,24,27,24,25,20,27,26,35,30,28,28,29,38,24,21,27,26,34,33
73,27,26,31,28,27,29,15,14,20,10,8,14,19,24,26,13,21,15,20,26,25,24,19,27,24,33,29,27,27,29,24,23,20,27,24,33
74,24,29,25,30,28,27,27,15,15,15,8,8,13,19,24,23,14,18,15,19,24,25,23,17,24,23,34,26,26,27,25,24,22,18,25,24
75,33,21,23,24,29,22,24,27,14,15,14,9,7,13,19,23,22,14,15,15,18,22,25,22,18,20,21,32,23,23,18,23,24,20,18,22
76,23,32,18,23,20,30,22,21,24,13,11,12,9,6,13,18,20,22,13,15,15,14,21,25,19,19,16,19,32,18,15,14,22,24,18,18
77,17,19,28,16,21,19,27,22,21,26,12,10,11,7,6,13,18,17,20,13,10,14,14,21,24,19,17,16,19,30,12,14,13,21,23,18
78,20,16,19,30,14,17,19,21,20,20,21,10,11,9,6,6,11,16,16,18,14,9,14,14,22,23,18,18,16,19,14,11,14,13,21,22
