ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,8,8,5,5,4,9,6,5,3,None,5,4,8,6,1,5,2,3,7,3,2,6,6,3,3,2,2,5,None,2,2,6,6,4,3,3
1,12,7,9,7,4,4,7,6,5,3,1,5,4,9,7,1,5,2,3,6,4,2,6,6,5,5,3,2,5,None,3,2,6,6,5,4
2,6,10,7,10,6,6,5,8,6,6,3,1,5,4,9,6,1,5,2,3,5,4,2,6,6,5,5,3,2,5,5,3,2,6,6,5
3,10,6,10,7,11,6,5,4,8,6,6,4,1,5,4,8,6,1,5,2,3,5,4,2,6,5,5,5,3,2,3,5,3,2,6,5
4,4,10,6,10,7,10,6,5,4,8,6,6,4,1,6,4,7,6,1,5,2,3,5,3,1,6,5,5,4,3,2,3,5,3,2,6
5,19,4,10,6,9,9,11,6,4,4,9,6,6,4,1,5,4,6,6,1,5,2,3,6,2,1,6,5,5,3,6,2,3,6,2,2
6,14,19,4,9,6,8,8,11,5,4,5,8,6,6,3,1,5,5,6,6,1,5,2,3,6,2,2,6,5,5,1,6,2,3,6,2
7,9,13,17,5,7,5,8,8,12,5,4,5,8,6,5,3,1,5,5,5,6,2,5,2,3,5,3,2,6,5,6,2,6,2,3,5
8,7,8,13,18,5,7,6,7,9,11,5,3,5,8,6,5,3,1,5,5,4,6,2,5,2,3,5,3,2,6,4,6,2,6,2,3
9,9,8,8,16,17,7,7,6,8,9,12,5,3,5,8,6,5,3,1,5,6,4,6,2,5,2,3,5,4,2,6,4,6,2,6,2
10,8,9,8,8,13,19,6,7,5,9,7,11,6,3,5,8,6,6,3,1,5,6,4,5,2,4,2,3,5,4,5,6,4,6,2,5
11,5,8,8,8,8,12,15,7,7,5,9,7,11,6,3,4,9,6,5,3,1,5,6,4,5,2,5,2,2,5,1,5,6,4,6,2
12,15,5,8,9,8,7,12,15,6,7,5,9,6,11,6,4,7,9,6,5,3,1,5,6,4,5,2,5,2,2,2,1,5,6,4,6
13,9,15,6,9,8,8,7,12,16,6,8,5,9,6,11,6,4,7,9,6,5,3,1,5,6,4,6,2,5,2,5,2,1,5,6,4
14,11,10,15,5,8,9,8,8,13,15,7,6,5,9,6,11,6,4,6,9,6,5,3,1,5,6,4,5,2,5,6,5,2,1,5,6
15,17,10,10,15,5,8,8,8,9,12,15,8,6,5,9,6,11,6,4,6,9,6,5,2,1,5,6,4,5,2,9,6,5,2,1,5
16,10,16,10,10,15,6,8,8,8,9,12,15,8,6,6,9,6,11,6,3,6,9,6,5,2,1,5,6,4,5,5,9,6,5,2,1
17,5,9,16,10,11,15,6,8,8,8,9,12,15,8,6,6,9,7,11,6,3,6,9,6,5,2,2,5,6,4,3,5,9,6,5,2
18,9,4,9,16,10,10,15,6,8,8,9,9,12,15,8,6,6,9,7,11,6,3,6,9,6,5,2,1,5,6,4,3,5,9,6,5
19,10,9,4,9,16,10,10,15,7,8,8,9,9,12,15,8,7,6,9,7,11,6,3,6,9,6,4,2,1,5,11,4,3,5,9,6
20,10,10,9,4,9,16,11,10,16,7,9,8,10,10,12,15,8,7,6,8,7,11,6,4,6,10,6,7,2,1,7,11,4,3,5,10
21,7,11,11,9,4,11,16,11,10,15,6,9,8,10,9,12,15,8,7,6,7,7,11,5,4,5,11,8,7,2,7,7,11,4,3,5
22,9,7,10,10,9,4,10,16,12,8,16,6,9,8,10,9,12,15,7,7,6,7,7,11,4,3,5,10,8,7,6,7,7,11,4,3
23,7,8,8,11,7,10,4,9,12,11,9,16,6,9,6,10,9,12,15,7,7,6,7,7,11,4,3,5,10,6,7,6,8,7,11,4
