ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,14,10,12,16,7,12,6,15,9,5,18,9,8,11,8,8,11,7,11,7,16,7,7,9,12,12,17,8,10,7,17,7,7,9,12
1,7,5,14,11,11,15,8,14,7,15,10,5,19,11,9,11,9,8,11,7,11,7,17,9,7,11,13,11,16,9,11,7,18,8,7,11
2,12,5,6,14,10,11,14,7,14,6,16,13,6,18,9,9,11,9,7,12,7,11,8,17,9,7,12,13,10,16,7,11,8,18,8,7
3,4,12,6,7,14,10,11,14,7,14,7,16,13,6,15,10,8,10,9,7,12,7,12,8,17,12,7,13,12,9,11,7,12,8,18,10
4,11,7,11,7,6,14,10,11,14,8,14,7,16,13,6,15,10,8,11,9,7,10,6,12,9,16,12,7,14,12,7,10,6,12,9,17
5,8,10,9,11,6,5,14,10,12,15,8,14,5,18,13,6,17,11,8,12,8,8,11,7,12,11,18,11,7,12,8,8,11,8,12,11
6,19,8,10,8,12,6,3,15,13,11,16,8,14,5,18,12,6,16,11,8,11,6,8,13,7,12,11,18,9,7,13,7,8,13,8,12
7,12,18,8,10,8,11,4,5,14,13,12,16,8,14,5,19,12,7,16,11,8,11,6,9,12,8,12,10,18,8,8,13,7,9,12,8
8,16,13,18,7,10,8,16,5,5,14,12,12,14,8,14,5,19,12,7,17,12,8,10,7,9,12,7,12,10,18,12,8,12,8,9,11
9,8,18,12,19,7,10,8,13,6,5,13,12,12,14,8,14,7,19,12,7,17,12,8,11,7,8,12,8,13,10,17,12,8,13,8,8
10,17,7,18,12,20,7,10,8,12,5,5,13,12,12,13,8,13,7,18,12,7,17,12,9,11,9,8,10,8,13,7,18,12,8,13,10
11,15,16,8,17,13,19,7,10,8,12,5,5,13,12,12,13,8,13,7,18,12,7,17,11,9,13,9,8,9,8,12,7,18,12,8,14
12,12,15,17,9,17,12,20,9,9,8,13,5,5,13,12,12,12,8,13,7,18,12,7,18,14,9,14,12,8,9,18,12,7,17,14,8
13,19,16,13,16,8,17,13,20,7,9,8,13,5,6,13,12,11,14,8,11,7,20,12,7,21,14,9,15,12,9,8,21,12,7,20,14
14,7,21,14,13,16,9,18,12,18,8,10,8,13,5,6,13,13,11,14,8,11,6,20,14,7,20,13,8,13,13,11,7,21,13,7,19
15,11,9,21,16,13,16,9,18,12,21,7,10,8,13,5,6,14,13,11,14,8,12,6,20,15,7,20,15,8,13,8,12,7,19,13,7
16,13,11,10,22,16,13,16,8,18,12,21,7,10,8,15,5,6,14,13,11,14,8,12,7,20,13,7,19,15,8,14,8,12,8,20,11
17,15,17,11,11,20,18,13,16,8,18,13,21,7,10,8,15,5,6,14,12,11,15,9,12,7,19,14,7,19,16,11,15,9,12,8,19
18,12,15,16,13,12,22,17,13,17,10,18,13,21,6,13,7,15,5,6,14,12,11,15,9,14,8,18,15,7,19,12,11,15,9,14,8
19,14,11,15,15,12,14,20,17,13,17,9,19,13,21,5,13,7,14,6,6,14,12,12,16,9,13,9,18,14,7,14,12,12,16,9,13
20,17,13,11,14,15,13,13,20,17,14,18,9,19,13,20,5,13,7,14,6,6,13,12,13,16,10,12,9,18,14,6,13,12,12,16,10
21,15,15,14,11,15,15,13,15,19,17,15,17,9,19,12,19,5,13,8,12,6,6,15,12,13,17,10,13,9,19,6,6,15,12,12,17
22,16,15,17,14,10,16,17,12,15,20,19,14,17,9,18,14,18,6,14,9,12,6,6,15,12,14,17,10,12,9,12,6,6,15,12,13
23,19,15,15,15,15,13,17,18,12,18,20,18,14,17,11,18,15,19,7,13,9,12,7,5,15,12,14,16,10,13,9,12,7,5,15,12
24,14,18,17,16,16,15,12,18,19,14,16,20,17,14,17,12,17,16,19,7,13,8,12,7,5,15,15,14,16,9,13,8,12,7,5,15
25,13,14,19,17,17,17,13,15,19,18,13,16,19,17,14,16,11,18,14,19,8,15,7,14,8,4,14,15,14,17,7,15,7,14,8,5
26,12,10,14,18,16,17,18,13,15,20,18,15,16,17,15,14,18,11,18,12,20,8,16,6,14,9,5,13,14,11,21,7,16,6,14,9
27,12,14,8,15,18,15,17,19,14,16,21,17,14,15,18,15,17,18,11,17,12,18,9,15,6,14,12,3,13,14,14,18,8,16,6,14
28,4,12,14,8,14,18,14,16,19,15,16,21,16,14,14,16,18,16,19,8,18,11,17,7,14,8,14,10,4,13,17,11,17,6,15,8
29,14,7,12,15,11,16,19,13,16,20,17,16,20,13,14,13,15,20,15,19,9,20,10,19,7,15,7,13,8,5,9,19,11,19,6,16
30,10,13,5,13,14,8,16,21,15,16,18,17,16,18,13,14,13,15,21,14,17,9,19,11,18,7,18,8,13,9,19,9,17,10,18,6
31,12,11,14,5,11,14,9,16,20,17,16,18,17,15,16,13,15,14,15,20,14,15,6,18,13,21,9,18,8,12,14,16,7,18,12,20
32,10,11,10,13,5,11,13,9,15,19,15,19,17,17,19,16,13,15,13,15,21,12,16,7,17,16,25,8,17,7,19,13,17,7,17,14
33,9,9,11,11,14,6,9,14,10,16,19,15,18,16,16,23,16,13,14,13,13,23,11,16,8,20,16,24,6,15,13,20,12,17,8,20
34,13,11,10,11,12,14,7,10,13,11,15,20,15,16,14,15,22,16,13,13,11,12,23,12,16,11,20,14,23,6,11,13,22,12,17,11
35,7,13,9,7,12,13,13,7,10,14,14,16,18,16,15,15,16,22,16,11,13,12,13,25,12,18,11,17,13,22,13,12,14,24,12,18
