ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,43,35,34,25,34,30,25,29,25,24,19,28,30,32,26,33,27,20,28,31,43,32,47,39,43,50,39,46,59,48,44,30,44,36,44,51
1,37,43,38,33,26,37,29,29,31,24,23,19,28,29,32,27,32,26,24,33,34,40,39,52,39,47,54,37,51,65,35,41,31,45,38,47
2,40,38,42,37,32,28,35,27,30,29,25,27,18,28,30,34,28,32,23,25,36,32,43,39,51,38,50,58,38,59,33,33,44,32,50,37
3,50,40,39,41,39,30,26,35,28,30,29,25,29,20,28,30,34,30,31,22,29,39,34,43,41,52,37,49,53,43,27,37,37,44,39,51
4,35,49,42,36,44,40,29,27,36,29,28,29,25,31,20,28,27,35,28,30,21,27,43,34,44,41,50,38,53,54,23,25,40,36,45,39
5,43,35,50,42,33,43,41,29,26,38,28,28,28,26,31,19,28,30,36,29,28,24,31,40,36,47,43,49,37,57,28,26,26,37,38,48
6,42,43,35,51,44,33,44,46,32,26,39,28,28,28,27,32,20,30,32,37,31,30,24,32,43,38,52,48,52,40,29,30,25,27,40,39
7,61,40,41,36,52,43,33,46,45,32,29,40,28,28,28,27,31,21,29,33,39,31,32,23,35,41,38,52,49,53,37,28,32,26,38,39
8,49,60,43,44,38,53,41,33,43,46,31,29,39,31,30,29,28,32,21,29,32,42,34,31,24,35,40,39,50,49,34,40,33,32,26,38
9,59,49,63,43,46,39,52,43,34,43,46,31,29,40,31,29,31,29,34,24,32,31,44,33,31,28,37,40,40,49,35,33,43,31,32,30
10,50,58,50,63,45,47,37,53,42,33,41,45,31,31,41,30,29,33,30,33,25,31,33,45,37,34,25,41,39,42,24,34,36,44,35,35
11,64,50,60,50,65,47,44,38,56,40,34,40,45,34,32,39,28,28,34,29,35,27,34,33,50,38,39,24,40,42,35,25,37,35,48,37
12,71,65,50,62,52,65,46,44,37,54,43,35,40,45,34,33,38,27,29,34,28,33,28,35,34,54,40,34,26,38,28,34,26,38,34,52
13,55,71,66,51,63,53,67,46,44,38,56,44,35,40,45,34,34,36,25,28,36,31,35,28,36,33,50,41,34,25,35,31,38,26,38,34
14,66,55,73,66,50,63,54,66,45,43,39,56,44,36,41,46,33,35,37,24,26,38,31,35,29,39,41,50,43,38,29,37,33,38,27,39
15,73,69,56,74,66,50,62,55,67,46,39,38,55,44,36,42,46,33,34,35,25,27,34,31,35,28,39,38,50,39,27,30,35,33,38,26
16,54,76,70,56,74,68,52,63,53,68,46,40,39,55,42,35,43,47,33,32,33,29,28,33,31,36,26,40,36,50,35,29,32,34,33,39
17,79,53,75,72,56,76,68,53,63,53,69,48,40,38,55,41,35,42,49,31,32,35,29,27,33,31,36,23,42,38,32,37,30,31,35,33
18,55,80,54,78,72,59,75,69,51,63,56,68,48,40,38,52,43,34,41,49,31,35,36,30,28,37,33,35,24,43,30,36,40,30,33,39
19,65,57,79,55,78,72,59,75,71,56,67,55,69,51,39,42,52,44,31,39,49,31,34,36,33,27,38,38,41,29,46,31,36,41,31,32
20,78,66,61,80,59,78,72,59,80,75,59,68,57,69,51,39,42,54,44,31,39,51,34,38,38,33,30,41,38,40,35,49,36,38,42,32
21,57,74,65,60,82,57,77,73,60,82,77,60,69,56,67,52,39,43,56,42,31,37,53,34,37,39,41,32,42,44,33,35,53,35,38,43
22,65,61,72,68,59,78,56,76,76,62,85,77,61,70,59,68,51,40,41,53,42,34,41,52,37,34,39,40,37,42,40,36,37,52,39,36
23,53,61,59,69,69,63,78,56,77,78,64,85,77,62,70,58,68,51,43,44,51,45,37,41,55,35,36,39,41,39,50,41,38,39,58,39
