ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,29,23,27,25,31,19,17,18,19,25,16,21,19,27,29,18,21,26,16,18,20,18,20,18,16,13,20,22,22,17,20,18,20,17,16,13
1,30,29,23,28,27,34,18,19,16,18,24,17,21,19,26,29,21,20,25,16,18,21,16,20,18,17,14,20,20,22,17,21,17,21,17,17
2,37,30,28,23,27,28,35,18,20,17,18,26,14,21,19,25,27,22,21,25,16,19,21,16,22,19,17,13,21,21,16,18,21,17,23,18
3,41,33,30,29,24,27,27,37,18,18,16,19,25,13,21,19,23,28,21,22,25,15,19,23,17,19,20,16,13,20,25,15,18,23,18,20
4,31,40,34,31,31,24,27,28,36,19,18,16,17,26,14,20,19,23,29,21,23,25,16,19,25,18,18,20,16,13,23,25,16,18,24,19
5,38,30,43,35,33,29,25,29,27,38,18,18,16,19,25,15,21,18,23,29,20,23,24,16,19,24,19,19,21,17,21,23,24,16,18,24
6,44,37,31,43,34,33,29,24,28,27,40,18,18,16,20,26,15,21,19,24,29,22,23,24,19,19,23,19,19,21,30,22,23,24,19,18
7,39,43,38,31,43,33,32,27,25,28,28,40,18,18,16,20,27,16,22,19,25,29,21,23,25,20,17,23,19,19,27,30,21,23,26,20
8,36,38,43,39,31,42,32,35,27,25,28,28,40,18,21,16,20,27,16,22,20,25,30,19,23,25,20,18,23,18,21,27,31,21,23,26
9,44,36,41,42,37,32,42,31,35,27,24,28,28,40,18,22,16,21,28,16,22,22,25,29,19,23,24,19,18,24,23,22,27,30,21,23
10,43,46,34,41,44,37,31,41,32,35,28,24,27,28,39,19,22,16,21,29,16,21,22,27,29,20,23,23,19,18,17,22,22,28,30,21
11,35,41,46,32,40,44,38,32,42,32,34,28,24,28,29,39,18,22,18,21,30,16,22,22,27,29,20,23,23,19,29,17,23,22,28,30
12,31,36,42,45,31,40,43,37,32,42,31,34,28,23,28,30,41,18,22,17,20,29,16,21,22,27,28,21,23,23,19,29,17,23,22,28
13,49,33,35,43,46,33,41,41,36,32,42,31,34,28,23,28,30,41,17,23,17,21,29,18,21,22,25,29,21,23,20,20,29,18,23,22
14,41,49,30,33,40,44,31,41,43,36,33,42,30,35,26,23,28,30,41,17,24,16,21,29,18,21,22,27,28,21,24,19,19,29,18,23
15,39,41,50,32,32,39,46,32,40,41,34,30,42,30,35,26,23,28,30,42,17,24,16,20,29,18,21,23,27,28,18,25,19,19,29,18
16,31,38,42,49,31,33,38,46,31,41,44,35,30,43,30,34,24,23,28,30,42,17,24,16,22,29,18,22,23,28,39,18,24,19,21,29
17,45,32,39,41,52,30,31,40,46,32,42,45,35,31,41,30,35,24,24,28,28,41,17,24,16,22,29,18,22,22,28,40,18,24,19,21
18,40,45,32,39,40,51,30,31,39,46,31,42,45,36,31,41,30,35,24,28,27,28,41,17,25,16,23,32,20,23,29,28,42,18,25,19
19,34,40,46,32,38,41,51,30,33,39,50,31,41,45,35,32,41,30,34,24,28,26,27,41,17,25,16,23,33,20,27,28,27,40,18,25
20,36,34,39,45,35,37,40,51,30,30,42,50,30,41,45,35,32,41,30,34,24,28,27,26,40,16,25,19,23,31,25,28,29,26,40,18
21,42,35,34,35,44,36,36,39,50,30,30,42,49,30,41,47,38,33,41,31,36,25,29,26,24,40,16,23,20,23,36,26,30,28,26,40
22,38,42,35,34,34,42,36,36,39,50,31,32,40,44,31,43,47,39,33,41,31,37,25,26,27,26,40,16,24,20,33,37,26,27,29,28
23,44,38,40,37,33,35,41,36,35,37,54,32,32,40,43,31,43,48,38,32,41,34,38,25,25,28,27,36,17,24,39,34,39,26,28,30
24,38,46,38,41,34,34,35,41,35,36,35,55,33,35,39,38,31,44,46,38,32,41,37,36,25,28,28,25,37,17,32,39,35,38,26,31
25,36,37,43,37,39,34,34,33,40,34,35,36,53,34,35,36,37,31,44,47,37,33,41,35,37,25,27,29,26,36,35,32,40,33,38,25
26,34,36,36,43,38,39,35,33,31,37,34,37,34,53,34,37,37,36,30,40,45,35,33,39,34,37,25,26,31,27,46,34,33,39,33,38
27,38,34,36,36,43,36,41,36,34,33,35,33,38,36,53,35,36,38,33,28,39,42,33,32,39,34,37,23,26,30,39,43,34,32,39,33
