ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,12,4,8,8,5,8,8,6,9,5,17,12,9,7,6,6,13,6,10,18,16,17,16,13,21,26,8,14,9,17,16,16,17,13,20
1,5,12,14,5,9,7,5,8,8,6,10,6,17,10,8,7,6,7,12,6,8,17,15,15,17,14,21,26,8,14,7,17,15,14,18,15
2,13,5,12,16,5,7,9,4,10,9,6,8,6,17,10,8,9,5,8,12,8,6,18,18,12,17,15,23,25,9,7,6,17,18,13,17
3,7,13,4,14,18,5,6,9,4,12,9,7,9,6,17,10,10,10,4,7,12,8,6,17,17,15,19,16,21,23,12,6,5,17,17,15
4,15,6,13,4,14,18,6,8,8,4,8,10,9,10,4,16,11,11,10,5,9,12,8,5,16,18,16,19,18,20,8,12,8,5,16,18
5,10,16,5,13,4,14,19,6,7,8,4,8,12,9,8,4,15,11,11,10,5,8,11,10,7,15,18,16,19,18,6,7,11,11,7,15
6,15,10,14,5,13,4,13,20,6,6,7,8,8,12,9,9,5,17,10,12,10,4,7,11,8,7,18,17,17,16,9,5,9,12,9,7
7,10,15,10,14,5,13,4,13,22,6,6,7,8,9,12,9,7,9,17,10,13,11,4,8,13,8,7,18,17,15,13,10,5,10,13,9
8,9,9,15,11,14,5,13,4,15,22,6,6,7,8,8,12,9,8,9,17,10,13,11,5,8,13,8,6,18,16,10,13,10,6,10,13
9,11,11,9,15,11,13,5,12,5,15,22,7,8,7,8,8,11,11,9,10,16,10,13,11,5,8,13,8,6,18,16,11,13,11,6,9
10,14,11,11,8,16,9,13,5,13,6,17,22,8,10,7,8,11,10,12,9,11,16,10,14,12,5,9,13,10,7,11,16,11,13,12,5
11,9,15,12,10,9,16,9,14,5,13,5,18,21,9,10,7,9,12,12,12,10,13,15,11,15,12,6,11,14,9,11,13,15,13,16,12
12,18,10,15,12,9,8,17,9,14,6,13,5,19,21,9,10,9,8,13,12,12,11,13,16,12,14,14,7,12,14,12,12,13,16,14,15
13,14,18,10,15,12,10,7,18,9,14,6,13,5,18,21,9,11,10,9,13,12,13,11,11,18,11,16,14,7,11,12,13,12,12,18,13
14,13,14,18,11,15,12,10,8,20,9,14,9,12,5,19,21,11,12,11,9,14,14,13,14,15,18,12,16,15,7,14,15,13,14,15,17
15,11,14,14,18,13,16,12,11,11,18,9,14,11,13,5,19,20,12,12,10,8,17,13,14,14,15,17,11,16,14,9,17,14,14,14,15
16,12,11,15,14,18,13,17,13,12,12,19,10,14,10,13,6,19,22,12,13,11,10,17,14,14,13,15,17,13,17,10,10,17,16,13,14
17,15,13,10,15,14,17,13,17,12,11,13,20,10,15,11,12,6,19,22,13,14,11,9,18,12,17,14,15,18,14,14,10,9,17,15,17
18,12,15,12,10,15,14,17,14,16,15,11,14,19,10,15,11,14,7,20,21,13,14,11,10,17,12,15,13,15,16,13,14,10,11,16,16
19,9,12,15,12,10,17,14,17,14,16,18,11,13,20,10,15,11,14,8,20,22,14,14,12,10,17,11,16,15,13,20,13,14,10,11,17
20,13,9,13,14,15,11,17,16,16,15,20,19,10,12,19,10,15,12,16,10,21,20,13,13,13,9,17,12,18,15,21,19,13,13,11,10
21,12,13,9,14,14,17,11,18,19,16,16,20,20,10,12,20,11,16,13,16,10,22,21,12,13,14,9,16,14,20,9,20,20,13,13,12
22,10,13,15,8,14,15,17,10,16,18,16,17,21,19,10,13,21,11,16,13,17,8,20,19,14,14,13,9,18,18,17,8,18,19,15,14
23,5,9,11,16,8,14,14,17,10,16,20,16,18,23,17,11,12,22,12,18,13,16,7,21,19,13,15,15,9,17,12,15,7,19,19,14
24,9,4,9,10,15,9,14,11,18,10,18,21,16,18,23,18,11,14,22,15,19,14,16,8,22,17,14,16,13,11,19,13,15,8,20,18
25,17,9,4,9,10,11,8,14,10,19,12,18,21,16,18,25,18,10,14,20,15,17,13,15,9,21,16,15,17,11,16,17,12,16,9,19
