ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,22,21,27,24,26,23,25,17,20,23,35,26,28,20,39,33,26,39,24,51,35,42,42,48,41,44,44,48,51,60,35,42,44,47,44,44
1,28,18,22,27,22,29,17,24,21,21,25,34,25,30,21,42,32,25,38,26,52,37,42,43,55,40,45,52,57,45,51,39,44,43,55,41
2,32,34,18,21,26,22,26,17,25,22,23,31,38,26,28,18,45,31,26,36,24,54,36,44,46,54,47,47,51,51,25,54,42,44,47,54
3,45,31,27,18,23,25,23,29,18,25,20,25,29,37,26,29,21,50,33,26,33,23,58,33,49,49,55,54,52,56,34,24,59,38,48,50
4,43,41,31,27,17,22,24,22,26,20,28,22,26,28,34,26,31,22,51,34,27,29,24,57,37,51,53,55,52,44,28,31,24,58,43,51
5,40,40,42,31,26,20,20,26,24,27,22,31,21,28,27,35,29,32,22,50,32,31,31,25,58,39,60,55,54,56,31,32,32,27,58,42
6,50,41,39,41,33,27,19,21,29,25,28,25,29,20,28,27,37,30,29,23,47,37,33,34,23,56,37,61,57,55,46,32,34,33,25,57
7,46,49,39,39,41,34,27,20,25,29,25,28,23,30,19,30,32,36,32,31,21,48,38,33,38,24,55,38,66,54,22,47,37,32,36,27
8,37,48,48,37,39,41,33,26,18,24,28,24,27,24,30,19,31,29,39,32,31,22,48,39,33,36,23,58,39,61,31,23,48,38,32,34
9,44,37,47,52,39,37,40,33,30,17,26,30,25,28,24,30,20,32,30,41,33,32,24,48,38,35,35,24,63,43,35,32,25,49,38,33
10,35,41,39,45,56,40,35,40,34,31,16,27,30,25,28,23,29,21,32,33,41,35,34,27,49,38,37,37,23,65,40,37,34,26,49,38
11,59,34,37,40,45,52,39,35,37,36,32,16,29,28,25,28,23,30,21,32,30,42,37,36,23,50,41,36,40,29,29,40,38,36,24,51
12,50,60,37,38,39,44,55,38,33,35,36,31,15,30,27,25,30,23,33,20,32,30,45,35,36,23,50,41,39,41,31,29,44,36,37,24
13,52,50,60,39,37,40,44,55,40,35,36,37,31,15,30,25,25,29,24,30,20,31,32,48,40,35,23,50,43,37,20,31,32,46,40,36
14,48,49,50,60,41,37,40,41,54,40,35,36,38,34,16,30,25,27,29,26,28,20,30,32,46,41,36,25,52,40,28,21,32,31,44,39
15,50,46,48,53,58,42,37,38,42,54,42,37,34,37,34,18,31,26,25,30,25,29,21,31,30,45,43,40,25,50,26,29,22,33,30,43
16,46,49,45,46,50,57,43,37,41,40,58,43,37,35,37,33,17,31,27,25,33,25,30,23,32,34,45,46,39,24,34,27,31,24,33,34
17,52,45,51,44,49,46,58,42,39,41,40,58,44,36,34,38,35,19,27,32,25,33,25,33,25,34,31,51,44,39,26,35,29,34,26,34
18,50,52,42,51,43,50,50,55,41,40,39,40,56,43,35,35,37,37,23,29,31,27,34,27,38,24,36,38,51,41,33,28,35,28,38,25
19,50,53,51,42,54,47,50,50,57,43,41,40,40,55,43,36,36,34,35,26,30,34,30,36,27,38,21,39,36,50,29,36,32,34,28,37
20,43,50,52,51,40,54,48,49,49,59,45,43,42,44,55,44,37,36,38,37,27,29,37,31,35,24,40,26,39,38,28,29,38,28,33,24
21,51,42,52,54,50,41,56,50,49,54,62,47,42,43,47,57,42,41,38,38,34,26,29,36,34,35,26,42,31,41,35,28,31,38,30,34
22,50,49,46,49,57,50,41,60,49,48,50,62,49,40,42,52,58,43,43,42,37,40,26,31,38,34,39,28,44,31,38,36,31,33,39,30
23,41,58,46,46,50,58,48,40,57,50,49,53,63,51,40,45,54,62,42,41,41,40,37,27,31,37,41,43,29,44,42,42,40,30,35,39
24,53,43,58,46,44,54,57,49,46,53,48,55,55,60,51,42,49,52,64,41,42,44,47,39,26,31,43,41,42,30,45,46,45,43,28,35
25,42,55,44,58,46,44,54,55,44,52,54,49,57,56,63,52,43,53,50,64,43,45,43,48,46,26,33,43,47,38,44,48,51,50,50,29
26,41,46,55,44,62,42,46,50,57,50,59,63,49,57,52,68,50,43,53,52,63,47,50,42,46,51,28,40,41,44,63,46,51,49,49,54
27,43,45,50,63,42,61,42,44,48,55,47,60,65,50,54,52,72,52,42,60,54,64,50,45,43,47,55,29,47,33,56,69,49,51,53,51
28,54,44,49,51,59,42,63,42,47,46,60,52,61,62,50,58,60,73,54,45,64,63,76,55,52,38,49,63,39,47,61,59,74,57,56,48
29,53,55,44,54,51,59,39,60,43,42,47,64,56,60,64,55,59,61,70,52,49,71,71,78,58,54,39,55,69,41,49,65,63,78,60,57
30,45,56,50,46,52,56,59,42,61,42,45,53,68,57,67,68,62,56,56,70,59,52,75,69,87,60,58,57,65,68,58,53,69,72,87,64
31,48,45,55,52,48,48,53,59,44,62,44,49,57,66,60,69,70,63,59,61,79,69,56,78,71,93,69,62,62,68,75,62,58,78,73,94
32,55,52,46,51,55,45,51,55,58,44,65,43,51,54,63,64,74,73,72,56,65,91,74,60,83,77,98,73,66,70,64,79,66,62,83,80
33,60,54,50,44,51,54,46,50,58,63,43,67,46,51,54,66,68,75,76,73,54,73,96,74,66,81,86,99,76,70,56,68,84,76,70,82
34,51,62,53,52,47,49,51,45,50,57,70,47,65,49,52,60,71,73,74,74,75,60,84,98,72,64,89,88,91,73,75,59,72,90,76,71
35,66,54,63,53,51,47,44,52,46,49,59,72,50,68,45,51,61,64,69,72,79,77,68,87,97,78,77,91,88,90,76,80,62,81,88,83
36,44,67,52,60,53,51,45,45,55,50,51,61,75,48,71,44,53,60,68,65,69,84,83,76,84,92,79,78,94,90,68,80,85,70,78,86
37,53,47,65,53,60,56,53,47,47,57,52,55,61,72,49,66,45,55,66,69,62,71,88,86,78,83,95,99,85,91,60,73,83,84,75,81
38,47,52,48,67,56,60,56,51,49,45,59,55,54,57,71,50,65,51,57,66,68,75,75,94,85,81,89,94,102,87,64,62,78,91,85,80
39,44,48,54,48,72,56,63,54,55,49,48,60,57,56,59,69,49,70,49,57,63,71,77,76,101,87,88,86,98,101,65,67,64,76,94,89
40,50,48,49,52,48,70,56,60,57,53,50,50,57,52,55,64,69,57,72,53,54,63,71,82,72,104,97,90,86,96,53,68,72,84,75,100
41,57,47,51,48,51,49,71,55,61,61,52,54,53,57,50,53,65,67,56,69,54,53,60,69,81,76,102,98,92,86,55,52,68,68,82,78
