ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,5,5,8,8,7,6,4,4,5,11,8,7,8,10,8,6,5,7,9,7,10,6,6,4,9,3,10,6,6,7,10,6,6,4,9
1,10,10,6,4,8,7,6,7,4,3,6,11,10,4,7,10,8,5,5,10,8,8,9,4,6,4,8,5,9,8,7,7,9,5,6,4
2,8,11,10,7,5,8,6,6,9,4,4,7,11,9,5,8,10,8,4,5,10,8,9,9,4,6,5,5,5,10,10,8,8,9,5,6
3,8,8,8,10,8,5,9,6,6,6,4,4,7,10,8,5,8,10,9,4,5,10,7,9,9,6,7,5,6,5,5,10,6,8,9,6
4,13,8,7,7,10,8,7,7,6,4,8,5,4,6,10,8,5,7,10,9,4,5,12,7,8,6,7,7,6,6,4,5,12,5,7,7
5,10,12,9,9,7,10,8,11,9,5,4,8,5,4,7,9,9,6,5,10,9,4,5,12,7,9,6,6,7,6,9,4,5,12,5,8
6,11,10,11,8,8,7,10,6,11,8,6,4,8,3,4,7,10,10,7,6,9,9,5,3,12,7,7,8,5,7,9,9,5,4,12,5
7,12,11,9,13,8,8,7,10,6,9,8,7,4,8,3,4,8,9,11,8,7,9,8,6,2,11,5,9,8,5,7,9,8,6,3,11
8,14,11,11,7,12,10,9,6,9,7,8,8,7,3,9,3,3,8,9,11,9,4,10,8,4,2,12,4,9,8,9,5,10,8,4,3
9,14,14,11,11,7,13,9,9,7,8,5,8,9,6,3,9,3,2,8,10,12,8,6,10,8,4,2,12,3,9,12,8,7,10,8,4
10,13,15,15,12,11,6,14,9,9,7,10,6,8,9,7,3,9,3,2,8,10,12,8,6,10,8,4,4,11,3,10,12,8,7,10,8
11,13,12,17,14,11,15,6,14,10,11,7,10,7,8,9,7,5,9,5,2,8,10,12,8,6,10,9,3,4,10,8,10,12,8,7,9
12,19,13,12,15,14,11,12,9,14,7,7,7,10,7,8,10,7,7,10,5,2,7,10,11,7,5,10,10,4,4,2,7,10,11,7,6
13,16,18,13,16,15,13,14,12,8,13,8,7,7,8,8,8,11,7,7,9,6,2,6,10,11,7,3,11,9,4,5,2,6,10,11,7
14,11,16,17,13,14,15,13,12,12,8,13,8,8,7,8,8,7,11,7,6,8,6,2,6,8,11,8,3,8,9,8,5,2,6,8,11
15,12,12,14,18,11,14,16,13,12,13,7,13,10,7,6,8,8,9,11,7,6,7,6,2,6,7,9,8,3,7,6,7,5,2,6,6
16,17,14,13,14,17,11,13,16,14,13,14,7,12,10,7,7,7,7,10,13,7,6,7,6,2,6,7,11,9,4,8,6,7,5,2,6
17,16,17,14,14,14,17,12,14,17,14,13,14,8,12,10,8,6,7,8,10,14,8,6,7,6,2,6,7,7,10,13,9,6,7,5,2
18,16,15,16,13,15,13,17,10,15,16,16,14,14,7,12,10,8,5,7,7,10,14,9,7,7,6,3,6,4,7,10,12,10,7,7,5
19,13,18,14,14,16,14,14,16,11,14,17,16,14,14,8,12,10,8,5,9,6,8,12,8,6,7,5,3,6,4,6,8,11,9,6,7
20,14,12,16,13,14,17,16,15,17,12,18,17,16,15,14,8,13,10,6,7,9,7,8,10,9,5,7,3,3,6,9,7,9,10,9,5
21,12,12,13,14,14,18,13,16,15,21,15,19,14,16,13,15,7,15,13,5,7,9,7,9,10,9,7,8,6,3,6,9,7,10,10,9
22,18,10,13,13,14,13,16,14,18,15,22,16,20,16,17,10,14,6,17,13,5,8,10,8,6,11,11,6,8,5,6,8,10,8,7,10
23,13,17,12,15,12,12,13,16,14,17,14,24,15,21,17,17,10,13,6,18,12,7,9,11,6,6,11,11,7,8,11,8,9,11,7,7
24,13,11,18,10,13,11,12,15,15,11,15,12,26,16,20,16,17,10,13,5,18,14,6,8,9,5,8,9,11,8,17,14,7,7,9,6
25,11,16,10,17,10,15,10,12,16,15,9,15,11,26,17,18,14,19,9,12,5,15,13,7,10,11,5,8,9,10,5,15,13,8,9,11
26,12,14,14,8,17,8,13,9,14,19,17,9,15,13,26,17,17,11,18,9,12,7,15,12,9,12,9,5,9,8,11,7,15,12,9,11
27,18,13,13,15,10,16,8,13,13,12,18,17,9,16,14,24,19,13,12,17,11,13,8,14,9,11,10,8,6,7,10,12,7,13,10,11
28,8,16,13,12,16,9,16,8,12,9,11,18,16,7,14,14,22,19,14,14,17,11,14,7,12,9,8,11,8,5,15,11,13,7,12,10
29,18,6,15,9,10,13,7,14,9,14,8,8,19,15,7,15,14,19,18,14,14,16,14,15,7,13,7,7,9,9,16,15,12,14,7,13
30,19,19,5,16,9,12,13,7,15,9,14,10,8,15,14,9,14,14,19,14,14,17,15,15,12,9,18,9,6,9,17,18,14,13,12,9
31,13,18,20,4,16,10,12,12,6,12,9,12,9,8,16,13,11,14,17,17,15,15,15,15,16,10,10,18,8,5,15,15,16,14,14,10
32,16,12,18,18,3,15,10,12,13,8,12,7,11,9,8,15,13,13,12,16,17,15,8,15,13,13,10,11,19,9,17,14,11,16,12,12
33,14,16,13,18,18,6,14,10,13,14,9,12,8,11,8,9,14,13,15,12,15,15,16,10,17,12,11,11,10,17,16,15,15,11,17,12
34,20,17,14,13,18,18,7,14,9,13,15,12,13,10,10,8,9,15,11,15,10,14,14,14,11,16,12,9,9,10,11,16,13,13,12,17
35,15,19,16,14,13,19,20,7,14,8,13,15,13,14,10,11,8,12,19,12,13,11,13,15,15,11,14,12,9,11,14,11,14,13,14,12
36,12,14,20,14,14,12,20,19,5,13,10,15,14,15,15,9,14,9,13,19,13,14,11,15,14,13,9,11,11,10,15,15,12,15,12,13
37,15,11,14,17,15,15,12,20,18,6,12,9,15,14,15,15,10,13,11,11,19,11,14,11,15,15,15,9,12,12,18,13,15,12,14,14
38,23,16,11,14,16,13,15,12,21,15,6,12,9,14,15,14,15,11,13,10,11,18,11,14,12,15,16,14,7,10,11,18,13,14,13,15
39,13,22,14,10,16,15,16,16,13,20,16,5,12,9,15,14,12,12,10,12,9,8,17,11,15,13,14,15,14,6,9,9,17,13,15,14
40,8,13,21,14,10,14,16,14,14,15,22,16,5,11,6,15,13,11,11,9,13,9,8,18,9,16,13,15,15,14,13,9,9,18,10,15
41,17,7,13,21,14,9,15,15,15,14,15,22,15,5,12,7,14,13,13,11,9,12,8,6,18,9,14,13,14,13,9,12,8,8,17,10
42,16,16,7,14,20,15,9,16,17,16,15,15,21,14,6,13,8,13,13,10,11,12,13,12,5,17,7,13,10,14,12,11,13,12,8,16
43,15,16,15,7,14,18,15,10,14,18,16,16,15,20,14,7,14,8,11,14,11,12,11,12,12,5,18,7,12,11,12,12,10,11,12,8
44,19,15,16,15,7,15,19,13,8,13,19,18,15,13,18,15,8,14,8,11,13,14,12,12,11,13,7,19,7,10,13,14,12,11,11,13
45,10,18,15,15,17,6,16,20,15,8,14,19,19,14,13,18,14,7,14,8,13,12,13,11,12,12,14,8,20,8,13,12,13,11,12,11
46,19,10,15,13,15,16,6,16,20,15,9,14,20,20,14,14,18,13,7,13,10,13,11,11,8,12,12,14,8,19,10,13,11,12,9,12
47,19,21,10,14,14,15,15,7,16,20,13,10,14,21,22,12,14,19,13,6,15,9,11,11,11,9,11,13,13,9,15,9,12,11,12,10
48,12,20,19,11,16,17,18,16,8,16,21,14,10,18,20,22,13,12,20,14,6,15,9,11,11,12,10,11,12,12,6,15,9,12,11,12
49,15,11,22,20,10,13,14,17,17,9,17,21,14,10,17,20,22,14,12,20,14,6,14,9,11,12,12,7,11,9,14,6,14,9,12,12
50,17,16,12,21,16,10,15,13,17,14,10,19,21,15,12,19,20,22,14,11,20,14,6,14,9,9,13,12,7,11,19,15,6,14,9,10
51,16,17,15,12,21,16,11,15,13,19,15,10,18,22,15,12,19,20,23,14,11,19,15,6,14,10,9,12,11,9,10,18,15,6,14,10
52,18,14,17,14,11,21,14,11,15,12,19,15,9,17,22,14,12,19,21,22,14,11,19,15,6,13,10,8,12,11,14,10,19,15,6,13
53,21,15,14,20,15,12,21,17,11,15,13,18,15,9,17,22,14,12,19,20,21,13,11,19,15,6,12,10,8,12,20,13,10,19,14,6
54,18,22,15,14,19,16,11,20,15,10,13,13,19,14,9,14,21,13,12,19,20,20,13,12,17,15,5,11,11,9,20,19,13,11,17,14
55,12,18,21,13,14,17,15,12,20,16,10,12,13,19,13,9,14,19,13,11,19,18,20,12,11,17,16,5,11,11,18,19,19,12,11,17
56,14,11,18,20,15,13,19,15,11,17,14,10,10,13,19,12,9,13,18,13,10,19,18,19,11,12,16,16,6,10,10,18,17,19,12,12
57,14,14,11,17,17,13,13,16,13,11,18,14,9,10,12,19,12,9,12,18,13,10,19,18,18,11,13,16,16,5,13,10,18,17,18,12
58,12,16,14,11,17,17,13,12,15,13,12,16,14,9,9,12,19,13,9,11,17,13,10,19,17,17,11,13,16,15,18,13,10,18,17,17
59,12,11,13,15,10,18,17,13,13,15,13,12,16,13,8,9,12,19,13,10,11,17,13,9,19,18,17,12,13,16,11,18,13,9,18,18
60,9,8,13,13,14,10,17,16,14,12,15,13,12,16,13,9,8,12,19,13,10,11,18,13,9,19,15,18,11,12,10,11,19,13,9,18
61,16,7,8,13,10,15,11,17,17,13,12,16,13,11,14,12,9,8,12,18,12,10,11,17,11,8,18,15,18,12,12,10,11,18,12,8
62,6,17,7,6,11,10,15,10,17,17,14,12,16,13,11,14,12,9,8,12,18,11,10,10,17,10,8,19,13,16,19,11,10,10,18,10
63,2,7,16,7,6,11,9,13,9,18,18,14,12,15,13,11,13,12,9,9,12,18,10,10,10,17,10,10,16,14,12,19,10,10,10,18
64,10,3,6,14,5,7,14,11,12,9,15,17,14,12,15,12,11,13,12,9,9,12,18,9,10,9,17,10,10,16,9,12,19,9,10,9
65,8,8,2,5,13,3,6,12,9,12,10,15,17,13,13,15,12,10,13,11,8,10,14,17,9,10,9,18,10,10,8,10,14,18,9,10
66,4,7,7,1,5,13,3,7,12,9,13,10,15,17,10,11,15,12,10,13,11,7,9,14,18,9,10,10,20,10,11,7,9,14,18,9
67,7,3,6,6,None,5,12,3,6,12,10,13,10,15,16,10,10,15,12,10,13,9,6,9,15,16,9,10,10,20,13,10,6,9,15,16
68,9,7,3,4,6,None,5,13,3,7,12,10,13,10,15,15,10,7,15,12,8,13,9,7,8,15,16,10,10,10,8,12,10,7,8,15
69,11,6,6,3,4,6,None,5,11,2,8,12,10,12,10,14,14,11,7,15,12,8,12,9,7,8,15,16,10,10,12,8,12,10,7,8
70,7,9,5,6,3,4,7,None,4,11,2,8,12,9,12,10,13,14,11,6,16,12,8,10,9,7,8,15,16,10,14,12,8,10,10,7
71,12,5,10,4,7,3,3,7,1,3,10,2,8,12,9,10,10,13,14,10,6,14,12,8,9,9,7,7,16,15,7,13,12,8,9,10
72,11,11,5,10,4,7,1,3,7,None,2,9,2,8,11,9,8,10,13,13,8,8,14,12,8,9,9,7,7,14,8,8,13,12,8,9
73,5,10,11,6,10,8,6,1,4,7,1,2,8,2,8,11,9,7,10,10,13,8,8,13,11,8,9,8,5,7,13,8,8,12,11,8
74,10,2,10,10,5,7,5,6,2,4,8,2,2,8,2,6,11,9,6,7,10,14,8,7,14,11,8,8,6,5,10,13,8,7,13,11
75,10,9,3,11,10,4,8,6,5,1,4,8,2,1,8,2,6,11,10,7,7,10,11,7,7,15,11,8,7,6,6,10,11,7,7,14
76,3,9,10,3,12,11,5,7,3,3,2,4,7,2,1,8,2,6,10,10,7,7,10,11,7,7,15,10,7,7,7,6,10,11,7,7
77,8,3,9,8,2,9,7,4,6,2,4,3,4,7,2,1,8,2,6,10,8,7,7,9,10,7,6,15,10,7,8,7,6,9,10,7
78,8,9,3,7,7,2,10,7,5,5,2,4,3,4,6,2,1,7,2,5,10,7,6,7,7,10,6,6,14,10,11,7,6,6,8,10
79,7,7,7,4,5,6,3,8,5,5,5,2,3,3,4,4,1,1,9,1,5,11,6,6,6,7,10,6,6,11,6,11,6,6,5,7
80,7,6,7,3,4,5,5,2,7,6,5,4,2,3,3,4,4,1,1,8,None,4,9,6,4,6,7,10,5,6,1,5,10,6,5,5
81,4,7,7,7,3,2,5,5,2,6,6,5,4,2,3,3,4,4,1,1,7,None,5,7,5,3,6,6,10,4,7,1,5,9,5,4
82,4,3,4,6,8,5,2,4,4,2,6,5,5,3,2,4,2,4,2,1,1,7,None,5,8,3,3,6,6,10,1,7,1,5,9,4
83,1,4,2,4,5,5,3,1,4,4,3,6,4,5,2,2,3,2,2,2,1,1,5,None,4,6,2,4,5,4,1,1,6,1,4,7
84,1,1,4,2,2,6,4,3,1,3,4,2,3,5,5,2,2,1,1,2,1,1,1,6,1,4,6,1,5,5,1,1,1,6,1,4
85,2,2,1,1,1,1,3,3,4,3,3,3,2,3,5,2,2,1,1,1,2,1,1,1,6,1,4,3,None,5,2,1,1,1,6,1
86,1,1,1,1,1,1,2,3,3,2,1,2,2,3,None,5,1,2,1,1,1,2,1,1,None,6,1,2,3,None,1,2,1,1,None,6
87,1,1,1,1,1,1,2,2,3,2,1,1,2,2,2,1,4,None,1,1,None,2,2,1,1,None,4,1,2,4,None,2,2,1,1,None
88,1,1,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,4,None,None,1,1,2,2,1,1,None,4,1,1,1,1,2,2,1,1
89,1,1,None,1,1,1,1,2,2,1,2,2,1,1,1,1,1,None,3,2,None,1,None,None,1,1,None,None,2,None,None,1,None,1,1,1
90,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,None,3,None,None,None,None,None,1,1,None,None,2,None,None,None,None,1,1
91,None,None,None,None,None,None,1,1,1,1,1,None,2,2,1,1,None,1,1,None,2,None,None,None,None,None,1,1,None,None,2,None,None,None,None,1
92,None,None,None,None,None,None,None,1,1,None,None,1,None,2,1,1,1,None,1,1,None,2,None,None,None,None,None,1,1,None,None,2,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,1,None,None,None,1,1,None,2,None,None,None,None,None,1,1,1,None,2,None,None,None
