ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,2,3,5,0,3,5,2,3,4,6,3,6,3,3,4,4,4,5,4,7,5,6,4,4,4,4,5,13,7,9,6,6,4,4,4
1,5,3,2,3,4,0,3,3,2,3,2,5,3,6,3,3,6,3,4,6,5,5,5,6,4,5,4,4,5,11,5,7,6,7,4,4
2,5,6,3,3,2,4,0,2,3,1,4,2,4,2,6,3,3,3,3,7,6,5,4,7,6,5,5,2,4,4,5,5,7,8,6,5
3,4,4,3,2,3,4,4,0,2,5,2,4,2,4,2,6,2,4,2,3,7,8,5,2,7,6,5,3,2,5,8,7,5,5,7,6
4,6,4,4,3,2,3,3,6,1,5,6,4,5,1,3,2,6,2,4,2,3,7,6,4,3,6,5,4,2,2,3,8,6,4,5,6
5,3,6,5,4,3,2,4,3,4,1,2,4,4,5,1,3,2,6,2,4,2,3,7,7,4,4,7,5,5,2,2,3,8,7,4,6
6,1,4,7,4,3,3,2,3,4,5,2,2,5,4,6,0,3,1,5,2,4,2,3,6,7,4,5,7,5,5,4,2,3,7,7,4
7,4,0,3,7,5,5,3,2,4,4,5,2,2,6,3,5,1,3,2,4,2,4,2,2,6,6,4,5,7,5,2,4,2,2,6,7
8,1,4,2,5,7,5,4,3,2,2,5,7,1,1,7,3,6,6,4,4,5,4,4,2,2,6,6,4,5,7,5,4,4,2,2,6
9,8,1,4,1,4,7,7,4,3,3,2,5,7,1,1,7,3,6,5,3,4,5,5,5,1,2,6,6,5,5,4,5,5,5,1,2
10,5,8,2,4,1,4,6,6,4,4,2,2,4,7,1,1,7,3,7,5,2,4,5,4,5,2,2,6,6,5,2,4,4,4,5,2
11,4,4,7,2,5,1,4,7,6,4,5,2,2,4,7,1,1,6,3,7,5,2,4,4,3,4,3,3,6,6,5,2,4,4,3,4
12,4,4,4,7,0,5,2,4,6,7,5,6,2,2,4,7,1,0,5,3,6,5,2,3,4,3,4,3,3,6,6,5,2,2,4,3
13,8,5,4,4,8,1,6,3,5,6,6,5,5,2,1,4,7,1,0,5,3,7,5,4,3,4,4,5,3,3,2,6,5,3,2,4
14,2,7,7,5,5,7,0,7,2,4,6,6,5,5,2,1,3,7,1,0,5,4,7,7,4,4,5,4,3,2,5,3,6,6,3,4
15,4,3,7,7,4,4,9,0,5,1,4,5,6,5,5,2,1,3,7,1,4,5,4,7,7,4,5,5,4,3,4,5,3,6,6,4
16,6,5,2,8,6,4,4,8,1,6,2,3,5,6,5,4,2,1,3,5,4,5,5,4,7,8,4,5,5,4,4,5,5,3,6,8
17,4,5,4,2,7,6,5,4,8,1,5,0,6,5,6,4,4,2,1,4,5,5,5,5,4,8,8,4,5,5,5,5,5,5,3,7
18,4,5,5,4,2,8,7,5,5,9,2,5,0,6,5,6,3,4,2,1,4,4,5,4,5,4,8,7,2,5,4,5,5,4,5,3
