ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,17,9,16,10,17,10,14,14,12,12,4,16,15,19,15,16,21,16,11,23,10,16,9,10,17,17,14,16,13,14,10,16,9,10,18,17
1,14,16,11,17,9,16,12,16,15,9,11,4,15,13,18,13,14,22,17,10,19,9,18,9,10,18,18,14,18,14,20,9,19,8,9,19
2,12,13,17,13,19,10,15,10,14,16,9,11,4,12,11,19,13,14,22,16,10,15,9,18,12,11,15,17,16,21,9,16,9,19,11,10
3,12,13,12,18,13,18,11,11,9,13,15,11,12,5,13,11,19,13,14,22,15,9,17,10,19,13,13,14,18,18,15,8,17,9,20,12
4,12,10,15,13,15,11,18,9,13,10,14,15,13,13,6,13,12,19,12,14,22,16,10,18,11,19,11,14,15,18,21,15,9,19,10,20
5,13,12,9,16,13,14,11,20,9,13,9,14,15,13,12,4,13,12,19,12,14,26,14,10,17,12,20,13,14,18,15,21,14,10,19,11
6,15,16,15,9,15,12,14,11,19,10,13,12,15,13,12,10,7,14,11,20,11,15,21,14,10,17,13,21,13,14,10,15,22,12,10,19
7,19,13,14,15,10,12,11,14,12,20,9,14,12,15,16,12,14,7,14,11,19,12,15,22,14,9,20,13,20,14,19,12,15,22,13,9
8,13,19,15,16,15,11,12,11,15,11,20,9,13,13,16,16,12,16,6,14,12,20,12,14,25,14,11,20,15,20,12,20,12,14,25,13
9,16,14,19,14,16,16,11,9,11,14,12,20,9,10,13,17,18,12,16,5,14,12,19,13,15,25,16,11,22,12,14,12,19,13,15,25
10,16,17,12,22,16,13,17,11,9,12,14,12,20,10,10,11,19,19,12,16,5,15,12,18,15,16,27,18,12,22,5,15,12,18,15,16
11,19,16,16,15,20,16,13,17,10,11,12,16,12,19,11,11,12,20,20,13,16,6,15,12,17,14,17,27,17,14,15,6,16,12,17,14
12,20,21,14,16,18,18,16,12,16,11,10,12,16,10,17,13,11,11,20,21,13,17,6,14,13,17,14,17,26,17,11,17,6,14,13,17
13,26,21,19,14,16,15,18,17,14,17,11,11,12,16,10,17,11,11,10,21,21,13,17,8,14,13,19,14,16,25,21,11,17,8,14,13
14,16,27,22,19,15,19,15,17,19,11,16,12,11,13,19,10,17,10,10,10,21,21,14,16,9,14,14,23,15,16,20,21,12,17,9,14
15,20,16,27,22,19,19,19,19,19,19,11,16,12,11,14,19,7,17,11,10,11,21,21,15,15,10,18,14,25,14,11,20,21,13,16,10
16,18,21,17,27,23,19,20,21,16,17,20,11,16,10,12,15,20,7,16,11,12,11,19,20,16,15,12,19,14,25,11,11,19,21,14,16
17,22,17,21,19,28,23,18,16,16,16,17,20,11,18,11,12,16,19,8,17,11,10,11,19,18,15,13,12,20,14,13,10,11,19,20,14
