ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,12,13,10,17,14,11,14,15,17,11,19,13,11,22,12,7,15,14,12,9,9,10,14,22,10,16,16,13,10,9,9,10,14,22,10
1,8,12,12,14,11,18,14,10,13,14,13,10,16,14,11,23,12,8,16,13,11,7,9,9,14,22,10,16,16,13,11,8,9,9,14,22
2,12,8,13,11,12,11,16,17,9,11,14,14,10,15,14,10,22,12,9,15,13,10,8,10,9,14,22,11,18,16,15,11,9,10,9,14
3,14,11,12,12,11,14,11,17,17,10,10,14,15,10,16,14,9,23,13,10,14,13,10,8,9,9,14,23,11,19,16,15,11,8,9,9
4,14,15,11,11,13,10,15,12,17,13,8,10,14,16,11,16,14,9,24,13,10,14,13,10,7,9,9,16,23,11,11,16,15,10,8,9
5,13,16,17,12,11,15,9,16,12,17,13,11,10,13,17,12,17,14,10,26,13,10,14,13,10,7,9,11,15,23,13,11,16,15,10,8
6,10,11,14,15,10,11,17,9,16,9,17,13,11,10,12,17,15,18,14,10,26,14,10,14,13,10,9,10,11,15,22,14,11,16,15,10
7,12,10,12,14,16,10,11,16,10,16,8,15,15,12,10,14,16,15,18,15,10,24,14,10,14,13,10,11,14,11,11,21,14,11,16,15
8,23,11,10,11,16,14,10,11,16,9,17,8,15,15,12,10,13,17,15,18,15,12,24,14,9,14,13,11,12,12,14,12,21,14,10,16
9,12,22,14,10,11,14,14,9,11,19,10,17,8,16,16,12,10,11,18,15,18,18,12,25,14,9,14,14,12,12,16,16,12,23,14,10
10,10,13,22,12,10,10,15,15,9,11,19,10,17,9,16,16,11,13,10,19,15,19,18,13,25,15,8,17,14,12,14,17,16,13,23,15
11,15,12,14,22,13,10,11,15,14,9,12,19,10,17,9,16,14,11,13,9,19,16,20,17,13,23,14,10,17,14,18,16,18,17,13,22
12,21,15,12,14,22,14,10,13,16,14,8,12,19,10,17,9,15,13,11,13,9,20,15,20,17,13,23,15,10,17,12,19,15,18,17,13
13,14,22,15,10,14,22,14,12,10,16,14,8,12,19,11,16,8,15,13,11,12,9,19,15,20,17,13,23,15,10,12,11,19,15,18,17
14,18,14,21,15,10,12,21,14,12,10,16,14,8,12,19,12,15,8,15,13,11,12,8,20,15,21,17,12,22,15,12,12,11,19,15,19
15,18,15,14,21,15,11,14,21,13,11,10,17,14,8,12,19,12,15,8,15,13,11,13,8,20,14,20,17,12,23,13,12,13,11,19,14
16,19,18,15,14,21,15,14,13,21,14,13,10,17,14,7,11,19,14,15,8,14,13,11,15,8,20,15,19,17,13,15,13,12,14,11,19
17,20,21,18,14,14,22,14,11,13,21,16,13,10,17,14,8,11,19,14,14,9,14,13,11,15,7,18,14,19,18,10,15,13,12,14,10
18,19,18,22,18,16,13,22,14,11,13,22,17,10,11,17,14,9,10,19,14,14,9,14,16,10,14,7,18,14,19,16,10,15,14,11,13
19,18,20,18,23,18,15,15,21,14,10,13,23,18,10,12,17,14,11,10,19,15,14,9,14,16,10,13,8,20,14,12,16,10,15,14,11
20,18,17,16,15,22,19,13,14,21,14,9,14,23,16,10,13,17,14,11,10,18,16,15,11,15,16,11,12,10,20,16,13,17,11,16,14
21,14,17,14,16,15,21,18,12,17,21,14,9,12,22,16,9,13,17,14,10,10,18,14,15,10,16,15,11,12,10,11,17,12,17,10,17
22,11,15,17,14,14,13,24,17,12,15,22,14,10,12,19,17,10,14,17,14,10,10,19,12,14,10,16,14,14,11,10,11,17,11,16,10
23,11,14,13,16,14,15,14,23,20,12,17,23,14,11,12,20,18,11,15,17,15,8,10,16,13,16,10,17,11,12,16,9,11,16,12,17
