ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,22,16,19,20,28,16,18,21,14,13,20,21,17,9,10,9,19,22,8,14,14,10,17,19,17,15,12,20,15,21,15,10,19,19,17,15
1,24,22,17,19,20,29,14,20,21,14,12,20,20,15,9,10,9,20,23,8,10,15,13,18,14,17,14,16,17,14,11,16,13,19,15,17
2,20,24,22,16,18,20,29,14,21,23,13,12,20,20,15,9,10,10,20,24,8,10,18,14,16,16,17,15,19,15,8,11,17,12,17,17
3,18,20,22,21,17,18,20,29,14,21,22,12,13,18,21,15,9,9,10,20,25,9,10,17,10,13,17,21,15,17,26,9,11,17,10,14
4,22,19,18,23,22,17,18,21,29,14,21,22,12,14,18,20,16,10,9,10,21,26,10,12,19,11,13,18,24,15,21,27,10,14,19,11
5,28,22,18,17,21,22,15,18,19,27,14,21,22,12,14,18,20,17,11,9,11,20,26,9,15,19,11,15,18,25,12,20,27,10,16,19
6,19,30,20,19,16,21,21,14,18,19,25,15,21,22,12,14,18,20,16,12,9,12,21,25,6,13,20,11,16,18,9,12,21,26,9,15
7,39,21,30,20,20,16,23,22,14,20,18,25,14,23,22,12,14,18,20,17,12,8,12,21,26,6,13,22,11,15,12,8,11,21,27,9
8,39,39,22,30,18,20,15,22,22,15,23,18,24,15,26,22,11,14,21,20,18,12,8,12,21,26,6,17,21,11,17,12,9,11,21,27
9,21,39,39,22,32,18,21,14,25,22,12,23,19,24,16,26,23,11,15,21,19,17,10,10,12,19,25,8,21,21,19,17,11,10,12,20
10,39,20,39,39,24,33,19,21,14,24,20,12,23,22,25,16,26,23,11,15,22,19,17,10,10,12,20,27,9,22,21,18,17,12,10,12
11,28,37,21,41,39,22,32,20,20,14,23,19,11,23,22,26,16,27,22,11,15,23,21,17,12,9,13,22,27,11,16,22,20,17,13,9
12,28,26,38,22,39,40,23,29,20,20,14,21,19,11,24,22,28,16,27,22,13,19,23,19,18,13,11,13,24,27,12,17,22,19,18,12
13,20,29,25,40,22,41,39,21,29,20,20,14,21,20,11,23,22,29,16,27,21,15,19,25,19,20,13,11,14,23,22,14,17,24,20,20
14,31,22,29,27,41,21,40,38,20,30,20,21,16,21,21,10,23,22,30,17,26,21,14,18,26,19,19,12,11,14,26,23,14,16,25,19
15,27,32,20,28,26,41,21,37,38,20,31,20,22,16,20,21,10,23,22,30,17,27,21,14,17,26,19,19,14,12,16,28,23,14,16,25
16,24,27,33,21,30,29,41,23,38,38,19,31,20,23,17,22,22,10,20,22,30,19,27,21,13,17,26,20,20,13,28,17,27,23,14,17
17,35,23,27,33,23,29,29,42,23,37,41,19,30,21,23,17,24,23,10,20,21,28,19,29,21,15,17,27,21,20,21,27,17,29,22,15
18,35,35,23,25,31,25,30,28,41,22,39,40,19,30,22,23,17,26,23,10,20,21,27,21,28,22,16,18,27,20,21,21,26,19,28,23
19,24,36,35,24,25,31,23,28,30,42,21,39,41,19,31,22,22,17,26,25,12,20,22,27,21,27,21,18,18,26,12,21,22,26,19,27
20,27,23,35,35,25,26,31,26,29,30,43,21,39,41,18,31,20,21,16,27,24,13,22,19,27,19,27,22,17,19,24,13,23,21,26,18
21,28,25,24,33,34,24,26,30,24,29,29,43,22,39,42,18,32,21,20,17,27,25,15,22,17,27,22,30,22,17,24,25,15,23,20,26
22,23,29,28,28,32,33,24,25,31,24,28,29,45,22,39,43,22,31,21,20,17,28,25,15,21,23,29,26,30,24,18,25,25,14,22,23
23,27,25,30,25,28,30,33,25,26,33,23,28,29,45,22,38,45,22,30,19,20,16,29,27,13,22,23,30,28,33,19,17,25,27,13,22
