ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3678,3814,3588,3418,3570,3270,3434,3574,3386,3691,3243,3493,3672,3408,3482,3523,3769,3859,3945,4068,3977,4275,4212,4744,4429,4293,4425,4743,4360,4536,3952,4283,4248,4726,4358,4185
1,3856,3695,3812,3584,3426,3580,3296,3440,3610,3454,3519,3371,3508,3644,3412,3490,3548,3780,3846,3906,4049,4017,4306,4263,4706,4433,4310,4474,4728,4360,4049,3995,4389,4354,4606,4446
2,4280,3869,3723,3810,3576,3428,3579,3308,3440,3614,3366,3605,3374,3523,3631,3429,3520,3554,3767,3852,3907,4085,4053,4341,4273,4673,4458,4341,4491,4687,3891,4062,4117,4486,4414,4618
3,4565,4262,3864,3740,3788,3581,3429,3600,3308,3450,3514,3387,3617,3388,3525,3620,3450,3543,3545,3761,3853,3920,4122,4122,4307,4288,4648,4477,4397,4507,3842,3909,4190,4235,4327,4427
4,4774,4575,4269,3860,3751,3791,3592,3461,3601,3321,3350,3517,3400,3627,3383,3541,3613,3472,3565,3556,3782,3898,3963,4165,4135,4329,4329,4631,4473,4388,3777,3888,4040,4263,4244,4367
5,5228,4779,4605,4267,3846,3773,3784,3595,3455,3600,3258,3370,3520,3410,3638,3405,3565,3605,3468,3578,3570,3805,3943,4000,4195,4165,4314,4390,4630,4462,3552,3791,4010,4079,4307,4287
6,5633,5245,4777,4620,4249,3857,3806,3793,3596,3453,3548,3266,3382,3546,3430,3681,3421,3590,3617,3483,3590,3629,3845,3983,3998,4235,4204,4360,4437,4635,3584,3582,3913,4116,4080,4362
7,6215,5637,5249,4762,4645,4246,3856,3819,3797,3586,3388,3567,3280,3391,3557,3455,3694,3444,3618,3620,3495,3622,3655,3891,4014,4038,4286,4247,4386,4457,3486,3634,3684,3986,4151,4109
8,6349,6210,5645,5237,4768,4653,4250,3860,3833,3797,3536,3399,3573,3304,3405,3581,3493,3716,3489,3657,3635,3542,3674,3690,3952,4069,4078,4346,4298,4403,3631,3522,3740,3742,4052,4179
9,6568,6368,6210,5655,5239,4758,4666,4250,3878,3860,3737,3549,3413,3583,3319,3428,3619,3510,3767,3554,3694,3680,3588,3711,3740,4004,4132,4140,4395,4344,3693,3686,3606,3805,3808,4093
10,6734,6585,6389,6211,5644,5245,4753,4661,4243,3867,3786,3748,3567,3431,3596,3340,3463,3639,3578,3827,3594,3735,3716,3643,3770,3778,4054,4189,4176,4434,3566,3723,3794,3660,3858,3852
11,6708,6746,6588,6382,6210,5643,5232,4748,4661,4244,3830,3794,3749,3582,3429,3617,3370,3488,3665,3626,3869,3638,3761,3757,3690,3823,3829,4104,4251,4221,3850,3596,3826,3847,3763,3907
12,6796,6707,6768,6608,6395,6222,5637,5226,4758,4653,4237,3848,3811,3759,3598,3456,3641,3391,3529,3691,3668,3908,3682,3798,3805,3745,3878,3885,4152,4257,3645,3892,3687,3872,3885,3810
