ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,43,35,28,40,44,40,24,39,29,41,27,33,30,41,39,43,35,40,42,47,49,46,44,45,57,52,56,68,68,72,47,49,46,44,55,51
1,38,41,35,28,39,44,42,25,37,28,41,29,33,30,42,40,43,38,40,43,45,46,47,47,48,61,52,56,72,75,49,43,47,51,50,61
2,60,39,44,34,26,38,45,41,24,40,31,43,27,33,29,45,41,44,38,41,44,46,50,47,53,49,58,59,57,72,45,50,48,47,57,51
3,57,58,36,42,34,24,38,46,42,22,37,30,41,30,33,31,46,45,43,38,44,45,47,49,48,56,55,64,58,57,45,46,51,51,48,59
4,56,59,60,37,44,35,23,39,46,40,22,40,29,39,32,35,30,48,43,44,42,45,45,48,51,49,59,57,62,62,41,46,46,51,53,49
5,57,57,60,57,37,44,36,24,37,47,44,22,40,29,37,33,35,32,49,43,44,41,49,43,49,56,53,65,58,65,45,40,50,44,51,59
6,74,59,61,59,60,39,45,34,25,36,45,44,22,40,31,36,34,36,31,52,46,45,40,50,44,53,58,54,65,57,44,45,40,53,45,54
7,76,71,59,58,60,59,39,43,36,26,37,43,45,22,40,32,37,35,37,32,54,46,46,41,52,44,52,58,56,68,53,45,46,41,55,45
8,52,75,70,60,56,57,57,39,42,36,24,38,46,43,22,41,33,36,36,39,31,57,46,45,44,58,44,55,58,55,32,57,46,47,44,61
9,79,50,75,70,59,56,58,57,40,43,37,23,39,46,46,21,42,36,36,37,43,33,58,47,45,44,57,46,56,60,42,34,59,47,48,44
10,81,79,52,76,73,60,52,57,60,39,45,38,23,40,46,46,21,43,37,36,38,43,34,58,49,48,43,60,48,58,38,42,35,58,50,51
11,84,74,79,51,76,74,60,55,59,58,39,45,39,23,41,46,46,23,45,41,38,38,43,37,61,52,48,43,61,47,36,38,42,37,60,54
12,72,86,76,80,53,77,72,60,55,60,58,40,46,38,23,43,47,48,23,45,40,41,39,43,38,63,53,48,44,61,40,39,38,42,38,62
13,60,75,85,74,82,53,76,76,61,52,57,58,40,47,39,23,44,48,50,23,46,41,40,40,45,37,62,54,46,45,44,41,38,40,44,38
14,68,63,73,85,76,82,52,74,75,58,54,57,58,40,47,40,25,45,47,51,24,42,41,41,42,47,37,62,54,47,26,41,41,40,42,46
15,85,68,62,76,84,77,82,54,74,78,58,55,58,58,40,47,40,25,45,47,50,26,44,41,44,46,49,40,61,56,50,28,43,41,43,46
16,80,88,68,61,76,85,77,86,56,74,76,57,54,58,58,42,49,41,25,46,47,51,28,43,43,48,45,53,39,62,48,51,29,42,42,45
17,92,81,89,67,64,79,87,78,86,54,72,74,55,53,58,60,41,48,42,25,47,48,55,31,46,44,45,42,52,40,46,49,56,33,45,43
18,79,87,81,88,66,62,78,90,72,88,56,72,75,56,52,57,61,41,48,44,26,47,47,57,34,46,47,46,45,53,27,46,48,55,35,45
19,62,81,86,78,88,64,64,80,85,72,87,55,71,75,58,53,57,61,41,47,45,29,51,51,58,38,47,50,43,46,44,30,50,51,56,39
20,74,63,79,85,76,86,68,64,80,85,70,85,54,72,77,56,53,57,60,41,49,45,31,50,53,60,35,47,48,41,51,44,32,48,54,57
21,62,71,58,78,86,76,85,64,65,82,85,72,85,55,75,77,59,53,59,59,41,50,46,31,51,52,61,41,48,46,41,53,46,31,51,53
22,66,59,71,62,78,82,73,86,65,69,79,82,70,84,54,76,74,62,57,63,60,38,52,48,32,53,53,68,42,48,58,39,57,46,32,53
