ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,7,8,10,8,12,5,3,13,7,7,7,4,10,8,7,14,9,12,11,11,6,14,12,18,10,10,13,6,14,10,8,15,13,17,10,9
1,7,7,9,10,7,13,4,3,14,8,9,7,4,10,7,7,14,9,12,11,11,8,15,10,17,9,10,14,6,15,11,9,16,11,16,10
2,15,8,8,9,10,7,12,4,4,17,10,13,8,5,9,7,7,13,8,12,11,12,8,13,4,17,10,11,12,7,10,12,9,14,7,16
3,11,16,9,8,7,10,7,13,5,3,12,9,13,8,5,9,7,7,13,7,12,12,13,9,13,6,17,10,10,18,13,11,12,9,14,9
4,15,11,15,8,7,8,10,8,13,6,3,15,9,12,7,5,9,7,9,13,7,12,15,11,10,14,6,17,10,8,8,13,13,11,10,15
5,10,15,11,15,8,7,10,8,8,15,9,3,15,9,11,8,6,9,8,10,13,9,12,13,12,8,13,6,17,12,13,10,13,11,12,8
6,12,11,15,11,16,9,6,9,9,7,15,10,3,16,9,10,8,6,9,8,9,15,9,10,11,13,10,14,9,14,11,15,10,12,10,13
7,19,12,10,16,11,15,9,6,9,10,10,15,10,2,16,10,10,8,5,9,7,10,15,9,11,12,13,11,14,11,7,11,15,10,13,11
8,8,18,12,9,17,10,13,10,7,8,9,10,14,10,2,16,9,10,10,6,9,7,13,16,10,11,13,13,9,15,10,7,13,15,11,13
9,8,7,18,13,10,17,10,13,9,5,9,10,9,15,9,3,16,9,10,10,6,10,7,13,16,11,11,14,13,10,6,11,6,12,15,11
10,6,8,8,18,12,11,17,10,13,9,5,9,10,10,15,8,3,16,10,9,10,6,10,6,12,17,11,13,13,14,12,6,11,6,11,16
11,11,7,9,7,17,11,11,18,11,13,12,5,8,11,10,15,8,3,15,10,9,10,6,12,5,12,15,12,10,13,9,10,6,12,5,11
12,15,10,7,9,7,17,11,11,18,11,13,12,4,8,11,10,15,8,5,16,9,9,14,6,12,6,12,16,12,14,10,8,13,6,12,6
