ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,11,17,9,17,11,13,17,15,20,11,15,22,12,18,20,16,24,17,18,25,20,25,19,16,26,26,23,24,28,20,20,24,20,16,25,25
1,16,10,19,10,17,11,14,17,14,22,11,16,21,12,18,19,16,24,19,18,25,21,24,21,17,27,26,23,25,28,25,21,23,21,16,25
2,18,16,13,18,10,18,13,17,16,14,21,11,17,21,10,18,20,15,25,17,19,25,19,22,22,18,26,25,24,23,17,25,18,23,21,17
3,19,18,15,13,20,12,17,16,17,17,13,21,12,17,20,10,17,21,17,26,17,21,26,18,22,21,16,26,22,25,18,17,24,19,25,21
4,24,20,19,15,15,19,11,18,19,18,18,14,23,12,19,20,11,17,21,17,26,17,23,26,13,22,21,16,27,22,26,18,18,26,16,26
5,20,23,24,19,17,15,19,11,19,17,18,18,15,25,12,20,21,12,18,21,17,25,18,22,24,14,24,22,16,25,15,26,18,18,24,17
6,26,21,26,24,26,18,14,19,12,17,19,20,18,14,26,14,20,22,11,19,21,17,24,17,23,23,15,26,24,16,23,16,26,15,19,23
7,20,30,21,26,22,26,18,14,20,14,18,21,21,18,13,26,14,21,23,10,19,23,16,26,16,21,20,15,26,22,20,25,15,27,15,18
8,19,19,28,20,26,22,26,19,17,18,15,21,19,21,18,13,27,14,22,23,12,18,26,15,26,13,25,21,16,27,14,19,27,15,27,12
9,19,20,21,30,20,25,23,28,18,16,19,16,23,19,21,19,13,28,14,25,24,15,17,26,14,25,12,22,22,16,24,15,18,27,15,27
10,21,19,19,21,33,21,24,21,28,18,17,18,17,27,18,23,20,12,30,15,25,25,14,17,28,15,24,13,23,22,24,23,14,19,27,17
11,25,21,20,18,21,33,21,24,25,29,19,19,20,17,26,18,24,21,17,30,16,26,27,14,18,29,18,24,12,20,16,24,24,15,20,28
12,33,26,19,20,18,21,34,22,24,23,30,18,18,20,17,26,18,21,20,15,28,16,28,25,13,20,30,19,24,12,27,17,24,23,14,22
13,23,35,25,19,20,19,23,35,22,25,25,32,19,18,21,19,26,19,21,22,17,28,17,28,24,12,22,29,21,25,16,28,17,24,23,13
14,28,23,35,25,19,19,19,23,34,22,25,25,34,19,19,21,18,25,19,22,22,16,28,17,28,23,14,23,29,20,22,15,30,17,25,22
15,26,27,23,35,23,19,20,20,23,34,23,28,25,34,19,20,21,18,27,18,23,22,16,28,16,30,24,13,23,27,23,22,14,30,17,29
16,29,27,27,23,36,23,19,20,20,24,35,24,27,25,34,21,20,20,18,29,17,23,23,15,27,16,31,25,12,22,17,23,24,14,29,17
17,22,28,25,27,23,36,24,19,20,19,23,33,25,27,26,34,21,21,20,18,27,18,21,25,18,28,17,31,26,14,27,18,21,26,17,30
18,21,21,27,24,25,22,36,24,19,20,23,23,34,26,27,26,35,22,22,21,19,24,20,22,28,18,30,19,31,24,19,26,20,22,27,18
19,25,22,20,27,25,25,23,37,26,19,20,22,23,35,26,27,28,35,24,21,22,19,26,20,24,27,19,30,19,28,22,19,27,19,23,27
20,20,25,18,20,25,24,26,23,36,26,22,24,22,23,35,27,27,29,36,24,20,22,21,25,19,24,28,19,28,19,22,22,20,27,18,22
21,24,21,26,21,19,25,27,25,24,39,26,22,24,22,25,36,27,27,32,34,23,20,22,21,29,19,24,27,19,30,23,22,21,20,30,18
22,24,22,18,25,22,19,27,28,26,27,42,27,23,24,24,28,34,27,27,32,34,23,23,24,21,28,23,24,26,19,34,23,25,23,20,29
23,24,22,23,18,26,20,22,26,26,28,29,41,28,23,24,25,29,33,28,27,33,35,26,24,24,21,27,25,23,27,35,35,27,26,24,19
24,22,25,22,24,20,27,17,22,26,28,30,28,45,28,23,25,23,27,34,26,29,34,40,27,23,23,16,28,23,23,30,37,39,28,25,24
25,24,23,24,20,24,21,28,18,29,31,34,31,26,46,25,25,25,24,30,35,31,34,34,40,26,25,21,17,33,22,32,32,40,38,27,27
26,29,21,23,24,24,25,22,31,21,27,31,35,33,27,45,27,24,27,29,32,33,29,39,35,43,27,26,21,16,33,31,28,37,39,40,28
27,28,32,22,23,23,25,27,21,33,22,28,34,36,33,30,42,29,23,30,29,33,37,29,36,35,42,28,26,24,18,33,33,29,33,37,39
28,23,27,33,21,24,25,26,27,27,33,26,30,35,37,35,30,44,28,22,32,28,34,34,34,35,34,38,25,27,22,28,33,30,33,31,37
29,20,23,29,38,25,27,26,27,28,28,35,26,30,34,39,35,33,46,31,28,32,30,33,35,36,33,35,35,26,28,31,30,33,31,34,29
30,23,23,23,29,34,25,29,26,29,30,31,34,29,33,37,42,36,37,46,38,28,31,31,38,36,39,34,34,36,31,27,31,31,37,32,33
31,20,23,23,26,27,30,26,29,28,30,31,33,34,28,31,40,47,35,33,49,38,31,31,36,38,39,39,29,34,37,41,30,32,32,38,37
32,28,22,24,23,27,30,33,27,27,31,31,29,34,35,32,31,42,49,35,33,49,37,29,27,33,35,38,39,29,33,49,37,27,33,32,35
33,33,26,22,27,23,29,32,32,28,30,30,31,29,32,34,37,31,43,51,37,34,53,41,31,26,36,35,37,36,32,32,51,39,31,25,35
34,24,34,28,23,27,21,30,31,34,32,31,30,34,31,32,36,38,30,44,54,38,35,55,41,32,23,31,35,37,34,38,32,54,42,34,24
35,16,24,34,30,25,26,20,29,34,33,32,30,31,32,32,33,37,36,33,43,56,37,35,52,40,31,28,34,32,43,56,39,34,53,41,33
36,30,16,25,32,34,25,26,21,31,33,40,33,28,30,32,34,33,38,36,31,43,53,35,33,49,44,31,29,34,35,44,55,36,32,52,46
37,16,30,18,25,32,34,25,27,23,32,35,40,32,28,30,29,34,31,40,36,32,41,52,34,30,48,43,32,25,32,30,42,53,35,29,50
38,25,16,31,19,27,33,33,26,29,24,36,36,39,32,27,30,30,34,34,39,36,32,45,53,37,31,50,45,34,28,37,32,47,53,37,32
39,21,25,16,31,17,27,32,32,26,31,24,37,36,39,29,28,31,31,35,32,39,36,31,49,51,34,29,51,43,35,38,39,33,50,52,34
40,20,21,24,18,28,18,27,35,32,28,32,24,38,37,38,29,27,33,31,37,34,36,37,34,45,47,30,30,46,41,36,37,41,35,44,49
41,27,21,22,24,18,28,18,27,36,33,29,30,25,37,36,36,31,27,37,31,39,32,32,42,35,44,46,27,32,48,38,33,34,44,36,42
42,27,28,21,23,24,19,29,17,28,37,35,33,30,25,37,36,36,31,29,35,32,40,33,32,43,33,44,45,28,32,33,41,36,34,44,35
43,27,25,26,21,23,22,19,29,18,28,40,36,32,33,27,36,34,37,33,28,34,33,39,36,32,42,32,42,49,28,33,35,40,38,35,44
44,24,27,25,28,23,22,23,19,29,17,29,42,35,33,34,26,35,33,40,35,29,37,34,39,36,32,43,33,44,49,28,38,35,36,38,35
45,20,24,27,26,28,23,23,23,19,28,18,29,43,35,34,34,28,35,32,40,35,30,38,34,38,37,31,41,36,42,36,29,39,36,37,38
46,31,20,25,28,25,27,23,25,23,19,29,18,30,43,35,36,33,26,36,32,42,33,30,36,37,40,36,33,43,35,44,34,28,35,39,39
47,31,33,20,25,27,26,30,24,25,24,19,30,19,32,43,38,36,35,28,38,31,42,32,32,35,40,38,35,33,46,32,44,33,31,35,41
