ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,36,33,40,29,40,22,30,26,38,45,36,32,41,25,28,40,43,23,35,28,30,31,36,37,33,37,39,41,43,34,29,31,34,35,33,39
1,42,36,32,45,31,39,25,31,23,36,45,38,31,40,24,32,39,43,24,38,30,29,30,35,41,38,38,38,43,43,31,28,33,36,40,33
2,43,43,36,31,39,32,41,22,34,26,30,45,38,31,41,25,33,40,42,24,36,30,30,30,35,45,42,39,39,44,37,32,29,33,36,44
3,54,44,42,35,30,42,32,37,22,32,23,32,43,36,31,43,25,35,40,43,26,39,32,29,31,33,47,44,47,38,24,34,34,29,33,34
4,51,58,46,45,36,32,40,29,38,24,31,22,33,42,39,33,42,25,37,42,43,29,41,33,31,34,33,47,46,48,42,26,37,35,29,34
5,62,51,54,43,45,35,32,39,30,41,25,34,23,31,41,41,33,48,24,39,41,44,26,40,38,36,34,31,48,48,41,44,24,36,40,34
6,58,59,51,52,45,41,38,33,41,32,35,23,34,20,29,40,44,33,49,26,40,42,45,28,41,40,38,34,31,47,39,42,46,25,38,43
7,77,59,59,50,52,50,42,36,32,39,29,34,22,34,22,30,40,45,34,46,26,41,42,44,28,41,42,39,38,34,27,39,42,46,24,38
8,66,75,58,60,51,52,43,42,37,33,36,29,34,22,33,23,29,40,46,34,44,29,41,44,44,28,42,40,42,36,42,29,40,45,47,25
9,56,70,72,59,61,49,56,46,43,38,34,39,29,32,23,33,27,30,42,47,34,44,28,41,44,44,29,43,40,42,33,43,28,41,45,47
10,70,57,70,72,59,60,47,55,44,46,37,32,42,30,31,26,33,25,33,42,49,33,46,27,41,44,45,32,44,41,49,34,44,29,42,46
11,63,69,57,69,69,58,60,48,56,44,40,36,31,41,29,30,27,33,24,34,42,51,33,47,27,44,43,44,33,43,40,51,32,46,29,45
12,66,62,70,58,67,67,57,60,46,55,44,40,36,29,41,29,31,29,35,24,38,42,50,33,45,29,44,44,43,33,36,41,49,34,45,31
13,68,67,62,69,58,63,69,59,60,46,55,43,40,36,29,42,31,32,29,35,24,37,42,50,31,47,33,46,45,46,24,36,41,48,32,46
14,74,68,69,65,69,58,63,70,60,61,47,55,43,40,36,30,42,30,30,27,36,26,38,41,49,34,47,33,47,46,35,26,38,41,48,34
15,79,74,68,68,60,71,64,63,68,60,61,48,55,42,42,41,31,44,29,32,26,36,25,36,41,49,35,48,33,50,28,36,25,37,42,48
16,82,78,74,69,71,61,68,56,66,67,60,61,48,55,39,42,41,32,43,29,33,25,37,25,36,43,49,38,49,35,36,27,37,25,37,44
17,76,86,79,73,66,70,61,70,59,67,67,60,62,45,55,41,43,42,32,46,30,36,22,37,26,36,46,49,37,49,30,39,25,38,26,38
18,70,77,84,78,78,71,68,60,68,57,65,67,60,61,45,55,42,43,42,33,47,30,36,21,37,28,38,45,49,35,44,31,38,25,38,29
19,78,67,78,81,83,71,72,71,61,71,60,63,67,60,60,47,56,39,44,42,35,48,29,37,22,39,31,37,46,50,38,44,31,39,26,40
20,69,83,66,75,83,80,72,72,71,60,68,60,65,67,59,64,47,59,39,45,46,35,50,30,34,22,42,30,39,46,46,39,47,31,37,27
21,63,70,84,63,79,86,83,72,69,72,58,65,58,65,69,60,64,47,58,40,46,43,36,53,29,33,23,44,33,41,46,46,41,50,33,38
22,74,63,66,78,64,78,91,82,68,72,76,56,65,58,66,70,59,68,46,58,43,47,44,39,53,28,38,21,43,31,46,47,46,43,50,31
23,58,71,65,65,78,65,78,90,84,68,69,75,55,64,59,72,74,56,67,47,57,43,47,45,40,48,33,33,24,45,57,47,47,46,44,48
24,63,61,76,66,64,82,61,78,87,88,68,68,77,54,61,61,72,70,56,64,46,62,49,43,45,42,44,35,35,30,45,58,49,48,45,47
25,75,58,63,71,65,64,80,64,83,83,86,66,70,76,51,61,58,72,74,57,64,47,64,50,46,45,52,47,36,40,68,47,59,51,47,47
26,71,81,64,64,78,59,66,77,65,81,81,88,69,68,77,48,61,61,72,72,59,63,52,68,45,39,49,48,43,39,58,67,51,64,46,42
27,72,67,78,60,63,72,60,71,75,66,80,80,87,68,66,78,49,61,61,74,72,58,67,52,70,43,43,50,49,48,73,56,70,51,65,46
28,60,75,68,74,61,62,72,62,72,72,64,80,82,82,69,68,77,52,67,57,76,75,58,72,48,72,48,41,52,53,74,73,56,71,49,70
29,78,62,70,67,72,57,64,70,58,77,72,65,80,77,79,73,72,78,54,70,56,78,77,61,74,53,79,52,43,54,56,74,80,55,73,54
30,78,72,59,69,61,68,63,60,69,54,77,72,61,76,73,78,72,74,80,61,75,60,80,75,63,74,58,83,55,43,78,58,77,75,61,72
31,80,77,71,60,73,62,69,63,61,71,52,78,75,60,71,71,78,69,75,85,61,75,62,81,77,62,78,59,84,59,63,80,59,75,74,60
32,82,76,76,70,62,73,58,64,60,61,65,51,81,74,63,73,72,81,71,79,83,61,78,62,81,81,68,76,56,81,84,64,81,59,76,73
