ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,5,4,None,2,2,3,1,3,4,6,1,13,7,5,2,3,4,2,2,6,1,6,5,6,4,5,11,8,5,6,1,6,4,6,4
1,7,2,5,5,None,3,3,4,1,2,4,6,1,13,9,5,2,4,5,3,2,5,2,7,5,6,5,5,10,9,2,5,2,7,4,6
2,1,7,1,4,5,1,3,2,4,1,4,4,8,1,14,9,5,2,4,6,2,2,6,2,10,7,6,4,5,11,2,2,6,3,8,6
3,3,1,7,1,4,7,1,5,2,4,1,4,4,7,1,13,8,5,2,3,6,2,3,7,3,11,6,8,4,5,6,2,3,8,4,9
4,2,1,1,7,1,4,7,1,4,2,4,2,4,4,7,1,13,8,5,2,2,6,2,4,8,3,11,6,9,4,2,6,2,4,9,3
5,3,2,1,1,6,1,4,6,1,3,2,4,2,3,4,8,1,13,8,5,2,2,6,2,5,10,4,11,6,9,2,2,6,2,5,10
6,7,3,2,1,1,6,None,4,6,1,3,2,4,1,3,7,7,1,13,8,5,2,2,6,3,3,12,4,12,4,5,2,2,6,3,3
7,7,7,3,2,1,1,7,None,4,6,2,2,2,4,1,5,6,11,1,13,8,5,2,4,6,4,3,12,4,11,9,5,2,5,6,4
8,6,8,7,3,2,None,1,7,None,5,6,2,3,2,5,1,5,7,11,1,14,8,5,3,5,6,5,4,12,4,14,9,5,2,5,6
9,2,6,8,6,3,2,1,1,7,None,4,5,2,3,2,5,1,5,7,11,1,13,8,5,3,5,7,5,5,12,1,13,9,5,3,5
10,3,3,6,7,6,3,3,2,1,7,2,3,5,2,4,3,5,2,5,7,11,1,15,8,5,3,5,7,5,4,11,1,15,9,5,3
11,7,4,5,6,7,7,3,2,2,3,7,2,3,5,2,5,3,5,2,5,8,11,1,15,9,6,3,5,8,5,8,11,1,16,9,6
12,7,8,3,4,6,8,5,3,3,1,3,7,2,4,6,2,5,3,5,2,5,8,11,1,15,9,9,3,5,9,5,8,11,1,16,9
13,5,8,8,5,4,6,8,5,3,2,3,3,8,2,4,6,2,5,3,5,2,5,8,11,1,16,10,9,4,5,2,5,8,11,1,16
14,5,4,8,8,3,5,6,9,5,3,4,3,3,8,2,4,6,3,5,3,5,2,5,8,12,1,16,10,9,4,5,2,5,8,11,1
15,4,6,4,8,9,4,2,6,8,5,3,4,2,3,8,2,4,6,3,5,3,7,3,6,8,15,1,16,10,8,3,7,3,6,9,13
16,7,4,6,4,8,8,3,2,6,8,5,5,4,2,3,8,2,4,6,3,6,3,7,3,7,8,15,1,16,10,6,3,7,3,7,9
17,5,7,4,6,6,10,8,3,2,6,8,5,5,4,2,3,8,3,4,5,3,6,3,7,3,7,9,14,1,15,2,6,3,7,3,7
18,3,5,7,4,7,5,9,9,5,2,7,8,5,6,4,2,3,8,3,4,6,3,6,3,8,3,6,9,14,1,6,2,6,3,7,3
19,5,4,5,7,5,6,5,9,8,4,3,7,6,5,6,4,2,3,8,2,4,7,4,5,3,9,5,6,8,12,4,7,2,5,3,8
20,3,7,4,5,9,4,6,6,8,8,6,4,7,7,5,6,4,2,3,8,2,4,8,3,5,3,11,5,6,9,2,4,8,2,5,3
21,8,2,7,4,6,8,4,7,7,8,8,7,5,6,8,7,6,4,3,3,8,2,4,8,4,5,5,11,5,7,8,2,4,7,3,5
22,4,9,2,6,5,5,8,5,6,7,11,11,6,5,8,8,7,6,5,3,3,8,3,4,7,5,5,4,13,3,3,8,3,4,7,5
23,5,6,7,2,6,4,4,7,4,7,5,11,12,6,5,8,8,7,7,5,3,4,9,2,7,7,3,7,5,11,4,4,9,2,6,7
24,7,5,6,6,2,7,4,5,7,5,7,5,11,13,6,4,8,8,7,7,5,4,3,11,2,9,9,5,8,5,5,5,3,11,2,8
25,4,8,4,4,6,3,6,5,5,8,5,7,6,11,14,6,4,8,11,6,5,5,4,3,11,2,10,10,6,7,5,6,5,3,11,2
26,7,1,8,4,4,5,3,6,5,8,9,5,7,7,9,14,7,4,8,9,5,3,6,5,5,12,3,13,8,11,5,4,7,6,6,12
27,2,6,3,10,3,6,4,3,6,5,8,10,6,7,8,9,14,8,9,8,9,4,3,5,5,5,13,4,11,9,9,5,4,6,5,6
28,6,2,5,2,8,5,5,6,3,6,6,6,10,4,6,8,9,14,10,10,9,7,5,3,8,5,4,14,4,11,9,8,6,3,9,5
29,2,5,3,5,2,9,5,5,7,4,6,6,8,10,4,6,7,11,14,7,11,9,11,5,5,7,6,5,12,5,10,9,12,6,5,8
30,6,3,5,3,5,2,9,6,5,8,5,6,7,8,11,4,8,7,11,14,6,9,10,12,7,8,7,6,6,13,5,8,9,13,9,7
31,6,6,3,4,3,5,3,10,6,5,8,5,8,7,10,10,4,11,7,10,14,5,9,9,18,6,11,7,8,6,14,5,8,9,15,9
32,3,7,6,3,4,3,6,3,9,6,8,10,5,8,6,10,9,4,12,7,14,10,7,9,11,18,7,11,6,8,13,11,7,8,12,15
33,3,3,7,5,3,4,3,6,3,10,7,8,10,5,8,5,11,9,4,11,6,14,13,8,12,12,22,9,13,10,6,14,14,8,10,13
34,8,3,2,7,5,3,4,3,6,3,11,6,7,9,7,8,5,10,10,4,12,7,13,13,12,16,14,21,10,13,12,7,12,14,11,16
35,2,9,4,2,7,5,3,5,4,6,5,10,6,7,12,7,8,6,10,10,5,11,8,14,14,15,16,12,21,10,5,11,8,13,13,14
36,3,2,10,3,1,7,5,3,5,4,6,5,10,6,8,11,7,8,6,13,10,6,12,7,17,14,19,20,14,19,10,6,12,7,14,13
37,2,4,2,8,2,3,7,5,3,6,4,6,6,9,6,9,10,7,8,6,10,10,6,14,8,18,14,18,21,15,11,11,6,13,8,15
38,5,2,3,2,7,2,2,7,5,3,5,3,6,6,9,6,9,9,7,8,6,10,10,6,16,7,22,15,20,20,6,11,12,6,14,7
39,6,6,2,3,2,7,2,2,6,5,3,5,4,6,6,9,8,9,8,9,8,6,9,10,5,18,7,18,15,19,8,6,10,12,6,17
40,5,5,5,2,3,3,5,2,3,6,6,3,6,4,6,7,9,8,9,7,9,7,6,10,12,6,18,7,17,15,9,7,7,11,14,7
41,7,4,5,5,2,3,3,5,2,3,8,6,2,6,5,6,7,9,7,9,5,9,8,6,11,12,7,17,8,14,7,9,8,7,12,13
42,5,8,4,5,6,2,3,3,6,3,2,8,7,4,5,5,6,7,9,8,8,4,9,9,10,14,12,7,16,7,8,6,9,9,10,14
43,7,6,9,4,5,6,2,3,3,5,2,2,9,7,4,6,5,8,8,9,9,8,5,10,9,10,16,11,7,17,9,8,6,10,10,10
44,7,7,6,9,5,6,6,2,3,3,6,2,2,10,9,4,6,5,8,7,9,7,8,7,11,10,11,15,11,8,9,7,8,7,10,10
45,5,7,8,6,9,4,6,6,2,3,3,6,2,2,10,9,4,5,5,8,7,9,7,10,8,11,10,11,14,12,7,9,7,9,9,10
46,3,5,7,8,7,9,4,6,7,2,4,4,6,3,2,10,9,4,5,5,8,7,9,7,9,7,12,10,11,14,8,7,9,7,8,9
47,4,4,4,7,7,6,9,4,6,7,2,4,4,6,3,2,10,8,5,5,5,9,6,10,7,11,7,12,13,10,5,9,6,10,7,10
48,5,4,3,4,7,6,6,9,4,7,7,2,4,3,5,3,3,10,8,5,5,4,9,6,11,7,12,8,12,13,5,5,9,6,10,7
49,8,4,4,4,4,7,6,7,9,4,8,7,3,4,3,5,3,3,10,8,5,5,4,9,6,11,7,12,9,10,5,5,5,9,6,10
50,7,9,4,4,3,4,6,6,7,8,5,8,7,3,4,3,5,3,2,9,8,5,6,4,10,7,11,7,13,9,8,5,6,5,10,7
51,5,6,9,5,5,3,4,6,6,6,9,5,8,7,3,4,3,5,2,2,8,8,4,7,7,10,8,12,7,12,7,8,4,7,6,10
