ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,11,6,5,3,2,4,6,2,7,6,9,10,10,10,14,9,14,19,12,11,13,13,10,13,11,16,16,16,8,11,13,13,11,14,11
1,6,2,11,6,5,3,4,4,5,2,8,7,12,9,9,12,17,4,14,19,10,9,15,12,10,13,10,17,13,17,10,9,15,14,11,13
2,10,8,2,11,5,6,4,2,3,5,2,7,8,11,8,10,13,16,6,15,19,11,10,16,13,9,13,9,15,13,19,11,10,16,15,10
3,6,10,7,3,11,4,6,2,2,5,5,1,8,8,11,9,9,11,17,5,14,18,12,11,14,10,8,13,9,17,15,18,12,10,14,13
4,11,6,9,8,3,10,4,7,2,1,5,5,3,8,8,11,10,9,9,17,5,17,19,13,11,15,10,10,13,10,6,17,19,12,11,15
5,13,12,8,11,7,3,11,5,5,1,0,6,5,3,10,8,11,10,9,9,17,4,16,20,12,12,15,10,10,13,17,4,17,21,12,12
6,5,13,13,8,12,8,5,13,5,5,3,3,8,4,3,9,8,11,10,9,9,20,5,14,22,12,14,17,10,11,9,20,5,17,23,12
7,15,5,13,15,9,10,9,4,14,5,3,2,4,8,4,4,9,7,12,13,8,8,20,7,14,21,10,14,17,12,9,8,20,7,17,22
8,15,13,6,12,14,10,11,9,3,11,5,5,2,4,7,4,4,7,5,14,13,10,8,20,8,15,23,11,13,20,13,10,9,21,7,17
9,18,16,13,6,13,14,11,11,8,2,12,5,6,2,4,9,3,5,6,5,14,14,10,9,20,7,15,22,14,13,15,14,10,8,20,6
10,9,17,14,15,7,12,14,10,11,9,3,12,6,6,2,4,9,4,5,8,7,15,14,10,9,20,6,17,21,16,7,15,14,10,8,20
11,13,8,17,13,16,7,15,13,9,11,10,3,13,7,6,1,5,8,7,6,8,7,14,16,10,9,20,7,17,22,8,7,14,15,10,8
12,14,12,10,17,14,16,7,15,14,9,11,10,4,13,7,7,4,5,7,8,6,8,7,13,16,10,9,20,6,17,6,8,7,14,15,10
13,16,13,13,11,17,14,17,6,16,13,9,11,10,5,15,6,6,3,6,7,8,6,8,6,15,17,10,9,19,7,8,6,8,6,16,16
