ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,4,4,9,6,7,6,1,8,7,6,11,10,13,1,9,7,6,3,11,5,16,12,13,19,14,18,16,15,18,21,17,12,14,19,14,17
1,10,5,5,10,6,7,5,2,8,9,8,11,9,12,2,10,8,6,5,14,5,16,12,15,20,17,17,14,16,16,5,17,14,14,19,17
2,5,10,6,5,9,7,10,5,5,8,9,8,12,10,13,2,10,7,7,7,15,6,17,13,14,24,20,17,15,16,14,6,18,15,14,21
3,2,5,10,6,5,11,7,10,6,5,7,6,8,11,11,10,3,10,7,8,8,15,6,19,13,15,23,18,18,17,6,14,7,19,15,15
4,10,3,5,10,6,5,10,7,10,7,6,8,7,7,13,12,11,3,11,8,8,7,16,9,20,15,15,20,17,17,9,5,15,7,20,16
5,5,10,3,6,11,6,5,10,7,11,8,10,8,7,7,13,12,11,4,11,8,8,9,18,11,22,15,17,21,18,8,10,8,17,9,21
6,13,6,11,4,5,11,7,5,10,7,12,6,12,8,7,7,13,11,10,5,11,7,7,8,16,11,21,14,17,20,10,7,9,7,16,9
7,10,12,7,11,5,6,11,7,5,10,8,13,6,12,8,4,6,14,12,11,6,12,8,11,8,17,11,22,14,16,7,11,8,13,8,17
8,10,7,12,6,12,5,6,14,7,4,11,7,13,7,12,9,4,6,14,13,12,5,12,8,14,8,15,9,22,16,12,5,11,8,16,9
9,8,11,7,13,7,11,5,5,13,7,5,14,7,11,7,12,8,4,7,14,14,12,4,12,8,14,9,15,10,22,14,13,5,12,8,15
10,10,8,13,8,13,8,12,6,6,13,9,6,15,8,13,7,12,8,8,8,14,13,14,4,14,8,15,10,15,10,14,12,14,4,14,8
11,10,9,8,12,9,13,8,12,5,7,14,9,6,16,9,11,8,12,8,8,9,14,15,14,4,16,8,14,11,15,9,13,14,14,4,17
12,7,10,9,8,12,10,13,8,14,5,7,14,9,7,16,10,12,9,12,8,7,9,14,15,16,5,16,8,13,11,7,9,13,14,16,5
13,6,7,10,8,8,13,10,12,8,14,6,7,15,9,6,16,10,12,9,11,9,7,10,15,15,17,5,19,8,14,9,7,10,14,14,17
14,9,5,7,9,10,9,13,9,13,8,18,7,8,15,9,6,16,9,12,9,11,9,9,11,14,15,17,5,18,8,11,9,9,11,13,15
15,22,9,5,7,10,10,9,15,11,13,9,19,5,8,14,9,6,16,9,11,10,11,11,8,12,14,15,16,5,19,10,11,11,8,12,13
16,10,21,9,4,7,11,10,10,16,11,13,9,19,4,8,14,9,7,16,9,10,10,11,12,8,12,14,12,17,5,11,10,11,12,8,13
17,9,11,21,9,4,6,10,10,10,16,12,13,9,19,4,8,13,11,7,16,10,10,10,12,12,7,11,13,13,17,10,12,10,12,12,8
18,6,9,12,21,9,4,7,8,11,10,16,12,13,11,17,4,8,13,13,7,16,9,14,10,15,11,7,12,13,13,14,9,14,10,17,11
19,11,5,9,12,21,9,2,6,12,11,11,16,12,14,11,17,6,9,13,13,7,17,11,12,11,16,11,8,14,12,6,15,11,13,10,18
20,13,11,6,10,12,19,10,3,6,11,14,10,18,12,13,11,18,6,10,13,13,8,19,11,11,11,16,11,10,14,12,7,18,11,13,10
