ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,None,2,2,4,4,None,5,3,1,2,3,None,None,5,2,3,1,2,1,3,2,2,2,None,2,2,None,1,3,2,2,2,2,None,2,2
1,4,None,1,2,4,4,1,5,3,1,3,3,None,None,5,2,3,1,2,1,3,2,1,2,None,2,2,None,1,3,3,2,1,2,None,2
2,6,3,None,1,2,5,4,None,5,4,2,3,2,None,None,5,2,3,2,2,1,3,2,2,2,None,2,2,None,1,1,3,2,2,2,None
3,5,6,3,None,1,2,5,4,None,4,3,2,4,2,None,None,5,2,3,2,2,1,3,2,2,2,None,2,2,None,2,1,2,2,2,2
4,1,5,6,3,None,1,2,5,4,None,4,3,2,4,2,None,None,5,2,3,2,3,1,3,1,2,2,None,2,2,3,3,1,2,1,2
5,2,1,4,6,3,None,1,2,4,4,1,4,3,2,3,2,None,None,5,2,4,2,2,1,3,1,2,2,None,2,4,3,2,1,2,1
6,2,3,1,4,6,3,None,1,2,4,4,2,4,3,2,3,2,None,None,4,2,4,2,2,None,3,1,2,2,None,2,4,3,2,None,2
7,5,2,3,1,4,6,3,None,1,1,5,4,2,4,3,2,3,3,None,None,4,2,4,2,2,None,3,1,2,2,4,2,4,3,2,None
8,2,4,2,3,1,4,6,3,None,1,2,5,4,2,4,3,2,3,3,None,None,4,2,4,2,2,None,3,1,2,None,4,2,4,3,2
9,2,2,4,2,3,1,4,6,3,None,2,2,5,3,3,4,3,2,3,3,None,None,3,2,4,2,2,None,3,1,None,None,3,2,4,3
10,3,2,2,4,2,3,1,4,6,3,None,2,2,5,3,2,4,3,2,3,2,None,None,4,1,4,2,2,None,1,2,None,None,4,1,4
11,1,3,2,2,4,2,3,1,4,6,3,None,2,2,5,3,2,4,3,3,3,2,None,None,2,1,4,2,2,None,3,2,None,None,3,1
12,1,1,3,2,2,4,2,3,1,4,7,3,None,2,3,4,3,2,4,3,3,2,2,None,None,2,1,4,3,2,2,2,2,None,None,3
13,None,1,1,3,2,2,4,2,3,1,4,7,3,None,2,3,4,3,2,4,3,3,2,2,None,None,2,1,4,2,3,2,2,2,None,None
14,5,None,1,1,3,2,2,4,2,3,1,4,6,3,None,2,3,4,3,2,4,3,2,2,2,None,None,2,1,4,4,3,2,2,2,None
15,3,5,None,1,1,3,2,2,4,2,4,1,4,6,3,None,2,3,4,3,2,4,3,2,2,2,1,None,2,1,2,4,3,2,2,2
16,3,3,5,None,1,1,3,2,2,4,2,4,1,4,6,3,None,2,3,4,3,1,4,3,2,2,2,1,None,2,3,1,4,3,2,2
17,5,3,3,5,None,1,1,3,2,2,4,2,4,1,4,6,3,None,2,3,5,3,1,4,3,2,2,2,1,None,5,3,1,4,3,2
18,4,5,2,2,5,None,1,1,3,2,3,4,2,4,1,4,5,3,None,2,3,4,3,1,4,3,2,2,2,1,3,5,3,1,4,3
19,5,4,4,2,2,5,None,1,1,3,3,3,4,2,4,1,4,5,3,None,2,3,4,3,1,4,3,2,2,2,2,3,5,3,1,4
20,3,5,4,3,1,4,5,None,1,1,3,5,4,4,2,4,1,3,5,3,None,2,3,4,3,1,4,3,3,2,1,2,3,5,3,1
21,2,3,5,5,3,1,3,4,None,1,2,3,5,4,4,2,4,1,4,5,3,None,2,3,4,3,1,4,3,3,3,None,2,3,5,3
22,8,2,3,5,5,2,None,3,4,1,2,2,3,5,4,4,2,4,1,4,4,3,None,2,3,4,3,1,4,3,4,3,None,2,3,5
23,4,8,2,3,4,5,2,None,3,5,None,2,3,3,4,4,5,2,4,1,4,3,3,None,2,3,4,3,1,4,4,3,3,None,2,3
24,1,4,8,2,3,4,5,2,None,3,5,None,2,3,3,4,4,5,2,4,1,4,3,3,None,2,3,4,3,1,1,4,3,3,None,2
25,4,3,5,8,2,4,4,5,1,3,3,5,None,2,3,2,3,4,5,2,4,1,4,3,3,None,2,3,5,3,4,1,4,3,3,None
26,1,5,2,5,7,2,3,5,5,4,3,3,4,None,2,3,2,3,5,5,2,4,1,4,3,3,None,2,3,5,3,4,1,4,3,3
27,1,1,5,2,4,7,2,3,4,6,4,3,3,4,None,2,3,2,3,6,5,2,4,1,4,3,4,None,2,3,5,3,4,1,4,3
28,6,2,1,5,2,3,6,2,3,5,7,3,2,1,4,None,1,3,2,2,5,4,2,4,1,3,4,4,None,2,5,5,3,4,1,3
29,1,5,1,3,5,2,3,6,2,6,5,7,2,2,1,4,None,1,3,2,2,5,5,2,4,1,3,4,4,None,3,5,5,3,4,1
30,2,1,5,1,4,6,3,4,5,2,4,6,7,2,2,1,4,None,3,3,2,2,5,5,6,4,1,3,4,3,2,3,5,5,6,4
31,3,3,1,4,1,2,6,2,4,4,2,5,5,7,3,2,1,4,None,3,3,2,2,5,6,4,4,1,2,4,2,2,3,5,6,4
32,3,4,3,1,4,1,2,6,1,4,6,2,5,4,7,3,2,1,6,None,3,4,2,2,5,5,3,4,1,2,2,2,2,3,5,5
33,2,6,3,3,1,4,1,2,6,1,4,6,2,5,4,7,3,2,1,6,None,3,4,2,2,5,5,3,4,1,None,2,2,2,3,4
34,4,1,4,3,2,1,4,None,2,6,2,5,6,2,5,4,7,3,2,1,6,None,2,5,2,2,5,4,4,5,5,None,2,3,2,3
35,2,4,1,4,3,2,1,4,None,2,8,2,5,6,3,4,4,6,3,3,1,6,None,2,5,2,1,5,5,4,1,6,None,2,3,2
36,3,3,4,1,4,3,2,1,4,None,2,8,2,5,7,2,4,3,5,3,3,1,6,None,2,5,2,1,5,5,3,1,6,None,2,3
37,None,3,3,4,1,4,4,2,1,5,1,2,8,2,4,7,1,4,3,5,3,3,1,6,None,2,6,2,2,3,3,3,1,5,None,2
38,5,None,3,3,2,1,4,3,2,1,6,1,2,8,2,4,5,4,4,3,5,2,3,1,5,None,2,6,1,2,5,2,3,1,5,None
39,5,4,None,3,3,2,2,5,3,1,1,6,1,2,8,1,4,5,4,4,3,5,2,3,1,5,1,2,4,1,3,5,2,3,1,5
40,4,5,4,None,3,3,2,1,4,3,2,2,5,1,1,8,1,4,5,4,4,3,5,2,3,1,5,1,2,4,4,3,5,2,3,1
41,5,4,5,4,None,3,2,1,2,4,4,2,2,5,1,1,8,1,4,5,3,4,3,5,2,3,1,5,None,2,3,4,3,5,2,3
42,3,4,4,5,3,None,3,3,1,1,5,4,3,2,6,None,1,8,1,5,4,3,4,3,5,2,3,1,5,None,5,3,4,3,5,2
43,3,3,4,5,5,3,None,3,2,2,2,5,4,3,2,6,None,3,6,1,5,4,3,4,2,5,2,3,1,5,5,5,3,4,2,5
44,2,4,3,4,4,4,3,None,3,2,2,2,4,4,3,2,5,None,3,6,2,5,4,3,4,2,5,2,3,1,2,5,5,3,4,2
45,3,2,4,4,3,4,4,3,None,3,3,2,2,4,4,3,2,5,1,3,6,2,5,4,3,4,2,5,2,3,5,2,5,5,3,4
46,3,3,2,3,5,3,4,4,3,None,3,3,2,2,4,4,3,2,5,1,3,7,1,5,4,3,4,2,5,2,3,6,1,5,5,3
47,6,3,3,3,3,4,3,4,4,3,None,3,3,2,2,4,3,3,2,5,1,2,5,1,5,4,3,4,2,5,1,2,6,1,5,5
48,5,4,3,3,2,3,4,3,3,4,4,None,3,3,2,2,4,3,3,2,1,1,2,5,1,5,6,3,4,2,1,1,2,6,1,5
49,2,5,5,3,2,2,3,4,3,3,5,4,None,3,3,2,2,4,3,2,1,1,1,2,5,1,5,6,3,4,1,1,1,2,6,1
50,4,3,5,4,3,2,2,3,4,3,3,5,4,None,3,3,2,2,4,4,2,1,1,1,2,5,1,6,6,3,3,1,1,1,2,6
51,2,4,3,5,4,3,2,2,3,4,3,3,5,4,1,3,3,2,2,4,4,2,1,1,1,2,4,1,6,6,4,3,1,1,1,2
52,1,2,4,3,5,4,3,1,2,3,4,3,3,4,4,1,3,3,2,2,4,4,2,1,1,1,2,4,1,6,4,4,3,1,1,1
53,5,None,2,4,4,5,4,3,1,2,4,7,3,3,4,4,1,3,3,2,2,4,4,2,1,1,1,2,5,1,2,4,4,3,1,1
54,3,4,None,2,4,2,5,4,3,4,2,4,6,3,3,4,4,1,3,3,2,1,4,4,2,1,1,1,2,5,3,1,4,4,3,1
55,None,4,4,None,2,4,3,5,4,3,4,2,4,6,3,3,4,4,1,3,3,2,1,4,3,2,1,1,1,2,3,3,1,4,3,3
56,2,None,4,4,None,1,4,2,5,4,4,4,2,4,6,3,4,3,4,1,3,3,2,1,5,3,1,1,1,1,3,3,3,1,5,3
57,2,2,None,4,4,None,1,4,2,5,4,4,4,2,4,6,3,4,3,4,1,3,3,2,1,5,3,1,1,1,1,3,3,3,1,5
58,3,2,2,None,4,4,None,1,4,2,5,4,4,4,2,4,6,3,4,3,4,1,3,3,4,1,5,3,1,1,4,1,3,3,4,1
59,None,3,2,2,None,4,4,None,1,4,1,5,4,4,3,2,4,5,4,4,3,4,1,3,3,4,1,5,3,1,3,4,1,3,3,4
60,3,None,3,2,2,1,4,4,None,2,4,1,5,4,4,3,2,4,5,4,4,3,4,1,2,3,4,1,5,3,4,3,4,1,2,3
61,2,3,None,3,2,2,None,4,4,None,3,4,1,5,4,4,3,2,3,3,5,4,4,3,2,2,2,4,1,5,5,4,4,3,2,2
62,2,1,2,None,3,2,2,None,4,4,1,3,4,1,7,4,3,3,2,3,2,5,4,4,3,2,2,2,4,1,2,5,4,4,3,2
63,None,2,1,2,None,3,2,2,None,4,4,1,3,4,1,7,4,3,3,2,3,2,5,4,4,3,2,2,2,4,3,2,5,4,4,3
64,2,1,2,1,1,None,3,2,2,None,4,4,1,2,4,None,7,4,3,3,2,3,2,4,4,4,3,2,2,2,2,3,2,4,4,4
65,1,2,None,2,1,1,None,3,2,2,1,4,3,1,1,4,None,7,4,3,3,3,3,2,4,4,4,4,2,2,3,3,3,2,4,4
66,None,1,2,None,2,1,1,None,3,2,2,1,4,3,1,1,3,1,7,4,3,3,3,3,2,4,4,3,4,2,4,3,3,3,2,4
67,3,None,1,2,None,2,1,1,None,2,3,2,1,4,3,1,1,3,1,7,4,3,3,3,3,2,4,4,3,4,4,4,3,3,3,2
68,1,3,None,1,3,None,2,1,1,2,2,3,2,1,3,3,1,1,3,2,6,4,4,3,3,3,2,4,4,3,5,4,4,3,3,3
69,None,2,3,None,1,3,None,2,1,3,2,2,3,1,1,3,2,1,1,3,2,6,4,4,3,3,2,2,4,4,2,5,4,4,3,3
70,6,None,3,3,None,1,2,None,2,1,2,2,2,3,1,1,3,2,1,1,3,2,6,4,4,3,3,2,2,4,3,2,5,4,4,3
71,None,6,None,2,3,None,1,2,None,2,1,1,2,2,2,1,1,3,1,1,1,3,2,6,4,4,3,3,2,2,1,3,2,5,4,4
72,None,None,6,None,2,3,None,1,2,None,3,1,1,2,2,2,1,1,2,1,1,1,2,2,6,4,4,3,3,2,1,1,2,2,5,4
73,None,None,None,5,None,2,3,None,1,1,1,3,1,None,2,2,2,1,1,2,1,1,1,2,2,5,4,4,3,3,1,1,1,2,2,4
74,1,None,None,None,4,1,2,4,None,None,1,1,1,1,None,2,2,2,1,1,2,1,1,1,2,2,5,4,4,3,2,1,1,1,2,2
75,1,1,None,None,None,3,1,2,3,None,None,1,1,1,1,None,2,2,2,1,1,1,1,1,1,2,2,5,4,3,1,1,1,1,1,2
76,1,None,1,None,None,None,3,None,2,3,None,None,1,1,1,1,None,2,2,2,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1
77,None,1,None,1,None,None,None,2,None,2,3,None,None,1,1,1,1,None,2,2,2,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
78,None,None,1,None,1,None,None,None,2,None,2,3,None,None,1,1,1,1,None,2,1,2,1,None,1,1,1,1,2,2,1,2,1,None,1,1
79,None,None,None,None,None,1,None,None,None,2,None,1,2,None,None,1,1,1,None,None,2,1,2,1,None,1,1,1,1,1,2,1,2,1,None,1
80,1,None,None,None,None,1,1,None,None,None,2,None,1,1,None,None,1,1,1,None,None,2,1,2,1,None,1,1,1,1,None,2,1,2,1,None
81,None,1,None,None,None,None,None,1,None,None,None,2,None,1,1,None,None,1,1,1,None,None,2,None,2,1,None,1,1,1,None,None,2,1,2,1
82,None,None,1,None,None,None,None,None,1,None,None,None,2,None,1,1,None,None,1,1,1,None,None,2,None,2,1,None,1,1,1,None,None,2,1,2
83,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,1,1,None,None,None,1,1,None,None,2,None,2,1,None,1,1,1,None,None,2,1
84,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,1,None,None,None,1,1,None,None,2,None,2,1,None,None,1,1,None,None,2
85,1,1,1,None,None,1,1,1,1,1,1,1,None,None,None,2,None,None,2,None,None,None,1,1,None,None,1,None,2,1,None,None,1,1,None,None
86,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,2,None,None,None,1,1,None,None,1,1,2,None,None,None,1,1,None
87,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,2,None,None,None,None,1,None,None,1,None,2,None,None,None,None,1
88,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,2,None,None,None,None,None,None,None,1,None,2,None,None,None,None
89,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None
90,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None,None
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
