ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,40,42,46,44,47,46,45,39,49,45,32,49,57,43,59,51,52,36,44,35,44,52,54,47,40,59,35,44,46,41,39,52,57,45,40,60
1,38,41,46,48,44,46,46,42,38,51,38,29,59,58,33,59,47,52,31,42,34,46,51,54,48,40,58,37,47,43,37,39,53,55,45,40
2,34,36,43,44,44,40,41,47,42,38,39,39,33,60,54,34,55,42,48,27,41,31,46,53,50,43,36,58,33,47,39,35,40,49,52,40
3,37,32,34,41,41,39,40,41,45,42,35,42,39,30,57,51,38,54,37,47,30,45,27,43,49,46,48,34,57,35,30,40,31,43,48,47
4,36,35,34,37,39,39,34,42,42,42,36,31,42,41,32,58,43,38,54,35,49,29,43,27,41,49,42,49,38,60,49,31,41,29,41,48
5,35,38,37,34,40,42,40,32,42,43,42,35,30,45,39,35,57,40,38,51,34,49,33,42,29,41,52,49,47,41,36,52,35,40,27,41
6,40,33,40,38,35,40,43,43,35,38,38,42,35,36,43,38,34,55,45,36,50,38,48,34,38,28,40,52,48,45,49,40,49,36,41,26
7,29,37,34,38,35,34,40,45,44,36,37,39,45,37,40,42,42,36,59,44,34,52,36,49,33,36,27,42,51,52,38,51,40,50,35,39
8,39,28,41,33,37,33,36,40,43,42,35,35,42,45,39,38,37,42,41,58,41,36,55,34,51,32,37,31,45,51,42,37,52,41,53,35
9,37,38,31,39,31,37,32,34,42,48,43,36,38,44,47,38,41,39,42,44,55,38,36,53,33,47,34,36,32,44,54,41,35,52,37,49
10,32,35,45,29,39,33,36,34,34,42,44,40,35,35,44,46,37,44,39,38,44,55,40,35,53,35,45,40,36,34,46,53,45,35,55,38
11,31,33,37,41,29,41,35,36,35,33,38,45,40,34,34,42,40,37,43,41,42,42,54,41,32,49,37,48,36,36,41,43,57,47,34,51
12,29,30,35,36,45,28,38,34,34,34,35,38,46,41,34,34,46,39,38,41,43,44,43,58,43,35,47,33,46,35,43,44,43,63,48,36
13,25,29,31,33,37,45,29,41,33,36,37,34,39,48,45,39,34,48,41,37,42,45,42,42,59,45,34,48,36,45,45,46,43,43,63,47
14,35,24,32,31,34,40,43,28,38,32,39,34,35,41,47,45,40,35,48,44,42,45,41,44,44,61,43,34,49,35,44,49,43,44,43,66
15,36,36,20,32,32,36,38,42,29,37,33,38,37,35,43,49,42,40,38,48,44,40,47,40,45,44,61,45,37,51,45,44,49,43,41,44
16,26,35,38,20,34,32,37,38,46,28,38,31,39,36,38,41,50,44,40,39,50,45,40,45,43,40,43,59,45,37,51,46,43,47,42,40
17,28,26,31,36,21,35,31,37,40,46,31,39,34,41,38,40,40,53,45,41,41,52,44,41,47,44,40,43,57,44,41,53,44,45,49,44
18,31,25,28,30,36,22,36,31,37,38,46,31,41,32,42,36,43,42,54,47,42,42,52,49,41,44,47,40,45,60,42,44,54,48,44,47
19,20,31,25,26,35,31,23,37,31,39,40,44,30,41,37,42,37,40,43,52,45,44,43,50,52,37,48,48,39,43,47,44,45,54,53,40
20,38,21,30,25,30,37,31,23,39,34,41,41,45,31,38,39,44,41,42,42,55,47,43,44,51,52,39,51,47,38,51,50,42,47,54,54
21,29,38,24,28,26,28,34,31,26,39,39,41,41,45,34,38,42,45,42,42,42,53,42,40,45,51,56,40,49,51,40,52,46,44,47,55
22,21,29,41,25,28,26,28,34,34,30,40,38,41,41,47,33,39,44,48,41,45,42,55,47,37,43,51,58,37,47,43,40,55,50,41,44
23,32,28,37,44,33,33,24,28,32,34,35,43,37,42,40,44,39,42,49,47,43,47,44,55,53,41,40,53,58,39,40,45,41,55,54,43
24,30,33,30,33,44,37,32,24,36,40,38,35,53,43,41,46,50,42,41,52,49,44,51,46,55,58,43,42,55,61,48,41,49,44,59,59
25,36,35,34,29,34,44,37,38,30,45,47,40,40,57,45,40,43,56,43,42,53,50,47,50,48,56,54,41,41,52,51,49,43,48,49,60
26,34,41,34,36,24,34,42,39,40,34,51,51,52,43,61,51,42,48,60,38,41,55,50,46,52,46,56,57,48,43,37,54,51,47,49,47
27,36,32,43,36,40,24,30,42,37,46,37,59,54,52,55,63,53,45,49,58,42,48,62,53,48,50,41,56,57,46,40,38,60,57,47,48
28,30,37,40,41,34,39,25,32,46,42,46,45,64,61,55,59,61,55,52,45,62,38,48,63,50,46,49,40,56,55,59,39,40,59,53,45
29,31,29,40,38,36,37,44,25,34,46,44,50,51,62,57,54,52,57,61,56,57,63,38,48,61,48,49,54,43,59,57,62,39,43,58,53
30,37,28,30,41,37,40,37,40,29,43,51,53,53,54,61,54,44,54,63,52,59,52,59,40,43,57,54,52,52,44,59,55,66,39,46,55
31,23,36,28,30,43,37,42,40,41,29,43,50,57,54,55,61,51,47,58,69,54,63,53,55,46,43,54,59,49,47,53,60,58,53,42,48
32,35,24,38,27,33,39,39,41,39,40,32,44,52,54,52,55,65,50,47,56,69,56,65,55,53,47,47,53,63,46,68,53,65,61,54,44
33,22,33,30,38,25,33,38,37,37,39,42,33,43,53,55,54,58,67,58,52,57,65,60,71,50,52,54,49,57,54,56,66,55,72,58,53
34,34,21,32,28,38,27,33,39,38,38,39,44,35,48,52,52,49,61,63,58,50,54,62,67,67,48,57,59,49,57,52,56,70,70,68,55
35,26,33,23,31,31,37,25,34,42,39,43,41,45,36,45,55,55,46,62,59,63,55,61,56,64,66,51,64,54,49,64,52,59,57,66,67
36,23,25,30,23,28,30,37,25,34,40,37,41,43,43,37,45,58,51,50,65,61,60,53,63,58,63,68,50,60,52,60,62,53,68,58,66
37,21,21,30,30,25,28,30,38,28,35,38,41,43,45,42,36,45,54,52,49,61,64,60,57,59,54,60,70,47,63,57,61,62,56,67,55
