ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,2,4,2,1,1,2,4,2,1,1,2,6,2,0,3,5,3,0,5,3,4,2,6,1,2,7,7,6,5,3,4,2,5,1,2
1,1,2,2,4,1,1,1,2,5,3,1,1,2,6,2,2,3,6,2,0,5,1,4,2,8,2,2,6,7,6,5,1,4,2,7,2
2,4,1,2,2,4,1,1,1,2,4,4,1,1,2,5,2,2,3,6,3,1,5,1,4,1,8,4,2,6,7,1,5,1,4,1,7
3,0,3,1,3,2,5,1,2,1,2,4,4,1,1,2,5,1,2,4,7,3,1,4,1,4,1,8,3,2,6,3,1,4,1,4,1
4,3,0,1,1,2,2,5,1,1,3,5,4,4,2,1,2,5,3,2,4,7,4,1,4,3,4,1,7,3,4,7,4,1,4,2,4
5,1,4,0,1,1,3,2,5,1,2,1,5,4,4,2,2,2,5,4,2,4,7,3,2,3,3,4,1,5,3,4,7,3,2,3,2
6,5,1,3,0,2,1,2,2,5,1,2,1,2,4,3,3,2,2,5,4,2,4,7,3,3,3,3,4,1,6,2,4,7,3,3,3
7,4,6,1,4,1,3,1,2,2,5,1,2,1,2,4,3,3,2,2,5,4,3,4,7,3,4,2,1,4,1,4,3,4,7,3,4
8,4,4,5,2,4,2,3,3,1,2,5,1,3,2,2,3,4,4,2,2,5,3,3,4,7,3,3,2,1,4,5,3,3,4,7,3
9,5,4,3,5,2,3,2,2,1,3,3,5,2,3,2,3,3,4,4,2,3,5,3,3,5,7,4,3,3,1,3,5,3,3,5,7
10,8,4,4,3,6,2,3,1,3,2,1,3,5,2,3,2,3,3,4,4,2,4,5,3,3,6,8,4,3,3,2,4,5,3,3,6
11,5,7,4,5,4,7,2,2,1,1,2,2,2,5,2,3,2,3,3,4,4,2,4,6,3,3,5,8,5,3,4,2,4,6,3,3
12,2,3,10,5,5,6,7,3,2,1,2,2,2,2,4,3,3,2,3,3,4,3,2,3,5,3,4,5,8,5,4,3,2,3,6,3
13,5,2,3,9,5,4,6,7,2,2,1,2,2,3,2,4,3,3,2,3,3,4,3,2,3,5,3,4,5,8,3,4,3,2,3,6
14,3,4,2,3,9,6,4,4,7,2,2,1,1,2,3,2,4,3,3,2,3,3,4,3,2,3,5,3,4,5,3,3,4,3,2,3
15,5,2,3,3,4,8,6,4,4,8,3,2,1,1,2,3,2,5,3,2,2,4,3,5,3,2,3,5,3,4,2,4,3,5,3,2
16,4,5,3,3,3,5,8,6,5,4,7,3,2,1,1,2,4,2,6,2,2,2,3,3,5,3,2,3,5,3,2,2,3,3,5,3
17,4,4,4,3,3,3,6,9,8,8,4,7,3,2,1,1,2,5,2,5,2,2,2,3,4,5,4,2,3,5,2,2,2,3,4,5
18,7,3,6,6,4,5,4,5,9,5,5,4,7,2,2,1,2,3,5,2,5,2,2,3,5,6,5,4,3,4,6,2,2,3,4,5
19,6,8,3,5,5,3,5,4,6,9,6,5,4,6,2,1,3,1,3,5,2,5,4,3,3,5,5,5,5,4,2,6,3,2,3,4
20,4,5,6,4,5,4,2,2,2,6,10,6,4,4,6,4,1,2,1,3,5,2,3,4,3,3,6,5,5,5,5,2,4,3,2,3
21,2,3,5,6,4,3,4,2,2,3,5,9,5,6,5,8,4,1,1,2,3,5,3,4,4,3,2,5,6,5,3,5,2,5,3,2
22,10,0,2,6,6,3,3,4,2,3,3,5,9,4,6,6,8,4,1,1,3,5,3,4,7,4,5,3,2,6,3,5,4,3,7,4
23,1,9,0,2,6,6,5,3,4,2,4,6,5,8,3,6,6,9,4,1,1,3,4,2,5,9,6,7,2,2,1,3,5,3,4,9
24,6,2,9,0,3,6,5,5,4,4,4,4,6,4,8,4,6,7,8,3,1,1,5,5,2,7,10,3,4,2,1,1,4,5,3,6
25,2,5,2,10,0,3,7,5,4,3,5,4,4,7,4,9,4,6,7,8,4,1,4,6,5,3,6,9,3,3,6,1,3,5,5,4
26,2,1,4,2,10,2,4,7,4,4,4,5,4,4,6,9,10,6,7,7,6,4,3,5,6,6,4,7,8,3,6,5,3,4,6,6
27,3,2,1,5,2,10,3,4,7,4,4,4,5,4,5,6,8,10,7,7,7,4,5,3,4,6,5,2,7,9,7,4,6,3,4,6
28,1,3,2,1,3,2,10,2,3,10,5,4,4,6,4,8,6,8,10,7,7,7,6,10,2,5,7,5,1,8,4,7,6,10,2,5
29,2,1,4,2,0,4,2,10,4,4,9,5,4,5,5,5,9,6,8,12,7,8,6,6,12,3,6,6,6,1,7,5,6,6,12,3
30,0,2,3,3,3,0,4,4,11,2,3,8,6,4,5,4,5,8,6,8,11,8,12,6,4,11,2,4,6,6,11,8,6,6,5,11
31,4,0,2,2,5,3,0,6,3,10,3,3,8,5,5,5,4,4,8,5,8,11,9,11,9,5,10,2,3,6,7,12,9,6,9,5
32,0,5,0,2,2,3,3,1,5,3,11,2,2,9,5,6,5,6,6,8,5,8,11,9,9,9,4,9,2,2,4,7,11,10,6,9
33,3,0,4,0,5,2,3,3,1,5,5,11,2,3,9,5,6,5,7,4,8,6,7,12,8,7,9,5,8,3,7,5,6,12,9,5
34,4,2,0,4,0,5,2,4,2,1,6,5,13,2,2,9,5,6,5,7,4,7,5,7,12,8,6,9,5,8,5,7,5,7,12,9
35,4,3,3,2,4,0,4,2,4,1,2,6,5,12,1,3,9,5,7,5,7,4,7,5,8,9,10,8,10,6,6,5,7,5,7,10
36,2,3,3,3,2,4,0,5,2,3,2,2,5,5,11,2,4,8,5,4,5,7,5,4,6,7,8,12,5,9,5,6,6,5,6,7
37,2,2,2,4,2,3,4,1,4,2,4,3,2,5,4,11,2,4,8,6,5,5,6,5,3,6,6,8,13,6,5,5,6,5,4,6
38,5,3,2,2,4,3,2,4,1,4,2,4,3,3,5,5,10,3,3,10,6,6,5,6,4,3,6,6,8,11,7,6,5,6,5,4
39,1,4,2,2,2,4,3,1,4,1,5,0,3,3,2,5,6,10,3,4,12,7,6,5,7,6,6,6,6,9,13,8,7,5,6,6
40,4,0,5,2,2,2,4,3,1,4,1,5,0,2,3,3,5,5,10,2,4,11,6,6,5,8,6,6,7,6,4,12,6,7,5,7
41,3,3,0,6,2,2,2,4,4,1,5,1,4,0,2,2,3,6,4,12,2,4,10,7,6,5,8,7,6,7,2,4,11,7,7,5
42,8,2,4,0,6,2,2,3,4,3,2,5,1,4,0,2,2,3,7,4,12,1,4,9,7,8,5,8,7,6,14,1,4,11,7,8
43,0,8,2,3,0,6,2,2,2,5,4,2,5,2,5,0,1,3,3,7,3,12,1,4,10,7,10,7,9,7,3,14,1,4,11,7
44,3,0,7,2,3,0,6,2,2,2,5,4,3,5,2,5,0,1,3,3,8,3,12,1,4,9,8,10,6,9,7,2,13,1,4,10
45,5,2,0,7,2,3,0,6,2,2,3,5,4,3,5,2,4,0,1,3,3,9,2,12,1,4,10,9,12,4,3,8,2,13,1,4
46,0,5,2,0,8,2,3,0,6,2,2,3,4,4,1,5,2,4,0,1,3,3,7,2,13,1,4,10,9,13,3,3,7,2,13,1
47,2,0,5,2,0,8,2,3,0,7,3,2,3,4,4,2,5,2,3,1,1,3,3,7,2,13,1,5,10,10,1,3,3,7,2,13
48,5,2,0,5,4,0,8,2,3,0,6,3,2,3,3,4,2,5,2,4,1,1,4,3,8,2,13,1,6,10,2,1,4,3,8,2
49,5,4,2,1,4,5,0,7,2,3,2,8,3,1,2,3,4,1,5,3,4,1,1,3,3,8,2,12,1,6,5,2,1,4,3,8
50,7,5,4,2,1,4,4,0,7,2,4,2,8,3,1,3,4,4,1,5,2,4,3,2,4,2,7,2,11,1,2,5,3,2,4,2
51,5,7,5,5,2,0,5,4,0,7,3,4,2,8,3,1,3,4,4,1,5,1,4,3,1,4,3,6,2,10,5,1,5,3,1,4
52,4,7,7,5,4,2,0,5,4,0,8,3,4,2,8,3,2,3,4,4,1,5,0,3,3,1,4,3,6,2,1,5,1,4,3,1
53,4,4,6,7,5,4,3,0,5,3,1,8,3,4,2,8,3,2,4,5,5,2,5,1,3,3,1,4,2,5,5,2,5,1,4,3
