ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,666,756,666,609,640,594,601,675,650,672,573,622,560,574,549,551,616,556,614,555,619,620,653,714,654,654,725,667,704,678,626,623,648,705,652,667
1,748,667,745,663,598,635,604,590,674,647,640,575,621,561,576,554,547,607,560,623,552,624,621,638,707,659,660,736,674,694,542,625,637,626,716,660
2,793,736,666,737,671,603,644,612,586,668,606,631,573,614,560,578,557,545,595,555,629,540,619,620,638,709,657,652,732,678,630,541,645,622,639,716
3,887,795,739,677,744,662,597,628,612,574,627,593,635,571,606,557,584,562,561,597,545,625,547,621,626,644,709,660,654,740,544,635,545,628,642,648
4,919,892,791,736,676,746,664,592,635,621,547,630,597,636,559,604,562,593,574,555,591,550,626,554,617,626,651,711,654,667,588,545,632,548,635,641
5,1017,921,889,781,743,676,740,660,586,629,590,543,624,586,640,564,603,566,589,577,568,591,560,621,566,629,636,643,724,660,564,591,551,624,592,643
6,1160,1020,921,892,784,727,671,730,663,585,594,587,548,618,587,643,566,607,573,595,591,574,597,559,621,588,639,631,646,718,585,569,598,553,636,608
7,1256,1167,1016,916,893,770,729,675,726,655,567,596,590,547,623,595,645,566,609,572,596,602,581,606,564,630,595,646,634,648,598,591,575,617,589,644
8,1304,1255,1159,1011,922,894,763,727,673,721,642,571,606,593,543,624,597,646,566,611,576,601,595,581,612,573,639,598,643,640,575,605,597,575,631,592
9,1302,1298,1252,1150,1015,916,891,764,728,675,695,640,575,604,588,542,623,601,647,575,618,588,602,595,588,615,585,648,595,658,617,582,624,602,615,632
10,1341,1303,1301,1246,1149,1008,915,885,768,725,647,691,640,577,610,586,543,629,602,653,583,623,591,610,601,594,634,598,645,610,582,625,587,612,618,619
11,1362,1349,1310,1302,1248,1155,997,911,888,765,707,642,700,640,574,607,586,544,631,611,656,593,629,604,617,601,605,634,600,647,658,590,630,584,628,618
12,1321,1358,1351,1313,1310,1244,1146,985,906,893,752,707,640,700,649,572,607,587,549,636,623,657,599,635,614,627,611,604,642,602,624,666,594,626,625,637
13,1289,1311,1356,1357,1313,1307,1238,1147,988,908,886,754,709,643,703,657,575,610,589,558,643,628,668,606,639,619,631,621,607,649,644,631,670,591,661,630
14,1353,1286,1309,1351,1366,1311,1302,1233,1153,980,906,880,753,716,647,700,662,577,624,593,556,645,631,675,616,644,630,635,623,620,558,650,635,667,641,664
15,1267,1360,1298,1306,1356,1373,1307,1296,1225,1152,971,895,879,759,717,649,703,662,580,632,600,562,652,647,679,621,651,634,646,635,604,562,653,633,706,645
16,1326,1266,1366,1288,1316,1355,1384,1306,1292,1232,1143,971,900,884,755,718,650,708,657,581,640,603,568,661,652,681,634,667,636,650,640,607,565,672,685,705
17,1363,1313,1275,1365,1303,1324,1353,1398,1307,1292,1227,1140,966,890,886,754,718,647,712,663,585,641,610,583,668,655,689,639,674,645,597,653,610,565,691,688
18,1298,1363,1322,1281,1370,1302,1323,1358,1413,1313,1295,1227,1132,964,894,883,754,713,652,712,666,583,647,615,597,678,665,702,652,687,676,608,665,611,628,699
19,1362,1320,1437,1353,1305,1389,1304,1323,1359,1424,1309,1292,1227,1131,961,897,875,752,713,654,708,663,581,647,617,604,686,669,713,665,715,685,616,654,647,629
20,1336,1380,1367,1511,1417,1328,1403,1329,1348,1389,1445,1332,1296,1232,1137,957,891,876,755,717,658,705,669,582,653,612,624,684,676,715,662,713,697,611,678,644
21,1309,1345,1420,1414,1527,1437,1353,1409,1350,1373,1397,1457,1336,1290,1237,1131,954,891,884,759,727,656,709,670,584,658,626,641,703,689,731,660,715,687,630,687
22,1281,1299,1354,1439,1435,1543,1444,1368,1418,1349,1366,1383,1446,1331,1294,1247,1116,954,891,885,762,733,669,709,668,591,675,648,648,707,765,728,662,742,703,640
23,1162,1260,1295,1360,1474,1428,1494,1434,1374,1414,1345,1364,1373,1443,1322,1294,1233,1120,966,900,893,774,747,684,710,677,619,701,659,661,908,760,729,706,756,715
24,1198,1150,1237,1302,1352,1445,1431,1496,1445,1390,1425,1341,1358,1377,1434,1321,1301,1230,1109,971,895,920,810,748,688,718,693,634,703,674,911,902,761,772,723,759
25,1167,1200,1142,1230,1292,1349,1421,1422,1466,1412,1383,1417,1335,1354,1365,1421,1309,1299,1229,1113,978,888,938,821,761,689,749,711,657,722,981,920,903,771,800,723
26,1193,1154,1180,1131,1225,1260,1346,1401,1407,1448,1410,1363,1393,1327,1345,1357,1384,1300,1302,1230,1116,985,930,946,820,778,720,771,726,670,1118,974,920,972,863,821
27,1090,1183,1145,1166,1112,1206,1256,1345,1359,1374,1417,1367,1332,1379,1302,1329,1349,1348,1298,1295,1222,1145,1007,939,942,834,787,731,797,753,1224,1111,974,969,994,884
28,1047,1068,1164,1139,1159,1112,1182,1241,1321,1342,1336,1383,1336,1290,1352,1299,1291,1309,1304,1276,1281,1223,1163,1025,950,932,869,811,737,822,1285,1218,1110,986,1004,990
29,1008,1033,1046,1166,1140,1147,1099,1163,1235,1284,1297,1295,1355,1312,1267,1322,1266,1282,1276,1269,1266,1266,1256,1166,1028,957,949,879,793,760,1288,1280,1217,1223,1102,1013
30,1035,1003,1023,1042,1166,1131,1135,1096,1139,1219,1270,1263,1266,1320,1293,1249,1317,1234,1262,1267,1249,1249,1261,1257,1158,1040,967,962,872,839,1254,1289,1313,1294,1237,1116
31,1103,1030,987,1029,1023,1143,1142,1119,1088,1139,1186,1236,1243,1240,1295,1284,1242,1317,1212,1246,1248,1255,1257,1265,1259,1141,1040,977,961,892,1252,1251,1286,1285,1321,1229
32,1152,1098,1018,978,1035,1012,1140,1127,1118,1066,1138,1166,1221,1217,1222,1292,1267,1222,1315,1189,1243,1225,1265,1248,1270,1263,1134,1029,973,959,1242,1251,1248,1279,1308,1331
33,1322,1158,1094,1013,977,1029,994,1131,1116,1097,1048,1099,1150,1204,1195,1217,1285,1249,1209,1288,1193,1252,1249,1274,1237,1250,1249,1123,1014,973,1184,1242,1247,1316,1295,1299
34,1330,1313,1155,1099,1033,969,1035,993,1122,1103,1097,1028,1084,1155,1191,1182,1218,1281,1246,1208,1296,1206,1253,1257,1275,1236,1252,1274,1132,1004,1322,1185,1238,1277,1342,1295
35,1464,1325,1300,1163,1086,1023,972,1035,990,1107,1088,1087,1029,1082,1154,1184,1176,1213,1281,1248,1217,1308,1210,1244,1255,1279,1215,1234,1245,1125,1210,1335,1181,1279,1297,1341
36,1190,1469,1316,1279,1156,1081,1009,968,1031,981,1105,1084,1074,1019,1067,1157,1178,1151,1200,1272,1239,1215,1313,1217,1248,1256,1286,1211,1233,1236,1242,1214,1348,1256,1306,1298
37,1136,1187,1446,1312,1274,1146,1078,1004,971,1030,982,1101,1078,1074,1004,1074,1148,1184,1156,1211,1274,1246,1225,1309,1218,1238,1252,1291,1201,1226,1275,1246,1211,1314,1285,1289
38,1039,1133,1185,1442,1318,1270,1155,1073,988,966,1010,970,1097,1072,1069,996,1054,1145,1178,1153,1201,1273,1230,1220,1301,1218,1228,1250,1281,1201,1202,1281,1242,1255,1335,1287
39,1078,1039,1127,1174,1442,1316,1261,1154,1068,976,952,1010,960,1081,1064,1058,989,1051,1140,1170,1157,1213,1282,1227,1214,1294,1222,1243,1244,1276,1158,1207,1278,1251,1266,1332
40,1069,1084,1025,1127,1169,1445,1297,1245,1150,1060,976,944,1000,967,1082,1055,1050,985,1041,1151,1173,1158,1212,1278,1220,1219,1298,1225,1246,1247,1176,1163,1205,1323,1275,1268
41,1151,1058,1083,1017,1116,1162,1423,1290,1245,1151,1057,974,938,996,957,1065,1052,1046,976,1035,1143,1180,1165,1220,1285,1224,1215,1298,1205,1235,1145,1181,1161,1198,1349,1273
42,1117,1163,1048,1082,1012,1112,1162,1411,1282,1236,1140,1051,967,934,983,945,1060,1045,1045,975,1033,1141,1181,1175,1218,1283,1223,1223,1290,1205,1034,1150,1179,1153,1287,1345
43,1195,1113,1154,1051,1077,1010,1100,1157,1406,1274,1217,1136,1044,959,929,983,940,1055,1039,1038,962,1039,1141,1177,1186,1233,1283,1225,1214,1295,968,1038,1149,1204,1243,1293
44,1069,1201,1104,1155,1052,1075,1010,1110,1169,1404,1267,1209,1129,1040,951,933,979,938,1059,1043,1024,966,1040,1133,1195,1188,1237,1290,1239,1213,1029,971,1038,1157,1242,1243
45,1013,1063,1195,1104,1157,1039,1068,1006,1107,1171,1398,1263,1198,1119,1040,945,930,968,937,1059,1043,1025,978,1045,1135,1196,1196,1237,1304,1243,1057,1031,971,1028,1180,1243
46,1013,1011,1057,1200,1095,1145,1041,1062,997,1089,1163,1390,1261,1195,1108,1039,937,918,959,927,1052,1046,1027,977,1043,1133,1208,1215,1231,1303,1059,1058,1031,961,1095,1177
47,1013,1012,1005,1053,1195,1093,1136,1028,1061,982,1084,1147,1378,1258,1188,1100,1032,935,917,946,921,1050,1047,1031,971,1047,1137,1211,1211,1230,921,1059,1073,1060,1021,1096
48,977,1008,1001,1000,1043,1197,1092,1127,1015,1057,984,1078,1139,1371,1257,1176,1093,1022,925,918,940,923,1056,1057,1036,965,1043,1135,1206,1205,940,921,1060,1061,1081,1012
49,1038,975,996,1002,994,1038,1193,1076,1124,1010,1048,971,1077,1135,1352,1249,1166,1086,1021,925,914,935,923,1064,1060,1030,979,1044,1116,1201,914,937,921,1046,1087,1075
50,1105,1030,972,990,994,983,1031,1187,1070,1120,1005,1054,964,1062,1124,1343,1242,1153,1077,1013,925,922,928,926,1058,1047,1036,978,1043,1107,922,910,939,909,1108,1073
51,1122,1096,1018,968,984,993,975,1035,1177,1064,1114,997,1050,951,1053,1121,1330,1233,1152,1065,1008,927,912,935,928,1053,1041,1039,979,1031,1006,918,912,926,962,1105
52,1049,1121,1087,1018,966,977,990,967,1019,1166,1062,1105,990,1044,938,1043,1109,1316,1220,1151,1056,1008,925,905,932,931,1056,1035,1042,976,1050,1000,919,921,969,961
53,1078,1042,1111,1079,1019,960,968,981,958,1021,1155,1054,1092,983,1033,937,1037,1095,1314,1209,1142,1054,1004,924,907,925,924,1048,1023,1033,1136,1042,1001,906,937,960
54,1092,1061,1040,1098,1062,1011,954,958,977,952,1011,1144,1046,1089,968,1032,928,1030,1084,1294,1204,1142,1057,1005,924,902,926,922,1044,1021,1217,1127,1043,985,957,932
55,1074,1083,1046,1032,1085,1062,996,950,952,970,953,1005,1128,1028,1083,956,1021,920,1025,1063,1284,1208,1143,1049,1005,922,900,924,916,1037,1278,1233,1127,1026,1030,956
56,1146,1059,1070,1041,1013,1070,1058,985,946,949,953,945,997,1111,1026,1072,944,1011,908,1018,1059,1275,1198,1136,1052,1002,929,891,922,919,1051,1267,1222,1109,1076,1025
57,1181,1136,1051,1051,1029,1003,1052,1040,987,945,928,931,934,986,1100,1021,1052,930,1002,900,1019,1061,1275,1186,1136,1045,988,926,887,910,1010,1040,1265,1187,1163,1066
58,1141,1160,1116,1031,1045,1021,988,1046,1024,978,932,915,919,928,977,1085,999,1029,923,994,889,1012,1058,1267,1177,1126,1040,978,922,885,881,998,1037,1242,1195,1152
59,1202,1120,1155,1091,1015,1026,1002,987,1030,1018,958,920,912,917,916,961,1078,987,1018,919,979,886,1007,1051,1267,1176,1121,1036,972,919,969,871,994,1017,1309,1192
60,1285,1188,1101,1139,1083,1010,1010,991,972,1026,1003,943,905,894,905,902,952,1064,972,1002,905,964,880,1001,1033,1252,1159,1113,1028,967,915,958,867,974,1057,1288
