ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,11,12,10,22,12,16,7,7,17,11,11,11,6,6,7,9,5,6,6,9,13,6,6,7,12,10,8,8,7,10,13,6,6,7,12
1,11,11,11,12,10,24,10,16,7,7,17,10,11,11,7,6,7,8,6,7,7,10,13,6,7,7,9,10,7,7,7,11,13,6,7,7
2,20,12,11,11,15,10,24,9,16,7,5,16,10,11,11,8,6,7,9,6,7,8,10,13,6,7,6,9,9,6,7,7,11,13,6,7
3,7,22,12,11,12,13,9,24,7,16,7,6,16,10,11,11,7,5,7,8,6,5,9,12,12,6,7,6,9,10,5,5,9,13,12,6
4,11,7,21,12,11,10,12,11,23,9,15,7,6,15,10,11,11,7,3,7,6,5,5,9,12,13,8,7,6,9,7,4,5,9,13,13
5,18,13,7,20,13,11,9,13,11,22,7,15,7,6,16,11,11,11,7,3,7,6,4,5,7,13,12,8,8,7,7,7,4,4,7,13
6,20,17,13,8,20,12,10,10,12,9,23,7,15,6,5,14,10,12,11,6,3,7,6,3,6,7,14,11,7,8,3,7,7,3,5,7
7,25,20,17,14,8,19,12,10,10,12,7,23,6,15,6,5,13,11,13,12,6,3,7,6,3,5,7,13,11,7,6,3,7,7,5,4
8,11,23,19,16,14,8,18,12,10,10,11,7,23,6,15,5,6,12,11,12,12,6,5,6,8,4,5,7,12,12,12,6,5,6,8,5
9,13,12,24,19,17,14,9,18,12,11,11,11,7,23,7,15,5,6,10,11,12,12,6,5,6,8,4,5,7,12,12,12,6,5,6,8
10,19,12,12,26,19,17,14,8,17,12,12,12,10,7,23,7,15,5,6,9,11,12,9,6,5,6,8,4,4,8,10,12,11,6,6,6
11,11,18,12,14,25,18,17,15,8,17,13,12,13,9,7,23,9,15,7,6,9,10,12,9,6,5,7,8,4,4,9,9,12,11,6,6
12,12,11,19,12,12,25,18,17,14,9,18,13,12,12,9,7,23,9,15,7,6,9,7,12,11,6,5,7,8,7,7,9,8,13,12,5
