ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,34,40,39,45,35,28,34,31,33,31,25,28,37,21,34,26,36,23,20,25,25,23,27,28,20,19,19,17,25,16,25,23,26,28,20,19
1,34,35,37,37,43,33,29,31,26,33,26,26,29,35,21,31,25,33,22,20,23,24,23,29,28,21,19,16,15,25,23,24,23,27,28,20
2,41,33,33,32,35,41,34,29,32,27,30,27,27,30,35,20,30,24,32,22,21,25,25,23,29,28,22,19,18,16,22,25,23,23,27,28
3,47,41,32,34,30,33,40,31,27,31,26,30,27,27,30,33,20,28,23,31,23,21,25,23,23,28,27,22,18,17,22,22,25,21,23,27
4,44,43,39,32,35,30,31,39,31,29,29,26,30,28,29,30,35,20,25,22,30,20,21,26,24,24,28,27,21,18,29,21,22,26,22,24
5,35,43,44,39,30,35,29,32,38,30,30,29,25,31,26,30,30,35,19,24,19,30,20,22,24,21,23,28,29,24,19,30,21,22,25,21
6,38,32,42,42,39,31,35,27,30,34,31,31,30,25,31,26,29,30,34,19,25,19,31,21,21,24,22,23,28,28,26,18,31,21,21,26
7,50,37,32,41,40,40,30,36,27,30,32,30,29,30,24,32,27,29,30,34,19,24,19,31,21,23,23,22,23,27,20,25,18,31,21,22
8,52,50,37,32,39,40,36,31,34,25,26,34,30,27,30,22,31,27,31,30,32,20,24,19,32,21,24,23,23,23,32,20,25,18,32,21
9,29,53,49,37,31,38,36,37,31,33,25,26,34,30,28,31,23,30,27,30,30,31,20,23,18,33,21,23,23,23,30,32,20,24,18,32
10,54,29,52,48,37,33,36,35,36,30,34,25,26,34,32,26,31,24,31,29,30,30,31,19,23,18,34,21,23,23,29,30,32,20,24,17
11,43,53,27,53,47,38,33,35,34,36,29,35,25,26,34,32,27,31,24,30,28,31,32,31,19,23,18,33,21,23,29,31,32,32,19,24
12,57,41,52,25,53,48,39,32,33,32,35,28,35,25,26,34,32,28,31,25,31,28,31,32,31,19,23,18,33,21,30,30,31,32,32,20
13,39,58,38,52,24,52,46,39,31,32,32,35,26,35,25,26,35,31,29,30,25,31,29,31,32,31,19,23,19,32,26,31,30,31,32,32
14,46,39,56,37,49,23,49,45,38,32,30,32,35,26,35,25,25,35,31,30,29,24,30,29,28,31,33,19,24,19,27,25,31,31,30,31
15,39,45,33,55,34,49,22,49,45,36,29,30,31,35,26,34,21,24,35,30,31,31,24,30,30,28,31,33,20,24,28,30,25,31,32,30
16,43,37,44,31,54,33,48,21,48,45,33,29,30,30,35,27,31,21,25,34,31,31,31,23,30,29,28,31,33,20,31,29,30,24,31,31
17,51,43,36,45,31,55,32,47,21,47,45,33,28,30,31,35,28,32,21,25,33,32,31,31,23,30,30,28,31,33,32,32,29,30,24,31
18,48,52,43,34,43,30,56,32,45,20,49,44,33,28,30,31,33,28,32,21,23,34,31,31,31,23,31,30,28,30,26,34,32,29,30,24
19,56,45,50,42,34,43,30,56,32,41,22,48,44,33,27,30,32,33,29,30,20,24,36,31,31,31,24,31,28,30,22,27,35,32,29,29
20,46,55,45,48,43,32,41,27,51,31,43,23,47,44,33,27,30,32,33,28,30,20,23,33,30,31,32,24,31,27,30,22,24,34,31,30
21,53,46,55,44,47,44,30,38,28,50,28,44,23,48,44,31,25,28,33,33,25,30,19,23,32,30,32,30,25,34,27,29,21,24,33,31
22,48,53,45,54,43,46,43,28,33,27,51,27,42,23,49,42,29,24,29,32,30,24,28,17,25,34,29,29,30,25,30,26,27,19,26,35
23,48,47,51,44,48,41,47,39,25,33,25,46,27,41,24,49,41,28,22,28,30,31,25,29,17,24,35,25,26,29,30,32,27,28,19,25
24,40,49,43,48,44,41,39,43,38,22,30,26,47,25,41,25,47,42,29,20,25,27,31,22,30,17,23,33,25,27,25,28,32,24,28,19
25,36,41,46,40,40,45,38,36,38,37,22,28,25,46,26,42,28,45,39,30,17,25,27,30,23,26,20,20,30,25,18,27,28,31,25,25
26,38,32,40,43,41,38,44,36,35,37,37,22,28,24,44,26,41,28,41,37,26,17,25,24,29,24,26,21,20,29,28,17,26,26,29,25
27,53,37,32,35,42,40,35,42,35,35,38,34,22,28,24,41,24,35,27,38,35,24,16,25,25,26,26,24,21,20,31,26,17,26,26,27
28,25,47,35,30,35,36,36,28,40,35,34,39,34,20,28,24,39,21,34,23,38,35,21,15,23,22,23,23,23,20,36,32,23,16,23,24
29,37,22,48,34,29,34,32,33,28,37,32,34,38,33,21,28,22,37,19,32,23,37,36,20,15,25,23,25,22,23,21,35,33,20,16,24
30,34,36,20,42,32,30,32,28,31,25,35,31,34,39,31,20,26,18,34,18,32,24,38,37,20,17,27,22,26,23,33,21,37,34,21,18
31,43,33,33,20,42,32,28,30,25,30,25,33,32,33,38,31,19,26,17,33,19,33,24,36,34,20,21,26,22,26,20,34,21,34,32,21
32,37,42,33,33,20,40,29,28,30,24,26,26,34,31,33,39,31,18,25,16,32,19,32,25,35,32,26,20,23,22,32,21,32,22,32,31
33,35,35,41,32,34,18,38,29,27,29,22,27,27,29,31,32,38,30,17,24,16,32,20,29,26,33,33,25,20,24,18,34,21,29,23,30
34,24,35,35,40,33,33,17,37,28,27,29,21,26,25,32,31,31,38,30,17,25,15,30,19,25,26,34,32,21,18,24,17,33,21,27,24
35,26,26,34,32,36,31,31,17,33,27,26,29,20,26,26,31,31,30,38,27,18,24,15,31,16,23,25,35,31,23,18,23,15,34,20,26
36,29,26,24,31,31,35,30,30,18,33,26,27,29,21,26,25,31,30,29,37,26,19,23,16,32,18,23,23,34,33,25,17,23,16,34,20
37,23,28,24,23,29,29,35,30,28,17,30,26,26,29,22,27,26,31,29,29,37,26,18,23,17,34,19,22,22,34,37,25,16,23,16,35
38,26,24,29,23,22,27,28,35,30,28,19,31,26,26,29,22,27,24,31,28,29,37,27,17,23,19,33,22,23,23,27,37,26,16,23,19
39,19,23,23,28,21,23,27,28,33,29,28,20,29,26,25,29,21,26,24,31,26,28,39,28,17,23,19,33,23,22,27,28,39,27,16,23
40,15,19,22,21,27,20,21,25,27,32,27,28,21,29,28,25,29,22,26,24,30,23,27,38,27,17,22,19,32,22,32,26,28,38,26,16
41,29,14,17,20,21,26,19,20,24,26,29,29,27,21,28,28,25,29,22,27,24,30,24,26,40,27,17,22,18,30,26,32,26,28,40,26
42,29,28,13,17,20,20,25,19,20,22,24,28,29,27,20,27,27,25,29,22,27,25,30,25,28,39,27,17,22,18,26,28,31,27,29,38
43,26,28,28,11,16,19,20,24,17,19,24,24,27,29,27,19,28,26,24,29,21,29,27,28,24,28,39,28,18,22,22,28,30,28,26,29
44,17,24,25,26,11,14,18,20,24,16,20,24,24,27,29,27,18,28,26,24,29,21,28,27,29,24,28,39,28,17,28,22,28,29,29,26
45,19,18,23,24,26,11,13,18,18,24,17,20,24,23,26,29,27,18,31,24,22,28,22,28,29,27,27,31,39,26,23,28,22,27,31,27
46,28,20,17,22,25,25,11,12,17,17,24,18,19,24,23,26,29,26,18,30,25,22,28,22,28,31,29,26,31,39,24,23,29,22,27,31
47,26,28,20,16,22,23,24,13,12,17,18,23,18,19,23,23,26,28,26,18,30,26,22,28,20,28,35,29,27,30,30,27,23,28,20,27
48,35,26,27,19,16,21,23,24,12,11,18,17,20,19,19,22,22,26,28,26,18,30,26,22,28,19,28,32,29,27,19,31,27,23,28,19
49,23,34,26,27,20,16,20,21,23,11,14,18,17,20,19,19,21,23,25,28,26,17,30,26,22,27,19,27,31,28,25,17,31,26,23,27
50,17,23,34,27,26,20,16,21,21,23,10,15,18,16,20,19,19,20,23,25,27,27,17,29,25,24,28,19,26,29,25,26,17,31,25,24
51,24,17,23,34,26,26,20,16,22,20,24,10,17,18,16,20,19,19,21,22,24,26,27,18,32,25,24,28,21,27,24,24,26,18,33,25
52,22,22,17,22,34,26,26,20,16,22,20,24,10,16,18,16,20,18,18,21,22,25,25,27,18,32,25,24,28,20,26,25,24,26,18,33
53,30,23,22,18,21,34,26,24,21,16,23,20,24,10,16,17,16,20,17,18,22,22,24,25,27,18,31,25,25,28,22,26,25,24,26,18
54,17,29,22,22,19,21,34,28,23,20,17,23,18,24,9,16,18,15,20,16,18,22,22,23,23,27,17,31,24,25,19,22,26,24,22,26
55,29,17,30,21,22,21,21,33,25,23,21,17,23,19,24,9,16,18,15,20,16,18,22,22,25,22,25,17,33,23,17,19,21,26,25,21
56,28,27,16,31,23,21,19,21,33,24,23,21,17,23,20,24,11,16,19,15,20,14,18,21,23,24,22,27,17,32,20,14,19,21,26,25
57,19,27,26,16,31,22,21,18,20,33,24,22,21,17,23,21,23,11,16,19,15,20,14,18,21,23,23,23,27,18,16,20,14,19,21,26
58,33,20,26,26,16,32,24,21,19,20,32,24,22,21,17,24,21,24,11,16,18,14,20,15,20,21,23,23,24,27,19,15,20,15,20,21
59,30,32,20,26,27,17,31,23,21,18,23,32,23,22,21,17,24,21,24,11,14,18,14,20,15,20,21,23,25,23,12,19,15,20,15,20
60,23,30,32,19,25,25,17,31,22,21,18,22,31,23,22,21,17,23,23,20,11,14,18,14,21,15,21,21,25,24,11,12,19,15,21,15
61,13,21,29,30,18,24,28,14,31,22,22,18,22,31,23,21,21,14,23,22,19,11,14,18,14,21,16,21,22,25,21,11,12,19,15,21
62,16,14,22,26,28,20,23,26,14,31,23,22,18,21,31,22,21,21,14,23,21,19,11,14,18,14,22,15,21,24,19,21,11,12,19,15
63,6,16,14,22,26,27,18,23,26,14,32,24,22,18,21,30,21,20,20,13,24,20,21,10,14,18,14,22,15,20,25,18,22,10,12,19
64,10,7,16,13,21,26,26,17,22,23,14,30,23,22,18,21,29,21,20,19,12,23,20,21,10,14,18,14,23,14,12,23,18,22,10,12
65,11,9,6,16,12,19,27,26,19,21,24,12,30,22,22,18,21,29,22,19,19,12,24,20,21,10,14,17,15,23,19,12,24,18,22,10
66,26,11,9,7,16,11,20,26,23,19,21,21,11,29,22,22,17,22,27,22,19,20,12,24,20,21,10,13,18,16,20,20,12,24,18,22
67,17,25,9,9,8,16,10,20,26,23,21,22,23,11,28,22,22,17,22,26,22,19,19,11,23,20,21,10,12,18,22,19,19,12,23,18
68,18,16,26,9,8,7,16,12,18,25,24,21,22,23,11,26,21,23,17,21,26,22,19,19,11,22,20,23,10,13,26,22,19,19,12,22
69,14,17,14,22,9,8,7,14,11,17,25,23,21,20,21,9,25,20,23,17,21,25,22,19,18,11,22,19,23,9,21,25,22,19,18,12
70,16,16,18,12,22,10,6,6,14,10,18,24,23,19,19,21,8,25,19,23,16,21,25,21,18,16,10,23,17,23,16,21,25,21,18,16
71,18,15,14,15,12,21,9,6,6,13,10,17,23,22,19,17,20,8,25,18,23,15,21,24,20,18,15,10,24,17,23,15,21,24,20,18
72,13,16,15,12,15,12,20,9,5,6,12,10,17,22,21,18,16,20,8,25,18,23,14,19,23,20,18,15,11,24,17,23,14,20,22,20
73,19,13,15,13,12,15,11,19,8,5,7,12,9,16,21,18,17,15,20,8,23,17,22,13,19,23,21,18,15,11,24,16,22,13,20,22
74,8,19,12,13,12,12,14,9,18,7,6,7,12,9,16,20,17,16,15,20,8,23,17,22,13,18,21,20,18,15,8,23,15,22,13,19
75,10,6,17,11,12,12,11,14,9,18,7,5,7,12,10,16,20,16,14,14,16,7,23,17,20,13,18,21,20,18,15,7,23,15,20,13
