ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,47,33,43,39,46,27,40,48,52,50,32,57,44,38,55,33,53,46,61,49,61,57,55,46,62,48,69,51,61,62,58,58,53,47,64,46
1,43,46,30,40,38,47,29,40,50,52,48,35,58,45,37,56,34,51,50,60,51,62,60,53,50,61,42,67,51,65,53,62,61,51,50,61
2,49,41,47,30,41,38,46,27,40,52,48,49,34,57,46,38,58,35,50,51,57,51,59,60,52,51,59,43,70,51,57,52,63,60,50,51
3,46,47,43,48,32,42,38,50,27,39,49,54,47,34,57,47,39,58,37,51,53,59,53,57,59,55,49,56,47,69,54,57,53,64,60,53
4,45,49,50,42,48,37,41,41,50,28,35,49,52,45,38,54,48,38,60,35,52,55,59,56,58,59,55,44,58,47,50,54,55,57,57,60
5,53,45,50,48,43,47,36,40,42,47,28,34,47,52,47,42,54,47,40,62,35,54,54,58,56,57,54,55,45,58,36,51,51,55,57,57
6,61,54,44,52,47,43,47,36,41,43,48,28,33,44,52,48,41,53,47,43,63,34,51,52,56,57,60,54,54,44,60,34,50,48,54,57
7,58,60,56,44,51,46,42,46,38,43,46,52,26,33,44,52,48,45,52,49,45,60,35,53,51,57,62,60,55,50,44,61,36,52,47,55
8,69,55,61,56,45,53,44,43,47,36,39,47,52,25,36,45,52,50,42,53,50,44,59,36,55,51,57,61,60,54,48,43,59,36,54,48
9,63,70,56,62,54,44,53,45,43,50,37,41,46,50,25,38,43,52,52,44,52,51,44,60,39,57,50,56,57,57,54,48,43,60,40,55
10,57,65,72,55,60,54,46,54,46,44,47,37,41,46,50,24,38,45,52,53,43,52,52,47,62,39,54,49,55,56,44,54,49,46,61,40
11,69,58,65,68,56,60,55,46,53,45,41,47,37,41,48,50,25,40,46,55,56,41,52,52,46,62,40,54,48,55,55,42,54,48,46,61
12,71,70,57,66,70,56,60,55,46,53,44,44,45,36,40,48,50,26,39,48,55,53,43,53,52,46,59,40,52,49,58,52,43,55,47,45
13,64,74,71,59,65,67,55,62,54,48,54,44,45,46,36,41,47,52,27,41,50,53,55,42,56,52,45,59,37,51,53,56,55,43,57,48
14,63,65,72,72,59,66,66,55,61,55,45,54,43,45,46,40,42,47,51,28,44,53,54,53,45,56,51,44,59,37,46,56,57,54,45,57
