ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,8,8,12,14,11,12,6,4,10,10,9,12,8,7,7,4,8,6,9,9,6,5,5,1,8,4,6,3,3,9,8,5,5,1,8
1,10,8,7,9,10,14,10,13,6,3,8,9,9,11,7,7,7,4,8,5,9,9,6,6,5,1,7,4,6,3,9,9,8,6,5,2
2,13,10,8,9,7,10,12,9,12,5,2,9,9,9,11,7,7,7,4,8,5,9,9,6,6,4,1,7,4,6,5,8,9,8,6,4
3,22,14,11,8,8,9,7,13,8,11,4,2,9,9,8,11,7,6,6,4,8,4,8,10,5,6,5,1,7,4,8,4,8,10,7,6
4,15,20,13,10,9,7,8,6,13,6,10,4,1,8,10,8,10,7,6,5,3,8,4,8,7,5,5,4,1,7,3,8,4,8,7,7
5,25,16,19,13,11,9,6,8,6,13,6,10,5,1,8,10,8,10,7,6,5,3,8,4,8,8,5,5,6,1,5,3,8,4,8,8
6,14,25,16,19,13,10,9,6,6,7,8,5,9,4,1,7,10,8,9,7,6,5,3,8,5,8,8,6,5,6,6,5,3,8,5,8
7,16,13,24,18,19,13,10,9,6,7,7,7,5,8,4,1,8,10,8,9,7,6,5,3,8,4,8,8,6,6,7,6,5,3,8,4
8,17,15,14,25,17,17,12,11,8,5,7,6,6,6,8,4,4,8,8,8,9,7,6,6,3,8,4,8,8,8,8,7,6,6,3,8
9,27,17,15,14,23,17,18,12,10,8,6,7,6,6,6,8,4,4,6,8,8,10,7,7,5,3,8,4,8,9,8,9,7,6,5,3
10,20,25,18,16,13,23,17,17,12,9,7,5,7,6,7,6,8,4,4,4,7,8,10,7,7,6,3,8,4,8,8,8,9,7,6,6
11,23,20,25,16,16,13,23,16,17,12,9,7,5,7,6,7,6,8,4,4,4,7,8,10,7,7,6,3,8,4,4,8,9,9,7,6
12,17,21,22,23,15,16,14,23,16,17,11,9,7,5,7,5,8,6,8,4,4,4,6,8,10,6,7,6,3,8,4,4,7,9,9,6
13,14,15,22,19,23,15,16,13,22,15,18,11,9,7,5,7,5,8,6,8,5,4,4,6,8,10,6,7,6,3,4,4,4,7,9,9
14,25,15,16,20,18,23,14,15,13,22,17,18,11,9,7,5,6,5,8,6,8,5,4,4,6,8,10,6,7,7,8,4,4,4,7,9
15,22,24,14,15,20,17,20,13,16,13,23,17,16,11,9,7,4,6,7,7,6,8,5,4,4,6,8,10,6,6,6,8,4,4,4,7
16,29,22,25,15,14,18,15,19,13,15,14,23,17,17,11,9,6,4,6,7,6,6,8,5,4,4,6,8,10,6,6,6,8,4,4,4
17,24,29,21,23,14,13,17,15,17,15,16,13,23,17,16,10,9,7,4,6,7,6,7,8,3,3,4,6,8,9,7,6,7,8,3,3
18,15,23,28,21,22,15,13,17,14,17,16,16,13,23,17,16,10,9,7,4,6,7,6,4,8,4,3,4,6,7,6,7,5,5,8,3
19,21,13,23,27,24,22,15,13,18,14,19,15,17,13,22,16,16,10,9,6,4,6,5,6,4,7,4,3,4,7,5,6,5,6,5,7
20,19,18,13,21,28,21,22,16,10,17,15,19,15,17,13,22,12,13,10,9,6,3,6,5,5,4,7,3,3,4,6,3,6,5,5,5
21,14,14,17,11,19,26,20,20,13,12,17,14,16,16,14,12,22,10,12,10,8,6,3,5,5,5,3,7,3,3,7,6,3,5,5,5
22,16,14,13,17,9,20,25,20,16,11,11,15,17,14,16,14,12,19,9,13,10,8,4,3,6,5,5,1,7,4,10,6,4,3,6,5
23,15,15,11,14,15,11,18,22,17,16,10,10,15,16,15,14,13,11,17,10,13,10,6,3,3,6,5,5,2,6,15,10,5,3,3,6
