ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,7,12,9,5,10,6,13,7,3,8,4,5,4,6,None,3,7,3,3,6,3,7,5,6,2,3,5,6,2,7,3,6,5,6,2
1,7,13,6,12,8,5,10,6,11,7,3,8,4,6,6,6,None,3,7,4,3,6,3,9,6,6,3,2,6,6,3,6,3,8,5,6
2,5,10,13,5,13,9,5,9,6,11,7,4,8,5,6,6,6,None,3,8,5,2,6,4,10,7,6,2,3,6,5,2,6,3,9,6
3,11,5,8,14,5,13,10,5,10,7,11,7,3,9,5,6,6,5,None,4,8,3,2,6,4,10,7,8,2,3,8,4,2,6,3,9
4,17,11,4,8,13,4,13,10,6,10,8,12,7,3,8,4,6,6,5,1,5,8,3,1,6,4,7,6,8,2,6,8,4,1,6,3
5,2,16,12,5,9,12,4,14,9,5,12,8,12,7,4,9,4,6,6,5,1,5,8,3,1,6,4,6,6,8,1,6,8,4,1,6
6,8,3,15,12,5,9,12,6,13,9,5,12,8,12,9,5,10,4,6,5,5,1,5,8,3,2,6,4,6,6,5,1,6,8,4,2
7,17,8,2,15,12,5,9,13,6,13,8,5,12,8,10,9,5,10,4,6,5,5,1,5,8,3,2,6,5,7,6,5,1,5,8,4
8,12,19,7,None,16,11,5,9,11,5,14,8,5,12,8,10,9,5,11,5,7,4,5,None,6,9,3,1,6,5,7,5,5,1,6,9
9,14,12,19,7,1,15,12,5,9,11,4,14,8,5,11,7,11,9,5,11,5,9,4,4,None,6,10,4,1,6,5,8,5,4,1,6
10,18,14,12,18,7,None,15,12,5,9,10,4,13,8,5,11,7,11,9,5,12,5,9,4,5,None,6,9,4,1,10,5,8,5,5,1
11,14,18,15,11,17,8,1,15,11,5,10,10,4,13,7,5,11,7,9,9,5,8,5,9,4,4,None,6,10,4,5,8,5,8,5,4
12,13,14,18,12,11,16,7,1,15,11,6,10,12,5,13,7,5,11,7,9,9,6,8,5,9,4,4,1,6,10,9,6,8,5,8,5
13,12,14,14,19,13,10,17,7,1,15,11,6,10,12,5,13,7,5,11,7,9,9,6,8,5,9,4,4,1,6,9,9,6,8,5,8
14,17,12,14,15,18,11,11,18,8,2,17,11,6,10,12,5,13,7,5,11,7,9,9,6,8,5,9,5,4,1,7,9,9,6,8,5
15,15,16,12,15,16,18,13,10,16,7,2,17,10,6,10,12,5,13,7,5,11,7,9,8,7,8,5,8,5,4,11,7,9,8,7,8
16,24,16,16,12,15,16,18,12,11,17,7,2,14,11,5,10,12,5,13,8,5,11,6,9,8,7,8,5,8,5,5,11,7,9,8,7
17,11,25,16,16,12,14,16,18,12,11,16,7,3,14,11,5,10,12,5,13,8,5,11,6,10,8,7,8,5,8,8,5,11,7,10,8
18,12,11,24,16,16,11,12,16,19,11,10,16,8,3,14,11,5,9,12,5,13,8,4,11,6,10,8,7,8,5,13,8,5,11,7,10
19,15,10,10,23,16,16,11,12,18,19,12,10,16,8,3,14,11,5,8,12,5,13,8,4,11,6,12,8,7,8,6,13,8,4,11,7
20,11,14,10,12,23,18,16,11,12,17,19,12,10,16,8,3,14,11,5,6,11,5,13,8,4,11,6,12,8,7,10,6,13,8,4,11
21,14,12,14,8,11,23,18,16,12,12,19,19,12,10,15,8,3,14,11,6,6,10,5,13,8,4,11,7,12,8,6,9,6,13,8,4
22,15,12,11,14,8,9,23,18,14,9,10,20,19,11,12,16,7,3,13,11,6,7,7,5,13,8,4,10,7,12,6,6,8,6,13,8
23,7,12,11,10,11,8,10,22,19,15,10,10,18,19,10,11,16,6,3,13,10,5,7,7,5,13,7,4,10,7,10,6,7,8,6,13
24,15,6,12,9,11,14,9,8,21,16,15,10,8,17,19,10,11,15,6,3,13,10,5,7,7,5,13,8,4,10,14,10,5,6,8,6
25,5,14,6,11,8,9,13,8,8,18,18,15,9,8,17,19,9,11,14,6,3,12,9,5,6,7,5,12,8,4,2,13,9,5,6,8
26,10,5,14,8,10,8,6,13,9,9,19,17,15,8,9,17,18,8,10,11,7,3,12,9,5,6,6,5,12,7,6,1,13,9,5,6
27,10,10,4,12,6,10,6,6,14,8,8,18,15,17,7,9,15,18,6,10,11,7,3,12,7,5,8,7,5,12,12,7,2,12,7,5
28,14,11,10,4,12,4,10,5,8,14,8,7,17,13,17,7,9,14,18,6,11,11,7,3,11,7,4,8,6,4,10,12,6,2,11,7
29,8,15,9,11,3,12,5,10,4,6,14,8,7,16,13,16,8,9,13,17,6,10,12,7,3,11,6,3,7,8,5,8,13,6,2,11
30,9,7,14,12,10,4,11,6,10,6,6,14,8,6,16,13,15,8,9,12,14,7,9,12,8,2,12,6,4,7,15,6,7,13,7,1
31,8,9,7,12,12,9,3,11,6,9,4,6,14,8,7,16,14,13,8,10,9,14,7,10,13,8,3,13,5,4,8,16,6,8,13,7
32,10,8,8,8,12,12,9,2,11,5,12,3,6,14,8,7,18,14,11,8,11,9,14,8,10,14,7,2,13,6,11,8,16,7,8,14
33,6,9,8,8,7,13,10,9,3,12,4,11,3,7,15,7,7,17,14,11,8,11,9,14,8,9,15,9,2,13,8,10,8,16,7,7
34,8,6,11,8,8,8,12,10,8,2,10,4,12,4,7,15,7,6,17,13,10,9,11,8,15,8,7,14,10,1,11,10,10,9,16,7
35,3,10,5,9,8,8,8,12,10,8,2,7,6,12,4,6,15,7,6,17,12,9,9,10,11,16,7,6,13,9,12,9,9,10,11,16
36,6,5,10,6,9,6,8,8,12,10,8,2,9,7,11,2,6,14,7,6,17,12,9,9,10,10,15,8,6,13,17,13,10,9,10,11
37,14,5,6,10,7,10,6,9,7,12,10,8,2,9,7,11,2,7,14,7,6,17,12,9,10,10,10,15,8,7,7,16,12,9,10,10
38,6,13,5,5,9,6,9,7,9,6,14,10,8,2,9,8,11,2,7,13,6,6,18,13,9,11,9,9,15,8,6,7,17,11,9,11
39,4,5,10,5,6,7,5,9,5,9,7,14,10,8,2,12,9,12,4,6,13,6,5,17,13,8,11,9,9,15,13,6,6,16,11,8
40,10,4,5,11,5,6,7,6,10,5,8,7,14,10,7,2,12,9,12,5,6,13,5,5,17,13,8,10,10,10,7,13,6,6,15,11
41,8,10,4,5,10,5,4,7,5,9,5,8,8,14,10,7,2,12,9,9,4,6,13,5,5,16,12,8,10,10,3,7,13,6,6,16
42,7,7,9,4,5,11,5,4,7,5,9,7,8,8,14,10,7,2,13,9,10,4,6,13,5,5,16,12,7,10,10,3,7,13,6,6
43,8,8,7,9,4,5,11,4,4,8,6,9,7,9,8,14,10,7,2,13,9,9,5,6,13,5,6,16,12,7,9,9,3,7,13,6
44,10,6,9,7,8,3,5,11,5,4,7,6,9,7,9,8,14,9,7,2,13,8,9,5,6,13,6,6,16,11,13,8,9,4,7,13
45,17,10,6,8,7,7,4,5,10,5,4,7,6,9,7,9,8,14,9,7,2,13,7,9,5,6,13,6,6,15,2,13,8,9,4,6
46,11,17,10,7,8,8,7,3,5,11,4,4,7,6,8,7,9,8,11,9,7,2,13,6,10,5,6,13,6,5,8,2,13,8,10,4
47,11,8,16,11,8,8,7,7,4,5,11,4,4,7,7,7,7,9,8,11,10,7,2,13,7,11,6,6,13,6,11,8,2,13,8,11
48,8,12,7,16,9,6,7,8,6,4,5,11,5,4,5,7,7,7,10,8,11,10,6,3,12,7,11,6,6,12,11,11,7,3,12,8
49,4,8,12,7,17,10,6,8,7,7,4,5,11,6,4,4,7,7,7,10,8,11,10,6,3,12,5,11,6,6,8,11,11,7,3,12
50,11,5,8,12,8,15,10,6,7,6,6,4,6,11,6,4,4,7,7,7,10,8,11,10,6,3,12,5,11,5,10,8,11,11,7,3
51,5,11,4,9,11,8,15,11,6,8,7,6,4,6,11,5,5,4,7,7,7,10,8,12,10,6,3,11,5,11,7,10,8,12,11,7
52,6,5,11,4,7,10,8,15,10,6,6,7,6,4,6,11,5,5,4,7,7,6,10,8,12,10,8,3,11,6,9,6,10,8,12,11
53,12,5,5,11,5,7,11,6,15,10,7,6,7,7,4,6,11,5,5,4,7,7,6,10,8,12,9,8,3,11,7,9,6,10,8,12
54,5,8,4,5,10,5,9,11,6,17,11,7,6,7,6,4,6,10,5,5,4,7,6,6,10,8,12,9,8,2,4,7,8,6,10,8
55,3,5,9,5,5,9,4,8,11,7,16,11,7,6,7,6,4,6,10,5,6,4,7,6,6,10,8,12,9,8,6,4,7,8,6,10
56,9,3,7,8,4,5,9,4,7,11,6,16,11,7,6,8,6,4,6,10,5,6,4,7,6,6,9,8,12,10,4,5,4,7,8,6
57,3,9,3,5,8,5,5,10,5,7,12,5,16,11,7,6,8,6,5,6,10,5,6,4,7,5,7,9,8,12,10,5,6,4,7,7
58,9,3,8,2,6,8,4,5,9,4,6,12,5,16,12,7,6,8,6,4,6,10,4,6,4,7,6,7,9,8,6,10,4,6,4,7
59,5,8,2,8,2,5,8,4,6,9,4,6,13,5,16,12,7,8,8,6,4,6,10,4,6,4,7,6,7,9,4,5,10,4,6,4
60,8,5,8,3,8,2,5,7,5,5,10,4,6,13,6,16,12,7,9,8,6,4,6,10,4,6,4,7,6,8,6,5,6,10,4,6
61,7,7,6,9,2,9,3,5,7,5,6,9,4,6,13,6,16,12,6,8,9,6,5,6,10,4,6,3,6,7,8,6,4,6,10,4
62,3,6,7,6,9,1,8,2,5,7,4,6,8,4,6,14,6,16,12,6,8,9,6,4,6,11,4,6,4,6,7,8,6,4,6,11
63,3,4,6,8,5,10,1,8,2,5,7,4,5,8,4,6,13,6,16,12,7,9,9,6,4,6,11,4,6,3,8,9,8,6,4,6
64,3,2,5,7,7,5,9,3,8,3,5,7,4,5,8,4,6,13,6,15,13,7,9,9,6,4,5,10,4,6,13,8,9,8,6,4
65,8,4,2,4,6,6,6,9,1,8,2,5,7,4,5,8,4,6,13,7,15,13,5,10,9,6,4,5,10,4,16,13,6,9,8,6
66,2,8,4,2,4,6,6,5,9,1,8,2,5,7,4,5,8,4,6,13,7,15,13,5,9,9,6,4,5,10,7,15,13,6,8,8
67,3,2,7,4,3,4,6,7,4,10,2,8,2,5,7,5,5,8,4,7,11,7,16,12,5,8,8,6,4,5,11,7,16,12,6,7
