ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,5,5,2,4,6,1,0,2,7,1,1,2,4,6,6,1,3,3,3,5,3,4,4,0,2,1,12,2,6,2,4,4,3,1,2,1
1,3,7,5,0,3,6,1,0,3,6,0,0,2,4,5,6,1,4,3,3,4,2,4,4,0,2,3,11,2,5,5,3,4,3,1,2
2,3,2,6,5,2,3,5,1,0,2,6,1,4,3,4,5,6,1,4,4,3,4,2,6,3,1,2,2,9,3,3,5,3,6,3,2
3,0,4,3,3,4,1,3,5,1,0,3,6,1,4,2,3,4,6,1,4,4,3,4,3,4,3,1,2,1,8,3,3,4,5,4,3
4,7,0,3,2,3,4,1,4,5,3,2,3,7,3,4,2,3,3,6,1,6,3,1,4,5,4,5,1,2,1,6,3,2,3,6,4
5,7,7,0,3,2,3,4,1,4,5,2,2,2,7,2,4,2,3,3,4,2,7,4,1,3,3,4,5,1,2,2,7,4,1,3,4
6,6,7,7,0,2,2,2,5,2,3,5,2,1,3,6,2,4,3,2,4,4,2,8,4,1,3,3,4,4,1,4,2,8,4,1,3
7,10,5,6,7,0,2,1,2,4,2,4,6,3,3,3,7,1,4,3,2,5,4,2,6,4,3,3,3,4,5,5,4,2,6,4,3
8,1,11,4,6,6,0,2,1,1,4,3,4,6,4,1,3,6,1,4,3,2,5,4,2,5,4,2,3,3,4,2,5,4,2,5,4
9,4,1,11,3,6,7,0,2,2,1,5,4,4,6,3,1,3,7,1,4,4,2,4,5,2,5,4,2,3,4,4,2,4,5,2,5
10,3,4,1,10,3,6,6,0,2,2,2,5,4,4,6,3,1,2,7,2,5,4,2,5,4,2,5,4,2,2,5,4,2,5,4,2
11,7,2,4,1,11,3,6,6,0,2,2,2,4,5,4,6,3,2,2,6,2,5,3,1,5,4,2,6,4,2,3,5,3,2,5,4
12,3,8,3,4,1,11,2,6,6,0,3,2,1,5,4,4,6,1,2,2,6,3,5,3,1,4,4,2,6,4,6,3,5,3,2,4
13,2,4,7,2,4,2,10,3,5,6,0,2,3,2,4,3,4,5,1,2,2,5,3,5,3,2,4,4,2,5,1,5,3,5,3,2
14,2,0,5,6,2,5,1,10,4,5,7,0,3,2,1,4,3,4,7,1,2,2,5,4,3,3,2,4,4,3,2,1,5,4,3,3
15,5,2,0,4,6,2,5,1,10,4,4,7,0,2,1,1,4,3,4,7,3,1,2,5,3,3,3,2,4,4,3,2,1,5,3,3
16,4,5,2,1,5,7,2,4,1,10,6,6,7,0,2,1,1,4,3,5,7,3,1,1,5,3,3,3,2,5,7,3,2,1,5,3
17,3,3,6,2,1,4,8,2,4,1,12,7,6,8,0,2,1,1,4,3,6,7,3,2,1,5,3,3,3,2,7,7,3,2,1,5
18,2,3,3,6,2,2,4,8,2,5,2,12,7,6,8,0,2,1,2,4,3,7,8,4,2,1,5,3,3,4,3,7,8,4,2,1
19,5,2,3,3,7,2,2,4,9,2,4,2,11,8,6,8,0,2,1,4,4,3,6,9,2,2,1,5,4,3,4,3,6,9,2,2
20,4,5,3,3,3,8,2,2,4,8,3,4,2,11,8,7,8,1,2,1,4,4,4,5,9,1,2,1,4,5,3,4,4,6,9,1
21,7,3,7,3,3,4,9,2,2,6,12,5,4,2,11,7,6,8,1,2,2,3,4,4,4,9,1,3,2,4,2,3,4,4,5,9
22,8,7,1,7,2,4,5,10,3,3,6,12,4,5,2,11,8,5,8,1,2,2,4,6,4,4,9,2,3,2,2,2,4,6,4,5
23,5,9,9,2,7,4,5,5,10,2,3,6,11,4,5,2,11,9,5,8,2,2,2,3,6,7,4,8,2,3,3,2,2,3,6,6
24,5,6,7,8,2,6,4,4,5,9,3,3,6,12,6,5,2,11,10,4,7,2,4,3,4,6,6,4,8,2,7,2,5,3,4,6
25,6,6,7,9,6,2,9,5,4,5,11,4,4,10,12,7,7,2,10,9,4,7,2,6,4,4,6,5,6,7,4,7,2,7,4,4
26,9,8,5,8,9,6,2,9,5,4,6,10,5,3,11,13,7,6,2,10,9,5,8,3,5,4,4,5,5,5,9,5,7,3,6,4
27,4,9,8,7,8,8,6,2,10,5,4,3,9,6,3,11,10,7,6,2,13,6,4,7,2,7,4,4,4,5,12,8,5,6,2,7
28,4,4,9,8,3,8,8,8,3,9,6,4,3,7,6,4,10,10,6,5,2,13,6,3,7,0,7,3,4,4,3,12,7,4,6,1
29,4,6,3,9,7,3,9,8,8,4,10,3,7,4,5,5,4,9,9,5,6,0,15,7,3,9,0,7,2,5,7,1,15,8,4,8
30,7,4,5,4,9,6,2,9,7,8,4,9,3,7,3,4,5,5,10,9,6,6,0,13,7,3,10,1,6,1,6,7,1,13,8,4
31,6,7,3,5,6,9,6,4,7,7,11,4,10,4,6,4,4,6,5,10,9,8,6,1,12,6,6,7,1,5,9,8,7,3,12,7
32,14,6,6,2,5,6,9,7,3,6,9,13,6,9,5,6,3,6,6,5,9,10,9,5,2,12,6,5,6,2,9,9,9,7,4,12
33,3,14,6,7,2,6,4,10,6,3,6,9,13,6,7,5,5,4,4,7,4,7,12,11,6,0,13,7,4,5,4,8,14,10,7,2
34,6,3,14,6,5,2,6,4,8,7,4,7,9,12,6,7,6,7,4,4,7,6,5,12,8,3,1,11,5,4,9,6,7,13,8,5
35,7,7,3,14,5,5,1,6,4,8,8,4,6,8,12,8,7,6,9,5,6,9,4,6,10,9,3,5,10,5,9,9,5,6,10,9
36,3,7,8,3,14,5,5,2,5,3,11,8,5,6,8,13,8,5,8,10,6,9,7,4,7,9,9,4,7,10,6,9,8,3,7,10
37,6,3,7,8,3,14,5,5,2,5,3,13,8,7,6,6,13,9,5,9,8,6,10,8,3,7,8,10,3,6,8,7,9,9,3,7
38,4,6,3,7,7,3,13,5,7,2,5,3,13,9,4,6,7,13,9,7,11,10,5,11,6,4,8,8,10,5,10,10,6,10,8,4
39,2,5,5,3,7,7,3,14,5,6,4,6,4,13,9,6,6,7,12,9,7,10,13,5,7,8,4,8,8,7,8,11,13,6,8,9
40,4,2,3,5,3,7,6,3,14,5,10,7,6,4,13,10,6,7,9,11,9,8,9,10,5,8,10,3,8,10,9,9,10,10,5,8
41,4,3,2,3,5,3,7,7,4,14,8,13,7,6,4,13,10,5,7,10,8,7,7,11,8,5,5,10,3,9,9,8,8,11,8,5
42,4,3,3,3,3,5,3,7,7,5,15,8,13,7,6,3,11,11,5,9,10,9,8,8,10,8,4,5,10,3,9,9,9,9,10,8
43,6,4,4,3,1,3,5,4,8,7,4,14,8,13,7,6,4,11,10,5,10,9,9,8,8,10,7,4,6,10,9,9,9,9,9,10
44,3,6,3,4,3,2,3,5,3,8,8,4,14,11,9,7,6,5,11,9,5,9,11,8,7,8,8,7,5,6,5,9,10,9,8,9
45,4,4,6,3,4,3,2,3,5,4,8,8,4,14,10,9,7,6,5,11,9,3,8,11,8,7,11,8,7,4,9,4,9,10,9,8
46,6,4,4,6,3,4,3,4,4,5,5,7,8,4,14,9,9,8,6,5,13,10,5,8,10,7,8,11,8,7,11,10,5,9,9,8
47,3,6,5,3,6,3,3,3,3,4,5,5,8,9,5,11,9,9,8,6,6,13,11,5,8,10,7,8,10,8,6,11,10,5,9,9
48,6,3,6,4,4,6,3,3,3,3,5,5,4,7,8,5,11,11,8,4,6,5,13,14,5,9,9,7,7,9,6,5,11,12,5,10
49,6,6,3,6,4,4,6,3,3,3,2,5,4,4,7,8,5,10,10,8,4,6,6,17,12,5,10,9,9,7,5,6,6,15,11,5
50,6,6,6,3,6,4,3,6,4,5,3,1,7,4,4,7,8,5,10,11,7,4,6,5,17,11,8,11,9,9,8,5,6,5,15,10
51,9,7,6,6,3,6,5,3,6,4,5,2,3,7,5,4,7,8,5,10,10,8,5,6,5,15,12,8,11,9,8,8,6,6,5,14
52,6,7,7,8,6,3,6,5,3,6,5,5,2,3,6,7,3,6,8,5,10,9,8,3,7,4,14,11,7,12,9,8,8,4,7,4
53,2,6,7,5,7,6,3,4,5,3,7,5,5,2,3,6,7,3,6,8,5,10,7,8,3,6,5,14,11,5,5,10,7,8,4,6
54,1,2,7,7,5,7,7,3,4,7,3,7,6,4,2,4,6,6,3,6,8,4,10,7,8,5,7,5,14,8,8,5,10,7,8,5
55,3,0,2,7,8,6,6,9,3,4,7,3,8,6,5,2,2,6,6,4,5,9,5,10,8,6,5,7,5,14,5,8,5,10,8,6
56,5,3,0,2,8,9,6,6,8,2,5,7,3,7,6,5,2,3,6,6,4,5,10,5,9,8,6,5,6,4,3,5,8,5,9,8
57,6,4,3,0,2,7,8,7,7,9,2,5,6,3,9,6,6,2,3,7,6,4,6,9,5,10,8,6,5,6,6,3,6,8,5,10
58,4,5,3,3,1,4,7,8,6,8,10,2,5,6,3,10,6,6,2,3,6,6,4,6,9,5,10,8,6,3,7,6,4,6,8,5
59,12,3,4,3,3,2,4,8,9,6,8,10,2,5,7,3,10,7,6,2,3,8,6,4,6,8,5,10,8,6,3,8,6,4,6,7
60,5,13,3,3,3,3,2,4,8,10,6,8,11,2,5,6,3,10,7,6,2,3,8,6,4,6,8,5,11,9,2,3,8,6,4,6
61,4,5,12,4,2,3,3,2,4,8,11,6,9,11,2,5,6,3,11,7,7,2,3,8,6,4,6,6,5,10,7,2,3,8,6,4
62,5,4,5,12,3,2,2,3,2,4,10,11,6,9,11,2,5,6,3,12,7,6,2,3,9,6,3,6,6,5,6,6,2,3,9,6
63,4,4,5,4,9,3,2,2,4,2,6,10,11,5,8,11,2,5,6,3,11,8,5,2,4,9,6,3,7,6,10,7,5,2,4,9
64,3,3,4,5,4,11,3,1,2,3,2,6,10,11,5,8,9,2,4,5,3,12,7,5,2,4,9,6,3,7,3,11,7,5,2,4
65,2,3,3,4,5,4,11,3,1,2,3,2,5,11,11,5,8,9,4,4,5,3,12,7,4,1,4,8,6,3,5,3,11,7,4,1
66,3,3,3,3,5,5,3,11,3,1,3,3,2,5,11,11,5,7,9,3,4,5,3,11,7,5,1,4,9,6,4,5,3,11,7,5
67,9,3,2,3,3,4,4,4,11,4,2,2,3,1,5,11,11,5,7,8,3,4,5,3,11,7,5,1,4,9,3,4,5,3,11,7
68,7,7,3,2,3,2,4,4,3,11,5,2,1,3,1,5,11,11,5,6,7,3,3,7,3,12,7,5,1,4,8,3,3,6,3,12
69,2,5,7,4,2,3,3,4,4,4,13,5,1,1,3,1,5,10,11,4,6,8,2,3,6,3,12,7,3,1,6,8,2,3,5,3
70,6,2,5,8,2,2,2,3,4,4,4,13,5,0,1,3,1,5,10,11,4,7,8,2,3,6,2,12,7,4,4,7,8,2,3,5
71,4,6,3,5,7,2,2,2,3,4,5,4,13,5,0,1,3,1,4,10,9,3,7,7,2,4,6,2,11,7,9,3,7,7,2,4
72,4,3,5,2,4,7,1,2,2,3,5,5,4,11,5,0,1,3,2,4,10,10,3,7,6,1,4,7,2,12,9,10,3,7,6,1
73,2,4,3,4,2,3,6,1,2,2,3,5,5,4,10,3,0,1,2,2,3,11,9,3,7,6,1,4,7,2,4,10,9,3,7,6
74,2,2,3,3,4,2,4,6,1,1,2,3,5,4,3,10,3,0,1,2,2,3,9,9,3,7,6,1,3,7,2,4,9,9,3,7
75,1,1,2,3,2,5,3,1,4,2,1,2,3,4,3,2,9,3,0,1,3,2,3,8,9,2,7,6,1,2,2,2,4,8,9,2
76,2,1,1,0,3,1,5,3,1,4,1,1,1,2,4,2,2,8,3,0,1,3,2,4,8,9,2,7,6,1,1,2,1,4,8,9
77,1,2,0,0,1,3,0,4,2,1,7,1,2,1,3,4,2,2,8,3,0,1,3,2,4,8,9,2,7,6,0,1,2,1,4,8
78,1,2,2,0,0,0,3,0,4,2,2,4,1,1,1,3,3,2,2,9,3,0,1,3,2,3,8,9,2,7,4,0,1,2,1,3
79,1,0,1,2,0,0,0,3,0,3,3,2,4,1,1,1,3,2,2,2,7,4,0,1,3,2,3,8,7,2,8,4,0,1,2,1
80,0,1,1,1,1,0,0,0,1,0,4,3,1,4,1,1,1,3,1,2,2,8,5,0,1,3,2,1,8,7,2,8,4,0,1,2
81,2,0,1,0,1,2,0,0,0,1,1,4,3,1,3,1,1,0,3,0,1,2,8,4,0,1,4,2,1,5,2,2,8,4,0,1
82,2,2,0,1,0,1,2,0,0,0,1,1,4,3,0,2,1,1,0,2,0,1,1,6,4,0,0,4,3,1,0,2,1,6,4,0
83,2,1,3,0,1,0,1,0,0,0,1,1,1,4,2,0,2,1,1,0,2,0,1,1,5,3,0,0,4,2,2,0,2,1,5,3
84,1,0,0,3,0,1,0,1,0,0,0,1,1,1,4,1,0,2,1,1,0,0,1,1,1,4,2,0,0,3,0,1,1,2,1,4
85,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,4,1,0,2,1,0,0,0,0,1,2,4,2,0,0,1,0,1,0,2,2
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,1,2,4,2,0,0,1,0,1,0,2
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,2,3,2,1,0,1,0,1,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,2,2,0,1,0,1,0,1
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0
90,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,1,0,1,0,1
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,0
92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
