ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,10,15,13,16,12,10,16,15,16,13,20,13,7,18,17,10,15,15,16,17,17,14,20,18,14,11,20,11,14,17,17,14,20,18,14
1,17,15,10,14,13,17,13,10,17,15,14,13,20,13,8,16,16,11,16,15,15,19,18,12,23,18,12,11,20,13,16,19,17,11,23,17
2,25,17,16,11,15,14,17,14,9,17,16,13,13,19,13,7,16,15,12,15,15,16,20,19,13,25,17,13,10,19,15,16,20,16,11,25
3,10,24,16,15,11,14,13,17,13,9,18,14,13,13,19,13,9,15,15,14,14,18,19,19,16,17,27,16,12,11,15,17,20,19,15,15
4,16,11,25,17,16,11,14,11,15,13,9,18,15,14,14,18,14,10,16,15,17,13,19,20,23,15,17,29,16,15,17,14,16,20,21,14
5,26,17,12,24,16,16,12,14,11,15,11,9,16,15,15,14,16,13,12,14,16,16,14,19,18,24,15,18,26,17,15,15,15,18,17,21
6,19,26,18,11,24,16,16,12,14,11,15,11,9,15,14,16,14,14,13,13,15,15,19,17,21,17,21,15,16,25,15,14,18,17,19,17
7,25,18,25,17,10,24,17,16,11,14,11,17,12,9,15,15,17,15,14,13,14,17,15,18,15,21,18,21,15,13,18,17,14,19,16,20
8,22,27,18,25,18,12,24,17,16,11,13,11,17,12,8,15,17,17,18,15,13,13,18,16,16,16,19,18,20,13,12,17,18,16,17,17
9,16,22,28,18,26,18,12,24,17,16,9,13,11,17,12,8,15,17,18,17,15,13,15,17,16,16,19,19,17,21,15,12,18,17,16,15
10,19,15,19,29,18,26,18,12,24,17,17,9,14,11,17,12,9,14,17,19,17,15,12,16,18,16,18,19,18,16,18,16,12,19,17,16
11,14,20,15,20,30,18,27,20,12,24,18,17,9,14,11,17,15,12,14,17,19,17,16,12,13,16,16,20,19,18,18,18,16,12,15,16
12,21,14,20,15,19,31,18,27,21,12,25,18,17,9,14,11,16,14,12,14,17,18,17,17,16,12,16,17,17,20,18,18,18,16,14,15
13,22,21,14,20,15,19,31,17,27,20,12,27,18,17,9,15,12,16,15,13,14,16,18,16,17,16,10,16,15,17,15,18,18,17,16,14
14,19,23,21,15,21,17,20,33,18,27,21,13,27,18,17,11,16,13,17,15,13,14,17,20,18,18,14,12,16,15,12,15,19,19,19,16
15,21,20,22,21,13,21,17,20,33,17,30,21,14,26,18,16,12,18,14,17,15,14,17,18,24,19,16,15,12,19,14,12,17,19,22,19
16,25,21,20,22,21,13,20,16,20,34,16,30,22,14,26,19,16,13,19,15,17,15,15,18,19,24,18,16,13,11,16,14,13,18,19,22
