ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,13,13,9,16,13,8,6,15,13,15,17,16,19,15,10,11,11,16,20,17,16,13,10,15,17,13,18,21,15,25,17,12,10,14,16,13
1,19,11,13,9,15,13,10,6,15,14,9,18,16,20,16,11,12,12,15,19,16,15,15,9,15,16,16,16,21,16,16,17,14,9,14,15
2,14,20,11,12,9,12,13,10,10,15,13,9,19,19,19,15,11,12,13,12,16,16,16,12,9,15,17,14,16,22,15,17,18,12,9,14
3,13,14,21,11,13,9,14,15,9,11,14,13,9,19,18,19,14,11,10,12,10,17,15,13,12,11,18,13,15,15,12,16,16,14,13,10
4,10,12,13,20,11,13,10,16,15,12,12,13,13,10,19,19,19,12,13,9,12,11,17,17,13,14,13,19,14,14,13,12,16,17,14,15
5,16,11,13,11,20,11,13,11,13,13,11,12,12,15,9,18,16,19,12,13,7,13,10,16,18,13,13,15,19,14,8,14,11,16,18,13
6,12,16,12,11,10,19,11,12,12,12,12,11,11,12,15,9,17,15,19,12,12,7,13,10,16,20,14,13,14,16,12,9,14,11,16,20
7,22,13,16,13,10,8,18,12,10,12,13,12,12,11,13,15,11,16,16,20,11,14,7,14,10,16,17,13,13,12,11,14,9,14,11,16
8,22,22,14,16,12,11,10,17,12,10,13,13,11,11,10,13,15,10,15,16,21,11,13,4,14,14,14,17,14,13,21,11,13,7,14,13
9,28,22,25,14,16,13,11,10,19,12,11,14,11,12,11,10,12,15,12,15,15,24,14,14,5,14,14,14,17,13,14,23,13,13,8,14
10,23,29,23,24,13,18,15,10,11,19,13,12,14,11,11,11,10,12,14,12,16,16,24,13,15,6,14,12,17,16,16,15,23,13,14,8
11,23,24,28,24,25,13,18,16,12,9,19,14,13,16,11,10,12,11,12,15,11,17,16,24,14,15,8,15,12,17,12,17,15,23,14,14
12,19,23,24,30,26,24,12,18,17,10,9,20,13,12,16,11,9,13,11,12,15,11,16,15,25,14,12,10,15,12,15,12,17,15,25,14
13,27,20,22,24,31,26,24,10,17,16,10,10,19,14,12,16,11,9,13,12,11,14,11,16,15,25,14,11,12,15,12,14,12,16,15,25
14,22,28,19,22,25,30,26,23,13,17,16,13,11,17,15,13,16,12,9,14,12,12,13,13,15,16,24,14,11,13,13,13,13,14,15,16
15,20,22,26,20,21,26,30,24,24,13,16,17,12,11,17,14,13,15,12,10,16,15,12,13,13,15,16,25,13,11,15,15,13,13,13,15
16,20,20,23,26,20,19,24,31,25,24,13,16,17,12,12,18,13,12,16,12,7,14,15,12,13,14,15,17,26,13,9,14,15,12,13,14
17,18,20,19,21,27,20,18,24,30,24,24,12,16,17,12,13,18,13,13,14,12,7,16,15,11,12,12,15,16,25,12,9,16,17,11,12
