ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,17,18,18,16,16,11,16,25,12,14,21,22,20,10,18,9,14,17,16,16,13,11,13,13,19,10,14,10,10,7,14,12,12,13,19,10
1,21,19,15,16,16,16,10,16,24,14,14,22,22,20,12,15,9,13,17,15,16,13,11,13,14,19,12,13,11,11,16,13,13,12,14,20
2,26,21,20,14,16,17,16,10,15,22,11,12,23,25,19,12,15,10,13,17,14,16,14,13,14,14,18,12,12,9,13,16,13,13,13,13
3,24,27,22,20,15,17,17,16,11,15,21,10,13,24,25,19,12,14,10,11,17,14,15,14,11,14,13,18,10,12,17,13,16,14,12,13
4,22,24,26,21,20,16,18,18,15,11,13,20,9,13,24,24,18,13,16,10,11,15,14,15,13,11,15,14,17,9,11,16,13,15,13,11
5,18,21,26,26,21,20,16,18,17,16,9,13,21,9,13,25,25,19,13,15,10,11,14,14,15,13,9,15,14,17,10,11,16,13,15,12
6,28,18,22,25,26,21,22,16,17,16,17,9,12,25,11,14,24,25,19,12,14,10,11,14,13,15,12,9,13,14,16,10,11,16,13,15
7,22,27,19,22,25,29,21,22,14,17,14,17,9,13,26,12,14,24,25,20,12,13,12,11,14,13,15,11,10,13,12,14,10,10,16,13
8,28,23,26,19,22,26,26,20,23,15,19,14,17,10,13,25,13,16,23,24,21,13,14,13,11,14,12,15,11,10,21,13,15,12,9,17
9,25,29,23,27,18,23,24,27,22,21,14,18,12,17,11,14,25,13,17,23,24,19,14,14,13,10,15,12,15,11,23,20,13,14,13,8
10,22,26,29,22,26,19,23,25,27,20,23,14,17,12,17,11,16,25,13,18,23,24,20,13,14,13,10,15,13,15,24,23,23,13,13,14
11,29,23,27,29,23,26,19,25,23,27,19,22,15,18,12,15,11,16,25,14,18,25,24,20,13,14,14,10,15,13,16,25,23,20,13,13
12,43,29,23,27,29,23,25,20,23,23,28,19,24,14,18,12,14,14,17,25,14,18,23,24,20,13,14,14,9,15,14,16,24,23,20,12
13,26,43,29,22,26,30,25,26,20,24,25,28,20,23,15,18,12,14,14,18,25,14,17,24,24,19,14,14,14,9,24,14,16,24,23,20
14,27,25,41,29,21,26,29,27,26,20,26,25,26,20,24,15,18,12,14,14,18,25,15,18,24,23,20,14,15,14,19,24,18,17,24,22
15,37,27,25,41,30,23,24,29,27,25,20,25,25,26,20,24,15,20,12,14,14,18,25,15,17,22,20,20,13,15,12,19,24,16,16,22
16,29,36,28,26,42,30,22,24,29,26,27,19,27,25,26,20,25,14,20,11,15,13,18,25,16,17,22,20,20,13,17,12,19,26,16,16
17,32,27,34,28,26,42,29,22,24,29,27,28,15,25,25,26,20,25,14,20,11,16,13,18,26,16,15,22,20,20,12,18,11,19,25,16
18,27,35,27,33,28,27,41,29,22,23,30,24,29,15,25,25,26,20,25,14,20,11,18,13,19,26,17,15,22,20,19,13,19,11,20,26
19,29,28,34,28,31,28,27,40,29,22,25,30,24,28,15,23,25,26,20,26,12,20,11,18,14,16,26,17,15,23,12,19,12,19,12,17
20,33,29,26,32,28,30,29,27,38,28,20,23,29,22,29,15,21,23,26,19,26,12,23,12,19,14,18,23,16,15,22,12,20,13,19,12
21,31,34,28,27,31,28,28,27,25,38,30,20,23,28,22,29,14,21,23,25,20,23,12,22,12,17,15,17,25,16,20,21,11,20,14,18
22,35,26,32,26,28,29,25,27,28,24,35,29,20,23,26,21,28,12,22,23,24,20,21,12,20,14,17,13,17,25,27,20,20,11,19,15
