ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,2,2,2,1,2,0,0,0,1,2,2,1,2,1,2
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,2,2,1,2,0,0,0,1,2,1,1,2,1
2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,1,2,2,1,2,1,0,1,1,2,1,1,2
3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,2,2,2,1,2,1,0,1,0,1,1,1
4,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,4,2,2,1,2,0,0,1,0,1,3
5,2,4,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,1,3,2,2,1,0,0,0,1,0,1
6,0,2,4,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,1,3,2,2,0,0,0,0,1,0
7,1,1,2,4,1,4,0,1,1,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,2,2,2,0,0,0,0,1
8,2,1,0,2,4,1,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,2,0,2,0,0,0,0
9,2,1,1,0,2,5,1,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,2,0,0,0
10,1,1,1,2,0,2,5,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0
11,1,2,1,2,2,0,2,4,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0
12,0,0,1,1,1,2,0,2,4,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2
13,2,0,0,1,1,1,1,0,2,4,0,1,1,1,0,1,0,1,1,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0
14,1,2,0,0,2,1,1,1,0,2,4,0,1,1,1,0,1,0,1,1,0,2,1,0,0,0,0,2,0,0,0,2,1,0,0,0
15,1,0,2,0,0,2,1,1,1,0,3,4,0,1,1,1,1,1,0,1,1,1,2,1,0,0,0,0,2,0,1,1,2,1,0,0
16,2,1,0,2,0,0,2,1,1,1,0,3,4,0,1,1,1,2,1,0,1,1,1,2,1,0,0,0,0,2,1,1,0,2,1,0
17,2,2,1,0,2,0,0,2,2,2,1,0,3,4,0,1,1,1,2,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1
18,1,2,3,2,0,2,0,0,2,1,1,1,0,3,4,0,1,1,1,2,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1
19,2,1,2,3,1,0,2,0,0,2,1,1,1,0,3,4,0,1,1,1,2,1,0,1,1,0,1,1,0,0,2,1,0,1,1,0
20,1,2,0,1,3,1,0,2,0,0,3,1,2,1,0,3,4,0,1,1,1,2,1,0,1,1,0,1,0,0,1,2,1,0,1,1
21,0,1,2,0,1,3,1,0,2,0,0,3,1,2,1,0,3,4,0,1,1,1,2,1,0,1,1,0,1,0,1,1,2,1,0,1
22,0,0,1,2,0,1,3,1,0,3,0,0,3,1,2,1,0,3,4,0,1,1,1,2,1,0,1,1,0,2,1,1,1,2,1,0
23,3,0,0,1,2,0,1,3,1,0,4,0,0,3,1,2,2,0,3,4,0,0,1,1,2,1,0,1,0,0,0,0,1,1,2,1
24,1,3,1,0,2,2,0,1,2,1,0,4,0,0,3,1,2,1,0,3,4,0,0,1,1,3,1,0,1,0,4,0,0,1,1,3
25,1,1,3,0,1,2,2,0,0,2,2,0,4,1,0,3,2,2,2,0,3,4,0,0,1,1,3,1,0,2,3,4,0,0,1,1
26,0,1,1,4,0,0,2,1,0,1,1,1,0,4,1,0,3,2,2,2,0,3,4,0,0,1,1,3,1,0,0,3,4,0,0,1
27,1,0,1,2,3,0,0,2,1,0,2,1,1,0,4,1,0,3,2,2,2,0,2,4,0,0,1,0,3,1,2,0,3,4,0,0
28,1,1,0,0,1,3,0,0,2,1,0,0,1,1,0,4,1,0,3,2,2,2,0,0,4,0,0,1,0,3,2,2,0,2,4,0
29,2,1,1,0,0,1,3,1,0,2,0,0,0,2,1,0,4,1,0,3,2,2,2,0,0,4,0,1,2,0,2,2,2,0,2,4
30,1,1,1,1,0,0,1,3,2,0,3,0,0,0,4,1,0,5,2,1,3,2,3,1,2,0,4,1,2,2,3,2,2,1,1,2
31,1,2,1,1,1,0,0,1,4,1,0,3,0,0,0,5,1,0,4,1,2,3,2,3,1,2,0,4,0,2,2,3,1,2,1,1
32,4,0,1,1,1,1,1,0,1,4,2,0,3,0,0,0,4,1,0,4,1,2,3,2,3,2,2,1,3,0,1,2,3,1,2,1
33,1,4,0,1,1,1,1,0,0,1,4,2,0,4,0,0,0,4,1,0,4,2,1,5,3,3,1,2,2,3,4,2,1,6,1,2
34,3,2,4,0,1,1,1,1,0,0,2,4,2,0,4,0,0,0,4,2,0,5,2,0,5,4,2,1,2,2,0,5,2,1,6,2
35,3,2,1,4,0,1,1,1,1,0,1,2,4,2,0,4,0,0,1,3,2,0,4,4,0,5,3,2,1,2,2,0,6,4,1,6
36,3,2,2,1,4,0,1,1,1,1,1,1,2,4,2,0,4,0,0,1,3,3,0,4,4,2,4,3,2,1,2,3,0,4,4,3
37,2,2,2,2,1,4,0,1,1,1,1,1,1,2,4,2,0,4,1,0,1,3,3,0,4,4,2,4,3,2,1,2,3,0,4,4
38,4,2,2,2,2,1,4,0,1,1,1,1,1,1,2,4,3,0,4,1,0,1,1,3,0,4,4,2,4,3,0,1,1,3,0,4
39,1,3,2,2,2,3,1,4,0,1,2,1,1,1,2,2,4,3,1,4,1,0,1,1,4,0,4,4,2,4,1,0,1,1,4,0
40,2,1,3,1,2,3,3,1,4,0,1,2,1,1,1,2,1,4,3,1,4,1,0,1,1,4,0,3,4,2,4,1,0,1,1,6
41,2,3,1,3,1,2,2,3,1,4,1,1,2,1,1,1,2,2,4,2,1,4,1,0,2,1,4,0,5,4,1,4,1,0,1,1
42,0,2,3,2,3,1,2,2,3,1,5,1,1,2,1,1,1,1,2,4,3,1,3,1,0,3,1,4,1,5,3,1,3,1,0,1
43,1,1,2,3,1,3,1,2,2,3,1,5,1,1,2,1,1,1,1,2,4,3,1,3,1,0,1,1,4,1,4,3,1,3,1,0
44,2,1,0,2,3,1,3,1,3,2,3,1,5,1,1,2,1,1,1,1,2,5,3,0,3,1,0,1,1,4,3,5,2,0,3,1
45,5,4,1,0,4,3,1,3,2,3,2,3,1,5,1,1,2,1,1,1,1,2,5,3,0,3,1,0,1,1,2,3,6,2,0,3
46,4,4,3,1,0,3,2,2,3,1,3,2,3,2,5,1,1,2,1,1,1,1,2,5,2,0,2,1,0,1,1,1,2,6,2,0
47,3,4,4,3,1,0,3,2,2,4,1,3,2,3,2,5,2,1,2,1,1,1,1,2,4,2,0,2,1,0,1,1,1,2,4,2
48,2,3,4,4,3,1,0,4,3,1,3,0,3,2,3,2,5,2,1,2,1,1,1,1,2,4,2,0,2,1,1,1,1,1,3,4
49,1,1,4,5,4,3,2,1,3,2,2,3,0,3,2,3,2,5,1,1,2,1,1,1,1,2,4,2,0,2,2,1,1,1,1,3
50,2,1,1,3,4,2,3,1,0,3,3,2,3,0,3,2,3,2,5,1,1,2,1,1,1,1,2,4,2,0,1,2,1,1,1,1
51,1,1,1,1,3,4,2,3,2,0,4,3,2,3,0,3,2,3,2,5,1,1,2,1,3,1,0,2,4,2,1,1,2,1,2,1
