ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,13,13,13,19,9,8,11,8,9,7,10,12,9,9,9,7,7,8,13,6,10,11,17,9,10,10,5,4,5,8,10,11,17,7,10
1,14,9,13,11,15,17,10,9,11,9,9,7,10,11,9,8,9,7,7,8,12,6,10,11,16,7,10,10,5,4,12,8,10,12,17,5
2,7,14,9,13,13,16,17,8,6,10,8,9,7,10,10,9,8,9,7,7,8,12,6,10,9,15,6,11,10,6,8,11,7,11,9,15
3,10,6,15,8,13,11,16,15,8,7,9,8,9,8,10,9,9,8,9,7,7,8,14,6,10,9,15,6,11,11,7,9,14,9,11,9
4,14,11,6,14,8,13,11,18,14,8,8,9,8,8,8,9,8,9,8,8,7,7,7,14,7,9,8,15,6,11,7,7,8,14,9,9
5,17,15,12,6,14,9,13,11,17,13,8,8,9,7,8,7,9,7,9,8,8,7,8,7,15,7,9,8,15,6,9,7,7,8,15,8
6,19,16,15,12,8,14,9,12,11,17,13,8,8,8,7,8,6,9,7,10,7,8,7,7,8,15,6,9,7,15,7,8,7,8,8,15
7,20,20,16,13,12,6,14,9,11,11,18,13,8,8,8,7,8,5,9,6,11,7,9,7,7,8,15,6,9,9,11,7,8,7,8,8
8,14,20,20,16,11,11,6,14,8,11,12,18,13,8,8,8,7,8,4,9,6,11,7,9,7,7,8,15,6,9,7,10,7,8,7,8
9,27,14,20,21,14,10,11,7,14,9,10,12,18,13,9,8,8,6,9,3,9,6,11,7,9,8,7,8,15,6,9,6,11,7,9,8
10,18,25,14,20,19,14,9,12,7,14,9,11,11,16,13,7,7,8,7,9,3,7,6,13,7,9,8,7,8,14,3,8,6,12,7,9
11,25,17,25,14,18,18,14,9,11,6,15,9,8,11,16,13,7,7,8,7,9,3,7,6,13,7,10,8,7,8,8,4,8,6,12,7
12,14,26,17,25,13,20,18,13,8,10,7,15,6,8,11,16,14,6,4,8,7,9,3,8,6,12,7,10,8,8,7,8,3,8,6,12
13,18,13,25,17,24,12,18,18,14,9,11,7,15,6,8,12,13,14,6,4,8,7,9,4,8,6,12,7,10,6,8,7,8,4,8,6
14,17,19,12,24,17,24,12,18,19,13,6,11,7,15,6,8,12,13,12,6,4,8,7,9,4,8,6,12,7,9,6,9,7,8,4,8
