ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,10,10,6,9,10,12,14,12,6,6,8,11,6,9,8,11,11,10,5,12,10,11,4,8,3,7,9,6,6,6,10,11,4,8,3,7
1,10,11,11,7,11,10,11,15,12,6,6,8,12,6,10,8,10,11,10,5,11,10,11,4,8,6,7,9,8,6,12,10,11,4,8,6
2,10,9,11,11,7,11,10,11,14,12,7,6,7,11,6,10,7,12,12,9,5,11,10,11,5,8,6,8,9,6,5,12,10,11,4,8
3,13,10,9,12,9,6,10,10,10,12,12,7,5,8,10,7,10,7,13,11,9,6,11,10,11,6,8,6,8,10,9,6,12,9,11,5
4,9,12,10,9,12,11,7,10,10,10,12,12,7,5,9,10,8,8,7,11,11,10,6,12,9,11,6,8,5,7,11,10,6,13,8,11
5,18,8,13,10,9,13,10,7,11,10,11,12,12,7,5,10,10,8,7,7,12,11,10,6,12,10,11,6,8,6,12,11,10,6,14,9
6,14,19,7,11,11,9,14,9,7,11,11,11,12,12,7,6,9,10,9,7,6,12,11,9,6,16,11,12,4,8,6,12,11,9,6,17
7,9,14,19,7,13,10,9,14,10,7,12,11,11,12,12,10,7,10,10,10,6,6,12,11,9,6,16,11,11,5,7,6,12,11,9,6
8,23,9,14,19,9,12,10,9,13,9,7,13,11,11,12,12,9,9,10,10,11,7,7,12,11,9,6,15,10,11,11,8,7,12,11,9
9,21,21,9,14,19,8,13,10,9,14,9,6,13,11,11,13,11,10,9,11,11,11,6,7,13,11,9,5,15,10,10,11,7,7,13,11
10,17,18,21,8,15,19,8,13,11,9,13,9,6,13,11,11,13,11,10,10,11,11,10,6,7,13,11,9,5,16,9,11,10,7,8,13
