ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,14,16,18,15,14,18,17,15,9,16,10,12,16,15,5,14,10,19,9,11,11,8,13,7,14,6,10,9,9,7,12,8,13,7,14,5
1,16,15,16,16,15,15,18,16,15,10,16,10,11,15,16,5,16,10,17,8,10,12,6,13,7,14,4,10,9,8,10,12,7,13,7,14
2,25,16,14,15,16,16,13,19,14,16,9,14,11,12,14,15,6,16,9,17,8,11,11,6,12,6,14,4,11,9,9,10,11,7,12,6
3,24,23,17,12,17,17,16,15,20,15,15,9,13,11,12,14,15,6,16,10,16,9,10,12,5,12,6,14,6,11,17,8,10,13,6,12
4,16,22,24,17,12,15,15,16,14,21,19,16,9,13,12,13,14,15,6,18,11,16,8,10,11,5,12,6,16,6,11,17,8,10,12,6
5,20,16,22,24,18,12,15,13,16,14,19,18,16,9,13,12,12,15,16,5,18,11,17,8,10,11,5,10,6,16,18,11,17,8,10,12
6,10,20,19,22,25,17,12,17,12,15,13,18,18,16,9,15,11,13,15,16,4,18,11,18,8,10,12,5,9,6,6,17,11,18,8,10
7,22,11,19,19,21,26,17,13,18,13,15,15,18,20,16,8,15,13,14,14,16,4,18,11,16,8,11,11,5,9,17,6,17,11,17,8
8,16,20,12,19,20,21,23,17,13,16,13,16,13,18,21,15,8,15,13,14,14,17,4,18,11,16,8,8,11,5,16,18,6,17,11,17
9,21,15,21,13,20,21,22,22,18,14,18,13,15,14,18,19,15,7,15,13,12,14,17,5,17,11,16,10,8,11,12,16,17,7,16,11
10,10,22,16,21,12,19,21,22,23,18,15,18,12,15,13,17,17,15,8,15,13,12,13,17,6,17,12,17,10,8,12,11,15,17,8,16
11,22,10,21,14,21,12,21,22,23,23,17,15,18,12,15,12,17,17,15,8,14,13,12,13,17,6,17,10,17,10,14,12,11,15,17,7
12,23,21,10,23,13,21,11,20,22,23,25,17,15,17,13,14,12,17,17,16,8,14,13,11,13,17,6,16,10,17,9,15,12,10,15,17
13,19,24,20,10,23,12,21,10,20,22,26,25,17,15,17,13,14,12,16,17,16,8,15,14,11,13,17,6,16,10,15,9,15,13,10,15
14,22,19,23,20,10,23,13,21,10,19,24,25,24,17,15,17,13,14,12,16,17,16,7,13,14,11,13,17,8,16,16,15,8,13,13,10
15,22,21,18,23,20,12,23,13,22,10,19,24,25,24,17,15,18,14,13,13,16,17,14,9,12,13,11,13,17,8,15,16,14,10,12,13
16,24,19,21,18,24,20,12,24,15,21,11,19,24,25,24,17,16,18,14,13,14,16,17,14,9,12,13,12,14,18,13,16,17,14,10,12
17,20,25,20,20,20,23,20,12,23,14,24,11,19,24,25,22,17,15,18,14,13,14,16,16,15,9,12,13,10,15,15,14,16,16,15,10
18,22,21,24,20,20,19,23,21,12,23,13,24,11,21,24,25,20,16,15,18,14,13,14,16,17,16,11,13,14,11,13,15,14,16,17,16
19,23,21,20,23,19,19,19,22,20,16,24,13,24,11,21,24,27,20,16,17,18,13,14,14,15,16,16,11,13,14,17,13,15,14,15,15
20,25,25,23,20,21,17,20,19,22,20,13,24,13,22,11,21,23,28,20,17,17,18,13,11,14,14,13,17,11,12,17,17,13,13,14,14
21,19,25,22,21,18,22,18,19,22,22,21,13,24,13,21,9,22,24,26,20,17,17,17,14,11,16,14,14,17,11,17,17,16,14,13,16
22,15,21,23,22,22,18,21,20,21,22,22,21,15,24,13,20,9,22,23,26,20,17,18,19,13,11,14,14,13,17,21,18,18,18,13,13
23,16,13,21,23,21,21,21,22,19,21,24,22,24,15,26,13,20,9,22,24,25,20,15,18,20,14,12,15,15,13,24,21,17,17,19,14
24,14,18,15,20,24,21,22,19,21,18,22,22,21,24,15,23,14,19,7,22,24,25,20,15,18,20,15,12,16,15,23,25,21,17,17,19
25,13,14,18,15,19,24,20,21,17,19,19,22,22,21,24,14,24,13,19,7,23,23,24,19,14,19,17,14,15,15,21,22,25,20,17,18
26,9,14,14,15,17,22,27,19,21,18,17,19,20,22,23,24,13,26,12,18,7,21,22,24,18,15,20,16,13,14,7,20,23,24,20,18
27,12,10,14,15,16,15,22,24,19,21,18,17,19,20,21,23,23,15,23,11,16,6,23,21,23,19,16,19,17,16,19,7,21,22,24,20
28,16,14,12,12,13,19,15,23,23,21,20,15,16,19,20,22,24,25,14,22,11,16,7,25,18,25,20,15,18,18,11,17,6,24,21,25
29,9,15,12,12,14,14,17,14,23,20,20,19,15,18,19,22,19,25,24,15,23,10,15,7,26,18,26,18,16,17,23,11,16,6,24,21
30,13,6,14,12,10,13,13,17,14,23,24,20,19,18,18,19,22,19,26,22,14,22,9,12,7,25,15,23,17,16,15,24,11,13,6,24
31,11,13,9,13,12,10,15,15,18,14,25,24,19,22,17,18,20,23,19,26,21,14,21,10,11,8,23,14,27,20,20,15,24,11,11,7
32,17,12,14,10,11,11,11,18,15,17,13,22,25,19,21,17,17,18,22,19,26,19,13,20,11,12,7,25,16,25,26,19,14,24,12,13
33,18,16,12,13,10,12,11,10,15,16,17,12,21,25,19,22,17,18,18,22,17,27,20,13,20,10,12,7,24,18,17,25,21,14,24,12
34,11,19,16,12,12,11,12,12,11,17,17,17,12,23,26,20,23,19,19,17,22,17,27,21,13,20,10,14,8,25,21,17,26,22,14,24
