ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,18,23,16,18,21,14,13,19,15,20,24,27,16,26,16,16,19,19,22,15,16,20,22,10,13,29,28,21,28,17,17,20,21,9,13,29
1,22,17,22,14,17,22,15,12,21,17,19,24,27,16,27,16,15,17,19,18,14,14,20,21,11,14,28,27,18,28,15,15,19,20,10,14
2,17,20,17,21,14,20,21,16,13,21,13,18,24,28,18,29,17,12,17,20,18,15,15,19,22,10,15,28,27,18,19,17,15,19,21,9
3,9,16,21,16,24,15,20,21,17,16,20,12,18,26,27,19,29,15,15,15,19,18,15,13,25,22,14,16,28,28,18,19,16,14,24,21
4,16,9,15,20,15,28,15,21,20,16,12,19,11,21,26,28,18,26,18,15,15,19,18,16,14,25,22,15,15,28,17,18,19,17,15,24
5,17,16,9,16,21,16,26,15,18,20,14,12,19,9,21,26,28,16,28,19,14,15,18,17,19,13,24,22,18,14,14,17,17,19,19,15
6,36,14,17,10,18,20,15,26,17,19,19,14,13,18,9,21,26,27,15,30,17,15,15,18,19,20,14,26,23,18,16,15,17,19,21,19
7,23,35,14,17,11,18,19,15,25,21,18,21,14,13,18,10,22,26,26,15,28,17,15,15,18,19,17,16,28,23,25,16,15,17,19,21
8,21,24,34,18,18,10,19,19,15,26,21,18,21,14,13,18,11,21,26,25,14,26,18,16,15,21,18,18,17,27,14,25,16,15,17,21
9,21,23,23,34,16,19,10,20,20,16,23,21,21,20,13,13,18,12,20,26,24,14,27,18,16,16,23,17,18,17,24,14,28,15,15,17
10,25,20,22,23,34,18,20,11,21,20,16,24,19,22,21,14,13,15,11,21,26,23,13,27,21,15,16,25,19,17,24,24,13,28,18,15
11,19,27,22,21,22,37,18,20,14,20,22,16,25,19,22,22,14,13,15,12,21,26,26,11,31,21,15,18,27,22,20,25,25,12,31,18
12,24,17,26,23,22,22,36,18,19,13,20,22,16,26,20,20,21,14,16,16,12,21,26,26,15,32,21,17,18,28,13,19,25,25,15,32
13,21,24,19,28,21,20,21,39,18,21,12,20,22,16,26,20,23,21,12,16,15,11,20,25,26,16,32,19,17,20,15,13,19,24,25,15
