ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,8,11,14,20,12,11,18,9,19,19,11,22,17,17,21,20,15,23,15,16,13,22,21,14,12,13,11,10,14,16,13,22,22,13,12
1,10,10,10,12,12,17,13,11,18,9,19,19,12,19,18,17,22,18,13,21,16,15,14,22,21,13,14,14,11,9,16,15,14,23,23,13
2,13,10,9,10,11,12,16,14,10,21,13,20,19,13,18,17,17,23,18,13,17,16,15,13,22,21,14,16,15,12,19,16,15,12,24,23
3,15,18,11,11,9,10,13,17,14,11,22,15,22,19,12,20,18,17,22,20,13,20,16,15,13,22,23,13,16,15,13,20,16,16,12,23
4,13,15,20,11,12,9,10,14,16,15,11,23,15,23,19,16,20,18,17,22,20,12,22,18,14,13,21,23,15,16,20,12,21,19,15,12
5,9,15,16,19,11,13,10,10,15,16,15,12,23,14,24,19,15,21,18,17,23,18,13,22,18,14,15,21,24,15,22,18,13,21,18,14
6,17,12,16,15,19,11,12,10,10,17,17,15,12,23,14,24,21,16,20,18,18,23,20,14,22,18,15,14,23,23,17,22,22,14,21,18
7,16,18,12,16,15,18,11,13,11,11,17,17,16,11,22,15,21,21,17,20,18,18,21,19,14,23,18,17,16,24,18,17,21,21,14,22
8,23,18,18,13,18,15,18,12,13,10,12,18,17,17,11,21,19,21,23,15,24,18,18,21,19,14,21,17,15,17,23,18,17,21,21,14
9,11,23,18,18,12,17,16,20,13,14,11,13,20,17,17,11,22,19,21,24,14,23,19,17,21,18,13,19,19,15,14,24,19,16,21,20
10,17,12,22,17,19,12,16,16,20,12,14,11,13,21,20,17,11,26,19,20,25,14,23,18,17,22,18,13,19,18,25,14,23,18,16,21
11,13,18,12,22,18,20,14,17,17,20,14,14,11,15,20,19,17,11,26,19,20,25,13,23,18,18,20,18,13,19,20,25,13,22,18,17
12,24,15,18,13,22,20,21,13,17,19,21,15,14,11,15,21,19,17,14,27,19,21,25,14,23,17,18,19,21,14,18,21,25,14,22,17
