ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,52,45,56,50,56,48,45,47,47,29,29,35,46,38,41,38,34,36,24,24,31,39,22,23,25,29,17,14,22,29,29,38,23,25,29,28
1,58,51,46,55,48,50,49,44,47,47,24,28,33,41,34,41,35,33,35,23,23,32,40,23,24,25,28,17,19,23,24,32,40,24,26,28
2,49,58,52,47,56,44,51,49,43,45,38,21,29,32,41,33,38,32,32,34,23,22,35,38,24,24,27,28,18,17,23,25,35,39,24,26
3,43,46,58,49,47,54,46,51,48,42,39,38,23,30,33,41,33,42,33,32,33,24,27,36,34,24,24,27,28,18,34,25,29,36,37,24
4,57,43,46,60,51,43,58,47,49,46,38,37,38,22,30,34,40,32,42,30,32,33,25,28,37,34,24,25,27,25,34,33,26,28,37,37
5,63,57,44,48,60,50,46,56,44,49,41,39,37,38,26,32,36,40,31,40,30,33,34,24,26,38,33,25,25,28,31,34,35,25,26,37
6,47,62,58,40,46,55,51,47,55,41,43,40,39,41,37,27,30,36,39,31,40,31,35,33,24,28,38,29,24,24,41,32,36,34,25,27
7,55,46,62,58,41,44,58,51,47,55,33,41,40,39,40,38,28,33,36,38,31,39,29,35,33,24,28,37,31,24,32,39,31,36,35,24
8,44,54,50,64,58,42,45,54,53,46,52,32,43,40,40,42,39,28,33,36,38,32,37,29,36,32,23,30,38,31,39,32,38,31,37,35
9,52,45,55,50,61,56,42,45,52,53,40,51,33,43,40,44,42,37,29,34,37,38,33,37,30,36,31,25,28,35,36,38,34,38,32,37
10,58,54,40,58,50,60,56,43,45,49,49,40,51,33,43,40,44,43,37,28,36,38,38,32,35,31,38,32,26,27,35,35,39,32,36,32
11,64,59,50,41,53,47,62,56,42,44,45,48,42,50,34,44,40,44,43,37,28,36,36,38,33,34,34,36,33,25,27,34,35,39,33,36
12,65,66,60,51,42,52,47,60,57,41,45,44,50,44,52,36,45,42,44,43,39,28,37,36,39,33,35,34,37,33,39,27,36,35,39,32
13,58,64,65,58,50,41,53,45,61,52,43,43,48,48,44,52,37,47,43,45,43,40,28,37,36,38,32,35,35,38,43,39,28,36,35,39
14,72,59,64,64,59,47,40,53,46,64,53,43,42,49,48,46,52,38,49,42,45,44,41,28,37,37,41,32,34,32,42,43,39,28,37,36
15,54,71,58,62,62,60,47,41,53,44,59,53,44,42,49,48,47,52,39,49,43,45,45,40,29,38,36,40,31,34,44,42,43,39,29,36
16,70,54,72,57,65,60,62,47,42,50,43,60,53,45,43,51,49,49,52,41,50,43,45,45,40,29,36,36,39,31,47,46,43,43,39,30
17,72,72,53,73,55,63,58,59,45,42,50,45,61,51,45,41,52,47,48,52,42,49,44,44,45,42,31,38,36,39,41,47,46,42,42,43
18,70,75,68,54,78,55,64,57,60,45,39,52,47,60,51,45,41,53,46,50,52,42,48,44,45,46,43,31,36,37,52,41,48,46,43,42
19,66,70,72,66,55,76,57,66,57,58,48,40,48,47,59,51,45,40,53,45,50,53,42,49,45,45,47,44,30,36,48,55,42,49,47,43
20,58,66,68,73,67,57,78,57,64,54,58,48,42,47,47,59,50,44,40,52,44,48,54,41,48,46,45,45,42,32,43,48,55,41,48,47
21,58,60,61,67,68,63,55,75,54,63,55,56,47,41,48,48,58,49,43,39,52,44,46,52,44,48,44,44,49,41,50,43,47,53,44,48
22,58,54,61,60,61,68,62,56,75,52,61,58,56,45,44,44,46,59,50,44,38,51,44,44,52,44,49,43,41,49,41,51,43,45,53,43
23,50,58,53,59,59,58,71,65,48,73,53,63,56,53,46,43,44,44,56,50,43,38,51,43,43,52,43,46,45,40,43,39,50,44,45,52
24,40,45,50,54,55,57,56,70,60,45,71,47,59,56,50,45,45,43,42,56,49,42,38,46,44,44,51,43,47,43,50,43,39,46,43,45
25,50,43,48,46,54,53,57,55,69,58,44,68,46,57,53,52,45,46,44,39,56,46,44,38,43,45,43,49,45,47,54,49,44,39,43,45
26,45,48,46,50,45,47,52,53,48,63,56,44,65,44,59,50,52,42,46,45,40,56,48,39,35,41,44,44,50,44,42,55,50,42,36,43
27,48,47,47,50,50,40,50,46,51,50,58,55,42,63,43,55,50,53,42,44,44,43,62,49,37,35,41,45,46,51,44,43,58,51,40,36
28,42,48,50,48,44,43,38,44,47,52,55,57,53,43,61,44,54,50,55,41,42,43,45,62,46,38,36,37,42,43,41,44,45,58,49,40
29,46,43,48,48,46,44,46,42,42,45,55,51,57,55,42,57,45,54,47,52,38,45,44,44,61,43,35,40,35,42,38,42,46,43,57,47
30,49,45,38,51,45,43,46,47,40,40,39,50,49,55,48,44,54,46,54,47,51,37,42,42,42,59,42,37,40,35,50,41,40,43,41,55
31,46,51,42,36,51,43,43,42,41,39,40,33,48,47,50,48,44,47,43,53,46,54,40,42,43,37,53,44,31,41,46,53,44,39,43,36
32,44,46,52,46,38,44,42,43,37,42,37,35,36,50,49,49,44,42,46,44,48,44,57,45,42,41,36,51,44,33,48,41,53,47,39,43
33,48,43,48,51,46,36,48,43,41,38,40,33,36,32,47,51,49,43,45,43,43,48,45,47,40,39,45,35,50,39,43,50,43,48,43,38
34,40,50,41,50,48,45,38,48,45,39,36,39,35,36,29,46,50,49,44,44,42,44,45,46,45,36,35,43,35,47,42,43,49,43,46,41
35,45,40,52,43,52,42,45,37,49,42,42,37,41,34,35,30,44,52,50,46,42,40,45,40,43,46,31,35,41,36,46,46,43,44,42,49
36,33,46,41,48,43,49,44,44,37,47,43,42,37,43,36,37,36,44,47,45,47,43,40,39,42,38,46,31,34,44,49,44,45,45,45,39
37,48,35,46,40,43,39,47,43,48,33,48,43,40,42,46,37,40,34,45,50,43,48,43,38,37,39,42,42,31,34,45,49,44,43,43,44
38,33,46,34,43,39,46,39,49,41,47,34,49,42,40,43,45,39,42,36,45,51,43,45,42,37,35,40,43,40,32,47,45,48,43,43,42
39,31,32,47,38,43,38,47,41,49,40,50,34,49,44,41,41,45,40,42,38,45,48,43,44,41,36,35,42,42,40,46,45,45,47,43,42
40,28,31,32,48,36,41,40,42,41,47,39,49,35,47,44,41,41,44,40,42,38,45,49,43,44,38,36,38,42,41,40,45,45,45,47,40
41,42,28,33,33,47,34,40,39,41,40,48,39,50,34,45,47,41,41,44,41,44,39,46,50,44,44,38,40,38,45,44,40,46,46,46,46
42,43,40,28,33,32,45,33,40,39,43,40,48,41,47,33,44,48,41,42,43,42,46,38,47,51,42,43,36,40,38,43,45,40,47,47,44
43,40,42,40,28,31,31,46,33,38,39,47,40,48,42,47,35,45,48,42,42,41,42,45,39,46,48,43,46,36,39,38,42,45,40,46,46
44,47,40,40,41,29,32,35,47,32,37,39,47,40,49,43,45,38,47,48,41,42,41,44,46,40,46,50,45,48,34,42,38,43,47,41,46
45,44,49,38,40,44,31,30,35,47,30,40,39,49,40,49,43,45,39,47,47,41,41,41,44,46,41,47,51,48,48,42,42,38,43,48,41
46,36,44,46,38,40,43,33,30,34,47,32,39,39,49,38,48,43,45,39,48,46,40,42,43,44,47,41,46,49,48,43,41,42,40,43,48
47,47,36,43,45,37,42,43,30,31,35,48,31,39,40,49,37,46,43,44,41,47,43,37,41,40,44,45,40,45,47,44,41,40,42,38,42
48,47,48,34,42,46,36,40,43,30,28,37,50,31,41,41,50,35,45,42,44,42,48,44,38,40,40,42,45,44,43,42,44,43,42,43,38
49,43,47,47,33,41,45,35,40,42,30,29,36,50,31,41,41,50,34,43,41,45,45,47,44,38,39,38,42,45,43,44,43,44,44,42,42
50,38,43,49,46,33,39,45,38,37,43,27,28,34,50,30,44,40,50,32,42,39,44,45,47,45,37,41,37,41,45,39,43,43,43,44,41
51,33,37,43,48,48,31,40,46,38,35,42,32,29,33,49,29,44,41,50,32,41,40,44,45,47,43,39,40,35,41,41,39,43,44,43,43
52,42,32,36,43,45,46,33,38,46,40,37,42,32,28,34,48,27,45,40,50,31,41,40,45,44,49,44,39,41,36,31,40,40,43,44,45
53,41,41,33,35,43,47,48,32,37,47,35,37,42,31,29,33,48,26,45,38,51,32,43,39,44,44,47,44,40,41,50,31,42,39,43,44
