ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,8,15,14,10,15,13,17,16,14,17,26,29,19,21,30,29,26,27,24,30,25,22,21,32,31,39,34,39,43,30,24,22,22,33,30
1,15,17,8,15,14,10,15,10,18,16,16,20,28,29,20,21,30,30,26,26,26,31,25,21,23,33,33,45,31,42,26,32,26,22,23,33
2,19,15,17,8,16,14,10,14,10,18,12,17,22,28,26,20,20,30,28,27,25,25,32,22,22,25,33,34,44,31,25,24,34,24,21,24
3,21,19,16,16,9,16,13,11,15,10,21,15,21,23,26,26,21,22,29,29,28,26,25,33,23,22,26,33,33,43,26,27,26,35,24,22
4,18,23,21,17,17,9,16,15,12,18,10,19,19,21,24,28,27,22,23,30,29,28,26,25,31,21,22,28,30,32,29,27,29,27,34,24
5,17,17,24,23,17,17,9,17,14,13,19,13,22,20,21,24,28,27,22,23,28,28,28,25,24,30,23,22,27,32,28,29,28,28,25,32
6,17,17,17,24,23,18,18,10,18,15,12,23,13,22,21,22,23,25,28,23,25,28,32,30,27,22,34,24,19,26,26,29,32,28,29,23
7,22,18,18,15,23,23,18,18,9,19,14,11,22,14,23,21,22,23,24,28,23,21,28,30,28,26,25,32,24,19,24,22,29,31,27,28
8,16,25,18,20,16,22,25,20,19,11,20,15,11,24,14,23,24,24,23,24,27,23,22,29,28,29,28,27,31,23,27,24,22,29,29,28
9,16,17,24,20,19,17,22,25,21,19,13,26,15,13,23,16,24,25,23,23,27,27,23,23,31,29,29,29,29,34,26,27,25,22,30,30
10,24,16,17,25,18,20,17,22,27,19,20,12,29,15,13,24,16,26,27,24,22,31,27,23,24,33,32,31,31,28,22,27,28,24,22,32
11,22,25,16,18,25,19,20,17,22,28,19,20,12,29,15,13,26,17,27,28,25,22,32,27,23,25,32,31,32,28,25,23,28,27,24,23
12,18,22,27,18,17,25,19,20,18,23,28,21,20,11,30,15,15,26,18,27,29,26,22,34,27,24,25,33,32,32,27,25,24,29,27,25
13,19,16,23,28,18,17,26,19,21,17,26,30,23,19,12,30,17,15,27,16,29,29,26,23,34,28,24,25,32,34,30,27,26,24,33,28
14,22,18,16,24,27,17,17,27,19,20,19,26,32,23,19,12,28,19,17,28,17,27,28,26,23,34,30,26,23,36,17,29,28,25,24,34
15,27,22,18,17,25,26,18,19,27,19,21,19,26,32,22,19,12,28,19,17,25,18,28,28,27,24,34,30,26,23,25,18,31,26,25,25
16,22,28,22,18,18,24,25,18,21,27,22,22,19,27,31,22,21,13,28,21,17,25,18,29,28,26,22,34,30,26,18,25,18,31,27,25
17,30,22,27,23,18,15,25,25,19,19,29,21,23,19,27,31,22,21,13,29,22,16,27,15,30,28,26,22,34,30,23,17,28,16,32,28
18,26,30,22,27,22,18,17,28,27,18,19,29,23,25,18,28,28,22,21,15,27,23,18,26,16,31,28,27,24,34,28,23,20,26,17,33
19,28,27,32,23,29,20,18,17,28,28,18,19,31,25,25,18,28,26,21,23,18,28,24,19,27,17,30,28,26,24,15,29,25,20,26,18
20,25,27,27,32,22,28,21,19,16,27,28,19,20,32,26,25,19,29,27,23,24,17,28,22,18,31,19,36,31,24,25,15,31,24,19,28
21,25,27,27,25,31,23,29,21,19,15,26,28,20,23,32,30,26,19,30,27,23,22,19,28,22,19,31,17,34,27,22,24,18,29,23,20
22,20,25,29,27,25,31,23,31,21,19,15,28,28,21,26,31,29,26,19,32,27,22,23,16,28,22,19,32,21,37,28,22,25,18,29,25
23,28,20,27,28,27,26,34,23,29,25,23,21,30,32,19,24,31,31,28,19,36,26,23,28,17,28,24,18,32,19,37,27,24,27,18,30
24,22,27,23,27,29,28,24,32,21,29,24,23,24,28,35,22,22,34,31,29,20,36,30,22,29,15,27,26,20,28,21,37,31,23,28,15
25,22,21,26,24,25,32,30,21,30,23,33,25,26,28,35,37,24,22,37,35,30,22,36,31,21,27,20,25,24,20,31,22,35,30,23,27
26,25,22,23,25,23,25,34,29,20,29,25,41,31,28,34,36,37,28,22,40,36,30,23,42,31,21,30,24,23,25,38,30,22,41,32,23
27,17,25,21,21,26,24,25,35,29,26,34,29,47,35,36,36,40,39,35,24,41,34,35,27,45,32,24,27,24,27,41,36,34,26,40,33
28,25,17,25,22,22,27,25,27,35,29,30,38,34,51,40,39,35,42,41,36,27,48,42,37,38,45,32,26,28,21,29,44,38,35,36,40
29,16,23,16,25,21,23,27,26,26,36,32,36,40,41,51,42,40,38,47,41,39,29,49,43,48,38,49,37,30,31,38,31,50,44,44,34
30,24,16,23,15,26,21,25,27,30,26,43,43,37,42,49,55,44,36,39,44,43,37,38,56,41,49,41,51,39,30,41,38,34,58,42,44
31,31,27,17,23,16,26,21,26,27,35,28,44,46,39,44,53,54,45,36,43,43,48,51,39,52,46,51,41,51,46,41,43,41,35,54,48
32,32,33,27,17,22,17,27,19,26,26,36,31,45,47,41,44,55,56,46,36,42,43,43,55,40,57,47,47,40,48,41,42,39,44,45,57
33,23,32,33,27,18,24,19,27,23,24,30,40,33,45,51,45,44,58,59,47,40,41,46,44,51,38,57,46,48,39,40,41,45,45,50,45
34,31,26,34,33,25,19,25,19,28,23,27,34,43,37,45,50,46,49,59,61,47,37,42,48,50,51,48,56,46,44,47,39,43,49,53,50
35,36,32,28,33,34,27,21,25,21,28,25,29,39,41,41,47,50,48,49,57,62,48,41,45,48,48,55,53,52,53,60,48,44,47,49,50
36,24,36,32,34,33,36,26,21,25,22,31,27,32,41,43,39,46,50,49,52,58,67,54,44,48,51,52,55,55,53,56,63,50,46,50,52
37,19,24,36,32,34,33,37,26,24,26,24,33,27,30,43,45,42,41,49,50,51,58,66,57,45,51,49,53,51,53,52,57,69,58,46,54
38,21,19,25,36,32,33,33,37,26,26,26,25,35,26,29,41,44,43,41,49,52,52,61,71,58,44,56,47,56,47,52,56,58,73,57,47
39,16,21,19,25,38,30,33,33,36,24,26,27,27,38,28,30,42,44,44,38,47,50,52,60,68,62,48,58,45,58,43,53,55,57,68,61
40,11,17,21,20,23,38,30,33,35,36,26,27,31,30,38,29,32,42,48,43,39,47,55,54,59,67,68,54,56,43,40,46,56,58,56,71
41,23,11,17,20,22,21,38,30,34,33,37,28,29,31,31,38,28,32,39,52,41,39,52,54,57,61,65,66,56,59,41,40,50,56,56,60
