ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,11,13,12,15,14,8,9,9,6,9,8,7,9,8,4,5,8,7,4,1,6,6,7,5,4,6,5,7,6,1,6,6,8,5,4
1,9,12,10,14,12,15,15,7,8,8,7,9,7,7,8,8,4,5,7,7,7,1,5,6,7,5,5,7,5,8,5,1,5,6,7,5
2,7,10,12,11,14,13,14,15,7,9,8,7,9,7,7,7,8,5,5,7,7,7,1,5,6,7,5,7,7,5,6,5,1,6,6,7
3,15,8,9,13,11,14,14,14,13,7,8,8,6,10,8,7,7,10,5,5,6,7,7,1,5,6,7,4,6,7,6,6,6,1,6,6
4,9,14,7,10,13,11,14,14,14,14,7,9,7,6,10,8,8,7,9,4,5,6,8,7,1,5,6,7,4,5,5,6,8,6,1,6
5,12,10,14,7,10,13,11,14,14,14,15,7,9,8,6,9,7,8,7,8,4,4,5,7,7,1,5,6,7,4,4,5,6,8,6,1
6,11,11,11,15,7,11,13,11,14,14,16,15,7,9,9,6,9,7,7,6,9,4,4,5,7,7,1,5,6,7,10,4,3,6,8,6
7,10,11,11,10,14,6,10,13,11,15,16,14,15,7,9,9,6,9,7,6,6,9,5,4,5,7,7,1,5,6,6,10,5,3,6,8
8,10,10,12,12,10,13,6,10,13,10,15,16,13,15,7,9,9,6,9,7,6,6,9,5,4,5,7,7,1,5,7,6,10,5,3,6
9,4,9,10,12,13,10,14,6,10,13,10,15,16,13,14,7,9,9,6,9,6,6,7,9,6,4,5,7,7,1,6,7,7,9,6,3
10,10,4,9,10,12,14,10,13,6,10,15,9,15,16,14,15,7,9,9,6,8,6,6,7,8,6,4,5,7,6,7,6,6,7,9,6
11,6,10,4,9,10,11,14,10,13,6,11,15,9,15,16,14,15,7,8,9,6,8,6,6,7,8,6,4,5,8,6,7,6,6,7,9
12,8,6,10,5,9,11,12,13,10,13,6,11,15,9,14,15,14,15,7,9,9,6,8,6,6,7,7,6,4,6,9,6,7,6,6,7
13,14,9,6,10,3,10,12,11,15,10,14,5,11,15,9,14,15,14,15,7,9,9,6,8,6,6,7,7,6,4,9,9,6,7,6,6
14,12,14,9,6,11,3,10,11,11,15,10,14,5,11,13,9,14,14,14,15,7,10,9,6,8,6,6,7,7,6,7,9,9,6,7,6
15,9,13,14,8,6,10,4,9,12,11,15,10,14,5,11,13,9,14,14,14,15,7,10,9,6,8,6,7,7,8,14,7,10,9,6,7
16,13,10,13,14,8,6,10,3,9,12,11,15,10,14,6,11,13,9,12,14,12,15,8,10,9,6,8,6,7,7,13,14,8,10,9,6
17,12,14,9,13,14,8,6,11,4,10,11,11,12,10,13,6,11,13,9,12,14,13,15,8,10,9,6,8,6,7,14,13,14,8,10,9
18,14,13,14,10,13,14,8,8,10,3,10,11,13,12,10,13,6,11,13,10,12,15,13,15,8,10,9,6,8,6,15,14,12,14,8,10
19,9,13,16,12,9,14,14,8,6,10,3,10,11,13,12,10,13,7,11,13,10,12,15,13,15,8,10,9,6,7,10,15,14,14,15,8
20,11,8,14,13,13,9,12,14,8,7,11,3,9,11,13,12,10,13,7,11,13,10,11,15,13,15,8,10,9,6,13,10,12,13,13,15
21,12,13,9,12,13,13,8,12,13,8,7,11,4,9,10,13,12,10,15,7,11,13,11,13,15,13,15,8,10,9,11,13,11,14,15,13
22,6,11,15,8,11,13,13,9,13,14,9,6,11,4,9,9,13,12,10,13,7,11,13,11,13,15,10,15,8,10,7,11,13,12,13,15
23,10,7,10,12,5,12,15,12,8,13,16,9,7,11,4,9,9,13,12,11,12,7,10,13,11,13,15,10,15,8,12,7,10,14,11,13
24,6,12,6,11,10,5,12,17,13,9,13,17,11,7,11,4,9,9,13,12,13,9,7,10,12,12,13,15,10,15,12,10,7,10,13,12
25,12,6,10,8,12,9,7,10,18,13,10,12,17,12,7,10,3,10,8,14,12,12,8,8,10,13,11,15,16,11,10,11,9,8,10,14
26,9,12,6,11,8,10,10,6,10,20,13,10,13,16,12,9,9,3,10,7,14,12,14,6,9,10,12,12,15,16,14,10,13,8,8,11
27,14,9,11,6,13,7,10,10,6,9,19,13,12,12,15,12,10,11,3,11,7,14,12,14,6,8,9,12,12,16,11,14,13,11,8,7
28,25,14,10,11,7,12,7,12,10,7,8,17,13,10,12,15,11,12,11,4,11,5,13,12,14,6,9,11,12,12,12,11,13,15,12,8
29,5,26,13,9,13,7,12,7,11,11,7,8,16,14,9,12,16,10,13,11,4,11,4,14,11,15,6,9,9,13,4,12,8,15,13,14
30,12,5,26,13,9,12,7,12,9,10,13,7,8,16,12,9,12,15,10,13,12,4,11,5,15,12,15,6,9,9,12,4,11,8,15,13
31,13,13,3,24,14,9,13,8,12,8,10,10,6,8,16,11,9,12,14,10,13,13,4,12,4,17,10,14,5,8,12,12,4,12,7,16
32,10,13,13,4,25,13,9,11,8,13,7,11,10,6,8,15,12,10,12,14,10,12,12,4,11,4,17,10,13,6,8,12,12,5,11,7
33,14,7,13,13,4,24,13,8,11,8,14,8,10,11,6,8,15,13,10,12,13,9,13,12,6,12,4,16,9,13,11,8,12,13,6,12
34,8,13,8,14,14,5,25,14,9,9,9,14,6,10,11,6,9,14,12,10,11,12,10,13,11,5,10,4,15,9,11,11,10,13,12,5
35,12,10,13,8,14,13,4,25,14,9,9,10,15,7,10,13,6,9,14,11,10,10,13,10,12,11,4,10,4,15,13,11,11,10,12,11
36,6,13,9,13,9,13,14,5,26,12,10,9,10,14,8,10,13,6,9,13,11,11,7,13,9,12,11,6,9,6,11,13,10,15,9,12
37,1,5,13,9,14,9,14,13,4,27,11,10,9,10,15,8,10,12,6,10,13,11,10,8,13,9,12,9,6,10,13,11,12,10,15,9
38,8,1,5,13,9,14,10,14,13,4,27,11,9,10,11,15,7,10,12,6,9,13,11,11,10,13,9,12,9,6,9,13,12,13,10,15
39,7,9,1,6,12,10,13,11,14,14,6,26,11,9,9,11,15,7,10,12,6,9,12,10,11,11,13,9,12,9,8,9,12,11,11,11
40,5,6,9,1,5,12,11,12,11,14,16,6,27,11,11,8,11,15,7,9,12,5,9,12,10,11,11,12,9,12,12,8,9,13,12,11
41,9,6,7,9,1,5,12,10,12,11,15,15,6,27,11,12,8,11,15,6,9,12,5,9,12,11,11,11,12,8,12,12,6,9,12,12
42,12,9,7,6,9,1,5,12,10,12,10,15,15,6,27,11,12,8,9,14,6,10,10,6,9,12,11,11,11,12,7,12,11,7,9,12
43,4,13,10,6,6,9,1,6,12,10,13,10,15,16,7,27,11,11,9,9,14,6,10,10,8,9,12,11,11,10,12,7,10,11,8,9
44,11,6,11,10,6,6,9,1,5,12,11,13,10,15,16,6,27,10,10,9,9,14,6,9,13,8,9,12,11,11,10,12,7,9,13,8
45,13,13,5,12,12,6,5,9,1,5,11,11,13,10,14,17,6,27,10,10,9,9,15,6,9,13,8,9,12,11,12,10,13,7,9,13
46,6,13,12,6,12,12,6,6,9,1,5,11,11,13,9,14,17,7,27,11,10,9,11,17,6,9,14,8,9,12,9,12,11,16,7,9
47,8,6,11,12,6,11,12,6,5,10,1,5,11,9,13,9,14,17,7,26,11,10,8,12,17,8,8,14,8,10,13,9,9,12,17,8
48,11,7,6,11,11,6,11,12,6,5,10,1,5,11,9,13,9,14,16,5,26,12,10,8,13,16,8,8,14,8,23,13,10,9,12,16
49,7,11,7,6,11,12,6,11,12,5,5,10,1,6,11,9,13,9,14,16,5,26,12,10,8,12,16,8,8,14,7,23,13,9,9,12
50,4,7,11,7,7,11,11,5,10,12,5,5,9,1,6,9,9,13,11,14,16,5,26,13,10,8,12,16,8,8,17,7,25,14,10,9
51,9,5,7,10,7,5,11,11,5,10,12,5,4,9,1,6,9,9,13,11,13,17,5,26,12,10,8,12,16,8,13,17,5,27,12,10
52,8,7,6,7,10,6,5,11,12,4,11,11,5,4,7,1,6,9,9,13,11,13,17,5,26,12,10,8,12,16,12,13,16,5,27,12
53,12,8,8,4,7,10,6,5,11,11,4,11,10,5,4,7,1,6,9,10,13,11,14,16,4,27,12,10,10,12,10,12,13,16,4,26
54,5,12,8,7,4,7,10,6,5,10,12,5,11,10,5,4,7,1,6,9,10,13,11,14,15,4,24,12,10,10,12,10,10,14,15,4
55,12,5,12,8,8,4,8,10,5,6,11,12,5,11,10,5,5,7,2,7,9,9,14,10,14,15,5,24,11,9,11,12,13,9,14,15
56,6,11,4,12,8,7,5,7,10,5,6,11,12,5,11,10,5,5,7,2,7,9,9,12,10,14,15,5,25,11,7,11,10,12,10,14
57,12,6,11,3,13,8,7,5,7,10,5,6,11,12,5,11,10,5,5,7,2,9,9,8,12,10,14,15,5,25,2,7,11,9,12,10
58,14,12,6,10,4,12,9,7,5,7,11,5,6,11,11,5,11,10,5,5,7,2,9,9,10,12,10,14,15,4,7,2,9,10,10,12
59,13,15,12,6,10,3,13,8,7,6,8,10,4,6,11,11,5,11,9,5,5,7,2,9,10,10,12,10,14,15,5,7,1,8,11,10
60,4,13,15,12,7,10,4,13,8,7,7,8,8,4,6,11,12,5,11,8,5,5,7,2,8,10,9,12,10,14,6,5,7,1,8,11
61,9,5,13,15,11,7,10,3,13,8,6,7,8,8,4,6,10,12,5,11,7,5,5,7,2,7,10,9,12,9,7,6,5,7,2,7
62,6,8,5,13,16,11,7,9,3,14,8,6,7,8,8,4,5,10,12,5,10,7,5,6,7,2,7,10,9,12,10,7,5,6,7,2
63,2,5,8,5,13,15,11,7,8,3,13,8,6,6,9,8,4,7,10,12,5,10,7,5,6,7,2,6,10,10,5,10,7,5,6,7
64,1,2,4,8,5,13,16,11,6,8,4,13,8,6,6,9,8,4,7,10,12,5,10,7,5,6,7,2,5,11,13,5,12,7,5,6
65,10,2,3,4,7,6,13,16,11,5,7,4,13,8,5,5,9,8,4,7,10,11,5,10,7,5,6,7,2,5,9,13,4,11,7,5
66,3,10,1,2,4,7,7,13,16,11,5,7,4,13,8,5,4,9,8,4,7,10,11,6,11,7,5,6,7,3,8,9,12,5,12,7
67,7,3,9,1,2,4,7,5,15,16,12,5,7,4,13,7,5,5,9,8,4,7,10,11,6,11,7,5,7,6,5,8,10,11,5,12
68,7,8,5,7,1,4,4,5,5,13,16,11,4,6,3,13,7,6,5,8,8,4,7,10,12,6,9,7,5,7,9,5,7,10,12,5
69,8,9,7,5,6,1,2,6,5,3,9,14,11,4,6,3,13,7,5,5,8,8,4,7,10,12,6,9,6,5,6,9,4,7,10,12
70,6,8,8,8,3,5,1,2,4,6,3,9,14,11,4,6,3,13,7,5,4,8,8,4,9,10,12,6,8,7,4,6,10,4,8,10
71,8,7,9,7,5,3,5,2,2,4,6,3,9,14,11,4,6,2,12,5,4,4,8,7,4,9,10,12,4,9,2,4,7,9,4,8
72,6,8,7,9,6,5,4,5,1,2,2,6,4,9,14,11,4,5,2,12,5,4,3,8,8,4,6,9,11,4,4,2,3,7,9,4
73,3,6,8,7,7,6,5,3,5,1,3,2,6,4,8,14,11,4,5,3,12,5,4,3,5,8,4,6,9,11,11,4,3,3,5,9
74,6,3,5,6,6,6,6,4,5,5,1,3,2,6,4,8,13,10,4,5,3,12,5,4,3,4,7,4,6,7,3,11,6,3,3,4
75,5,6,2,5,6,7,6,6,4,4,5,1,3,2,6,4,8,13,10,4,7,3,12,5,4,3,4,8,3,6,6,3,11,6,3,3
76,6,5,6,3,5,6,5,6,4,3,3,5,1,3,2,6,4,8,12,10,3,7,3,12,5,4,3,4,7,2,3,6,4,11,6,3
77,4,6,5,5,2,7,5,5,6,5,3,3,5,1,2,1,6,4,7,11,10,3,7,3,11,4,4,3,4,8,8,3,7,4,10,5
78,7,4,5,4,5,3,4,5,5,6,4,3,3,5,1,1,1,6,4,7,11,10,3,6,2,10,4,4,3,4,10,8,3,6,3,9
79,5,4,2,5,4,5,2,2,6,4,6,3,3,3,4,1,1,1,6,5,7,11,10,3,6,2,10,3,4,2,5,10,7,3,6,3
80,3,5,3,2,3,4,5,2,None,5,4,6,3,3,3,4,1,None,1,5,3,7,11,9,3,6,2,8,2,3,3,5,11,7,3,6
81,2,3,3,3,1,3,4,4,1,None,4,4,6,4,2,3,3,1,None,1,5,4,7,10,9,3,4,1,8,3,5,3,5,10,6,3
82,1,3,3,3,3,1,3,4,4,1,1,4,4,4,4,2,3,3,2,None,1,5,4,6,8,10,3,4,1,8,2,5,3,6,8,9
83,2,1,3,2,4,3,None,3,3,3,1,1,3,3,3,3,None,1,3,2,None,1,5,4,5,8,9,2,4,2,None,2,4,3,5,8
84,2,2,None,3,2,4,3,None,3,3,1,1,1,3,2,3,2,None,None,3,2,None,1,4,4,4,7,7,1,2,2,None,2,3,3,4
85,1,2,2,1,2,2,2,3,2,3,4,1,1,None,3,1,3,2,None,1,3,2,None,1,2,4,3,6,6,1,2,2,None,2,2,3
86,1,1,2,1,1,1,2,2,2,2,2,4,1,1,None,3,None,2,2,None,1,3,2,None,None,2,4,3,5,5,None,2,2,None,1,2
87,1,1,1,1,1,1,1,2,2,2,None,2,3,2,None,None,2,None,2,2,None,1,3,2,None,None,2,2,2,4,None,None,3,2,None,1
88,None,1,1,1,1,1,1,1,2,2,1,None,1,3,2,None,None,2,None,2,2,None,1,2,1,None,None,2,2,1,2,None,1,2,2,None
89,None,None,1,None,1,1,1,1,1,1,2,1,None,1,2,None,None,None,2,None,2,2,None,1,2,1,None,None,2,2,1,2,None,1,2,1
90,1,1,1,1,1,2,2,2,2,2,1,2,1,None,None,2,None,None,None,None,None,2,3,None,1,2,None,None,None,2,1,1,3,None,1,2
91,None,None,None,None,None,None,1,1,None,1,None,1,1,1,None,None,1,None,1,None,None,None,2,2,None,1,2,None,None,None,None,1,2,2,None,1
92,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,None,None,1,None,None,None,1,1,None,1,2,None,None,None,None,None,1,1,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,1,1,None,1,None,None,1,None,None,None,1,1
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None
