ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,28,33,42,32,33,27,35,28,39,28,34,31,25,25,34,38,27,23,31,36,26,27,37,32,31,34,45,30,35,26,26,27,35,31,31,36
1,27,28,35,42,31,33,29,32,28,36,30,36,36,26,24,33,38,23,23,30,40,27,27,37,33,29,34,43,30,37,38,27,27,35,31,29
2,25,30,30,35,41,29,32,29,33,29,36,30,38,34,26,24,33,37,23,23,32,39,28,28,35,33,28,35,45,30,33,38,27,28,34,31
3,32,25,29,32,36,43,29,33,31,33,28,36,28,38,33,26,23,32,36,24,24,29,41,28,28,34,33,29,35,46,24,31,40,28,27,34
4,33,33,26,29,33,35,44,28,35,32,30,29,40,29,37,33,28,23,32,35,24,23,29,41,27,26,34,33,31,34,24,23,32,40,27,25
5,30,35,33,27,28,35,36,46,28,37,29,31,29,37,30,38,32,30,23,31,35,24,24,30,41,26,27,36,33,28,38,24,24,32,40,26
6,41,27,36,34,27,28,36,36,44,28,32,30,30,29,38,29,38,32,29,22,32,35,24,25,31,42,28,28,35,31,33,37,24,25,31,41
7,36,40,30,35,34,25,28,37,37,43,26,34,31,33,29,41,29,38,32,28,23,34,35,25,26,30,44,28,28,31,23,34,37,25,26,30
8,42,37,40,30,36,35,25,28,38,37,43,27,34,30,33,30,42,29,37,31,28,25,34,36,27,27,30,44,28,28,27,24,34,37,26,27
9,44,42,38,40,30,34,34,25,28,40,37,43,31,34,30,33,31,41,29,37,32,28,25,34,35,27,28,32,42,27,32,26,24,35,36,26
10,35,45,43,37,41,30,33,34,25,28,40,37,45,31,34,30,33,30,41,29,36,32,28,23,36,35,27,27,31,42,35,32,26,22,35,36
11,54,35,47,43,35,40,31,32,34,25,30,42,37,44,31,36,32,33,29,41,30,36,33,28,24,36,35,27,27,31,32,35,33,26,24,36
12,59,55,36,48,43,34,40,30,31,35,24,29,40,36,44,33,36,31,33,29,41,30,36,33,30,25,36,35,25,26,41,31,35,33,30,25
13,34,58,55,35,46,44,34,41,32,32,37,25,28,41,36,48,32,36,31,34,30,40,30,37,33,30,27,35,38,25,31,42,31,36,33,30
14,66,33,59,55,35,45,45,32,38,30,34,36,23,28,41,37,48,32,36,31,35,30,41,31,38,32,29,28,35,38,34,31,43,32,37,32
15,47,68,34,59,54,35,44,45,33,39,31,34,37,26,28,41,40,47,32,38,31,36,30,41,31,37,33,30,29,34,32,35,32,44,32,37
16,51,48,68,34,59,53,35,43,45,33,39,33,34,38,26,28,41,40,47,33,38,31,36,30,40,31,38,36,31,30,38,32,35,31,37,32
17,69,50,48,68,34,60,53,34,44,45,33,39,33,34,38,27,26,41,40,47,33,38,31,35,30,39,33,40,37,31,33,38,32,35,31,38
18,45,68,50,48,68,34,59,53,35,43,47,33,39,34,33,38,29,25,40,40,47,33,38,31,36,30,40,33,38,37,48,33,38,32,35,31
19,62,44,67,51,51,69,34,59,53,37,45,48,35,41,34,33,37,27,26,39,40,50,33,38,30,35,30,40,34,40,43,51,33,38,32,36
20,51,63,44,65,47,50,68,32,58,51,37,47,50,35,40,35,33,38,27,25,41,40,49,33,40,30,38,31,39,37,40,41,50,33,40,32
21,52,54,63,43,64,47,47,68,33,61,51,37,49,50,34,42,34,33,39,29,25,38,45,48,33,42,32,38,31,38,28,38,43,49,34,42
22,55,52,49,61,43,69,45,46,65,34,63,53,36,49,49,34,43,34,30,39,28,27,41,44,49,33,46,31,38,30,28,28,42,46,51,34
23,53,55,51,52,60,43,69,46,45,64,34,64,56,35,51,50,34,42,33,28,40,30,33,41,42,50,33,50,31,38,42,29,29,42,45,53
24,46,56,53,51,52,56,44,67,45,44,66,37,62,56,34,51,47,34,42,32,28,39,34,32,39,42,55,34,50,31,27,40,31,32,40,45
25,41,45,55,54,52,52,54,42,66,44,45,68,38,62,57,34,48,47,35,43,31,30,41,30,31,41,47,51,36,50,32,29,43,32,34,42
26,45,39,44,55,52,54,51,54,40,64,45,47,68,38,62,55,33,48,48,37,43,31,32,40,32,32,45,45,52,36,44,32,31,42,35,36
27,39,44,40,43,55,50,49,50,52,41,61,46,51,67,39,61,54,35,47,50,38,45,34,32,38,30,40,44,45,54,38,46,33,30,41,35
28,34,39,43,41,43,56,52,48,49,50,45,62,47,50,67,37,62,55,34,48,50,40,49,34,33,38,31,39,42,47,49,39,48,32,31,41
29,41,33,40,42,38,38,53,55,52,49,53,45,65,47,49,67,37,62,56,37,46,51,47,48,36,34,39,31,40,41,46,52,41,45,34,32
30,40,40,32,38,43,41,39,51,56,54,54,55,44,64,46,47,68,38,65,59,40,46,53,47,46,35,40,38,33,41,42,47,53,48,42,32
31,42,42,36,32,41,40,42,39,51,59,54,54,60,46,65,48,47,72,36,69,56,41,49,59,47,50,38,43,38,35,56,41,49,55,48,45
32,37,43,41,38,30,39,42,40,41,54,57,51,57,61,44,64,51,45,74,37,71,59,45,51,60,47,51,39,39,38,69,58,43,50,56,49
