ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,6,10,11,16,11,6,11,11,11,5,12,4,12,12,12,13,15,11,12,12,13,14,17,10,13,14,16,3,12,10,13,14,16,11,13,15
1,21,6,11,10,15,11,6,10,11,11,5,11,4,11,13,13,13,15,12,12,13,12,13,17,10,14,15,16,3,11,13,12,14,18,11,14
2,12,23,9,11,11,14,12,7,11,12,10,6,12,5,11,13,14,11,16,13,13,15,12,12,18,10,15,16,14,4,13,15,12,13,19,10
3,20,11,23,8,11,9,15,11,8,12,11,10,5,11,6,13,13,14,10,15,14,15,15,12,12,20,9,15,15,12,13,15,15,12,13,20
4,23,19,12,23,6,11,9,17,10,8,13,9,10,7,11,6,13,13,15,10,14,14,13,14,12,12,18,6,12,16,13,13,13,15,12,13
5,12,24,18,12,23,5,12,10,17,10,8,15,10,11,7,9,7,12,12,14,10,14,13,13,16,9,12,17,7,11,10,13,12,13,17,11
6,15,15,23,18,12,26,6,11,10,16,8,8,16,10,11,7,11,8,12,12,14,10,14,13,15,16,9,14,17,7,14,10,13,12,15,16
7,14,16,12,22,21,13,25,6,10,8,14,10,8,15,10,11,8,11,9,11,12,15,10,13,12,16,15,13,14,18,10,16,10,12,11,16
8,22,14,19,12,23,19,13,25,9,9,7,14,10,10,14,10,12,8,10,10,10,12,17,10,13,13,15,14,12,14,12,10,16,9,12,13
9,11,22,13,18,12,22,21,12,25,8,10,7,14,10,12,14,10,12,9,10,11,10,12,18,11,12,13,16,15,14,9,12,10,17,10,12
10,25,11,22,13,18,13,22,19,12,24,8,10,8,15,10,12,14,10,13,7,10,11,11,14,17,11,13,14,16,15,11,9,13,11,16,10
11,15,26,11,22,14,18,13,23,19,12,23,8,9,9,15,10,12,13,10,13,6,9,11,11,14,17,12,12,15,15,6,10,9,13,12,16
12,14,14,26,12,21,14,18,14,22,21,13,23,8,8,10,14,10,12,11,10,13,7,10,11,10,13,17,10,12,14,14,7,11,9,12,12
13,16,13,14,26,13,22,14,18,14,21,22,13,23,8,8,10,14,10,13,11,11,13,7,11,11,10,13,17,10,12,12,15,7,12,9,12
14,16,18,13,13,26,12,22,15,17,14,22,22,13,23,8,7,11,14,10,13,11,11,13,6,10,11,10,13,16,11,12,13,15,7,11,9
15,14,16,16,15,13,26,11,21,14,17,16,23,21,12,24,7,5,11,14,11,13,12,13,13,6,10,12,13,14,16,12,13,15,15,7,11
16,16,13,17,14,16,13,28,11,21,15,17,16,22,21,12,24,8,4,10,14,12,13,12,13,12,7,11,10,13,12,12,12,12,15,14,8
17,17,20,15,17,14,15,13,27,12,22,15,17,17,23,24,12,24,9,2,10,16,12,13,12,14,13,8,13,10,13,17,12,12,13,15,15
