ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,31,33,28,31,32,35,21,24,32,21,42,23,26,15,23,22,35,19,27,17,27,28,28,31,16,22,29,26,26,31,27,27,28,31,12,21
1,38,29,33,30,32,32,37,20,22,30,19,38,23,25,16,24,21,33,19,28,21,25,28,31,30,16,23,26,26,25,22,27,26,28,29,12
2,43,39,31,33,30,31,30,34,23,24,28,19,38,23,25,17,24,21,30,17,28,20,29,25,30,31,14,21,24,26,29,22,29,24,31,32
3,46,41,40,32,34,30,31,31,33,20,23,28,21,35,22,25,19,20,20,29,15,27,21,31,25,31,32,14,20,25,17,28,23,32,28,32
4,45,44,40,41,32,35,31,30,31,34,20,23,27,18,33,23,25,20,20,20,29,16,29,20,31,25,27,33,14,20,30,18,28,20,33,28
5,40,43,42,40,41,32,33,29,29,32,30,21,23,25,19,35,23,23,19,19,18,30,17,29,19,29,25,24,35,14,21,30,19,28,19,33
6,38,43,45,39,41,42,30,34,26,28,34,30,21,19,22,21,35,23,23,20,19,19,32,17,30,18,29,27,24,36,22,22,31,18,28,18
7,58,42,45,45,39,39,40,31,32,27,30,36,32,21,19,23,22,38,23,23,21,19,22,32,17,28,17,30,31,27,24,23,23,31,17,27
8,43,55,41,47,43,39,43,41,32,35,31,29,37,32,21,20,24,23,39,22,23,21,22,22,33,18,28,17,30,31,24,24,24,22,31,18
9,40,45,57,42,50,43,39,42,42,33,34,30,27,37,31,23,21,24,24,40,22,26,24,23,21,32,18,28,16,33,24,25,25,24,22,31
10,40,42,45,57,42,48,42,40,43,40,31,34,30,26,38,30,23,22,25,25,39,23,27,24,23,20,32,16,27,18,39,25,27,25,23,21
11,57,40,43,46,58,41,48,44,40,41,39,30,34,31,26,38,31,24,24,25,26,40,24,24,24,23,20,32,16,29,23,38,25,24,24,24
12,43,58,40,42,46,58,42,49,44,39,43,37,30,34,32,26,39,31,25,23,25,26,40,24,25,23,24,20,32,17,24,23,38,25,25,24
13,52,43,60,40,46,47,59,44,50,44,41,44,37,30,35,33,26,40,32,25,22,26,26,40,23,25,24,23,22,32,21,26,23,38,24,25
14,51,54,44,62,42,41,45,60,41,51,43,41,45,39,29,34,33,28,40,33,25,22,25,26,41,23,23,25,24,23,24,21,25,24,41,24
15,46,51,55,46,63,44,43,45,57,43,51,44,41,44,41,27,35,33,29,40,34,25,21,25,26,41,23,22,24,26,34,24,21,25,26,41
16,47,44,54,58,48,65,45,42,45,57,43,49,45,41,44,40,27,35,32,30,40,34,26,21,25,26,40,23,21,23,41,34,25,21,25,24
17,49,47,42,55,61,46,65,44,42,45,56,43,49,45,41,43,40,27,37,31,31,40,34,26,20,25,26,38,22,21,29,43,34,26,20,25
18,44,49,45,42,55,63,47,66,43,42,46,55,44,48,44,40,43,43,28,36,31,32,41,34,27,19,24,26,39,24,30,31,42,33,26,19
19,33,45,47,45,44,56,64,50,70,42,39,44,54,45,48,43,39,41,44,27,36,29,33,41,34,27,20,23,26,40,38,29,31,41,34,26
20,45,34,46,48,45,44,60,67,48,70,37,33,44,53,42,48,42,33,41,44,27,36,29,33,43,34,28,22,24,29,29,37,30,31,41,33
21,43,39,35,48,46,46,49,62,68,50,59,34,34,42,56,38,46,43,34,38,45,28,36,30,34,42,34,28,19,24,42,28,36,30,32,42
22,46,42,39,37,47,47,45,51,60,71,41,58,34,33,43,56,37,44,47,33,41,43,29,35,31,34,41,34,27,20,43,41,29,34,30,32
23,31,45,47,37,36,47,44,48,51,62,56,37,56,34,34,41,56,39,44,47,33,44,42,30,34,31,33,40,35,28,37,47,39,29,34,30
24,30,33,43,46,34,36,49,49,44,50,54,53,37,56,36,31,39,58,37,45,48,33,47,43,32,30,29,33,39,34,48,38,48,41,31,31
25,45,31,36,43,45,39,37,54,49,44,45,49,56,38,57,40,33,39,59,42,47,47,38,44,39,29,30,30,33,40,45,50,39,45,38,28
26,47,45,32,36,43,44,38,42,55,47,38,45,45,54,38,54,41,33,40,64,40,52,49,39,46,38,34,27,31,35,39,46,50,39,49,37
27,40,44,44,32,38,43,43,38,41,55,36,34,46,44,51,41,53,38,35,41,64,44,55,50,43,45,37,34,29,30,61,40,47,50,42,47
28,29,39,51,45,30,39,42,49,42,41,43,37,35,45,45,52,40,50,40,38,44,60,45,55,47,39,45,35,35,29,43,62,41,53,47,41
29,31,26,39,49,44,32,38,45,50,41,35,42,36,35,43,44,50,41,48,40,36,45,62,46,53,45,35,45,35,34,38,46,65,42,51,46
30,34,32,26,39,46,45,35,42,42,51,36,31,38,32,38,43,41,52,41,45,40,35,48,58,49,54,43,38,45,36,42,35,46,61,43,49
31,38,35,33,28,44,46,41,33,41,42,44,33,29,37,30,40,43,40,50,38,45,42,34,45,55,50,53,45,39,46,44,45,36,45,59,41
32,33,37,35,35,29,48,46,41,30,45,40,47,31,29,38,29,39,41,37,48,41,49,46,33,47,53,48,49,46,38,43,44,48,37,41,55
33,23,32,39,30,33,29,48,46,40,32,42,37,46,36,28,38,28,37,44,35,49,40,46,46,35,43,50,48,46,44,48,42,45,45,38,42
34,33,26,35,37,29,32,29,48,47,38,28,44,41,46,35,28,42,27,37,45,37,50,41,46,43,41,40,44,45,44,36,50,44,49,46,39
35,45,34,26,33,37,29,34,31,45,44,42,29,44,41,48,35,29,44,26,36,45,35,50,46,51,44,42,39,43,42,44,37,53,44,50,44
36,19,46,36,28,33,35,29,34,29,45,42,42,31,43,40,45,38,29,42,27,36,48,37,50,46,50,43,43,40,44,36,44,37,51,39,46
37,22,16,47,37,29,32,38,27,32,28,47,42,42,29,42,41,42,41,30,43,27,37,49,37,51,44,50,43,40,42,29,36,44,40,50,40
38,26,24,17,48,37,25,32,35,27,33,28,47,41,43,27,38,41,42,44,29,41,27,37,49,38,51,46,50,41,39,40,28,37,44,43,52
39,34,25,25,17,45,37,30,32,33,30,35,28,48,41,42,30,39,40,43,43,30,42,31,35,48,40,49,42,51,39,30,40,30,36,48,45
40,25,33,26,25,18,45,36,28,33,34,26,37,29,49,43,42,30,39,39,42,44,30,45,31,36,48,42,48,42,51,43,30,40,29,37,48
41,35,24,33,27,24,19,43,37,28,34,38,25,36,30,48,42,41,29,37,38,42,44,32,46,31,35,47,42,47,44,45,42,33,39,30,35
42,36,35,24,33,26,27,19,45,35,30,32,37,26,36,31,48,41,40,29,34,38,42,43,32,44,29,35,43,42,45,38,44,42,34,38,29
43,24,38,34,23,34,27,25,19,43,36,28,33,38,26,35,30,48,40,40,29,33,39,42,45,34,44,29,37,46,45,34,39,41,44,34,37
44,27,25,38,35,23,34,26,24,20,44,35,28,34,38,27,33,30,47,42,41,30,31,38,41,44,34,43,33,35,45,28,31,38,40,44,35
45,28,27,23,39,32,24,33,25,24,19,46,34,28,36,36,27,35,31,47,42,42,30,30,39,41,43,35,43,32,34,45,28,29,39,39,43
46,30,27,26,25,42,33,24,33,25,24,19,47,34,29,35,37,28,35,33,44,41,42,31,30,39,38,43,37,43,30,43,44,31,30,41,38
47,26,30,29,27,26,41,35,23,35,26,23,19,48,32,29,34,38,28,36,32,43,41,44,29,31,41,38,44,38,41,42,43,46,31,31,41
48,20,26,29,27,27,26,42,33,22,35,26,23,19,47,32,29,33,41,29,37,32,43,43,45,27,29,41,37,43,39,30,44,44,47,30,31
49,31,20,28,29,27,26,26,41,31,21,35,26,24,18,46,32,28,35,41,29,37,32,44,43,45,26,28,42,37,43,39,29,44,43,46,29
50,28,30,20,25,29,26,26,27,39,32,23,33,28,25,21,46,32,27,36,41,29,36,33,45,44,46,26,30,42,38,28,38,30,45,44,47
51,25,28,30,21,23,31,28,29,27,40,33,23,34,29,25,21,45,32,27,34,43,30,36,33,45,44,46,25,32,41,45,27,37,30,44,45
52,27,23,28,31,21,22,29,28,27,26,40,33,24,34,30,24,21,45,32,28,34,44,32,36,34,46,43,46,25,35,37,44,30,37,30,45
53,20,25,24,28,30,20,21,29,28,27,28,39,34,25,35,29,25,23,49,32,30,34,46,31,36,34,48,42,46,26,29,37,46,30,36,32
54,21,21,25,25,29,28,19,21,29,29,28,28,39,33,27,36,27,25,23,48,33,31,35,47,32,36,34,47,41,48,34,29,38,47,31,36
55,21,21,22,25,25,30,29,20,21,28,28,30,27,37,33,25,37,28,24,24,48,33,32,36,47,32,35,33,47,42,46,34,30,39,47,33
56,33,20,20,18,27,23,30,28,20,22,28,26,29,27,37,32,25,36,28,25,23,48,33,32,36,46,31,35,33,45,23,49,34,30,37,47
57,21,28,20,20,21,26,23,30,28,21,21,27,27,28,28,37,32,25,35,28,25,21,50,34,33,37,48,32,36,31,25,23,49,35,31,37
58,16,21,27,21,17,20,26,25,31,29,22,19,27,27,29,29,37,32,27,32,28,25,20,51,34,32,37,51,31,34,27,25,21,52,36,31
59,22,17,21,24,19,18,20,26,21,30,26,21,17,28,25,29,29,37,33,28,32,28,24,19,52,34,32,39,50,31,34,27,24,21,51,36
60,8,20,17,22,25,19,16,21,25,21,32,27,22,18,28,25,28,29,35,33,27,31,29,24,20,52,35,32,37,50,27,33,28,24,22,52
61,14,9,19,16,23,24,19,15,21,26,21,32,27,23,18,27,25,28,29,35,33,26,32,29,24,20,51,37,32,38,33,26,34,29,24,21
62,13,12,10,21,16,25,22,20,17,21,28,21,32,26,21,18,24,26,28,28,36,30,27,32,28,23,21,51,37,32,36,29,27,34,27,24
63,12,15,13,11,20,16,22,23,20,16,20,28,21,32,26,21,19,24,26,27,28,38,29,28,31,27,26,21,50,37,29,38,29,28,32,26
64,15,13,16,13,9,18,17,21,22,20,17,20,28,17,31,29,20,19,25,26,27,28,41,31,29,31,27,25,22,49,28,29,41,29,29,32
65,9,14,12,14,11,8,17,18,23,22,19,17,19,28,17,28,30,21,21,25,25,26,27,40,31,27,31,26,25,23,23,27,28,40,29,27
66,14,9,17,14,12,11,8,18,17,22,19,19,19,19,28,17,29,30,21,19,25,25,23,27,39,30,26,31,25,26,24,23,25,28,38,29
67,19,13,9,14,13,13,12,7,18,17,21,18,20,19,21,28,18,29,30,21,21,26,25,24,28,38,28,25,31,24,20,25,24,25,28,37
68,17,20,14,10,14,11,12,12,8,17,18,21,16,19,20,21,27,18,29,30,21,24,26,25,24,28,35,28,24,31,18,23,25,24,24,28
69,15,15,19,13,12,12,10,11,13,8,16,18,21,15,17,21,21,27,18,29,29,21,24,26,23,24,30,34,29,21,26,19,22,26,22,24
70,8,14,15,19,14,10,11,11,10,11,9,16,16,21,15,17,20,21,26,17,27,29,20,24,25,23,25,30,33,28,26,25,18,22,25,22
71,14,9,14,15,17,13,10,11,12,11,11,9,15,15,22,13,17,22,20,28,17,26,29,20,24,25,22,25,30,32,16,24,25,18,22,25
72,9,14,9,15,15,19,13,10,11,12,9,11,10,17,14,22,13,18,21,20,28,14,25,25,18,23,23,21,25,30,26,14,23,23,17,22
73,8,10,14,9,14,11,18,13,10,12,11,11,10,8,16,13,22,13,19,20,18,27,15,24,25,17,23,24,20,25,17,26,14,22,23,16
74,8,7,10,14,8,14,11,17,12,10,9,11,10,10,7,15,13,19,12,17,19,18,26,13,22,23,16,22,24,21,16,18,25,13,21,21
75,14,7,7,9,13,8,13,11,16,12,7,7,9,10,10,7,13,12,16,12,18,17,13,26,13,21,21,16,19,22,16,16,17,25,13,19
76,4,11,6,5,7,12,7,11,10,18,11,7,6,9,10,9,7,12,11,16,13,18,17,12,24,12,20,22,16,19,13,17,16,16,24,12
77,4,4,9,6,5,5,13,5,11,8,15,10,7,5,9,10,9,5,11,10,16,12,20,17,10,22,10,19,21,15,17,12,19,16,11,21
78,3,3,5,10,6,5,3,11,6,10,7,12,9,7,5,9,10,9,5,11,10,17,12,19,17,10,16,10,19,19,11,18,12,18,15,11
79,2,4,4,4,10,5,3,4,11,5,10,7,12,8,6,5,8,9,9,4,11,8,15,12,18,16,10,16,10,16,10,9,16,12,17,15
80,2,3,3,2,4,8,5,4,2,11,3,10,6,12,8,3,5,7,8,7,3,10,7,14,11,18,16,10,16,9,4,9,9,15,11,17
81,None,1,1,3,2,2,8,4,2,4,9,3,10,5,10,7,3,4,6,7,7,3,8,6,14,10,18,17,9,16,7,4,8,8,15,10
82,2,None,1,1,1,1,2,4,4,2,4,9,2,8,5,10,7,3,3,6,5,6,3,7,4,13,9,18,16,9,5,6,4,7,7,13
83,2,2,None,None,1,2,1,2,5,4,2,4,7,2,6,5,10,5,3,4,6,5,3,4,7,5,10,7,16,14,6,5,4,4,7,7
84,None,3,2,None,None,1,None,3,2,4,3,1,4,6,2,6,5,10,5,3,3,6,5,3,4,7,6,8,6,13,2,6,5,3,4,7
85,2,2,3,3,3,2,1,1,2,3,3,3,1,4,4,None,4,5,10,5,2,3,6,6,3,3,7,7,9,6,2,2,6,6,3,3
86,1,1,2,2,2,1,2,1,2,2,3,3,2,None,4,4,None,3,4,9,4,2,3,6,5,3,2,6,6,9,4,1,2,5,5,3
87,1,1,1,2,2,1,1,1,1,1,1,3,3,None,None,3,3,None,2,3,9,4,3,2,4,5,1,None,6,5,10,4,2,2,3,5
88,1,1,1,1,1,1,1,1,2,1,1,1,2,3,None,None,2,3,None,3,2,9,4,1,2,3,5,1,None,4,2,9,4,1,2,2
89,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,None,None,3,3,None,3,2,7,3,1,2,3,5,1,None,3,2,8,3,1,2
90,1,2,2,2,2,2,2,1,2,2,None,1,1,None,1,2,None,None,2,3,None,1,2,7,3,1,2,3,5,None,None,1,2,7,2,1
91,None,None,None,1,None,None,None,None,None,None,None,None,1,1,None,1,2,None,None,2,3,None,1,2,4,3,1,2,3,3,3,None,1,2,5,2
92,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,2,None,None,1,3,None,1,2,3,3,1,2,None,1,3,None,1,2,4
93,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,1,3,None,1,2,3,1,None,1,None,1,3,None,1,2
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,1,1,2,1,None,None,None,None,2,None,1
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,2,1,1,None,None,None,1,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,2,None,1,None,None,None,1
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,None,None,1,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,None,None,1,None,None
