ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,13,7,7,14,6,7,5,9,7,10,10,10,10,12,10,7,15,14,15,14,14,12,14,14,17,6,9,10,15,13,12,13,12,15,16
1,8,12,12,8,6,14,7,6,6,9,8,8,10,10,10,11,12,7,14,14,16,13,12,9,12,12,11,6,11,9,16,14,13,11,11,12
2,10,9,12,10,8,6,14,7,7,5,10,8,8,10,11,11,12,11,8,15,13,14,14,12,9,11,11,15,6,10,12,15,18,13,10,11
3,9,9,10,13,10,9,6,14,7,8,5,10,8,8,11,10,11,11,12,8,15,14,14,13,11,9,12,11,14,7,16,14,15,15,13,10
4,15,9,9,8,13,11,9,6,13,7,9,5,10,8,8,11,10,12,13,13,8,14,14,13,12,10,10,13,12,12,8,14,14,16,14,12
5,8,16,9,8,7,12,11,9,5,13,7,9,5,11,8,10,11,9,12,14,13,9,13,14,14,10,11,12,14,11,13,8,14,13,17,12
6,12,8,16,8,7,8,12,10,9,5,13,7,9,4,11,7,11,11,10,13,14,14,9,13,14,14,10,13,13,12,14,14,9,14,13,16
7,12,11,8,17,10,6,8,12,10,9,6,13,7,9,4,11,8,10,12,10,13,14,15,9,13,14,16,10,14,13,13,15,16,10,13,13
8,7,12,11,8,18,10,6,8,12,10,9,6,13,7,9,4,12,9,10,12,10,14,13,14,9,13,15,18,11,12,9,14,14,15,10,13
9,7,7,12,11,9,18,10,6,8,12,11,9,6,13,7,10,5,12,9,11,11,10,14,13,14,9,13,16,20,11,11,9,14,15,15,10
10,7,8,7,12,12,8,18,10,6,8,12,11,9,5,13,7,10,6,12,9,10,11,10,13,14,14,12,14,16,20,10,11,9,13,16,15
11,5,7,7,7,12,12,8,17,9,6,9,12,11,9,6,14,7,10,6,12,10,12,11,10,14,12,15,12,13,16,10,10,12,9,14,15
12,11,5,7,7,7,13,12,8,16,9,7,9,14,11,9,6,14,7,10,6,12,10,13,11,10,14,13,16,14,13,12,10,12,12,10,14
13,13,11,5,7,8,7,13,12,8,16,10,7,9,14,11,9,6,17,7,11,6,11,9,12,11,10,16,15,16,14,5,13,9,11,13,12
14,8,13,11,4,7,7,7,13,12,8,16,8,7,9,16,12,8,6,17,7,11,5,11,9,12,13,10,15,17,16,11,5,13,11,11,16
15,13,7,13,11,4,7,7,7,13,12,8,16,9,7,10,17,12,8,7,17,7,11,5,12,10,12,12,10,15,17,7,11,5,14,12,12
16,9,13,7,13,11,4,7,7,8,14,13,8,16,9,7,10,17,12,10,7,17,7,12,5,13,11,12,16,11,13,17,7,11,6,14,13
17,8,9,12,7,13,10,4,7,7,8,13,13,8,16,9,7,10,16,13,10,7,18,8,12,6,13,11,14,16,11,8,16,8,11,7,14
