ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3943,4023,3958,3786,3857,3625,3500,3741,3723,3762,3640,3947,3755,3779,3703,3849,3922,3964,4094,4059,3891,4102,4286,4400,4405,4533,4465,4679,4575,4436,3876,4085,4277,4379,4396,4549
1,4269,3957,4017,3966,3778,3843,3607,3533,3708,3697,3593,3652,3947,3746,3778,3722,3855,3909,3999,4132,4058,3943,4135,4332,4426,4423,4556,4496,4681,4547,4090,3959,4124,4362,4405,4414
2,4578,4273,3959,4008,3958,3787,3826,3598,3563,3680,3604,3614,3674,3954,3758,3773,3756,3871,3899,4011,4179,4090,3985,4199,4377,4444,4406,4574,4485,4667,4164,4134,4009,4189,4397,4446
3,4768,4567,4276,3978,4000,3949,3794,3814,3594,3566,3579,3620,3629,3694,3942,3763,3785,3781,3880,3894,4017,4210,4151,4049,4226,4416,4474,4445,4553,4484,4053,4198,4189,4038,4216,4425
4,5078,4753,4566,4283,3982,3983,3948,3794,3793,3573,3488,3662,3635,3635,3731,3935,3782,3797,3811,3892,3892,4049,4251,4220,4103,4271,4448,4467,4491,4542,3922,4108,4222,4229,4114,4268
5,5481,5064,4747,4558,4283,3981,3974,3945,3800,3779,3493,3493,3674,3654,3654,3772,3927,3800,3796,3820,3904,3922,4089,4289,4274,4157,4283,4477,4480,4465,3939,3947,4135,4262,4263,4172
6,5868,5446,5048,4740,4553,4287,3997,3960,3945,3794,3720,3502,3514,3690,3660,3690,3830,3938,3817,3795,3844,3960,3993,4146,4320,4302,4205,4319,4502,4463,3854,4000,4026,4207,4281,4306
7,6228,5877,5424,5050,4731,4545,4290,3999,3961,3944,3730,3714,3519,3526,3706,3685,3731,3885,3941,3841,3804,3879,4007,4037,4199,4354,4351,4253,4335,4466,3853,3890,4054,4075,4238,4325
8,6380,6239,5886,5433,5057,4725,4544,4298,4002,3957,3889,3742,3726,3523,3533,3735,3713,3774,3946,3955,3850,3825,3915,4042,4116,4225,4403,4397,4263,4334,3844,3868,3935,4088,4151,4258
9,6597,6378,6225,5891,5431,5046,4722,4539,4302,4007,3894,3896,3752,3741,3540,3550,3778,3750,3820,3996,3954,3891,3867,3959,4089,4172,4267,4451,4461,4267,3981,3890,3905,3969,4122,4207
10,6654,6608,6378,6234,5898,5429,5038,4731,4537,4299,3973,3937,3913,3753,3748,3560,3588,3822,3790,3860,4046,3973,3944,3948,4012,4143,4213,4328,4476,4475,4002,4016,3955,3984,4026,4181
11,6689,6656,6603,6382,6233,5901,5432,5045,4728,4540,4273,3988,3958,3926,3779,3760,3590,3611,3842,3821,3890,4076,4022,3997,3997,4044,4190,4274,4373,4468,3896,4037,4066,4007,4045,4068
12,7022,6681,6646,6600,6390,6227,5905,5438,5048,4727,4499,4280,4002,3972,3942,3808,3783,3627,3642,3846,3843,3924,4096,4073,4037,4045,4088,4247,4325,4404,3858,3949,4072,4129,4053,4085
13,7019,7021,6685,6665,6599,6397,6232,5910,5441,5053,4692,4507,4307,4026,3979,3967,3841,3805,3659,3652,3869,3859,3961,4160,4143,4055,4088,4159,4281,4337,3879,3883,3979,4145,4194,4077
14,7220,7026,7040,6689,6659,6626,6397,6231,5901,5449,5033,4700,4525,4320,4026,3996,3992,3868,3830,3690,3666,3901,3906,4021,4182,4179,4089,4155,4193,4294,3691,3920,3947,4045,4183,4231
15,7462,7212,7013,7035,6692,6656,6633,6394,6237,5912,5457,5044,4723,4545,4339,4041,4025,4020,3903,3849,3706,3702,3942,3967,4046,4212,4230,4155,4215,4212,3714,3740,3965,4030,4085,4225
16,7500,7447,7213,7010,7035,6697,6659,6647,6388,6247,5946,5465,5058,4733,4569,4370,4049,4057,4042,3925,3861,3704,3737,3973,4023,4070,4252,4295,4222,4233,3871,3734,3792,4006,4097,4108
17,7655,7490,7437,7217,6998,7041,6713,6657,6650,6374,6291,5958,5474,5060,4736,4603,4397,4061,4107,4063,3951,3880,3731,3804,4045,4064,4124,4312,4356,4257,3935,3919,3774,3868,4088,4155
18,7427,7642,7488,7432,7199,6998,7042,6730,6659,6659,6420,6299,5966,5500,5073,4760,4641,4433,4101,4164,4083,3957,3911,3777,3883,4098,4143,4199,4358,4420,4096,3955,3965,3838,3966,4150
19,7068,7435,7655,7477,7425,7188,7020,7060,6742,6675,6701,6442,6314,5995,5516,5098,4769,4685,4477,4113,4198,4123,4023,3974,3829,3918,4238,4267,4270,4405,4157,4142,4026,4038,3915,4033
20,7017,7099,7424,7641,7463,7430,7201,7059,7076,6780,6720,6697,6475,6323,6013,5564,5140,4799,4741,4529,4170,4197,4184,4095,3996,3848,4051,4367,4341,4314,4135,4189,4229,4095,4086,3960
21,6490,7014,7070,7425,7623,7444,7434,7244,7092,7100,6881,6734,6718,6505,6337,6065,5627,5185,4870,4798,4579,4210,4287,4261,4133,4043,4010,4182,4417,4365,4553,4203,4298,4311,4214,4132
22,6520,6453,6965,7085,7405,7622,7475,7453,7282,7135,7186,6897,6741,6735,6515,6360,6106,5689,5229,4950,4846,4619,4332,4362,4305,4157,4221,4146,4217,4444,4832,4612,4343,4401,4425,4265
23,6176,6520,6396,6957,7059,7401,7632,7517,7492,7329,7227,7244,6927,6798,6758,6548,6412,6174,5762,5284,5023,4879,4779,4441,4436,4360,4349,4378,4239,4304,5022,4890,4788,4490,4536,4499
24,6186,6160,6516,6395,6919,7067,7418,7662,7548,7508,7453,7255,7290,6967,6822,6829,6605,6448,6248,5837,5335,5107,5062,4938,4506,4466,4550,4501,4481,4275,5363,5085,5102,4979,4604,4611
25,5988,6171,6161,6519,6376,6906,7089,7431,7697,7582,7631,7471,7294,7330,6971,6863,6892,6676,6504,6339,5896,5407,5309,5210,5001,4582,4704,4690,4575,4582,5912,5417,5272,5314,5082,4716
26,5665,5993,6155,6179,6536,6389,6893,7100,7418,7734,7694,7627,7491,7336,7347,7003,6911,6957,6745,6606,6408,5968,5618,5502,5294,5107,4786,4871,4785,4663,6399,6048,5629,5599,5428,5236
27,5785,5671,5996,6156,6211,6542,6392,6870,7123,7398,7827,7718,7649,7524,7352,7428,7050,6945,7015,6807,6691,6491,6228,5783,5616,5350,5319,4992,4928,4892,6726,6527,6286,5909,5729,5544
28,5556,5768,5656,6023,6142,6217,6527,6366,6865,7147,7481,7813,7734,7680,7530,7385,7481,7139,7038,7095,6862,6815,6739,6469,5930,5715,5582,5529,5053,4947,6885,6897,6748,6536,6047,5868
29,5466,5560,5772,5682,6024,6154,6225,6551,6387,6868,7264,7494,7839,7746,7691,7527,7425,7538,7235,7136,7146,6990,7060,6961,6621,6014,5910,5742,5564,5062,7142,6996,7115,6999,6677,6141
30,5661,5455,5547,5774,5701,6034,6162,6234,6566,6411,6944,7274,7512,7867,7778,7714,7550,7454,7605,7346,7222,7272,7236,7300,7093,6758,6298,6066,5795,5589,7194,7300,7280,7348,7126,6816
31,5732,5665,5465,5569,5799,5700,6033,6164,6248,6555,6487,6980,7296,7540,7862,7810,7727,7600,7541,7664,7396,7321,7481,7398,7436,7166,6896,6464,6112,5820,7385,7307,7515,7459,7488,7238
32,5895,5704,5663,5485,5554,5794,5710,6038,6183,6252,6597,6472,6996,7310,7560,7868,7820,7767,7621,7588,7703,7481,7480,7625,7554,7460,7321,7016,6457,6109,7675,7539,7576,7691,7640,7583
33,5876,5879,5703,5644,5472,5558,5790,5705,6058,6172,6287,6612,6477,7013,7291,7601,7896,7855,7805,7659,7611,7765,7648,7613,7739,7550,7585,7349,6984,6451,7682,7837,7718,7782,7789,7703
34,5868,5877,5873,5704,5644,5486,5558,5808,5728,6054,6222,6295,6630,6474,7012,7314,7617,7910,7884,7827,7650,7686,7855,7710,7619,7685,7616,7604,7307,6947,7714,7817,8001,7832,7845,7838
35,6372,5864,5861,5871,5703,5645,5497,5556,5813,5736,6099,6226,6316,6642,6490,7024,7332,7666,7924,7915,7841,7711,7846,7954,7748,7639,7776,7697,7576,7266,7847,7870,8076,8178,7939,7893
36,4523,6368,5836,5863,5860,5689,5638,5488,5555,5794,5765,6098,6241,6324,6639,6502,7046,7358,7676,7932,7927,7925,7865,7951,8043,7820,7743,7819,7718,7590,7947,8036,8091,8173,8201,8036
37,5361,4524,6349,5823,5865,5855,5693,5637,5493,5534,5783,5751,6108,6281,6315,6651,6510,7070,7393,7701,7957,7995,8052,7960,8067,8107,7927,7856,7811,7704,7974,8047,8199,8152,8245,8282
38,5475,5351,4518,6348,5805,5879,5855,5685,5632,5493,5557,5779,5747,6117,6279,6330,6668,6513,7072,7439,7713,7992,8077,8089,8002,8057,8145,7981,7845,7795,7705,8076,8208,8205,8218,8263
39,5414,5463,5333,4512,6323,5784,5870,5844,5679,5613,5511,5557,5790,5726,6113,6285,6332,6683,6537,7084,7445,7750,8080,8124,8087,8048,8167,8170,7984,7809,7435,7797,8225,8247,8198,8234
40,5395,5406,5468,5326,4509,6309,5772,5860,5843,5678,5627,5504,5553,5794,5718,6127,6290,6341,6698,6558,7092,7466,7823,8153,8202,8079,8145,8170,8194,7944,7089,7525,7958,8300,8303,8189
41,5674,5391,5378,5465,5320,4496,6299,5779,5860,5815,5690,5627,5515,5546,5796,5706,6144,6291,6373,6704,6559,7106,7514,7872,8214,8232,8132,8170,8151,8186,6578,7163,7618,7989,8341,8341
42,5735,5663,5373,5351,5447,5304,4491,6296,5750,5848,5845,5686,5619,5511,5536,5798,5699,6136,6295,6390,6697,6585,7162,7543,7916,8254,8270,8137,8119,8144,6693,6662,7249,7649,8018,8361
43,5604,5698,5635,5341,5352,5443,5296,4498,6287,5736,5886,5836,5690,5604,5516,5546,5791,5686,6139,6286,6406,6732,6654,7203,7547,7935,8259,8260,8125,8104,6404,6767,6737,7273,7658,8024
44,5111,5586,5675,5618,5318,5340,5431,5288,4488,6276,5731,5882,5836,5678,5594,5518,5534,5806,5688,6148,6274,6443,6792,6692,7219,7582,7970,8281,8240,8092,6320,6453,6823,6755,7333,7680
45,4825,5096,5587,5654,5602,5302,5317,5432,5280,4492,6271,5713,5865,5834,5666,5598,5526,5539,5809,5680,6134,6265,6496,6840,6698,7233,7623,7964,8237,8221,6114,6342,6512,6938,6791,7322
46,5238,4813,5083,5580,5625,5579,5286,5302,5424,5274,4498,6247,5703,5862,5814,5676,5596,5529,5547,5801,5686,6145,6315,6548,6859,6703,7267,7623,7937,8205,5717,6136,6414,6584,6963,6791
47,5104,5213,4794,5066,5567,5614,5567,5260,5280,5419,5285,4483,6236,5675,5858,5801,5670,5584,5521,5548,5804,5690,6168,6373,6559,6883,6711,7267,7593,7906,5800,5737,6165,6464,6605,6984
48,4936,5065,5193,4777,5050,5559,5586,5551,5239,5254,5416,5262,4475,6222,5667,5841,5784,5662,5562,5512,5529,5804,5719,6176,6430,6563,6895,6715,7215,7526,5550,5827,5756,6217,6514,6618
49,4808,4902,5029,5159,4770,5027,5538,5566,5538,5222,5248,5394,5260,4463,6210,5655,5821,5768,5652,5547,5493,5553,5841,5733,6189,6434,6575,6895,6706,7185,5483,5563,5867,5796,6240,6511
50,4843,4789,4872,5001,5145,4746,5006,5523,5538,5529,5221,5223,5375,5244,4441,6189,5649,5801,5751,5638,5533,5502,5570,5869,5736,6184,6438,6555,6879,6687,5534,5486,5581,5927,5785,6239
51,4996,4786,4752,4842,4953,5129,4731,4982,5507,5513,5513,5197,5203,5349,5219,4428,6175,5630,5782,5727,5617,5536,5511,5585,5879,5728,6194,6429,6513,6845,5622,5554,5493,5596,5939,5785
52,4711,4949,4736,4717,4799,4931,5113,4714,4948,5478,5510,5495,5175,5174,5319,5182,4418,6144,5620,5771,5716,5621,5551,5509,5569,5868,5729,6187,6412,6478,5705,5624,5585,5527,5589,5926
53,4868,4661,4914,4695,4671,4770,4897,5077,4706,4921,5467,5478,5469,5153,5166,5297,5150,4392,6123,5594,5730,5710,5622,5542,5482,5548,5874,5730,6167,6380,5713,5686,5624,5561,5505,5578
54,4867,4822,4623,4866,4664,4627,4743,4852,5038,4690,4887,5422,5446,5443,5134,5132,5272,5127,4371,6112,5550,5731,5729,5624,5535,5472,5537,5868,5697,6119,5557,5703,5715,5638,5556,5496
55,4655,4808,4748,4577,4833,4627,4589,4708,4803,4987,4681,4849,5396,5413,5427,5106,5120,5255,5090,4344,6093,5544,5708,5725,5610,5506,5455,5509,5842,5658,6091,5537,5736,5732,5638,5532
