ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,1,4,2,2,1,0,1,3,0,2,1,1,1,1,0,1,1,6,2,1,5,1,0,1,1,2,2,1,2,2,5,1,0,1,1,1
1,1,1,3,2,2,1,0,1,3,0,2,1,1,1,1,0,1,1,6,1,1,5,1,0,1,0,1,2,1,2,1,5,1,0,1,0
2,2,1,1,2,2,2,1,0,1,3,0,2,1,1,1,1,0,1,0,6,1,1,5,1,0,1,0,1,3,1,1,1,5,1,0,1
3,5,2,1,1,2,2,2,1,1,1,3,0,2,1,1,1,1,0,0,0,6,1,1,5,1,0,1,0,1,3,6,1,1,5,1,0
4,3,4,2,1,1,2,2,3,1,1,1,3,0,2,1,1,1,1,0,0,0,7,0,1,5,1,0,1,0,1,0,7,0,1,5,1
5,2,3,4,2,1,1,2,2,2,1,1,1,3,0,2,1,1,1,1,0,0,0,7,0,1,5,1,0,1,0,0,0,7,0,1,5
6,1,2,3,4,3,1,1,2,2,2,1,1,1,3,0,2,2,1,1,1,0,0,0,7,0,1,5,1,0,1,0,0,0,7,0,1
7,3,0,2,3,4,2,2,2,2,2,3,1,1,1,4,0,2,2,1,1,1,1,0,0,7,0,1,5,1,0,1,1,0,0,7,0
8,5,4,0,2,3,4,2,1,0,2,2,3,1,1,1,4,0,2,2,1,1,1,1,0,0,7,0,1,5,1,1,1,1,0,0,7
9,3,5,3,1,2,3,4,2,1,1,2,2,3,1,1,1,4,0,2,1,0,1,1,1,0,0,7,0,1,5,0,1,1,1,0,0
10,5,2,5,3,0,2,4,4,2,1,2,2,2,3,1,1,1,4,0,2,1,0,1,1,0,0,0,7,0,1,1,0,1,1,1,0
11,5,4,2,5,3,0,2,3,4,2,1,4,1,2,3,1,1,1,4,0,2,1,0,1,1,0,0,0,7,0,2,1,0,1,1,1
12,0,5,4,3,5,3,1,2,3,5,3,1,4,1,2,3,1,1,1,4,0,2,1,0,1,1,1,0,0,6,0,2,1,0,1,1
13,3,0,5,4,2,5,3,0,2,3,4,3,1,4,1,2,3,1,1,1,4,0,2,1,0,1,1,2,0,0,4,0,2,1,0,1
14,5,3,0,5,4,2,5,3,0,2,3,4,3,1,3,1,2,3,1,1,2,4,0,2,1,0,1,1,2,0,2,4,0,2,1,0
15,3,4,3,0,5,4,2,5,4,0,3,3,4,3,1,3,1,2,3,1,1,2,4,0,2,1,0,1,1,1,1,2,4,0,2,1
16,1,2,4,3,0,5,4,3,5,3,1,3,3,4,3,1,3,1,2,3,1,1,2,4,0,2,1,0,1,1,1,1,2,4,0,2
17,6,1,3,5,3,0,5,4,4,5,4,1,3,3,4,3,1,3,1,2,3,1,1,2,4,0,2,1,0,1,3,1,1,2,4,0
18,10,6,1,2,4,3,0,5,4,2,5,4,1,3,3,4,3,1,3,1,2,3,1,1,2,4,0,2,1,0,2,3,1,1,2,4
19,5,10,6,1,2,4,3,0,5,4,3,5,4,1,3,3,4,3,1,3,2,2,3,1,1,2,4,0,2,1,2,2,3,1,1,2
20,7,5,10,6,1,2,4,3,0,5,5,3,7,4,1,3,3,4,3,1,2,2,2,3,1,0,1,4,0,2,2,2,2,3,1,1
21,4,7,4,10,7,1,2,4,3,0,5,5,3,7,4,1,3,3,4,3,1,2,2,2,3,1,1,1,4,0,1,2,2,2,3,1
22,3,3,8,4,11,6,1,2,4,3,0,5,5,3,7,4,1,3,3,4,3,0,2,2,2,2,2,1,1,4,3,0,2,2,2,3
23,3,2,3,7,4,10,7,3,2,4,4,0,5,5,3,7,3,1,4,3,3,3,0,2,2,1,3,2,1,1,3,3,0,2,2,2
24,4,1,2,2,7,5,10,7,2,3,5,4,0,5,4,3,7,3,1,3,2,3,3,0,2,2,3,3,2,1,2,3,3,0,2,2
25,8,4,1,2,2,7,3,10,6,2,4,5,4,0,5,4,3,6,3,1,3,2,3,3,0,2,2,3,3,2,3,2,3,3,0,2
26,5,8,4,1,2,2,8,3,10,6,3,4,5,4,0,5,4,4,6,3,1,3,2,3,3,0,1,2,3,3,1,3,2,3,3,0
27,4,4,8,4,1,2,2,6,3,10,8,3,4,5,4,0,6,4,4,5,3,1,3,2,3,3,0,0,2,3,4,1,3,2,3,3
28,3,4,4,8,4,1,3,4,6,3,10,8,3,4,5,4,0,6,4,3,5,3,1,3,1,3,3,0,1,2,4,4,1,3,2,3
29,2,2,4,3,8,3,2,2,3,5,4,10,6,3,4,4,4,0,5,4,3,4,3,1,3,1,3,3,0,1,3,4,4,1,3,2
30,5,2,2,4,3,8,3,2,2,3,6,4,9,6,2,4,4,4,0,4,4,2,4,3,1,2,1,3,3,0,4,2,4,4,1,2
31,7,4,2,2,4,3,8,3,2,3,4,6,4,9,6,2,4,5,4,0,4,5,2,4,3,1,2,1,3,3,4,4,2,4,4,1
32,6,6,4,2,2,4,4,7,3,2,2,4,6,4,9,7,2,3,5,4,0,4,4,2,4,2,1,2,0,2,0,4,4,2,4,3
33,5,5,7,4,2,2,4,3,7,3,3,2,4,5,4,9,7,2,3,5,4,0,4,3,1,4,2,1,2,1,4,0,4,4,2,4
34,5,5,3,6,4,2,2,6,3,7,3,3,2,4,5,4,9,7,2,3,5,4,0,4,4,1,3,2,1,2,5,4,0,4,4,2
35,1,6,4,3,6,4,3,2,5,3,8,3,3,2,4,5,4,9,6,2,3,5,4,0,4,3,1,3,2,1,3,5,4,0,4,4
36,1,1,6,4,3,6,4,2,3,5,4,8,3,3,3,4,5,4,9,5,2,4,5,5,0,4,3,1,3,3,2,4,5,4,0,4
37,1,2,1,6,3,3,6,4,2,2,5,4,7,3,3,3,4,5,4,9,5,4,4,6,5,0,4,3,1,4,5,3,4,5,4,0
38,4,2,2,1,5,4,3,6,3,2,3,5,4,7,3,4,3,4,5,4,9,5,4,4,6,5,0,4,3,2,9,5,3,4,5,4
39,6,3,3,2,1,5,3,3,6,3,2,3,4,4,7,3,4,3,4,5,4,8,5,3,4,6,5,0,4,4,4,8,5,3,4,5
40,7,6,3,3,2,1,4,3,2,6,3,2,3,4,4,7,3,4,3,3,5,4,8,5,2,3,6,5,0,4,5,4,8,5,3,3
41,3,7,5,2,3,2,1,5,3,2,7,2,2,3,4,4,8,3,3,3,3,5,4,8,5,1,3,6,5,0,3,5,4,8,5,2
42,3,3,7,5,2,3,3,1,4,3,3,7,2,3,3,4,4,8,3,3,3,3,5,4,7,5,1,3,6,4,3,3,5,4,7,5
43,3,3,3,7,5,2,3,2,1,4,4,3,7,2,3,3,4,4,8,3,3,3,3,5,4,7,5,1,3,5,3,3,3,5,4,7
44,6,3,3,3,7,5,3,3,2,1,5,4,3,7,3,3,3,5,4,8,3,3,3,3,5,4,7,5,1,3,3,3,3,3,5,4
45,0,6,3,3,4,6,6,2,3,2,1,5,4,3,7,3,3,3,4,4,8,3,3,3,3,5,4,7,6,2,8,3,3,3,3,5
46,4,0,6,3,3,3,6,5,2,3,2,1,5,4,3,7,3,3,4,4,3,8,3,3,3,3,5,4,7,6,3,8,3,3,3,3
47,3,4,1,6,3,3,3,6,5,2,3,2,1,5,4,4,7,3,3,3,4,3,8,3,3,3,3,5,4,7,4,3,8,3,3,3
48,6,3,4,0,6,3,3,3,6,5,4,3,1,1,5,4,4,6,3,3,3,4,3,8,3,3,3,3,5,4,3,4,3,8,3,3
49,1,6,3,5,0,6,3,3,3,7,5,4,3,1,1,5,4,4,6,3,2,3,4,3,8,3,3,3,3,5,2,3,4,3,7,3
50,2,1,6,3,4,0,6,3,3,2,6,5,3,2,1,1,5,4,4,6,4,2,3,4,3,8,3,3,3,3,4,2,3,4,3,8
51,0,3,1,6,3,4,0,6,4,3,2,6,5,3,2,1,1,5,4,4,6,4,2,3,4,3,8,3,3,3,6,4,2,3,4,3
52,7,0,1,1,6,4,4,0,6,4,3,2,6,5,3,2,2,1,5,4,4,6,4,2,3,4,3,8,3,3,4,6,4,2,3,4
53,0,5,0,1,1,6,3,4,0,6,4,3,2,5,5,3,2,2,1,5,4,4,5,4,2,4,4,3,7,3,4,4,5,4,2,4
54,2,0,5,0,1,2,6,3,4,0,6,4,3,2,5,5,3,2,2,1,5,4,4,5,4,2,4,4,3,7,5,4,4,5,4,2
55,0,1,0,5,0,1,1,5,3,4,0,6,4,4,2,5,4,3,2,2,1,5,4,4,5,4,2,4,4,3,1,5,4,4,5,4
56,2,0,2,0,6,0,1,1,5,4,5,0,6,4,4,2,5,4,2,2,2,1,5,5,3,4,4,2,4,4,2,1,5,5,4,4
57,2,2,0,1,0,5,0,1,1,5,3,4,0,6,4,4,2,5,4,2,2,2,1,5,5,3,4,4,2,5,2,2,1,5,5,4
58,3,2,1,0,1,0,5,0,1,1,4,3,4,0,5,4,4,3,5,4,2,2,1,1,4,5,1,4,4,2,2,2,2,1,4,5
59,2,3,2,1,0,1,0,5,0,1,2,3,3,4,0,5,5,4,3,5,4,2,2,1,1,4,5,1,4,4,4,2,2,2,1,4
60,2,2,3,2,1,0,1,0,5,0,1,2,3,3,4,0,4,5,4,3,5,4,2,2,1,1,4,5,1,4,5,4,2,2,2,1
61,3,2,2,3,2,1,0,1,0,5,1,1,2,3,3,4,0,4,5,4,2,5,4,2,2,1,1,4,5,2,2,5,4,2,2,2
62,1,2,3,2,3,2,1,0,1,0,6,1,1,3,3,3,4,0,4,5,3,2,5,4,2,2,0,1,4,5,3,2,5,4,2,2
63,0,1,2,2,2,3,2,2,0,1,1,6,1,1,3,3,3,4,0,4,5,3,2,5,4,2,2,0,1,4,5,3,2,5,4,2
64,2,0,2,2,2,2,5,2,1,0,1,1,6,1,1,2,3,3,4,0,3,5,3,2,5,4,2,2,0,0,3,5,3,2,5,4
65,0,2,1,1,2,2,2,4,2,1,1,1,1,6,1,1,2,2,3,4,0,3,5,3,2,5,4,2,2,1,0,3,5,3,2,5
66,3,0,1,0,1,3,2,3,4,2,2,1,1,1,6,1,1,2,2,3,4,0,3,5,3,2,5,4,2,2,4,0,3,5,3,2
67,3,4,0,1,0,0,2,2,2,5,3,2,1,1,1,6,1,1,2,2,3,4,0,3,5,3,2,5,4,2,2,4,0,3,5,3
68,1,3,3,0,1,1,0,2,2,2,4,3,2,1,1,1,6,1,1,2,2,3,4,0,2,4,3,2,5,4,2,2,4,0,2,4
69,2,1,2,2,0,1,0,0,2,3,1,4,3,2,1,1,1,6,1,1,2,2,3,3,0,2,4,3,2,5,2,2,2,3,0,2
70,2,2,1,2,0,0,1,1,0,2,3,1,4,3,2,1,1,1,5,1,1,2,2,1,3,0,2,4,3,2,1,2,2,1,3,0
71,1,2,2,1,2,0,0,2,0,1,3,3,1,3,3,1,1,1,1,5,1,0,2,2,1,3,0,2,4,3,1,0,2,2,1,3
72,5,1,2,2,1,2,0,0,1,0,1,3,2,1,3,3,0,1,1,1,5,1,0,2,2,1,3,0,2,4,5,1,0,2,2,1
73,0,4,2,2,2,2,2,0,0,1,0,1,3,2,1,3,3,0,1,1,1,5,1,0,2,2,1,3,0,2,1,4,1,0,2,2
74,1,0,3,1,2,2,0,2,0,0,2,0,1,2,2,1,3,3,0,1,1,1,4,1,0,2,2,1,3,0,1,1,4,1,0,2
75,5,0,0,2,0,3,2,0,2,1,0,1,0,1,2,2,1,3,2,0,1,1,1,4,1,0,2,1,1,3,1,1,1,4,1,0
76,1,4,0,0,2,0,3,1,0,2,1,0,1,0,1,2,2,1,2,2,0,1,1,1,4,1,0,2,1,1,0,1,1,1,4,1
77,0,1,4,0,0,2,0,2,1,0,3,0,0,1,0,1,2,2,1,2,2,0,1,1,1,4,1,0,2,1,2,0,1,1,1,4
78,2,0,1,3,0,0,3,0,3,1,1,3,0,0,1,0,1,2,2,0,2,1,0,1,1,1,4,1,0,1,2,1,0,1,1,1
79,1,0,0,1,3,0,0,1,0,2,1,0,2,0,0,1,0,1,1,2,0,2,1,0,1,1,1,4,1,0,0,2,1,0,1,1
80,1,1,0,0,1,3,0,1,2,0,3,1,0,2,0,0,1,0,1,1,1,0,2,0,0,1,1,1,2,1,2,0,2,0,0,1
81,1,0,1,1,0,1,3,0,1,1,0,3,1,0,2,0,0,1,0,1,1,1,0,2,0,0,1,1,1,2,1,2,0,2,0,0
82,0,1,0,1,0,0,1,3,1,0,1,0,3,1,0,2,0,0,1,0,1,0,0,0,2,0,0,1,1,1,1,1,1,0,2,0
83,0,0,0,0,1,0,0,1,3,0,1,1,0,2,1,0,2,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1
84,0,0,0,1,0,0,0,0,1,3,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0
85,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1
86,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
87,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1
88,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
