ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,9,18,10,12,10,13,9,9,17,9,3,7,17,13,5,15,6,17,7,13,9,6,16,10,13,15,13,5,12,10,8,6,16,10,13,16
1,16,11,14,14,13,10,13,9,9,12,8,4,7,17,11,5,15,5,17,8,12,10,6,16,10,13,15,14,6,11,12,9,6,17,10,12
2,11,16,11,14,12,12,11,13,9,8,12,8,4,8,17,10,7,15,6,17,8,13,12,5,15,10,14,17,15,6,8,12,11,6,16,10
3,25,11,20,11,13,10,11,10,13,8,8,11,8,3,8,18,10,5,16,8,16,9,13,11,5,16,10,11,18,14,17,9,13,11,6,16
4,18,24,13,19,12,12,10,13,10,13,8,7,10,8,3,8,17,10,5,15,8,17,10,13,11,5,14,11,12,20,8,17,10,13,11,6
5,28,17,25,10,19,9,12,10,15,10,14,8,7,10,8,4,7,17,10,7,15,8,19,10,13,11,6,13,11,11,13,8,19,10,13,11
6,29,27,18,27,10,19,8,12,10,12,10,14,9,7,11,8,5,10,17,11,7,16,8,18,10,15,10,8,13,11,9,13,8,19,10,15
7,35,31,28,17,28,11,20,8,15,9,13,9,14,8,7,11,8,4,11,17,11,8,15,8,17,10,15,11,9,13,13,10,12,8,18,10
8,22,37,30,27,16,27,9,20,9,11,9,13,9,13,11,7,11,9,6,13,17,13,8,16,8,17,9,15,11,9,15,15,9,14,7,18
9,22,23,39,30,29,17,27,9,20,7,11,9,13,9,13,11,9,12,9,6,13,16,14,8,16,8,17,9,15,10,12,15,17,9,14,7
10,38,22,21,37,29,26,16,30,10,19,8,11,9,13,9,13,11,10,12,10,8,13,16,13,8,16,8,18,11,14,8,12,15,16,9,14
11,28,36,23,21,39,29,27,16,29,10,19,8,11,9,13,9,13,12,10,14,10,7,13,17,12,10,16,9,20,10,10,7,12,16,15,11
12,21,30,37,21,21,38,26,26,16,29,9,19,8,11,9,14,9,13,10,10,14,9,7,13,16,13,12,15,10,19,14,10,7,13,15,15
13,31,21,27,36,21,19,38,26,25,15,30,9,19,8,11,9,16,10,13,10,10,14,9,7,14,17,13,13,14,8,8,14,10,7,14,16
14,31,30,25,27,35,21,18,38,26,24,14,29,10,20,8,11,9,18,10,13,10,10,14,9,7,14,17,15,13,14,10,8,14,10,7,15
15,33,32,30,21,26,34,21,20,37,25,26,14,29,10,20,7,11,10,19,10,12,9,10,15,9,7,16,16,14,14,12,9,8,14,10,7
16,30,35,32,29,23,26,34,21,18,36,26,25,14,29,10,20,7,11,10,17,9,13,9,9,15,9,9,16,17,14,8,13,9,8,15,10
17,29,31,31,31,31,21,31,36,20,18,38,26,25,14,29,12,20,7,10,10,17,11,14,11,9,16,9,8,16,17,15,10,14,10,8,16
18,39,31,33,34,31,31,23,30,35,20,17,38,26,24,17,29,12,20,8,11,10,16,10,14,11,9,18,10,8,16,10,14,9,13,10,8
19,33,38,29,32,34,32,29,25,28,35,21,17,38,28,23,17,29,12,20,10,10,10,16,10,13,11,9,18,10,8,10,10,14,9,13,11
20,18,33,38,28,32,33,34,32,21,28,38,21,17,37,28,24,16,29,12,20,10,10,13,17,11,13,11,9,17,10,8,10,12,15,10,13
21,35,18,33,38,27,32,33,31,34,22,26,37,21,17,37,28,25,16,29,12,21,9,11,11,17,11,14,10,9,15,21,8,11,10,15,10
22,30,35,20,36,40,27,33,31,29,33,22,25,36,20,16,37,27,25,17,30,13,21,10,11,11,16,10,17,11,9,13,21,8,12,10,14
23,24,29,34,16,35,36,28,31,31,29,32,22,24,35,19,16,35,26,24,17,30,12,21,10,10,11,14,9,18,14,31,12,21,9,11,10
24,31,24,26,36,17,36,36,28,31,29,30,32,24,22,37,18,16,34,25,24,16,30,14,22,12,10,9,13,9,18,16,31,14,21,11,11
25,25,24,24,27,34,17,35,32,31,31,31,29,30,22,25,34,18,17,34,23,24,15,29,15,18,12,11,10,13,7,24,15,30,15,17,11
26,30,24,26,23,28,31,18,35,32,28,31,31,29,31,22,26,35,17,17,37,21,23,17,25,13,18,13,11,7,12,23,23,17,27,13,17
27,31,30,24,25,20,27,33,16,38,33,27,33,28,29,28,22,26,36,18,15,36,20,22,20,24,12,17,11,10,7,37,21,22,18,26,12
28,22,34,28,26,25,21,26,31,16,37,34,27,32,25,31,28,22,25,35,18,15,37,19,21,18,26,13,15,11,10,14,39,19,22,17,28
29,31,22,32,26,24,24,21,24,33,15,35,32,26,32,25,33,27,21,22,35,17,17,37,20,21,18,30,11,13,11,16,15,37,19,22,18
30,18,33,21,29,28,24,25,21,24,31,16,32,32,27,31,25,33,26,22,21,35,19,18,39,21,20,17,29,12,13,35,18,16,38,21,21
31,33,17,36,21,28,27,25,26,19,24,28,13,30,30,25,32,25,30,25,23,21,35,18,18,37,24,20,16,31,12,20,36,17,16,37,23
32,20,33,19,35,22,29,29,24,24,19,25,29,13,27,30,25,31,26,29,24,20,22,36,18,16,38,21,22,17,29,21,21,38,17,14,37
33,25,20,32,17,32,22,29,28,23,24,13,24,28,14,26,29,25,30,25,28,23,20,22,36,20,15,38,21,24,16,24,21,21,37,19,14
34,22,27,20,30,15,32,23,30,29,24,23,13,24,27,14,27,30,25,28,24,24,25,19,23,33,19,13,40,20,25,24,26,21,22,34,18
35,22,21,25,21,31,16,30,25,30,26,25,23,12,25,25,13,26,30,26,26,26,28,22,21,20,29,18,16,41,19,25,28,24,23,21,31
36,18,22,21,27,21,30,16,29,24,26,24,24,22,11,25,25,13,25,32,25,25,26,30,24,22,22,31,14,14,38,25,25,29,25,24,22
37,27,17,22,22,26,22,29,16,28,25,27,22,22,22,10,24,26,14,27,30,25,22,26,31,22,23,22,35,16,13,24,22,25,31,23,25
38,18,24,17,22,22,27,21,29,17,27,25,26,22,21,22,10,24,27,14,28,30,23,22,23,30,20,23,22,35,17,31,22,23,23,29,23
39,14,16,23,16,22,22,25,20,29,18,29,24,26,23,20,22,10,24,26,15,29,29,23,22,23,30,22,25,25,35,29,31,22,23,23,29
40,32,13,15,24,17,22,21,26,19,28,17,26,23,25,23,21,20,12,26,26,16,27,28,23,22,23,30,24,25,26,16,28,30,23,24,23
41,22,31,15,15,23,15,23,21,26,19,26,16,27,21,25,24,21,21,11,25,27,16,26,29,23,22,21,28,25,31,27,16,27,32,23,25
42,25,23,32,15,14,24,15,22,21,26,19,26,16,28,21,25,24,21,25,13,25,25,16,27,29,24,24,21,29,25,25,25,16,28,31,24
43,25,28,21,31,14,14,24,16,21,20,27,19,25,17,29,21,24,23,21,23,13,25,26,16,26,30,24,24,22,29,14,25,26,16,27,30
44,18,26,26,21,31,15,13,24,15,22,22,27,19,27,17,29,20,24,23,20,24,13,26,25,15,26,30,24,24,22,24,14,26,25,15,27
45,30,17,25,26,20,29,14,14,24,17,25,22,27,19,27,18,30,19,24,23,20,22,13,27,24,15,27,30,22,24,21,23,14,27,24,15
46,26,31,15,25,26,20,29,15,14,25,15,25,24,27,19,26,17,28,19,24,23,21,23,14,28,22,15,27,29,22,23,22,24,15,28,22
47,11,26,30,14,24,25,19,29,16,13,24,16,25,24,25,19,26,17,29,18,24,22,20,24,13,27,22,17,27,28,24,22,21,26,14,27
48,25,10,26,30,15,26,26,19,29,15,13,24,16,25,24,25,19,26,16,28,19,24,22,20,24,12,27,24,17,28,21,24,22,21,24,13
49,20,24,11,26,29,15,27,24,20,30,16,12,24,15,25,24,25,19,26,17,29,22,25,21,20,23,12,26,24,17,26,23,24,21,21,23
50,18,20,24,11,25,29,15,25,25,18,31,16,12,23,14,25,24,25,19,26,18,30,22,25,21,20,23,12,26,24,18,27,23,24,21,22
51,22,19,21,24,11,23,30,16,24,24,18,31,17,12,24,13,21,24,25,19,25,16,30,23,26,21,20,23,12,24,25,17,27,24,25,20
52,14,23,19,20,21,11,24,30,16,26,23,17,31,18,13,24,13,23,24,25,19,25,16,26,21,24,21,20,23,12,19,25,16,25,22,24
53,23,16,24,18,18,23,11,24,31,15,25,22,17,32,17,14,24,13,23,24,24,19,24,16,27,22,25,18,20,23,24,19,24,16,25,24
54,37,22,16,22,18,20,21,13,26,31,16,25,21,17,32,16,14,23,13,23,25,21,20,24,16,28,20,26,17,23,24,21,20,24,16,26
55,29,37,22,13,21,17,19,21,12,27,32,16,25,21,17,32,16,15,23,13,23,26,20,21,24,16,28,20,24,17,25,26,21,21,24,16
56,21,26,37,23,14,22,16,19,22,11,27,32,16,24,21,18,32,16,15,25,13,22,26,20,22,23,16,27,22,24,13,24,26,21,22,23
57,24,22,27,36,21,13,22,16,21,21,14,27,31,16,23,21,19,30,16,15,25,14,21,27,21,23,22,16,27,22,25,14,23,27,22,23
58,28,21,21,27,36,20,14,22,15,20,21,14,27,30,16,22,21,19,31,16,16,25,14,22,25,20,22,24,16,25,14,26,14,23,25,20
59,19,29,20,21,22,35,20,14,20,15,20,21,14,26,29,15,22,21,19,30,15,15,24,14,20,24,19,22,25,16,14,14,25,13,21,24
60,19,15,27,19,21,23,34,21,14,19,15,20,20,14,27,30,15,21,21,18,29,15,15,27,14,19,25,19,21,26,29,14,14,27,13,20
61,26,17,14,27,19,18,24,33,21,13,19,15,19,19,14,27,29,14,22,20,17,30,15,14,28,15,19,26,19,20,17,30,14,14,28,14
62,9,25,16,17,28,19,19,24,31,21,14,19,15,19,19,14,27,29,14,22,20,15,29,17,13,28,15,21,26,20,21,16,29,16,12,28
63,6,10,24,16,15,28,21,18,22,30,19,13,19,15,18,19,15,27,28,14,22,20,15,30,18,13,26,13,20,25,23,21,16,30,17,12
64,13,8,8,24,15,15,26,19,18,19,32,19,13,18,15,18,19,14,26,28,13,22,21,17,29,15,13,24,12,20,14,23,22,17,29,15
65,13,14,9,7,23,14,14,27,17,19,19,32,19,14,18,15,19,19,14,27,28,13,22,19,18,29,15,14,24,13,28,14,23,19,18,29
66,19,11,14,7,8,23,13,16,25,16,19,19,32,19,13,18,15,18,19,14,27,27,13,23,19,18,28,15,12,24,27,27,13,23,19,18
67,17,14,11,12,7,8,22,13,13,24,16,19,17,31,19,14,18,15,17,20,14,27,27,11,24,18,18,28,15,13,14,27,27,12,24,18
68,7,15,14,11,12,7,6,21,11,13,27,15,19,18,31,19,14,19,14,17,18,13,27,25,11,24,18,17,28,15,18,13,27,25,12,24
69,15,4,15,12,11,11,7,7,20,12,14,23,15,17,18,29,17,14,17,14,16,17,13,26,25,11,25,18,17,28,16,17,13,26,25,12
70,11,13,4,15,12,12,10,6,8,20,11,14,21,15,13,18,27,16,14,16,14,14,18,13,26,25,11,23,17,17,14,14,18,13,26,26
71,17,11,12,5,13,12,13,10,4,8,20,11,13,21,15,13,16,27,16,14,16,15,14,18,13,25,25,12,21,17,16,15,14,18,13,25
72,18,17,10,12,6,12,12,11,10,4,6,17,9,11,21,14,12,15,26,14,13,17,15,14,17,13,24,24,12,21,13,17,15,14,17,13
73,11,15,17,10,10,4,12,12,10,10,4,5,16,9,10,21,14,12,14,25,13,11,17,14,15,17,13,24,20,12,13,11,17,14,15,17
74,7,10,15,15,9,10,4,12,9,10,10,4,5,16,8,10,19,14,11,14,24,12,11,16,14,15,15,13,23,20,23,12,11,16,14,15
75,11,5,9,17,16,10,10,4,9,9,11,7,4,5,15,7,10,19,13,9,14,23,11,11,16,13,15,14,13,24,14,22,12,11,16,13
76,10,12,4,8,15,15,10,7,4,7,9,10,6,4,4,14,7,10,18,12,9,15,22,9,11,13,12,15,13,12,9,14,21,10,11,13
77,10,9,9,4,6,14,13,10,8,4,5,9,9,6,4,4,14,7,10,19,11,7,15,20,9,11,13,11,13,13,11,8,14,20,10,11
78,5,12,7,5,2,5,13,13,10,7,5,5,8,9,5,4,4,14,7,9,17,10,6,14,20,6,11,13,11,13,17,11,7,13,20,8
79,8,5,10,7,3,2,5,12,12,9,7,4,4,6,9,5,2,4,13,7,9,15,9,7,14,19,6,10,11,11,9,14,10,7,13,19
80,8,8,5,9,7,4,2,3,10,12,6,6,2,4,6,10,5,2,3,12,7,9,12,9,7,13,17,4,8,9,8,9,13,10,7,12
81,2,3,8,4,8,7,4,2,3,9,12,6,5,2,4,5,8,5,1,2,12,6,9,13,7,7,12,17,5,7,12,8,9,13,9,7
82,2,3,3,7,4,7,6,5,2,4,8,12,6,5,2,4,5,4,5,None,2,11,5,7,10,7,7,11,15,3,2,11,7,7,11,9
83,1,3,3,3,6,4,6,5,6,2,4,4,11,6,5,2,4,5,3,4,None,2,8,4,5,9,6,8,10,13,None,2,9,6,6,10
84,4,1,2,1,3,1,4,5,5,8,1,3,2,10,8,4,2,2,4,2,4,None,2,9,3,3,8,7,6,9,5,None,2,9,4,4
85,1,1,1,1,2,1,1,None,1,1,2,1,2,2,8,8,4,2,2,3,2,4,None,1,7,1,3,9,7,5,2,5,None,1,7,2
86,None,None,1,1,None,1,None,None,1,1,4,2,1,None,2,8,8,3,2,1,2,1,2,None,1,6,1,4,7,7,2,1,3,None,1,6
87,None,None,1,1,None,None,1,None,1,1,1,4,2,1,None,2,7,7,2,1,3,2,1,2,None,1,6,2,3,6,2,2,1,3,None,1
88,None,None,1,1,None,None,None,None,None,1,None,1,1,2,1,None,2,5,6,2,1,1,2,1,2,None,1,4,None,3,1,1,2,1,3,None
89,None,None,None,None,None,None,None,None,1,None,1,None,1,1,1,1,None,2,4,2,2,None,1,1,1,1,None,1,4,None,3,None,1,1,1,2
90,None,1,1,1,None,None,1,None,1,1,2,1,None,1,1,1,None,None,1,3,2,2,None,1,1,1,None,None,1,4,2,3,None,1,1,1
91,None,None,None,None,None,None,None,None,None,None,None,1,1,None,1,2,1,None,None,1,3,None,2,None,None,1,None,1,None,1,3,1,3,None,None,1
92,None,None,None,None,None,None,None,None,None,None,None,None,2,1,None,None,None,1,None,None,1,3,None,2,None,None,1,None,1,None,1,3,None,3,None,None
93,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,1,None,None,1,3,None,1,None,None,1,None,1,None,1,3,None,2,None
94,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,1,None,None,None,3,None,None,None,None,1,None,None,None,None,3,None,None
95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,None,1,1,None,None,None,2,None
96,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None,None,None,1,None,None,None,2
97,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None
98,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
