ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,21,17,11,12,10,17,10,9,12,9,12,11,13,12,12,14,9,14,15,4,10,13,14,12,8,8,9,7,10,7,10,13,14,11,8,8
1,16,18,16,13,14,8,14,10,9,12,8,11,11,14,12,11,13,9,13,16,4,10,13,14,12,8,8,8,6,8,5,10,13,14,11,8
2,17,17,19,16,12,15,8,14,10,9,11,9,10,11,13,11,11,12,8,12,15,3,10,13,12,11,8,9,8,6,14,4,10,13,12,10
3,19,17,17,19,16,13,16,8,15,9,7,13,10,11,11,12,10,11,11,8,11,14,3,10,15,11,9,8,9,8,13,13,4,10,15,11
4,17,19,19,18,18,12,13,15,8,15,8,8,13,9,12,11,13,10,11,11,8,11,14,3,10,15,11,9,8,9,9,13,13,4,10,15
5,23,15,19,19,16,17,13,14,15,8,14,8,8,13,9,13,12,10,9,11,11,7,11,13,3,10,15,13,8,8,11,8,13,12,3,10
6,25,22,16,19,21,16,18,13,12,16,6,14,8,8,13,7,12,12,10,10,10,11,7,11,13,3,10,16,13,8,10,11,8,13,13,3
7,18,22,19,16,20,21,14,18,13,13,14,6,14,8,8,13,8,12,12,11,10,10,11,7,11,14,3,10,16,13,10,11,11,7,12,14
8,26,19,22,20,14,18,21,14,18,13,13,14,7,14,9,8,14,8,12,12,11,10,10,11,7,12,14,4,10,16,11,10,11,11,6,12
9,28,28,21,22,20,15,18,22,14,19,13,13,14,7,14,9,8,13,8,12,12,10,10,9,11,6,12,13,4,10,12,10,10,10,11,6
10,22,28,28,21,21,19,19,18,21,14,19,14,13,14,7,14,8,8,14,8,12,12,10,10,9,11,6,12,13,4,12,13,10,10,9,11
11,26,24,28,27,22,21,19,16,17,19,13,18,14,12,13,7,14,8,8,14,8,12,12,9,10,9,12,7,12,13,8,13,12,9,9,9
12,26,25,21,27,27,20,20,22,16,18,21,14,18,14,10,13,7,16,8,8,14,8,12,12,10,11,9,11,7,12,13,8,13,12,10,10
13,19,25,25,20,28,28,21,20,20,15,18,21,14,18,14,10,11,5,16,8,8,15,8,11,10,10,11,9,11,6,9,14,8,11,10,10
14,13,18,26,25,20,29,28,22,19,19,15,18,21,14,17,13,10,11,5,16,8,8,15,8,11,10,9,10,9,11,7,9,14,8,11,10
15,20,13,17,25,24,21,28,26,21,19,22,15,18,21,14,17,13,10,11,6,16,8,8,13,8,11,10,9,10,9,16,7,9,13,8,11
16,24,19,13,16,25,27,21,31,26,21,19,22,14,18,21,14,17,13,10,11,6,16,8,8,13,8,11,10,8,10,6,16,7,9,13,8
17,24,24,18,12,17,26,28,22,30,23,22,18,21,14,18,21,14,17,13,10,10,6,16,7,9,13,8,11,10,9,10,6,16,7,10,13
18,21,23,25,19,12,20,26,28,22,29,24,22,18,20,13,18,22,14,17,13,10,11,6,16,7,9,13,9,12,9,11,11,6,16,7,10
19,23,21,28,29,22,12,20,25,27,19,30,24,22,18,20,14,18,22,14,16,13,10,11,6,16,7,8,14,9,12,13,11,11,6,16,7
20,29,22,25,28,28,22,16,20,27,25,18,28,22,22,19,19,14,18,22,14,16,13,10,11,6,16,7,7,14,8,17,13,11,11,6,16
21,28,33,23,20,32,26,20,16,18,27,27,18,29,22,22,21,19,15,18,22,14,16,13,10,11,6,16,8,7,12,14,17,13,11,11,6
22,24,27,31,23,21,31,27,21,16,18,29,24,17,29,23,21,20,19,16,17,21,14,15,13,10,11,6,15,8,9,19,14,16,13,11,11
23,24,21,25,31,25,24,33,29,19,17,20,24,22,15,29,22,20,20,19,16,17,21,14,15,13,10,12,7,16,8,17,19,14,16,14,11
24,28,22,26,24,29,27,26,34,28,20,19,20,22,23,17,29,25,19,20,20,16,17,18,14,16,12,12,12,7,16,16,17,17,14,17,13
25,18,27,23,22,28,26,22,23,34,29,18,18,20,21,21,17,26,23,16,19,18,17,19,17,14,15,12,12,12,7,19,17,20,17,14,17
26,29,17,24,20,22,22,26,27,22,26,27,19,18,18,20,21,19,24,21,16,19,18,17,16,20,14,15,13,10,12,18,18,17,18,20,14
27,23,30,14,21,22,18,25,25,22,21,25,27,15,17,21,22,17,16,24,20,15,20,17,16,18,21,14,16,12,10,16,20,17,17,18,21
28,23,25,28,17,22,20,18,25,24,20,23,24,27,15,15,21,21,17,13,22,20,15,20,19,16,18,19,14,15,9,20,16,20,18,16,18
29,14,21,22,25,16,20,20,17,26,24,16,22,24,28,13,14,21,21,15,13,22,20,14,20,22,15,17,17,14,14,20,20,15,20,20,14
30,22,17,20,22,27,18,21,21,15,23,24,16,22,25,26,12,13,18,22,14,13,22,19,16,21,22,15,15,17,16,14,20,19,16,20,19
31,18,20,16,20,21,26,19,19,20,15,26,23,17,22,24,28,12,13,16,23,15,13,22,19,16,21,22,15,14,18,17,15,21,19,16,21
32,20,22,21,17,20,19,27,19,18,19,15,27,21,16,22,24,26,12,14,15,23,15,15,22,19,16,22,20,13,14,22,15,15,21,19,16
33,33,21,19,21,17,22,19,27,18,18,22,14,25,20,17,19,22,26,11,13,14,22,16,15,22,18,14,22,19,11,13,22,16,15,22,18
34,24,29,17,19,22,18,22,21,25,18,16,22,13,26,20,15,18,22,25,12,13,12,22,15,15,22,18,14,22,16,13,11,22,15,15,22
35,27,22,28,17,18,20,18,21,21,26,15,17,20,13,26,22,14,17,22,25,11,15,11,21,14,12,20,17,14,20,13,15,11,22,15,13
36,18,26,21,30,15,19,22,16,21,22,27,15,16,20,13,25,21,16,16,22,24,11,15,13,21,14,14,19,16,12,23,13,14,12,22,15
37,26,15,28,20,30,15,20,20,15,21,19,27,15,16,19,12,23,21,15,17,23,24,12,12,13,24,14,15,19,17,22,23,14,13,13,23
38,22,25,15,27,23,30,16,19,19,14,20,18,26,15,16,18,13,22,22,15,16,22,24,13,12,11,24,12,15,19,16,21,23,14,12,12
39,23,21,24,13,27,22,32,15,21,20,14,20,17,26,15,17,18,13,23,23,15,16,21,24,12,12,14,23,14,15,15,16,21,23,14,12
40,34,23,22,26,13,27,21,31,14,20,18,13,20,17,25,15,15,17,14,23,22,15,15,21,24,10,11,13,23,14,21,15,15,21,25,12
41,26,33,25,22,24,12,27,20,31,15,19,18,13,20,16,24,15,15,17,15,22,21,15,15,21,24,10,10,12,23,22,21,16,15,21,24
42,11,27,34,23,22,25,12,27,21,32,14,19,18,13,20,14,24,13,15,16,12,23,22,14,16,21,23,12,11,12,12,23,21,15,16,21
43,23,9,27,32,23,21,26,13,28,18,32,15,18,18,13,19,13,24,13,15,16,14,23,20,17,15,22,24,11,11,16,13,23,20,17,15
44,17,23,9,25,32,21,21,25,12,30,19,32,15,18,19,13,20,13,24,13,16,16,13,22,20,16,15,22,25,11,15,16,13,22,20,17
45,20,18,24,9,27,31,22,22,25,12,29,19,31,17,13,19,12,20,13,23,13,16,16,13,22,21,14,16,22,26,13,15,16,13,23,21
46,15,19,18,24,9,26,30,22,20,23,12,28,19,31,17,13,18,13,19,13,22,13,16,16,12,21,21,14,17,21,21,13,15,16,13,22
47,18,16,20,20,24,10,24,31,22,20,25,12,27,17,31,17,13,17,13,19,13,22,13,15,16,12,21,22,13,17,13,21,13,15,16,13
48,22,18,15,21,18,24,10,23,30,21,20,25,12,26,17,30,14,13,17,13,19,13,22,13,15,16,12,21,20,15,19,13,22,13,15,15
49,16,24,19,15,21,18,26,9,23,26,21,20,25,11,26,18,30,14,13,18,13,18,13,22,13,15,15,12,21,20,13,18,13,22,13,15
50,12,16,22,19,15,20,18,25,9,23,26,20,19,24,11,27,18,28,14,13,17,13,18,13,22,14,15,15,14,21,17,13,18,13,22,14
51,18,11,18,22,20,16,20,19,23,9,23,25,20,18,23,11,27,18,29,14,13,16,13,16,13,22,16,16,15,14,13,16,13,16,13,22
52,16,17,13,16,23,20,15,19,18,23,10,23,25,20,19,22,11,25,18,30,13,13,16,13,15,13,22,15,16,14,13,13,16,13,15,13
53,15,17,16,13,16,22,20,16,19,18,24,10,23,25,19,19,22,11,24,18,30,13,13,16,14,15,13,22,15,16,30,13,13,16,15,15
54,30,16,18,17,13,16,26,18,16,19,19,24,10,20,25,19,19,22,14,23,17,30,13,12,16,14,15,13,22,13,17,30,13,12,16,15
55,17,29,15,17,16,16,18,21,18,16,18,18,23,10,20,24,20,19,23,14,22,16,29,13,12,16,13,15,13,22,22,16,29,13,12,16
56,12,16,31,15,18,18,13,18,22,17,17,18,18,22,10,21,24,21,19,20,15,24,16,29,14,12,16,13,15,13,15,22,16,29,15,12
57,16,11,16,27,16,17,16,13,17,24,18,17,18,17,22,10,21,24,22,20,20,15,24,16,29,13,13,16,15,14,20,15,22,16,30,13
58,30,17,12,16,28,16,17,16,14,18,25,18,16,21,16,22,10,21,23,21,20,20,15,23,15,30,14,12,14,15,20,20,15,22,15,29
59,11,29,18,12,15,25,15,18,16,18,18,24,17,15,20,16,22,9,21,24,21,20,20,15,23,16,31,13,13,14,21,20,20,15,22,16
60,14,11,28,18,14,12,23,15,17,16,17,16,23,17,15,19,15,18,9,22,25,21,21,17,14,24,16,29,13,13,23,21,21,18,14,23
61,12,13,12,27,17,15,10,22,13,18,15,17,16,22,17,15,19,14,17,10,21,24,21,21,17,14,26,16,29,13,20,22,21,21,18,14
62,5,12,12,12,26,16,15,12,23,14,15,15,17,15,21,17,15,19,13,17,11,21,23,21,20,15,15,26,16,28,10,21,21,21,20,16
63,15,5,12,12,12,28,17,17,15,23,14,14,15,17,14,20,16,15,19,13,17,10,22,24,21,20,15,15,25,16,17,9,22,23,21,20
64,14,15,5,13,13,12,25,17,18,15,23,14,14,15,15,14,17,16,13,19,13,16,10,23,24,20,20,16,15,25,13,16,9,23,23,21
65,15,13,15,5,14,13,12,22,17,20,13,22,13,13,15,14,15,17,15,14,18,13,16,9,22,25,19,20,16,16,18,14,16,8,22,24
66,20,13,13,19,4,12,13,13,24,15,19,13,21,13,13,15,13,15,17,15,13,20,13,16,10,23,22,19,19,16,12,19,14,16,9,23
67,15,18,14,13,16,5,12,13,12,22,14,18,12,21,13,13,15,12,14,17,15,13,21,12,16,10,24,21,19,19,16,12,20,13,16,9
