ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,12,22,22,23,28,23,25,19,16,27,22,25,26,13,18,27,12,19,14,18,18,14,8,10,16,11,14,11,14,13,17,14,8,10,16,11
1,25,11,25,23,23,27,23,26,18,19,24,22,22,26,14,18,27,12,18,14,19,19,14,8,10,15,12,13,12,14,18,18,14,8,10,15
2,12,24,13,23,21,23,26,24,26,18,17,23,22,22,26,14,18,30,13,18,14,19,20,14,7,10,15,13,14,12,16,19,18,14,7,10
3,16,13,25,11,24,17,23,29,23,26,19,17,21,20,22,26,14,18,30,13,18,16,19,20,14,7,10,14,13,15,17,17,19,19,14,7
4,20,16,12,26,13,23,16,23,29,26,23,19,17,21,20,22,26,14,19,30,12,18,16,19,20,14,7,10,14,14,12,17,17,19,19,14
5,19,17,17,12,25,13,25,16,23,27,27,22,19,17,20,19,20,26,14,19,29,12,17,16,19,19,14,7,10,14,29,12,16,17,18,19
6,33,19,19,17,12,24,13,24,16,24,27,28,24,17,17,23,19,20,26,15,19,29,13,17,16,20,19,14,7,10,19,29,13,17,17,19
7,25,35,20,20,19,12,24,13,22,16,24,27,28,24,18,17,24,19,20,26,15,19,30,13,17,16,19,19,14,7,14,19,30,13,17,17
8,36,24,35,19,20,17,12,24,14,25,17,23,26,28,24,17,17,25,21,20,26,15,19,31,13,17,16,17,19,14,26,14,19,31,13,17
9,19,36,23,34,22,20,17,13,24,16,23,17,24,26,28,24,18,17,25,21,21,26,15,19,31,13,17,17,17,19,22,26,14,19,31,13
10,31,19,36,23,35,20,19,19,12,24,16,23,17,23,25,27,24,18,17,24,22,21,26,15,19,31,13,17,18,17,22,22,26,14,19,31
11,32,29,18,36,23,35,21,19,20,13,27,16,23,17,24,25,28,24,18,17,24,22,21,26,15,19,32,13,17,17,25,22,22,26,14,19
