ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,3,2,None,3,3,3,None,4,1,None,2,4,3,2,3,2,2,1,3,1,2,1,None,3,None,1,3,4,1,2,2,1,None,2,None,1
1,2,5,2,None,2,3,2,None,2,1,None,2,5,3,2,3,2,2,1,3,1,2,1,None,3,None,1,3,3,1,2,2,1,None,2,None
2,1,1,5,3,1,2,3,2,None,2,3,1,2,5,2,2,4,2,2,2,3,1,2,1,None,2,None,1,3,3,3,2,2,1,None,1
3,3,None,1,5,2,None,1,3,1,None,2,3,1,2,4,2,2,4,2,2,2,4,1,2,2,None,2,None,1,3,2,4,2,2,2,None
4,8,3,None,1,6,2,None,1,2,1,None,2,3,1,2,4,2,2,4,2,2,2,4,1,2,3,None,2,None,1,2,2,4,2,2,3
5,4,6,2,1,1,5,2,None,1,2,2,None,2,3,1,2,4,2,2,4,2,2,2,3,1,2,2,None,1,None,2,2,2,3,2,2
6,2,4,7,2,None,1,5,2,None,None,2,2,None,2,3,1,2,4,3,2,5,2,2,2,3,1,2,1,None,1,4,2,2,2,3,2
7,5,None,5,6,1,None,1,4,2,None,None,2,3,1,3,3,1,2,3,3,2,6,2,2,2,3,None,2,1,None,2,5,2,2,2,3
8,6,5,None,6,6,1,None,1,4,2,1,1,2,3,1,3,3,1,2,3,2,2,6,2,2,2,3,None,2,1,2,2,5,2,2,2
9,5,5,5,None,7,6,1,None,1,4,2,1,1,2,3,1,3,3,1,2,2,2,2,5,2,2,2,3,2,2,2,4,2,4,2,2
10,5,5,5,5,None,5,6,1,None,1,4,3,2,1,2,3,1,3,3,1,2,2,2,2,5,2,2,2,3,2,2,2,3,2,4,2
11,7,6,6,5,5,None,5,6,1,1,2,4,4,2,1,3,3,1,3,3,1,2,2,2,2,3,2,2,2,3,None,2,2,3,2,3
12,6,6,4,4,5,5,None,5,6,1,1,2,4,4,2,None,2,3,1,3,3,1,2,2,2,2,3,2,2,2,3,None,2,2,2,2
13,7,5,6,4,4,5,6,None,4,6,2,1,2,4,3,2,None,2,3,1,3,3,1,1,2,2,2,3,3,2,3,3,None,1,2,2
14,5,7,5,6,4,4,4,5,None,4,6,2,1,2,4,3,2,None,2,3,1,3,3,1,1,2,2,2,3,3,1,3,3,None,1,2
15,4,5,6,6,6,4,4,4,5,None,4,6,2,1,2,4,3,2,None,2,3,1,3,3,1,1,2,2,2,3,3,1,3,3,None,1
16,14,4,5,7,5,8,5,4,4,5,1,4,6,2,1,2,4,3,1,None,3,3,1,2,2,None,1,2,2,2,3,3,1,2,2,None
17,8,16,4,5,6,6,7,4,4,4,5,1,4,5,2,1,3,4,3,1,None,3,3,1,2,2,None,1,2,2,None,3,3,1,2,2
18,11,7,13,4,5,7,5,7,4,4,5,5,1,4,5,2,1,3,4,3,1,None,4,3,1,2,3,1,2,2,None,None,3,3,1,2
19,8,11,7,13,5,6,7,4,7,4,5,5,5,1,4,6,2,2,3,3,3,1,None,4,3,1,2,3,3,2,3,None,None,3,3,1
20,5,8,11,6,12,5,6,8,4,7,4,6,5,5,1,5,6,2,2,2,3,2,None,None,4,3,1,2,3,2,3,2,None,None,3,3
21,9,6,9,10,6,11,5,6,7,5,8,4,5,5,6,1,5,6,2,3,2,3,2,None,None,2,4,1,3,3,None,3,2,None,None,2
22,9,6,6,8,10,7,11,5,6,4,5,8,4,6,5,7,1,5,5,3,2,2,2,2,None,1,2,4,2,3,2,None,3,2,None,1
23,7,8,6,6,7,9,8,10,5,6,4,5,9,4,6,6,7,1,4,5,3,2,2,2,2,None,1,2,4,2,3,2,None,3,2,None
24,9,6,7,6,6,8,10,7,7,4,5,4,6,9,4,7,7,6,1,4,5,3,2,1,2,3,None,1,4,1,6,3,2,None,3,3
25,10,8,5,7,5,6,7,9,7,6,5,5,4,6,8,4,7,7,6,1,4,5,3,2,1,2,3,None,None,4,4,6,3,2,1,3
26,11,9,8,7,7,4,5,5,8,7,7,5,5,3,5,10,4,7,5,6,1,3,4,3,2,1,2,3,None,None,1,3,5,3,2,1
27,3,9,10,9,6,6,5,4,4,6,7,7,4,3,3,6,10,5,7,5,6,2,3,4,3,2,1,2,2,None,6,2,3,5,3,2
28,6,3,10,9,10,5,6,5,2,4,6,7,7,4,2,3,6,9,5,8,5,8,4,3,3,3,2,3,3,2,6,7,2,3,4,3
29,10,6,3,8,9,8,4,5,4,2,5,6,6,7,3,3,2,5,9,5,7,6,7,4,3,5,4,1,4,2,6,6,7,2,3,4
30,9,10,5,4,6,10,8,3,5,3,3,5,6,6,7,5,3,2,5,9,5,7,5,8,4,3,3,4,1,4,5,6,5,8,2,3
31,5,9,11,6,4,7,11,9,3,4,3,3,5,4,6,6,4,3,3,6,8,3,4,5,8,5,4,3,3,1,8,4,4,5,8,3
32,3,4,8,11,5,4,7,9,8,2,3,2,3,5,3,6,7,3,2,3,4,8,3,4,5,7,5,4,4,4,4,8,4,4,5,7
33,4,4,4,7,10,6,4,7,8,8,3,4,2,3,5,5,4,5,3,3,2,4,7,3,6,5,8,6,5,4,2,4,7,4,4,5
34,9,3,4,3,6,12,6,4,6,9,8,3,5,2,4,5,5,4,5,3,4,None,4,7,3,6,6,7,3,4,5,2,5,7,4,4
35,6,9,4,4,3,6,9,6,3,6,8,9,4,5,2,3,4,4,5,6,3,3,None,4,7,5,5,4,7,2,2,4,2,5,7,6
36,4,4,8,3,3,3,6,5,5,3,7,8,9,3,5,1,3,2,4,5,6,4,1,1,5,8,7,5,4,5,6,3,2,2,5,8
37,8,4,4,8,3,3,3,5,5,5,4,7,8,8,3,5,1,2,4,6,5,7,5,3,2,4,8,7,4,3,5,7,4,3,2,5
38,12,8,4,3,8,4,4,3,5,5,5,4,7,8,8,4,5,4,2,4,6,5,8,4,3,2,4,7,6,5,6,5,8,4,3,2
39,7,9,9,4,2,8,3,3,2,5,5,5,3,7,8,8,4,7,4,2,5,6,8,7,5,3,2,3,7,6,6,6,7,7,5,3
40,6,7,8,8,4,1,8,3,3,2,5,5,6,3,7,8,10,3,6,4,2,4,7,9,7,4,3,2,4,7,3,5,7,8,7,4
