ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,34,31,50,49,48,36,35,50,38,33,47,48,41,39,43,44,38,44,40,51,53,44,43,52,52,67,60,87,67,66,53,45,42,52,52,68
1,47,34,28,47,50,52,34,32,50,37,31,45,47,41,38,43,46,39,43,40,51,54,44,47,51,55,73,60,88,64,49,54,45,43,51,54
2,51,46,34,28,46,52,46,32,33,49,34,33,42,46,39,38,44,46,43,46,41,55,57,48,48,55,56,76,55,85,40,53,56,47,45,54
3,55,51,48,33,29,47,52,44,30,33,42,34,34,47,47,39,37,44,48,44,46,47,58,63,55,57,57,58,73,53,45,44,55,59,54,53
4,59,55,50,45,35,28,49,50,44,29,36,43,35,37,47,47,38,38,44,50,41,42,46,63,67,53,63,58,64,72,39,41,44,57,65,52
5,77,60,55,52,41,35,27,48,52,43,28,33,46,36,37,46,47,38,41,46,52,42,44,47,60,69,50,61,59,63,49,40,42,46,56,66
6,74,78,56,54,50,44,35,25,50,52,41,33,30,47,32,37,46,46,39,38,46,50,43,46,54,59,67,50,56,54,48,48,40,42,51,56
7,71,73,79,56,56,50,45,34,24,50,49,41,31,31,46,34,35,47,46,40,39,47,50,44,49,56,62,66,53,58,41,48,49,43,44,55
8,80,71,75,78,57,55,51,42,36,24,48,50,42,30,32,46,34,36,48,47,39,40,49,49,46,47,58,62,65,54,41,42,49,49,46,44
9,90,83,72,75,75,56,57,52,43,36,25,48,49,43,30,33,45,34,36,49,46,39,39,48,52,47,49,59,61,63,49,40,43,49,52,49
10,90,87,83,68,75,75,56,58,52,43,35,25,48,49,45,31,34,46,34,38,50,47,36,41,49,54,49,53,61,59,53,49,38,45,52,53
11,81,92,85,83,65,77,76,53,57,52,43,36,24,49,50,46,32,34,46,34,37,55,50,37,43,49,57,47,55,60,37,54,52,39,47,52
12,81,81,92,86,80,68,77,74,55,57,53,43,35,24,49,51,44,33,34,47,36,37,55,52,36,46,49,58,49,53,38,36,55,53,37,49
13,86,79,80,92,90,77,69,76,75,55,57,53,43,33,26,48,49,44,36,36,48,36,37,59,54,36,46,53,61,52,47,38,36,61,57,37
14,83,84,80,78,90,91,78,71,77,74,53,58,53,43,33,28,50,48,43,37,37,48,36,37,60,54,36,48,54,60,34,47,38,37,62,57
15,62,83,84,81,78,91,92,78,71,76,72,53,58,53,42,33,29,49,48,42,39,35,46,37,37,62,58,38,48,55,37,34,46,39,37,65
16,95,60,79,86,80,79,91,90,77,70,75,73,53,57,52,42,32,30,49,48,42,38,34,48,36,35,68,60,38,49,45,37,34,48,37,36
17,91,96,61,79,86,81,79,92,92,77,70,76,74,54,59,54,42,32,30,51,48,44,35,36,49,40,35,69,59,40,46,47,35,37,50,41
18,76,92,95,61,79,86,81,78,92,89,77,70,76,75,53,58,52,41,32,30,51,47,45,35,36,47,40,36,68,62,51,46,49,37,38,48
19,81,79,92,99,63,77,86,80,79,93,90,76,69,77,76,54,58,53,42,34,30,51,48,42,35,39,51,42,37,68,28,52,48,46,37,41
20,76,81,79,90,100,61,78,85,81,78,92,88,73,69,76,78,54,58,53,43,33,29,50,47,44,36,42,55,43,39,34,27,50,48,48,37
21,77,75,80,80,86,98,61,74,83,80,76,90,86,74,67,75,78,56,58,56,43,34,28,51,49,46,38,43,55,41,41,33,28,51,50,50
22,74,78,76,81,80,86,97,62,74,85,80,73,90,86,73,66,77,75,57,58,54,43,34,30,51,53,49,45,44,54,57,41,33,32,52,55
23,53,74,75,76,84,80,89,94,58,74,82,77,74,88,89,74,64,79,73,57,57,53,44,33,36,53,58,52,48,46,54,56,42,32,35,51
24,66,56,73,77,79,83,83,86,96,58,76,83,72,70,86,97,75,66,79,74,54,59,54,44,36,40,59,60,52,50,57,57,59,43,33,39
25,59,61,59,73,81,76,82,85,87,97,60,75,84,70,72,87,94,74,67,82,72,53,64,58,49,37,44,65,61,56,70,55,62,62,48,35
26,50,59,66,66,79,80,75,79,86,87,101,61,76,79,70,72,87,93,79,68,80,77,55,67,59,58,48,48,70,70,80,73,58,66,63,55
27,59,49,61,70,69,81,74,76,77,88,87,98,59,79,85,71,74,85,90,85,71,84,79,58,72,62,61,47,50,73,71,86,77,61,72,65
28,67,55,45,56,72,67,83,72,77,76,90,88,98,56,82,86,76,72,81,91,85,77,84,78,68,74,73,66,48,51,86,73,87,76,71,73
29,67,69,56,48,58,73,66,78,70,73,78,91,88,107,61,84,89,81,73,83,92,86,85,86,91,84,80,77,77,53,95,88,78,88,86,86
