ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,453,419,381,369,374,347,343,385,362,347,376,343,309,317,283,297,332,296,343,329,354,310,351,344,377,335,341,364,347,359,360,316,339,331,371,334
1,382,454,410,377,369,374,344,341,370,357,324,368,343,307,312,278,289,319,304,341,336,339,305,338,338,367,313,327,345,322,332,355,324,331,343,368
2,447,376,445,418,376,369,368,346,345,364,337,315,367,352,314,309,278,282,321,301,347,337,342,293,333,341,370,303,336,346,346,329,358,319,325,352
3,498,460,371,442,413,372,366,367,336,348,351,330,314,366,354,302,301,279,283,317,307,338,322,329,293,329,332,357,307,335,305,343,335,352,316,322
4,518,499,453,375,438,418,372,363,357,328,331,339,321,310,361,349,290,300,279,274,314,304,332,322,322,281,323,334,351,304,311,303,354,340,345,303
5,570,519,501,462,377,436,412,361,363,346,324,325,334,327,305,364,346,284,302,284,271,307,296,332,318,321,284,319,333,338,272,310,306,352,337,347
6,606,570,513,502,479,380,438,419,356,357,333,326,320,340,334,298,348,338,276,311,288,269,307,293,329,318,324,288,328,342,292,278,312,306,349,336
7,626,608,579,526,504,474,379,435,416,352,343,328,319,323,337,336,303,338,345,272,308,287,277,307,296,332,318,326,286,336,305,293,284,321,308,354
8,667,629,617,572,524,496,465,369,431,416,344,346,316,316,320,334,333,303,343,341,276,300,274,273,310,297,342,324,332,290,277,311,294,281,327,311
9,684,668,630,623,572,536,496,462,368,427,406,343,347,323,313,314,319,326,308,347,341,275,298,266,271,305,303,343,331,324,341,278,310,292,275,328
10,740,693,664,638,617,565,531,495,458,359,426,407,340,341,323,321,300,314,332,308,353,337,271,297,262,272,304,313,358,328,354,348,280,310,291,282
11,680,740,685,662,637,614,566,536,489,457,358,433,402,333,335,318,306,279,312,335,311,345,342,271,299,265,276,306,317,366,315,354,348,275,313,282
12,706,697,739,685,647,642,606,562,527,490,457,366,424,403,327,335,316,294,290,312,338,310,347,340,274,301,263,275,308,313,338,312,359,349,279,313
13,728,702,696,746,698,649,631,608,549,525,482,451,360,423,410,329,334,321,294,292,315,336,310,344,342,272,306,265,282,305,318,339,311,357,354,282
14,710,739,704,702,746,705,644,637,601,543,509,481,451,362,426,418,323,320,327,296,284,309,339,312,346,341,272,310,269,286,286,318,338,315,362,357
15,713,721,743,719,693,753,705,645,623,593,538,510,483,448,359,432,416,327,319,332,295,269,310,343,314,339,338,273,314,272,297,286,318,333,318,363
16,789,714,718,744,728,704,754,707,643,622,589,546,505,487,444,368,436,413,328,318,325,296,268,311,337,317,342,339,273,316,329,296,286,313,331,325
17,775,794,706,714,743,733,701,751,699,633,607,587,538,507,491,444,374,442,420,326,314,310,286,263,313,338,323,355,341,281,319,329,302,282,311,329
18,777,781,794,715,730,743,741,714,751,704,640,622,595,553,498,488,450,381,450,427,332,319,296,283,266,309,343,330,364,352,334,317,323,308,280,309
19,702,796,798,798,740,740,750,751,729,775,707,659,632,604,563,504,493,462,405,468,436,328,323,297,285,276,326,356,341,384,439,331,320,318,305,278
20,772,730,849,826,849,758,745,778,794,764,786,738,688,662,609,560,509,499,491,420,487,425,325,337,309,298,301,345,387,352,489,426,343,314,315,303
21,751,803,748,866,872,880,762,758,788,827,784,808,748,731,681,620,575,525,512,517,433,480,425,340,342,318,322,320,364,403,439,482,438,336,310,312
22,728,751,830,756,892,898,910,795,788,804,835,793,819,764,733,701,622,591,563,531,531,439,476,423,353,358,358,339,348,409,539,430,489,430,331,307
23,726,740,768,836,780,881,893,929,819,809,805,830,798,835,761,741,694,635,612,586,549,531,456,482,433,354,382,397,349,388,555,524,437,483,423,328
24,699,718,754,777,836,788,865,888,925,820,814,811,829,808,817,744,722,702,666,637,606,551,550,456,483,431,381,393,419,396,601,544,534,428,504,419
25,720,702,736,743,761,830,792,874,895,902,791,836,810,844,776,801,740,712,715,695,664,604,579,576,469,489,455,398,427,459,651,610,578,523,420,521
26,672,722,710,737,747,764,817,791,855,866,888,776,818,817,813,766,792,736,739,735,721,676,626,572,592,470,535,496,428,495,733,641,643,593,513,415
27,694,662,719,709,738,743,751,810,782,833,842,896,758,826,780,787,742,779,765,755,767,716,690,608,579,581,498,565,510,476,762,721,680,654,581,506
28,687,690,659,724,711,743,745,747,803,782,798,827,880,745,800,761,771,724,801,786,775,763,730,702,595,568,594,502,582,560,766,754,721,702,650,573
29,634,693,679,655,721,715,736,745,746,793,749,785,810,864,735,791,725,735,745,841,797,756,753,713,708,580,605,578,507,615,816,757,742,714,725,656
30,687,627,678,680,660,733,705,736,726,724,772,744,755,793,848,720,753,706,737,750,848,783,744,751,710,698,601,620,559,529,863,809,754,751,727,728
31,751,686,623,669,703,674,725,698,735,705,724,756,729,768,758,808,725,729,719,778,759,832,764,718,751,693,684,615,605,576,765,848,822,739,757,729
32,759,756,688,620,658,708,673,716,698,718,694,730,737,707,736,735,782,699,743,733,785,733,818,746,688,717,680,667,596,640,787,767,829,786,719,738
33,803,749,760,685,623,676,706,665,701,681,701,692,716,740,698,715,719,755,687,748,736,765,742,809,739,667,714,671,651,613,732,779,778,828,782,708
34,751,796,751,753,686,633,669,694,644,699,667,697,679,713,724,683,697,688,752,681,769,719,783,729,793,741,662,685,640,655,750,725,806,773,826,788
35,903,733,796,741,747,693,619,660,680,639,688,655,696,685,692,705,666,676,681,757,685,748,735,748,706,764,746,636,670,632,680,742,750,780,758,794
36,644,891,737,795,741,734,685,630,655,663,627,674,635,684,675,676,695,653,680,687,749,680,746,718,712,667,747,722,642,671,755,675,758,743,749,738
37,646,638,893,730,794,737,729,667,617,647,645,613,656,628,656,651,663,671,661,674,689,741,684,720,693,692,664,711,705,639,693,750,679,742,727,743
38,673,650,632,889,719,784,723,713,653,610,631,653,603,655,610,656,628,645,669,662,671,679,742,669,706,675,673,656,711,679,672,688,752,708,731,721
39,650,660,649,638,878,715,766,711,702,644,592,616,633,597,643,587,623,610,634,669,671,662,682,728,643,681,675,658,648,671,672,667,690,768,692,722
40,629,635,651,652,623,868,711,767,700,685,633,593,597,624,576,618,561,613,606,624,668,659,670,658,715,632,671,661,641,634,677,668,667,686,757,686
41,726,638,634,646,636,617,855,702,756,702,666,617,574,590,612,562,599,546,624,606,615,654,643,654,645,693,645,651,648,634,619,675,679,653,685,750
42,697,727,630,625,645,637,619,848,690,749,677,668,613,559,575,608,553,589,549,604,603,606,649,625,648,635,691,641,641,645,605,616,660,668,643,682
43,695,696,724,631,620,646,627,612,843,691,733,678,661,600,548,566,594,533,592,541,607,587,606,645,614,627,642,684,637,634,610,601,613,665,663,633
44,712,701,692,719,630,616,650,625,612,839,676,721,668,655,582,531,558,588,535,585,546,600,589,585,619,601,615,630,677,635,546,607,603,624,645,658
45,630,708,695,688,716,634,623,639,625,605,824,672,710,665,648,573,517,545,585,527,596,534,600,582,580,601,598,614,624,682,594,542,603,601,626,635
46,654,630,704,695,690,702,632,613,633,614,599,823,676,714,659,641,554,512,539,587,523,587,537,591,564,587,585,593,619,632,523,589,538,613,592,634
47,610,648,629,708,684,684,690,626,604,630,608,591,820,666,711,651,633,548,519,535,588,515,584,535,585,561,577,577,590,617,587,519,585,527,610,599
48,660,605,640,626,699,684,684,681,616,604,610,605,582,811,655,699,649,614,540,509,531,582,515,574,529,578,566,573,578,586,529,582,515,574,519,608
49,623,657,606,632,634,693,669,670,675,612,593,612,599,571,800,652,680,629,611,537,506,524,570,511,563,515,581,556,572,567,509,523,586,506,580,513
50,656,612,652,609,633,635,683,661,669,675,602,592,598,603,567,785,643,669,626,601,533,501,529,560,506,558,510,575,551,574,535,503,518,575,498,582
51,705,658,608,645,594,631,630,686,649,663,652,596,592,587,606,558,772,628,663,613,590,528,505,518,545,508,555,509,567,543,600,527,498,509,563,492
52,645,695,654,606,635,591,628,617,675,644,655,642,597,591,583,604,546,761,622,669,612,580,522,502,518,535,503,547,501,561,611,597,530,490,502,561
53,657,644,686,650,597,628,580,632,617,676,627,642,633,590,579,580,592,544,749,617,666,609,572,516,485,510,537,496,538,497,671,602,591,530,496,497
54,691,661,632,682,640,590,615,577,617,602,662,616,632,627,579,554,574,580,540,746,605,657,599,563,512,475,507,528,489,545,604,663,596,581,527,490
55,629,688,653,624,681,641,582,607,574,616,584,654,610,626,617,575,543,553,573,537,738,596,645,597,546,503,470,505,523,478,736,593,651,595,567,525
56,659,633,671,648,612,665,633,580,590,566,600,577,640,603,622,601,570,536,546,574,528,729,591,632,596,536,511,462,496,526,525,739,585,638,598,561
57,678,648,623,664,636,612,661,621,568,576,552,600,564,626,594,608,590,558,533,535,565,523,714,589,627,583,532,506,446,501,566,515,723,574,640,591
58,675,661,638,604,658,629,597,644,620,562,556,543,592,560,623,582,583,588,560,525,527,559,519,703,578,613,579,526,500,448,525,560,508,709,563,627
59,760,661,655,636,602,650,617,578,631,611,550,551,523,587,548,611,563,577,592,553,519,515,553,512,701,579,602,578,519,494,514,514,552,498,710,555
60,679,747,646,640,632,599,642,612,572,615,597,544,543,516,574,533,589,554,572,582,549,516,509,542,506,692,570,591,562,518,545,503,505,543,487,702
61,777,675,731,633,637,622,587,638,608,556,603,576,541,535,508,559,515,573,547,557,570,540,508,502,525,498,684,571,590,551,566,540,493,495,528,479
62,458,761,657,716,624,628,620,572,619,593,535,588,573,535,517,497,544,494,574,532,549,556,530,500,497,515,494,677,570,586,541,566,529,483,483,526
63,349,455,749,640,702,623,613,610,564,609,579,526,575,556,520,498,483,532,484,567,523,535,545,515,476,491,509,488,665,566,518,538,550,518,471,474
64,348,339,453,710,632,682,605,598,591,538,601,577,515,572,538,497,484,474,528,484,565,521,525,534,502,466,484,499,478,662,568,507,525,543,509,461
65,387,343,334,444,699,616,669,595,580,582,522,592,560,495,558,522,482,472,467,517,473,555,505,515,523,488,462,476,491,471,467,557,493,516,537,497
66,463,383,331,325,435,679,602,653,590,566,554,508,573,550,482,548,513,474,460,459,511,466,546,499,512,508,487,455,477,485,512,457,538,481,511,523
67,514,446,376,324,320,423,664,576,644,576,547,524,487,554,533,469,529,490,466,448,456,500,457,533,483,506,503,479,450,474,447,499,442,527,466,512
68,498,498,438,363,305,307,397,653,565,612,546,533,510,469,539,505,462,515,487,455,445,450,490,447,523,470,501,503,474,448,437,437,488,428,518,452
69,508,480,488,416,344,300,296,387,637,542,584,529,519,487,450,514,487,444,503,481,443,438,440,482,437,511,462,489,490,462,441,427,419,479,414,508
70,438,477,463,464,399,331,295,288,377,610,518,554,508,501,468,436,493,469,435,479,473,442,429,430,470,424,500,456,478,479,470,440,409,403,468,402
71,449,423,454,450,448,385,318,280,277,363,583,499,535,490,476,452,429,486,456,426,465,456,434,415,414,463,414,482,447,460,469,453,427,392,387,465
72,405,437,405,428,423,436,376,309,275,263,345,561,479,517,461,453,437,413,463,442,408,456,444,429,406,404,447,406,471,446,406,460,434,421,376,373
73,377,392,413,387,402,409,421,354,297,254,249,335,536,453,502,447,430,419,399,449,434,388,436,436,418,394,395,441,400,457,423,387,435,429,411,361
74,316,352,364,393,357,375,389,388,340,287,241,244,328,502,442,483,430,404,410,382,424,416,370,423,423,403,382,389,429,394,423,424,367,421,417,398
75,301,299,342,348,368,341,356,381,373,323,281,222,232,311,473,422,463,406,386,394,369,404,403,346,407,403,386,379,376,421,360,403,405,347,410,404
76,292,276,275,315,322,357,306,331,357,350,298,261,206,218,289,450,402,431,387,357,385,355,385,389,331,387,382,369,364,362,386,343,379,392,336,393
77,239,277,259,252,308,302,330,294,318,339,323,288,239,193,202,281,432,381,408,360,344,368,336,362,371,315,375,367,354,355,345,368,319,358,374,323
78,223,224,247,237,234,291,278,303,274,307,312,304,279,224,182,187,261,399,367,390,334,313,347,317,342,353,295,353,344,340,335,317,343,293,338,359
79,196,203,213,233,212,221,265,264,278,251,284,303,285,253,199,171,171,244,381,337,364,315,288,323,295,324,343,281,333,326,363,314,289,318,272,323
80,154,177,182,187,209,197,196,242,244,241,219,256,275,262,242,176,161,153,231,350,304,338,294,271,303,273,305,320,263,318,301,341,290,271,301,253
81,162,142,160,164,173,193,187,185,225,231,224,199,227,246,246,221,162,146,140,212,324,276,310,275,249,274,261,293,296,254,315,275,308,272,251,277
82,128,143,130,144,145,154,162,164,163,196,199,202,175,200,228,225,200,144,135,135,199,296,263,284,256,227,256,235,274,276,188,288,258,285,257,232
83,130,113,128,112,127,125,138,153,144,155,170,183,184,156,182,211,206,187,130,129,118,178,270,235,251,222,207,233,226,252,114,168,261,233,256,226
84,104,112,103,111,94,112,102,122,130,132,121,147,157,156,141,160,188,177,158,112,118,102,164,235,219,239,205,193,220,204,113,104,152,231,221,245
85,79,84,96,93,95,99,100,95,101,107,107,100,128,141,142,125,150,161,162,137,103,99,91,142,218,204,211,186,183,201,101,103,91,131,216,208
86,67,70,71,79,78,81,80,84,77,88,92,100,83,106,124,128,109,132,139,138,119,88,92,76,127,193,171,181,163,174,115,87,97,76,119,194
87,55,60,57,58,67,65,63,63,68,66,58,79,83,58,83,108,103,94,111,119,116,105,74,77,66,105,174,148,157,137,120,100,74,84,66,101
88,42,46,50,45,45,56,50,50,50,59,49,49,68,71,47,66,86,88,82,96,98,98,92,62,62,54,92,151,124,131,100,102,87,62,69,54
89,29,33,38,42,35,35,43,39,39,42,43,42,43,60,59,42,55,55,68,63,83,85,80,85,50,50,41,80,128,110,80,87,83,81,51,56
90,25,25,26,27,30,26,22,26,28,29,41,37,36,30,48,51,35,50,48,56,55,69,68,71,73,46,38,36,72,106,56,66,68,74,71,47
91,18,19,19,19,21,20,19,21,21,23,10,33,29,29,24,41,42,31,37,34,47,40,58,55,58,64,38,34,24,60,48,45,54,56,61,63
92,14,14,14,14,16,15,15,16,16,18,24,3,25,21,21,18,36,35,29,27,27,35,30,45,41,47,52,34,28,20,26,35,34,42,41,50
93,10,10,10,10,11,11,11,12,12,13,17,18,1,19,18,11,13,25,23,20,25,22,29,23,39,25,31,39,21,22,25,21,29,27,36,25
94,7,7,7,7,8,8,8,8,9,10,13,14,14,0,11,12,5,9,17,12,22,17,20,22,14,35,24,27,30,10,22,21,19,22,21,32
