ETA,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
0,15,13,15,10,9,14,7,15,15,13,10,17,17,10,4,9,7,13,10,11,9,14,9,4,13,9,11,12,9,9,8,14,9,4,13,10
1,9,17,12,14,10,8,13,8,16,15,11,10,17,16,10,4,9,9,12,10,11,8,14,9,3,13,9,11,12,9,11,8,14,9,3,13
2,9,11,17,11,13,10,8,14,8,15,14,10,10,16,15,10,4,9,9,11,10,11,8,15,9,3,12,9,10,12,10,11,8,15,9,3
3,15,9,9,14,11,13,10,10,13,9,13,15,10,10,16,15,10,4,9,9,10,11,11,8,15,9,3,11,10,10,12,11,11,8,15,9
4,19,15,10,9,14,11,13,10,9,14,9,12,15,8,10,16,15,9,5,9,9,10,11,12,8,15,10,3,11,9,9,12,11,12,8,15
5,16,21,15,9,9,13,12,12,10,10,10,9,12,12,8,10,15,15,9,5,9,9,11,11,12,8,13,10,3,11,9,9,13,11,12,8
6,10,17,21,14,8,10,13,11,13,10,11,11,9,15,12,9,10,15,15,9,5,8,9,11,11,12,8,13,10,2,6,9,9,13,11,12
7,17,11,17,20,15,9,10,13,11,13,10,12,11,9,15,12,10,10,15,14,9,5,8,10,11,11,12,8,13,10,10,6,9,8,13,11
8,20,14,9,17,21,15,8,9,13,11,11,13,12,11,9,15,12,10,10,14,14,9,5,8,9,11,10,12,8,13,15,9,6,9,8,12
9,21,20,14,10,19,18,15,8,10,14,10,11,13,12,11,9,16,12,11,11,14,14,9,5,8,8,12,11,12,8,15,15,9,6,9,7
10,19,19,20,14,10,20,18,15,8,9,12,10,11,13,12,11,9,16,12,12,11,14,14,9,5,8,8,12,11,12,11,15,15,9,6,9
11,15,19,19,21,14,9,19,19,15,8,9,12,10,11,13,12,11,9,16,14,13,9,14,13,9,5,9,8,12,11,10,9,15,15,9,6
12,13,14,19,19,20,12,9,20,19,14,9,9,12,10,11,13,11,11,9,16,14,14,9,15,14,10,6,9,8,12,14,11,9,16,15,10
13,18,13,13,21,20,20,12,9,22,18,14,9,9,12,10,12,13,10,14,8,16,14,14,9,16,14,10,6,9,7,16,14,11,9,16,15
14,18,17,13,14,23,19,19,12,10,21,20,14,9,9,12,10,13,14,10,14,8,15,14,12,9,17,13,10,6,9,8,15,15,9,9,17
15,27,16,17,13,16,22,18,19,11,10,22,20,15,9,9,12,10,14,14,10,15,8,15,14,11,9,17,13,10,5,15,8,15,15,9,9
16,17,27,16,17,14,15,22,18,19,13,9,22,20,15,9,9,12,10,14,14,13,15,8,15,14,11,9,17,13,10,13,15,8,15,15,9
17,27,18,27,17,17,13,13,23,18,19,11,9,22,20,15,8,10,13,11,16,14,13,15,8,15,14,10,9,17,13,13,13,15,8,15,15
18,28,28,18,27,19,20,16,13,25,18,21,12,12,22,19,15,7,10,16,11,17,14,13,15,8,15,14,9,9,17,16,13,14,16,8,15
19,10,29,27,18,27,17,17,14,15,23,20,21,12,13,21,19,15,8,12,17,12,18,14,13,14,8,15,14,9,9,12,16,14,14,15,8
20,19,10,29,27,18,26,17,17,14,14,24,20,20,12,13,21,19,16,8,12,17,12,15,14,14,15,8,15,16,9,14,12,15,14,15,16
21,23,18,9,28,26,17,26,17,20,13,15,24,21,20,12,13,21,19,16,9,11,17,13,15,14,14,16,8,15,17,11,14,13,16,14,15
22,14,21,18,9,27,28,16,26,17,17,13,15,24,22,18,12,12,19,19,14,9,12,17,13,16,13,14,16,8,16,9,11,15,13,16,13
23,19,17,20,20,9,27,30,16,26,17,17,13,15,24,22,17,12,11,18,19,14,9,12,17,13,16,14,16,17,9,14,9,11,15,13,16
24,14,21,17,20,18,9,27,28,16,25,17,17,14,14,22,22,15,12,11,18,19,13,9,13,17,13,16,14,13,15,20,13,9,12,15,13
25,19,11,20,16,20,17,10,25,26,17,27,17,17,15,11,22,22,16,13,11,18,18,14,11,11,17,14,19,13,14,16,19,14,10,11,16
26,18,19,12,20,14,20,17,9,25,25,17,27,18,17,14,11,21,22,15,12,12,18,17,14,11,10,15,14,16,12,10,16,18,14,10,10
27,17,19,18,11,18,12,20,17,9,25,26,18,26,18,15,15,11,19,24,14,12,10,19,21,13,9,10,15,14,16,13,9,17,21,14,9
28,12,16,19,19,12,19,12,20,17,9,29,23,18,25,18,18,14,11,18,22,13,11,8,19,22,13,9,8,15,14,15,12,8,17,21,13
29,15,12,14,18,19,14,16,11,21,18,10,28,23,18,25,19,20,13,12,17,20,14,12,8,20,21,14,9,8,15,18,16,13,8,18,20
30,13,14,11,13,18,20,11,15,12,19,16,8,28,22,18,25,19,19,14,12,17,19,14,12,9,18,22,15,8,9,15,18,15,13,8,16
31,12,13,14,9,13,16,20,14,13,12,23,17,8,27,21,17,23,19,20,14,11,17,19,14,12,9,17,22,14,7,13,15,18,15,13,8
32,19,14,15,12,9,14,15,20,12,12,13,23,18,8,25,23,17,23,18,21,13,9,19,16,14,12,9,18,22,13,14,12,16,15,15,13
33,20,18,14,14,15,7,15,14,22,12,11,13,22,18,8,25,23,17,24,18,20,13,8,18,16,16,14,11,16,22,21,14,11,16,16,15
34,13,18,18,15,12,15,6,15,15,21,12,11,13,20,17,8,25,21,17,23,18,19,13,9,19,16,15,13,11,15,20,21,14,12,17,16
35,14,14,20,19,13,13,15,6,15,15,20,12,11,13,20,16,10,25,22,16,21,17,20,12,9,19,13,14,13,10,20,20,22,14,12,17
36,11,12,14,17,18,13,12,16,7,15,12,20,12,11,13,19,17,10,24,20,15,24,17,22,12,12,19,13,16,13,14,21,19,22,14,13
37,5,10,11,16,15,18,14,12,16,6,15,13,20,12,10,14,19,17,10,23,20,15,23,19,21,13,12,19,14,16,20,14,21,20,21,14
38,10,5,10,12,12,17,19,14,12,16,6,13,13,20,12,10,14,18,17,10,22,18,16,22,19,20,13,12,17,14,20,19,15,20,19,20
39,9,10,4,11,11,12,18,19,13,12,16,5,13,12,20,12,12,15,18,18,10,24,18,16,22,19,20,13,15,17,9,21,19,15,20,19
40,11,9,10,5,11,11,12,19,20,14,12,16,4,13,13,20,12,12,15,17,19,10,24,18,16,22,16,19,14,13,20,9,22,19,15,20
41,14,9,9,10,4,13,11,12,18,19,13,12,16,3,14,14,20,15,12,12,16,19,10,24,18,15,22,20,18,14,16,19,9,22,18,14
42,19,16,9,8,10,5,11,12,13,18,17,14,11,16,4,14,15,20,15,12,12,13,18,9,24,19,15,22,21,18,14,14,18,9,22,19
43,16,21,16,9,8,10,4,12,12,12,20,17,14,11,14,4,14,15,20,16,10,13,13,18,9,24,19,15,20,21,12,15,14,18,9,22
44,19,16,21,16,9,8,9,4,15,11,11,19,17,14,11,14,4,14,14,20,16,8,13,14,18,10,25,19,13,20,14,10,15,15,18,10
45,20,20,16,21,17,10,7,9,4,13,11,11,18,17,14,11,14,4,14,14,20,16,7,14,13,18,10,25,19,12,19,14,9,15,14,18
46,22,20,19,15,21,16,10,9,9,6,12,11,11,17,17,16,11,14,4,15,14,20,16,7,14,14,18,10,25,19,13,19,15,9,15,14
47,18,21,20,19,15,20,17,10,7,10,6,10,11,13,17,18,15,11,15,4,15,14,20,17,7,15,14,19,9,25,15,13,20,16,9,15
